Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2012-12-05,30.0,34.0,30.0,32.0,0,0.0667,,0.0,
2012-12-06,30.0,32.0,30.0,32.0,0,0.0667,0.0,0.0,
2012-12-07,30.0,30.0,30.0,30.0,0,0.0,-0.0625,0.0,
2012-12-10,33.0,33.0,29.0,30.0,0,-0.0909,0.0,0.0,
2012-12-11,30.0,30.0,26.9,30.0,0,0.0,0.0,0.0,
2012-12-12,27.0,28.4,27.0,28.4,0,0.0519,-0.0533,0.0,
2012-12-13,29.9,29.9,20.0,20.0,0,-0.3311,-0.2958,0.0,
2012-12-14,23.0,32.0,19.0,30.0,0,0.3043,0.5,0.0,
2012-12-17,29.0,30.0,29.0,30.0,0,0.0345,0.0,0.0,
2012-12-18,27.1,29.0,27.1,28.5,0,0.0517,-0.05,0.0,
2012-12-19,28.0,28.0,27.0,27.0,0,-0.0357,-0.0526,0.0,0.0
2012-12-20,27.0,28.0,25.0,28.0,0,0.037,0.037,0.0,0.0
2012-12-21,27.9,30.0,27.9,30.0,0,0.0753,0.0714,0.0,0.0
2012-12-24,30.0,30.0,30.0,30.0,0,0.0,0.0,0.0,0.0
2012-12-26,30.0,30.0,30.0,30.0,0,0.0,0.0,0.0,0.0
2012-12-27,26.1,30.0,26.1,30.0,0,0.1494,0.0,0.0,0.0
2012-12-28,30.0,30.0,30.0,30.0,0,0.0,0.0,0.0,0.0
2012-12-31,30.0,30.0,30.0,30.0,0,0.0,0.0,0.0,0.0
2013-01-02,30.0,30.0,30.0,30.0,0,0.0,0.0,0.0,0.0
2013-01-03,30.0,30.0,30.0,30.0,0,0.0,0.0,0.0,0.0
2013-01-04,23.4,30.0,23.4,27.5,0,0.1752,-0.0833,0.0,0.0
2013-01-07,23.4,25.5,23.4,25.5,0,0.0897,-0.0727,0.0,0.0
2013-01-08,25.4,27.5,25.4,27.0,0,0.063,0.0588,0.0,0.0
2013-01-09,27.0,30.0,27.0,30.0,0,0.1111,0.1111,0.0,0.0
2013-01-10,30.0,30.0,30.0,30.0,0,0.0,0.0,0.0,0.0
2013-01-11,30.0,32.0,30.0,32.0,0,0.0667,0.0667,0.0,0.0
2013-01-14,30.0,34.0,28.0,28.0,0,-0.0667,-0.125,0.0,0.0
2013-01-15,34.0,34.0,26.0,30.0,0,-0.1176,0.0714,0.0,0.0
2013-01-16,30.0,30.0,30.0,30.0,0,0.0,0.0,0.0,0.0
2013-01-17,30.0,30.0,30.0,30.0,0,0.0,0.0,0.0,0.0
2013-01-18,28.0,34.8,28.0,34.8,0,0.2429,0.16,0.0,0.0
2013-01-22,34.4,39.0,28.0,38.5,0,0.1192,0.1063,0.0,0.0
2013-01-23,38.5,38.5,30.0,34.0,0,-0.1169,-0.1169,0.0,0.0
2013-01-24,30.0,32.9,30.0,32.9,0,0.0967,-0.0324,0.0,0.0
2013-01-25,30.0,32.0,30.0,32.0,0,0.0667,-0.0274,0.0,0.0
2013-01-28,34.8,34.8,30.0,31.9,0,-0.0833,-0.0031,0.0,0.0
2013-01-29,31.9,32.0,30.1,31.9,0,0.0,0.0,0.0,0.0
2013-01-30,31.9,32.0,30.2,30.2,0,-0.0533,-0.0533,0.0,0.0
2013-01-31,30.0,32.0,30.0,32.0,0,0.0667,0.0596,0.0,0.0
2013-02-01,32.0,32.0,31.9,32.0,0,0.0,0.0,0.0,0.0
2013-02-04,31.0,32.0,31.0,31.0,0,0.0,-0.0312,0.0,0.0
2013-02-05,31.0,31.0,31.0,31.0,0,0.0,0.0,0.0,0.0
2013-02-06,31.0,31.0,30.2,30.2,0,-0.0258,-0.0258,0.0,0.0
2013-02-07,30.1,31.9,30.0,31.9,0,0.0598,0.0563,0.0,0.0
2013-02-08,34.4,34.4,34.4,34.4,0,0.0,0.0784,0.0,0.0
2013-02-11,30.0,31.0,30.0,31.0,0,0.0333,-0.0988,0.0,0.0
2013-02-12,31.0,34.0,30.1,34.0,0,0.0968,0.0968,0.0,0.0
2013-02-13,34.0,34.0,34.0,34.0,0,0.0,0.0,0.0,0.0
2013-02-14,30.1,30.1,30.0,30.0,0,-0.0033,-0.1176,0.0,0.0
2013-02-15,31.0,31.0,31.0,31.0,0,0.0,0.0333,0.0,0.0
2013-02-19,30.0,34.0,30.0,34.0,0,0.1333,0.0968,0.0,0.0
2013-02-20,34.0,34.0,34.0,34.0,0,0.0,0.0,0.0,0.0
2013-02-21,34.0,34.0,34.0,34.0,0,0.0,0.0,0.0,0.0
2013-02-22,34.0,34.0,34.0,34.0,0,0.0,0.0,0.0,0.0
2013-02-25,34.0,34.0,30.1,30.1,0,-0.1147,-0.1147,0.0,0.0
2013-02-26,34.0,34.0,34.0,34.0,0,0.0,0.1296,0.0,0.0
2013-02-27,31.0,34.8,31.0,34.8,0,0.1226,0.0235,0.0,0.0
2013-02-28,34.0,34.4,30.0,34.4,0,0.0118,-0.0115,0.0,0.0
2013-03-01,33.0,33.0,32.0,32.0,0,-0.0303,-0.0698,0.0,0.0
2013-03-04,30.1,30.1,30.1,30.1,0,0.0,-0.0594,0.0,0.0
2013-03-05,30.5,30.5,30.1,30.1,0,-0.0131,0.0,0.0,0.0
2013-03-06,30.2,30.2,30.1,30.1,0,-0.0033,0.0,0.0,0.0
2013-03-07,30.1,30.1,30.1,30.1,0,0.0,0.0,0.0,0.0
2013-03-08,30.1,30.1,30.0,30.0,0,-0.0033,-0.0033,0.0,0.0
2013-03-11,30.0,31.9,30.0,30.0,0,0.0,0.0,0.0,0.0
2013-03-12,31.9,34.0,30.0,34.0,0,0.0658,0.1333,0.0,0.0
2013-03-13,34.0,34.0,31.0,32.5,0,-0.0441,-0.0441,0.0,0.0
2013-03-14,33.0,33.0,32.5,32.5,0,-0.0152,0.0,0.0,0.0
2013-03-15,33.0,33.0,33.0,33.0,0,0.0,0.0154,0.0,0.0
2013-03-18,33.0,33.0,30.1,30.1,0,-0.0879,-0.0879,0.0,0.0
2013-03-19,32.9,32.9,32.9,32.9,0,0.0,0.093,0.0,0.0
2013-03-20,30.1,30.1,30.1,30.1,0,0.0,-0.0851,0.0,0.0
2013-03-21,27.5,30.0,27.5,30.0,0,0.0909,-0.0033,0.0,0.0
2013-03-22,30.0,32.9,27.5,32.9,0,0.0967,0.0967,0.0,0.0
2013-03-25,32.9,32.9,32.9,32.9,0,0.0,0.0,0.0,0.0
2013-03-26,32.9,32.9,32.9,32.9,0,0.0,0.0,0.0,0.0
2013-03-27,27.5,30.0,23.0,27.0,0,-0.0182,-0.1793,0.0,0.0
2013-03-28,27.0,27.0,27.0,27.0,0,0.0,0.0,0.0,0.0
