Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2018-09-20,20.0,20.74,19.04,19.09,1405000,-0.0455,,26821450.0,
2018-09-21,19.15,19.6,18.9,19.1,214300,-0.0026,0.0005,4093130.0,
2018-09-24,19.05,19.35,19.05,19.11,54500,0.0031,0.0005,1041495.0,
2018-09-25,19.09,19.2,19.0,19.09,29200,0.0,-0.001,557428.0,
2018-09-26,19.09,19.09,19.0,19.0,80900,-0.0047,-0.0047,1537100.0,
2018-09-27,19.03,19.48,18.63,19.0,40000,-0.0016,0.0,760000.0,
2018-09-28,18.93,19.4,18.34,19.25,27300,0.0169,0.0132,525525.0,
2018-10-01,19.01,19.44,19.01,19.02,12400,0.0005,-0.0119,235848.0,
2018-10-02,18.91,19.02,18.5,19.01,43600,0.0053,-0.0005,828836.0,
2018-10-03,18.93,19.06,18.91,18.95,7700,0.0011,-0.0032,145915.0,
2018-10-04,18.9,18.9,18.5,18.75,15100,-0.0079,-0.0106,283125.0,3654672.7
2018-10-05,18.61,18.81,18.55,18.55,9200,-0.0032,-0.0107,170660.0,1000840.2
2018-10-08,18.58,18.58,18.08,18.2,56000,-0.0205,-0.0189,1019200.0,608593.2
2018-10-09,18.06,18.5,18.05,18.15,21100,0.005,-0.0027,382965.0,606363.7
2018-10-10,18.16,18.5,18.05,18.37,57500,0.0116,0.0121,1056275.0,588917.4
2018-10-11,18.27,18.3,18.0,18.13,7000,-0.0077,-0.0131,126910.0,540834.9
2018-10-12,18.49,18.63,18.02,18.55,8300,0.0032,0.0232,153965.0,477525.9
2018-10-15,18.75,19.36,18.47,19.0,42900,0.0133,0.0243,815100.0,440369.9
2018-10-16,18.95,19.39,18.82,18.82,4300,-0.0069,-0.0095,80926.0,498295.1
2018-10-17,19.15,19.3,18.42,18.99,6400,-0.0084,0.009,121536.0,423504.1
2018-10-18,19.16,19.16,18.55,18.55,3200,-0.0318,-0.0232,59360.0,421066.2
2018-10-19,19.0,19.0,18.0,18.5,6000,-0.0263,-0.0027,111000.0,398689.7
2018-10-22,18.45,18.82,17.05,17.79,15000,-0.0358,-0.0384,266850.0,392723.7
2018-10-23,17.55,17.55,17.0,17.47,6800,-0.0046,-0.018,118796.0,317488.7
2018-10-24,17.06,17.07,14.34,15.13,67400,-0.1131,-0.1339,1019762.0,291071.8
