Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2010-08-02,16.45,17.25,16.09,16.56,3474449,0.0067,,57536875.44,
2010-08-03,16.51,16.95,15.74,16.0,4033370,-0.0309,-0.0338,64533920.0,
2010-08-04,16.11,17.15,15.38,16.82,6798754,0.0441,0.0513,114355042.28,
2010-08-05,16.8,18.0,16.38,17.65,2564491,0.0506,0.0493,45263266.15,
2010-08-06,17.58,17.58,16.85,17.25,1581557,-0.0188,-0.0227,27281858.25,
2010-08-09,16.84,17.2,16.49,17.0,2258609,0.0095,-0.0145,38396353.0,
2010-08-10,16.48,16.92,15.92,16.78,2231208,0.0182,-0.0129,37439670.24,
2010-08-11,16.39,17.14,16.04,16.42,2492634,0.0018,-0.0215,40929050.28,
2010-08-12,16.12,16.34,15.52,16.02,2594408,-0.0062,-0.0244,41562416.16,
2010-08-13,16.02,16.04,15.63,15.76,1715346,-0.0162,-0.0162,27033852.96,
2010-08-16,15.75,15.89,15.65,15.84,567169,0.0057,0.0051,8983956.96,49433230.48
2010-08-17,15.92,16.42,15.74,16.17,197398,0.0157,0.0208,3191925.66,44577938.63
2010-08-18,16.06,16.62,15.89,16.48,1415894,0.0262,0.0192,23333933.12,38443739.19
2010-08-19,16.23,17.03,16.19,16.82,1236950,0.0364,0.0206,20805499.0,29341628.28
2010-08-20,16.87,16.99,16.49,16.78,555286,-0.0053,-0.0024,9317699.08,26895851.56
2010-08-23,16.77,16.83,16.63,16.8,827756,0.0018,0.0012,13906300.8,25099435.65
2010-08-24,16.42,17.63,16.32,16.56,2776708,0.0085,-0.0143,45982284.48,22650430.43
2010-08-25,16.38,16.51,16.27,16.46,1693957,0.0049,-0.006,27882532.22,23504691.85
2010-08-26,16.47,16.61,16.07,16.18,924078,-0.0176,-0.017,14951582.04,22200040.04
2010-08-27,16.12,16.91,15.81,16.75,914711,0.0391,0.0352,15321409.25,19538956.63
2010-08-30,16.57,16.79,16.4,16.63,484826,0.0036,-0.0072,8062656.38,18367712.26
2010-08-31,16.57,16.84,15.89,16.02,3653673,-0.0332,-0.0367,58531841.46,18275582.2
2010-09-01,16.26,16.38,16.17,16.32,904226,0.0037,0.0187,14756968.32,23809573.78
2010-09-02,16.27,16.45,16.06,16.24,332165,-0.0018,-0.0049,5394359.6,22951877.3
2010-09-03,16.07,16.44,15.98,16.08,412270,0.0006,-0.0099,6629301.6,21410763.36
2010-09-07,15.95,16.04,15.81,15.95,505097,0.0,-0.0081,8056297.15,21141923.61
2010-09-08,15.94,16.02,15.49,15.77,576815,-0.0107,-0.0113,9096372.55,20556923.25
2010-09-09,15.75,15.95,15.75,15.91,239058,0.0102,0.0089,3803412.78,16868332.06
