Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2017-06-30,20.35,20.48,19.84,20.05,3492700,-0.0147,,70028635.0,
2017-07-03,20.1,20.35,19.95,20.1,96400,0.0,0.0025,1937640.0,
2017-07-05,20.02,20.28,20.0,20.2,165500,0.009,0.005,3343100.0,
2017-07-06,20.14,20.29,20.01,20.18,73500,0.002,-0.001,1483230.0,
2017-07-07,20.26,20.61,20.2,20.27,111300,0.0005,0.0045,2256051.0,
2017-07-10,20.42,20.61,20.3,20.35,55400,-0.0034,0.0039,1127390.0,
2017-07-11,20.28,20.45,20.07,20.26,106800,-0.001,-0.0044,2163768.0,
2017-07-12,20.19,21.0,20.12,20.86,157600,0.0332,0.0296,3287536.0,
2017-07-13,21.1,21.1,20.66,20.8,35100,-0.0142,-0.0029,730080.0,
2017-07-14,20.77,20.95,20.75,20.78,39900,0.0005,-0.001,829122.0,
2017-07-17,20.78,20.96,20.78,20.85,34200,0.0034,0.0034,713070.0,8718655.2
2017-07-18,21.0,21.3,20.85,21.13,102700,0.0062,0.0134,2170051.0,1787098.7
2017-07-19,21.29,21.37,21.07,21.07,31400,-0.0103,-0.0028,661598.0,1810339.8
2017-07-20,21.06,21.39,20.3,20.32,105400,-0.0351,-0.0356,2141728.0,1542189.6
2017-07-21,20.5,21.0,20.19,20.72,89300,0.0107,0.0197,1850296.0,1608039.4
2017-07-24,20.72,20.99,20.67,20.85,25300,0.0063,0.0063,527505.0,1567463.9
2017-07-25,20.91,21.17,20.38,20.54,65600,-0.0177,-0.0149,1347424.0,1507475.4
2017-07-26,20.4,20.87,20.4,20.59,75900,0.0093,0.0024,1562781.0,1425841.0
2017-07-27,20.51,20.77,20.51,20.52,27100,0.0005,-0.0034,556092.0,1253365.5
2017-07-28,20.5,20.6,20.35,20.45,71100,-0.0024,-0.0034,1453995.0,1235966.7
2017-07-31,20.5,20.5,20.16,20.16,38300,-0.0166,-0.0142,772128.0,1298454.0
2017-08-01,20.16,20.41,19.29,20.05,135000,-0.0055,-0.0055,2706750.0,1304359.8
2017-08-02,19.93,20.95,19.69,20.73,49100,0.0401,0.0339,1017843.0,1358029.7
2017-08-03,20.66,20.9,20.46,20.46,32700,-0.0097,-0.013,669042.0,1393654.2
2017-08-04,20.5,21.42,20.39,21.13,42700,0.0307,0.0327,902251.0,1246385.6
2017-08-07,21.39,21.45,20.84,21.0,27800,-0.0182,-0.0062,583800.0,1151581.1
2017-08-08,20.87,20.88,20.21,20.52,35400,-0.0168,-0.0229,726408.0,1157210.6
2017-08-09,20.45,20.46,20.3,20.46,31400,0.0005,-0.0029,642444.0,1095109.0
2017-08-10,20.47,20.59,20.26,20.26,18000,-0.0103,-0.0098,364680.0,1003075.3
2017-08-11,20.27,20.85,20.25,20.32,12400,0.0025,0.003,251968.0,983934.1
2017-08-14,20.52,21.01,20.33,20.69,23700,0.0083,0.0182,490353.0,863731.4
2017-08-15,20.58,21.1,20.27,20.78,54800,0.0097,0.0043,1138744.0,835553.9
2017-08-16,20.91,21.3,20.77,21.15,46400,0.0115,0.0178,981360.0,678753.3
2017-08-17,21.02,21.49,20.32,20.67,40100,-0.0167,-0.0227,828867.0,675105.0
2017-08-18,20.67,20.82,20.27,20.74,26300,0.0034,0.0034,545462.0,691087.5
2017-08-21,20.74,21.13,20.36,20.83,25400,0.0043,0.0043,529082.0,655408.6
2017-08-22,20.87,21.02,20.51,20.88,18900,0.0005,0.0024,394632.0,649936.8
2017-08-23,20.92,20.92,20.27,20.47,44800,-0.0215,-0.0196,917056.0,616759.2
2017-08-24,20.47,21.07,19.75,21.02,96000,0.0269,0.0269,2017920.0,644220.4
2017-08-25,21.07,21.07,20.44,21.01,40000,-0.0028,-0.0005,840400.0,809544.4
2017-08-28,21.08,21.32,20.9,21.07,67600,-0.0005,0.0029,1424332.0,868387.6
2017-08-29,20.98,21.15,20.85,20.89,39400,-0.0043,-0.0085,823066.0,961785.5
