Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2005-02-14,5.3,5.3,5.3,5.3,100,0.0,,530.0,
2005-02-15,5.5,5.5,5.5,5.5,20,0.0,0.0377,110.0,
2005-02-16,5.5,5.5,5.5,5.5,100,0.0,0.0,550.0,
2005-02-17,5.75,5.75,5.75,5.75,200,0.0,0.0455,1150.0,
2005-02-18,5.75,5.75,5.75,5.75,0,0.0,0.0,0.0,
2005-02-22,5.75,5.75,5.75,5.75,20,0.0,0.0,115.0,
2005-02-23,5.75,5.75,5.75,5.75,0,0.0,0.0,0.0,
2005-02-24,5.75,5.75,5.75,5.75,0,0.0,0.0,0.0,
2005-02-25,5.6,5.75,5.6,5.75,220,0.0268,0.0,1265.0,
2005-02-28,5.75,5.75,5.75,5.75,20,0.0,0.0,115.0,
2005-03-01,5.75,5.75,5.75,5.75,20,0.0,0.0,115.0,383.5
2005-03-02,5.75,5.75,5.75,5.75,0,0.0,0.0,0.0,342.0
2005-03-03,5.75,5.75,5.5,5.5,820,-0.0435,-0.0435,4510.0,331.0
2005-03-04,5.75,5.75,5.7,5.7,1140,-0.0087,0.0364,6498.0,727.0
2005-03-07,5.8,6.5,5.75,6.3,2280,0.0862,0.1053,14364.0,1261.8
2005-03-08,6.4,6.4,6.35,6.35,2120,-0.0078,0.0079,13462.0,2698.2
2005-03-09,6.5,6.5,6.44,6.5,1060,0.0,0.0236,6890.0,4032.9
2005-03-10,6.6,6.6,6.4,6.4,400,-0.0303,-0.0154,2560.0,4721.9
2005-03-11,6.4,6.75,6.4,6.75,1000,0.0547,0.0547,6750.0,4977.9
2005-03-14,6.75,6.9,6.75,6.9,1700,0.0222,0.0222,11730.0,5526.4
2005-03-15,6.9,7.1,6.9,7.1,1500,0.029,0.029,10650.0,6687.9
2005-03-16,7.1,7.3,7.1,7.3,2920,0.0282,0.0282,21316.0,7741.4
2005-03-17,7.3,7.3,7.1,7.3,500,0.0,0.0,3650.0,9873.0
2005-03-18,7.3,7.3,7.05,7.1,1060,-0.0274,-0.0274,7526.0,9787.0
2005-03-21,7.1,7.15,6.5,7.0,760,-0.0141,-0.0141,5320.0,9889.8
2005-03-22,6.65,6.8,6.65,6.65,700,0.0,-0.05,4655.0,8985.4
2005-03-23,6.65,6.65,6.65,6.65,0,0.0,0.0,0.0,8104.7
2005-03-24,6.5,6.5,6.5,6.5,240,0.0,-0.0226,1560.0,7415.7
2005-03-28,6.5,6.5,6.5,6.5,0,0.0,0.0,0.0,7315.7
2005-03-29,6.5,6.5,6.5,6.5,180,0.0,0.0,1170.0,6640.7
2005-03-30,6.65,6.65,6.5,6.5,120,-0.0226,0.0,780.0,5584.7
2005-03-31,6.5,6.5,6.5,6.5,0,0.0,0.0,0.0,4597.7
2005-04-01,6.5,6.5,6.5,6.5,0,0.0,0.0,0.0,2466.1
2005-04-04,6.5,6.5,6.5,6.5,0,0.0,0.0,0.0,2101.1
2005-04-05,6.3,6.4,6.3,6.4,220,0.0159,-0.0154,1408.0,1348.5
2005-04-06,6.4,6.65,6.4,6.65,240,0.0391,0.0391,1596.0,957.3
