Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,8.47,8.75,8.43,8.55,1508400,0.0094,,12896820.0,
2003-12-02,8.6,8.98,8.55,8.73,3720000,0.0151,0.0211,32475600.0,
2003-12-03,8.83,8.83,8.49,8.53,1276800,-0.034,-0.0229,10891104.0,
2003-12-04,8.51,8.51,8.21,8.5,747000,-0.0012,-0.0035,6349500.0,
2003-12-05,8.53,8.78,8.44,8.73,771600,0.0234,0.0271,6736068.0,
2003-12-08,8.82,9.01,8.81,8.97,1372200,0.017,0.0275,12308634.0,
2003-12-09,8.98,8.98,8.75,8.77,708000,-0.0234,-0.0223,6209160.0,
2003-12-10,8.75,8.75,8.24,8.55,1153200,-0.0229,-0.0251,9859860.0,
2003-12-11,8.44,8.44,8.31,8.36,655200,-0.0095,-0.0222,5477472.0,
2003-12-12,8.44,8.63,8.43,8.5,807600,0.0071,0.0167,6864600.0,
2003-12-15,8.5,8.56,8.36,8.53,702600,0.0035,0.0035,5993178.0,11006881.8
2003-12-16,8.66,8.87,8.63,8.78,835200,0.0139,0.0293,7333056.0,10316517.6
2003-12-17,8.78,8.86,8.67,8.81,1725600,0.0034,0.0034,15202536.0,7802263.2
2003-12-18,8.81,8.82,8.74,8.75,1056000,-0.0068,-0.0068,9240000.0,8233406.4
2003-12-19,8.74,8.74,8.62,8.72,531000,-0.0023,-0.0034,4630320.0,8522456.4
2003-12-22,8.77,8.97,8.73,8.94,1173600,0.0194,0.0252,10491984.0,8311881.6
2003-12-23,9.01,9.05,8.94,8.99,995400,-0.0022,0.0056,8948646.0,8130216.6
2003-12-24,9.03,9.15,8.96,9.12,347400,0.01,0.0145,3168288.0,8404165.2
2003-12-26,9.25,9.48,9.23,9.46,718200,0.0227,0.0373,6794172.0,7735008.0
2003-12-29,9.5,9.8,9.44,9.6,2044800,0.0105,0.0148,19630080.0,7866678.0
2003-12-30,9.6,9.83,9.52,9.73,1113600,0.0135,0.0135,10835328.0,9143226.0
2003-12-31,9.79,9.79,9.53,9.6,646200,-0.0194,-0.0134,6203520.0,9627441.0
2004-01-02,9.77,9.95,9.71,9.82,1043400,0.0051,0.0229,10246188.0,9514487.4
2004-01-05,9.93,10.1,9.83,10.07,1263000,0.0141,0.0255,12718410.0,9018852.6
2004-01-06,10.17,10.17,9.67,9.74,1387200,-0.0423,-0.0328,13511328.0,9366693.6
2004-01-07,9.63,9.63,9.14,9.39,2972400,-0.0249,-0.0359,27910836.0,10254794.4
2004-01-08,9.39,9.62,9.36,9.52,612000,0.0138,0.0138,5826240.0,11996679.6
2004-01-09,8.96,9.29,8.95,9.15,1965000,0.0212,-0.0389,17979750.0,11684439.0
2004-01-12,8.7,9.01,8.03,8.98,4866600,0.0322,-0.0186,43702068.0,13165585.2
2004-01-13,8.86,9.01,8.67,8.98,1159800,0.0135,0.0,10415004.0,16856374.8
2004-01-14,8.88,8.95,8.71,8.79,782400,-0.0101,-0.0212,6877296.0,15934867.2
2004-01-15,8.62,8.64,8.35,8.51,987600,-0.0128,-0.0319,8404476.0,15539064.0
2004-01-16,8.42,8.48,8.34,8.4,906600,-0.0024,-0.0129,7615440.0,15759159.6
2004-01-20,8.48,8.87,8.48,8.82,1251600,0.0401,0.05,11039112.0,15496084.8
2004-01-21,8.77,8.77,8.64,8.72,493200,-0.0057,-0.0113,4300704.0,15328155.0
2004-01-22,8.72,8.73,8.53,8.56,482400,-0.0183,-0.0183,4129344.0,14407092.6
2004-01-23,8.57,8.59,8.39,8.48,525000,-0.0105,-0.0093,4452000.0,12028943.4
2004-01-26,8.51,8.55,8.35,8.35,514800,-0.0188,-0.0153,4298580.0,11891519.4
2004-01-27,8.46,8.52,7.67,8.07,2886600,-0.0461,-0.0335,23294862.0,10523402.4
2004-01-28,7.88,7.89,7.41,7.45,2625000,-0.0546,-0.0768,19556250.0,8482681.8
