Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2020-12-16,10.28,10.3,10.2,10.22,10110778,-0.0058,,103332151.16,
2020-12-17,10.2,10.3,10.2,10.3,961851,0.0098,0.0078,9907065.3,
2020-12-18,10.34,10.44,10.27,10.4,413616,0.0058,0.0097,4301606.4,
2020-12-21,10.4,10.55,10.35,10.45,407468,0.0048,0.0048,4258040.6,
2020-12-22,10.42,10.55,10.4,10.55,598346,0.0125,0.0096,6312550.3,
2020-12-23,10.55,10.55,10.45,10.47,194639,-0.0076,-0.0076,2037870.33,
2020-12-24,10.55,10.55,10.46,10.5,108793,-0.0047,0.0029,1142326.5,
2020-12-28,10.5,10.7,10.5,10.6,57249,0.0095,0.0095,606839.4,
2020-12-29,10.69,10.7,10.41,10.54,1769584,-0.014,-0.0057,18651415.36,
2020-12-30,10.38,10.65,10.11,10.65,51465,0.026,0.0104,548102.25,
2020-12-31,10.7,10.7,10.5,10.5,48376,-0.0187,-0.0141,507948.0,15109796.76
2021-01-04,10.6,10.7,10.5,10.5,323060,-0.0094,0.0,3392130.0,4827376.44
2021-01-05,10.51,10.6,10.5,10.5,114939,-0.001,0.0,1206859.5,4175882.91
2021-01-06,10.5,10.67,10.5,10.56,26958,0.0057,0.0057,284676.48,3866408.22
2021-01-07,10.51,10.62,10.51,10.55,34753,0.0038,-0.0009,366644.15,3469071.81
2021-01-08,10.61,10.7,10.52,10.58,8217,-0.0028,0.0028,86935.86,2874481.2
2021-01-11,10.6,11.66,10.44,10.9,1010668,0.0283,0.0302,11016281.2,2679387.75
2021-01-12,11.02,11.25,11.02,11.13,246151,0.01,0.0211,2739660.63,3666783.22
2021-01-13,11.2,11.25,10.8,11.22,244678,0.0018,0.0081,2745287.16,3880065.34
2021-01-14,11.3,11.77,11.09,11.09,370160,-0.0186,-0.0116,4105074.4,2289452.52
2021-01-15,11.5,11.77,11.0,11.25,591013,-0.0217,0.0144,6648896.25,2645149.74
2021-01-19,11.47,11.47,11.19,11.19,294732,-0.0244,-0.0053,3298051.08,3259244.56
2021-01-20,11.39,11.39,11.19,11.22,144211,-0.0149,0.0027,1618047.42,3249836.67
2021-01-21,11.41,11.5,11.25,11.27,113368,-0.0123,0.0045,1277657.36,3290955.46
2021-01-22,11.4,11.47,11.22,11.3,246913,-0.0088,0.0027,2790116.9,3390253.55
2021-01-25,11.61,11.61,11.22,11.22,410144,-0.0336,-0.0071,4601815.68,3632600.83
2021-01-26,11.38,11.49,11.17,11.2,169204,-0.0158,-0.0018,1895084.8,4084088.81
2021-01-27,11.0,11.14,10.65,10.7,471580,-0.0273,-0.0446,5045906.0,3171969.17
2021-01-28,10.76,11.0,10.76,10.94,346956,0.0167,0.0224,3795698.64,3402593.7
2021-01-29,10.94,10.96,10.72,10.84,233293,-0.0091,-0.0091,2528896.12,3507634.85
2021-02-01,11.0,11.01,10.85,10.99,200943,-0.0009,0.0138,2208363.57,3350017.02
2021-02-02,11.04,11.17,11.04,11.11,1422490,0.0063,0.0109,15803863.9,2905963.76
2021-02-03,11.24,11.52,11.11,11.52,417429,0.0249,0.0369,4808782.08,4156545.04
2021-02-04,11.55,11.55,11.04,11.19,463041,-0.0312,-0.0286,5181428.79,4475618.5
2021-02-05,12.11,13.37,11.81,12.58,4237474,0.0388,0.1242,53307422.92,4865995.65
2021-02-08,13.1,13.75,12.71,12.77,1181378,-0.0252,0.0151,15086197.06,9917726.25
2021-02-09,12.92,13.0,12.47,12.55,399751,-0.0286,-0.0172,5016875.05,10966164.39
2021-02-10,12.55,12.55,12.26,12.41,304984,-0.0112,-0.0112,3784851.44,11278343.41
2021-02-11,12.5,12.83,12.16,12.31,243246,-0.0152,-0.0081,2994358.26,11152237.96
2021-02-12,12.72,12.72,12.22,12.22,848138,-0.0393,-0.0073,10364246.36,11072103.92
2021-02-16,12.5,13.25,12.3,12.95,1004975,0.036,0.0597,13014426.25,11855638.94
2021-02-17,13.0,13.41,12.85,13.0,486647,0.0,0.0039,6326411.0,12936245.21
2021-02-18,13.0,13.0,12.5,12.85,255591,-0.0115,-0.0115,3284344.35,11988499.92
2021-02-19,12.68,12.84,12.56,12.67,106514,-0.0008,-0.014,1349532.38,11836056.15
2021-02-22,12.58,12.75,12.39,12.55,253735,-0.0024,-0.0095,3184374.25,11452866.51
2021-02-23,12.0,12.39,11.3,12.29,493991,0.0242,-0.0207,6071149.39,6440561.64
2021-02-24,12.22,12.28,11.93,11.93,200857,-0.0237,-0.0293,2396224.01,5539056.87
2021-02-25,11.57,12.09,11.47,11.47,297334,-0.0086,-0.0386,3410420.98,5276991.77
2021-02-26,11.54,11.55,11.02,11.07,304748,-0.0407,-0.0349,3373560.36,5239548.72
2021-03-01,11.25,11.4,11.19,11.34,138674,0.008,0.0244,1572563.16,5277468.93
2021-03-02,11.2,11.4,10.94,11.07,164201,-0.0116,-0.0238,1817705.07,4398300.61
2021-03-03,11.07,11.11,10.71,10.82,110852,-0.0226,-0.0226,1199418.64,3278628.49
2021-03-04,10.7,10.82,10.49,10.62,98091,-0.0075,-0.0185,1041726.42,2765929.26
2021-03-05,10.5,10.74,10.18,10.66,213874,0.0152,0.0038,2279896.84,2541667.47
2021-03-08,10.75,11.0,10.74,10.81,108424,0.0056,0.0141,1172063.44,2634703.91
2021-03-09,10.72,10.93,10.54,10.63,251313,-0.0084,-0.0167,2671457.19,2433472.83
2021-03-10,10.65,10.74,10.63,10.71,98016,0.0056,0.0075,1049751.36,2093503.61
2021-03-11,10.64,10.93,10.64,10.93,37726,0.0273,0.0205,412345.18,1958856.35
2021-03-12,10.8,10.99,10.77,10.99,12415,0.0176,0.0055,136440.85,1659048.77
2021-03-15,11.0,11.0,10.93,10.95,1668586,-0.0045,-0.0036,18271016.7,1335336.82
2021-03-16,10.95,10.98,10.86,10.86,25413,-0.0082,-0.0082,275985.18,3005182.17
2021-03-17,10.85,10.85,10.73,10.83,12568,-0.0018,-0.0028,136111.44,2851010.18
2021-03-18,10.95,10.95,10.69,10.7,58920,-0.0228,-0.012,630444.0,2744679.46
2021-03-19,10.73,10.76,10.65,10.73,8654,0.0,0.0028,92857.42,2703551.22
2021-03-22,10.69,10.73,10.65,10.66,24889,-0.0028,-0.0065,265316.74,2484847.28
2021-03-23,10.65,10.68,10.34,10.43,222908,-0.0207,-0.0216,2324930.44,2394172.61
2021-03-24,10.4,10.43,10.3,10.34,33528,-0.0058,-0.0086,346679.52,2359519.93
2021-03-25,10.19,10.43,10.19,10.22,131621,0.0029,-0.0116,1345166.62,2289212.75
2021-03-26,10.26,10.29,10.06,10.07,1219164,-0.0185,-0.0147,12276981.48,2382494.89
2021-03-29,10.07,10.17,10.07,10.1,427960,0.003,0.003,4322396.0,3596548.95
2021-03-30,10.1,10.17,10.07,10.15,292614,0.005,0.005,2970032.1,2201686.88
2021-03-31,10.19,10.23,10.13,10.2,63001,0.001,0.0049,642610.2,2471091.58
2021-04-01,10.15,10.3,10.15,10.2,161762,0.0049,0.0,1649972.4,2521741.45
2021-04-05,10.5,10.5,10.22,10.26,61744,-0.0229,0.0059,633493.44,2623694.29
2021-04-06,10.2,10.5,10.2,10.4,20399,0.0196,0.0136,212149.6,2677757.89
2021-04-07,10.38,10.56,10.38,10.56,10432,0.0173,0.0154,110161.92,2672441.18
2021-04-08,10.56,10.6,10.55,10.56,17235,0.0,0.0,182001.6,2450964.33
2021-04-09,10.5,10.53,10.46,10.53,19690,0.0029,-0.0028,207335.7,2434496.54
2021-04-12,10.55,10.55,10.4,10.42,23947,-0.0123,-0.0104,249527.74,2320713.44
2021-04-13,10.44,10.47,10.39,10.46,18035,0.0019,0.0038,188646.1,1117968.07
2021-04-14,10.38,10.45,10.38,10.43,1567181,0.0048,-0.0029,16345697.83,704593.08
2021-04-15,10.38,10.55,10.36,10.36,4072,-0.0019,-0.0067,42185.92,2042159.65
2021-04-16,10.35,10.35,10.28,10.33,25244,-0.0019,-0.0029,260770.52,1982117.23
2021-04-19,10.25,10.36,10.25,10.36,12472,0.0107,0.0029,129209.92,1843197.04
2021-04-20,10.3,10.31,10.29,10.3,72235,0.0,-0.0058,744020.5,1792768.69
2021-04-21,10.25,10.59,10.25,10.48,20666,0.0224,0.0175,216579.68,1845955.78
2021-04-22,10.43,10.63,10.34,10.4,5460,-0.0029,-0.0076,56784.0,1856597.55
2021-04-23,10.34,10.62,10.34,10.35,3612,0.001,-0.0048,37384.2,1844075.79
2021-04-26,10.25,10.5,10.25,10.5,14472,0.0244,0.0145,151956.0,1827080.64
