Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,15.45,15.54,15.27,15.54,112053,0.0058,,1741303.62,
2003-12-02,15.55,15.58,15.39,15.51,60214,-0.0026,-0.0019,933919.14,
2003-12-03,15.48,15.56,15.46,15.47,154384,-0.0006,-0.0026,2388320.48,
2003-12-04,15.5,15.52,15.27,15.44,95302,-0.0039,-0.0019,1471462.88,
2003-12-05,15.44,15.44,15.24,15.37,170230,-0.0045,-0.0045,2616435.1,
2003-12-08,15.22,15.44,15.22,15.44,89416,0.0145,0.0046,1380583.04,
2003-12-09,15.38,15.45,15.24,15.37,81946,-0.0007,-0.0045,1259510.02,
2003-12-10,15.4,15.4,15.22,15.32,110016,-0.0052,-0.0033,1685445.12,
2003-12-11,15.35,15.37,15.22,15.32,50933,-0.002,0.0,780293.56,
2003-12-12,15.36,15.46,15.24,15.46,50254,0.0065,0.0091,776926.84,
2003-12-15,15.55,15.62,15.46,15.54,94849,-0.0006,0.0052,1473953.46,1503419.98
2003-12-16,15.56,15.64,15.46,15.56,81493,0.0,0.0013,1268031.08,1476684.96
2003-12-17,15.62,15.73,15.57,15.59,69269,-0.0019,0.0019,1079903.71,1510096.16
2003-12-18,15.65,16.0,15.65,15.99,428745,0.0217,0.0257,6855632.55,1379254.48
2003-12-19,16.04,16.12,15.69,15.76,102998,-0.0175,-0.0144,1623248.48,1917671.45
2003-12-22,15.84,15.97,15.81,15.93,64515,0.0057,0.0108,1027723.95,1818352.79
2003-12-23,15.84,15.96,15.8,15.85,37577,0.0006,-0.005,595595.45,1783066.88
2003-12-24,15.8,15.97,15.8,15.97,16978,0.0108,0.0076,271138.66,1716675.42
2003-12-26,15.96,15.97,15.91,15.96,12677,0.0,-0.0006,202324.92,1575244.77
2003-12-29,15.96,16.28,15.88,16.28,113411,0.0201,0.0201,1846331.08,1517447.91
2003-12-30,16.28,16.28,15.98,16.14,190830,-0.0086,-0.0086,3079996.2,1624388.33
2003-12-31,16.13,16.22,15.93,15.93,79230,-0.0124,-0.013,1262133.9,1784992.61
2004-01-02,15.92,16.1,15.86,15.89,57272,-0.0019,-0.0025,910052.08,1784402.89
2004-01-05,15.89,16.08,15.86,16.04,89869,0.0094,0.0094,1441498.76,1767417.73
2004-01-06,16.03,16.17,16.02,16.17,133106,0.0087,0.0081,2152324.02,1226004.35
2004-01-07,16.15,16.2,16.08,16.18,76966,0.0019,0.0006,1245309.88,1278911.9
2004-01-08,16.12,16.19,16.03,16.16,47990,0.0025,-0.0012,775518.4,1300670.49
2004-01-09,16.17,16.17,16.04,16.17,44369,0.0,0.0006,717446.73,1318662.79
2004-01-12,16.17,16.17,16.08,16.13,49575,-0.0025,-0.0025,799644.75,1363293.6
2004-01-13,16.17,16.17,16.03,16.1,45048,-0.0043,-0.0019,725272.8,1423025.58
2004-01-14,16.02,16.17,16.02,16.16,32597,0.0087,0.0037,526767.52,1310919.75
2004-01-15,16.16,16.21,16.1,16.21,100282,0.0031,0.0031,1625571.22,1055596.88
2004-01-16,16.15,16.43,16.15,16.36,95302,0.013,0.0093,1559140.72,1091940.62
2004-01-20,16.37,16.99,16.3,16.91,228634,0.033,0.0336,3866200.94,1156849.48
2004-01-21,16.78,17.15,16.65,17.15,107978,0.0221,0.0142,1851822.7,1399319.7
2004-01-22,17.01,17.14,17.01,17.09,51839,0.0047,-0.0035,885928.51,1369269.57
2004-01-23,17.08,17.18,16.96,17.0,72438,-0.0047,-0.0053,1231446.0,1333331.43
2004-01-26,16.98,17.48,16.98,17.31,88058,0.0194,0.0182,1524283.98,1378924.19
2004-01-27,17.15,17.32,17.06,17.18,104583,0.0017,-0.0075,1796735.94,1459607.91
2004-01-28,17.25,17.25,16.84,16.96,61799,-0.0168,-0.0128,1048111.04,1559317.03
2004-01-29,17.01,17.01,16.68,16.69,48443,-0.0188,-0.0159,808513.67,1591600.86
2004-01-30,16.68,16.94,16.68,16.9,90548,0.0132,0.0126,1530261.2,1619775.47
2004-02-02,16.96,17.05,16.93,17.0,41878,0.0024,0.0059,711926.0,1610244.47
2004-02-03,17.05,17.18,17.02,17.14,239952,0.0053,0.0082,4112777.28,1525523.0
2004-02-04,17.01,17.14,16.63,16.69,156648,-0.0188,-0.0263,2614455.12,1550180.63
2004-02-05,16.64,16.74,16.26,16.3,124730,-0.0204,-0.0234,2033099.0,1626443.87
2004-02-06,16.23,16.43,16.12,16.22,76966,-0.0006,-0.0049,1248388.52,1741160.92
2004-02-09,16.12,16.36,15.68,16.18,162081,0.0037,-0.0025,2622470.58,1742855.18
2004-02-10,16.08,16.17,15.97,15.97,75155,-0.0068,-0.013,1200225.35,1852673.84
2004-02-11,15.97,16.15,15.81,16.15,107073,0.0113,0.0113,1729228.95,1793022.78
2004-02-12,16.17,16.25,16.06,16.14,39162,-0.0019,-0.0006,632074.68,1861134.57
2004-02-13,16.27,16.27,16.01,16.08,40067,-0.0117,-0.0037,644277.36,1843490.67
2004-02-17,16.28,16.38,16.22,16.35,80814,0.0043,0.0168,1321308.9,1754892.28
2004-02-18,16.35,16.45,16.16,16.34,252176,-0.0006,-0.0006,4120555.84,1815830.57
2004-02-19,16.37,16.4,16.07,16.4,210071,0.0018,0.0037,3445164.4,1816608.43
2004-02-20,16.41,16.43,16.02,16.04,61120,-0.0225,-0.022,980364.8,1899679.36
2004-02-23,16.12,16.21,16.04,16.11,70627,-0.0006,0.0044,1137800.97,1794405.94
2004-02-24,16.04,16.1,16.03,16.04,58630,0.0,-0.0043,940425.2,1783347.18
2004-02-25,16.17,16.17,15.91,16.11,123824,-0.0037,0.0044,1994804.64,1615142.64
2004-02-26,16.1,16.26,16.08,16.25,74476,0.0093,0.0087,1210235.0,1694600.57
2004-02-27,16.18,16.37,16.18,16.3,67232,0.0074,0.0031,1095881.6,1642701.18
2004-03-01,16.26,16.39,16.26,16.39,87832,0.008,0.0055,1439566.48,1689081.87
2004-03-02,16.31,16.48,16.27,16.3,50028,-0.0006,-0.0055,815456.4,1768610.78
2004-03-03,16.27,16.27,16.11,16.22,105715,-0.0031,-0.0049,1714697.3,1718025.53
2004-03-04,16.23,16.25,16.08,16.1,65195,-0.008,-0.0074,1049639.5,1477439.68
2004-03-05,16.11,16.34,16.11,16.31,60894,0.0124,0.013,993181.14,1237887.19
2004-03-08,16.33,16.33,16.23,16.3,19241,-0.0018,-0.0006,313628.3,1239168.82
2004-03-09,16.18,16.45,16.14,16.35,83757,0.0105,0.0031,1369426.95,1156751.56
2004-03-10,16.23,16.23,15.96,16.14,102546,-0.0055,-0.0128,1655092.44,1199651.73
2004-03-11,16.1,16.19,15.9,16.0,116354,-0.0062,-0.0087,1861664.0,1165680.51
2004-03-12,15.91,16.07,15.91,15.97,39388,0.0038,-0.0019,629026.36,1230823.41
2004-03-15,15.94,16.0,15.84,15.94,39388,0.0,-0.0019,627844.72,1184137.89
2004-03-16,16.02,16.02,15.89,15.92,28070,-0.0062,-0.0013,446874.4,1102965.71
2004-03-17,15.93,16.0,15.9,16.0,66779,0.0044,0.005,1068464.0,1066107.51
2004-03-18,15.92,16.01,15.88,15.99,43237,0.0044,-0.0006,691359.63,1001484.18
2004-03-19,15.96,15.99,15.92,15.99,15167,0.0019,0.0,242520.33,965656.19
2004-03-22,15.99,15.99,15.79,15.9,48896,-0.0056,-0.0056,777446.4,890590.11
2004-03-23,15.83,15.84,15.68,15.78,67685,-0.0032,-0.0075,1068069.3,936971.92
