Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2014-09-24,21.5,23.22,21.35,23.08,60450900,0.0735,,1395206772.0,
2014-09-25,22.56,23.41,22.45,23.05,8430000,0.0217,-0.0013,194311500.0,
2014-09-26,23.18,23.37,22.91,23.25,2504400,0.003,0.0087,58227300.0,
2014-09-29,23.14,23.45,22.91,23.23,4832600,0.0039,-0.0009,112261298.0,
2014-09-30,23.11,23.57,23.05,23.42,4103100,0.0134,0.0082,96094602.0,
2014-10-01,23.22,23.61,23.11,23.44,3915500,0.0095,0.0009,91779320.0,
2014-10-02,23.34,23.59,23.3,23.34,3121400,0.0,-0.0043,72853476.0,
2014-10-03,23.38,23.47,23.01,23.23,1585900,-0.0064,-0.0047,36840457.0,
2014-10-06,23.28,23.37,22.61,22.64,1208400,-0.0275,-0.0254,27358176.0,
2014-10-07,22.56,22.74,22.26,22.52,1508400,-0.0018,-0.0053,33969168.0,
2014-10-08,22.11,23.15,22.11,22.75,1649200,0.0289,0.0102,37519300.0,211890206.9
2014-10-09,23.0,23.0,22.24,22.48,1229100,-0.0226,-0.0119,27630168.0,76121459.7
2014-10-10,22.39,22.56,22.14,22.28,924000,-0.0049,-0.0089,20586720.0,59453326.5
2014-10-13,22.13,22.66,22.12,22.45,1382800,0.0145,0.0076,31043860.0,55689268.5
2014-10-14,22.5,22.79,22.3,22.45,1605800,-0.0022,0.0,36050210.0,47567524.7
2014-10-15,22.13,22.2,21.5,21.85,3405400,-0.0127,-0.0267,74407990.0,41563085.5
2014-10-16,21.51,21.95,21.47,21.8,3105800,0.0135,-0.0023,67706440.0,39825952.5
2014-10-17,21.89,22.07,21.73,21.92,2750600,0.0014,0.0055,60293152.0,39311248.9
2014-10-20,21.82,22.38,21.82,22.38,1870600,0.0257,0.021,41864028.0,41656518.4
2014-10-21,22.11,22.93,22.11,22.82,1165500,0.0321,0.0197,26596710.0,43107103.6
2014-10-22,22.78,23.0,22.4,22.6,884700,-0.0079,-0.0096,19994220.0,42369857.8
2014-10-23,22.97,23.08,22.59,23.03,1154200,0.0026,0.019,26581226.0,40617349.8
2014-10-24,23.32,23.49,22.77,23.18,1357800,-0.006,0.0065,31473804.0,40512455.6
2014-10-27,23.15,23.19,22.73,22.85,2898800,-0.013,-0.0142,66237580.0,41601164.0
2014-10-28,23.16,23.59,22.93,23.28,1500600,0.0052,0.0188,34933968.0,45120536.0
2014-10-29,23.35,23.53,23.2,23.48,1302300,0.0056,0.0086,30578004.0,45008911.8
2014-10-30,23.46,23.69,23.3,23.44,1153600,-0.0009,-0.0017,27040384.0,40625913.2
2014-10-31,23.59,23.92,23.37,23.62,1238600,0.0013,0.0077,29255732.0,36559307.6
2014-11-03,23.49,24.0,23.16,24.0,1826900,0.0217,0.0161,43845600.0,33455565.6
2014-11-04,23.74,23.91,23.43,23.6,1474500,-0.0059,-0.0167,34798200.0,33653722.8
2014-11-05,23.8,23.95,23.55,23.9,1097600,0.0042,0.0127,26232640.0,34473871.8
2014-11-06,23.79,24.46,23.75,24.3,1010700,0.0214,0.0167,24560010.0,35097713.8
2014-11-07,24.48,24.48,23.96,23.97,600700,-0.0208,-0.0136,14398779.0,34895592.2
2014-11-10,24.04,24.25,23.75,23.95,1531300,-0.0037,-0.0008,36674635.0,33188089.7
2014-11-11,23.97,24.22,23.75,23.94,658300,-0.0013,-0.0004,15759702.0,30231795.2
2014-11-12,23.75,23.98,23.51,23.86,940800,0.0046,-0.0033,22447488.0,28314368.6
2014-11-13,23.62,23.96,23.58,23.82,1149700,0.0085,-0.0017,27385854.0,27501317.0
2014-11-14,23.74,24.0,23.74,23.96,1111500,0.0093,0.0059,26631540.0,27535864.0
2014-11-17,24.11,24.11,23.56,24.0,992400,-0.0046,0.0017,23817600.0,27273444.8
2014-11-18,24.04,24.04,23.71,23.73,586000,-0.0129,-0.0112,13905780.0,25270644.8
2014-11-19,23.8,24.0,23.51,23.72,812800,-0.0034,-0.0004,19279616.0,23181402.8
2014-11-20,23.57,23.87,23.5,23.71,745800,0.0059,-0.0004,17682918.0,22486100.4
2014-11-21,23.95,24.21,23.69,23.77,725200,-0.0075,0.0025,17238004.0,21798391.2
2014-11-24,23.8,24.36,23.68,24.25,836800,0.0189,0.0202,20292400.0,22082313.7
2014-11-25,24.24,24.3,24.02,24.03,701600,-0.0087,-0.0091,16859448.0,20444090.2
2014-11-26,24.11,24.27,23.92,24.23,703700,0.005,0.0083,17050651.0,20554064.8
2014-11-28,24.22,25.09,24.05,24.63,713400,0.0169,0.0165,17571042.0,20014381.1
2014-12-01,24.62,24.9,23.49,23.98,2282600,-0.026,-0.0264,54736748.0,19032899.9
2014-12-02,24.02,24.43,23.8,24.2,1369300,0.0075,0.0092,33137060.0,21843420.7
2014-12-03,24.33,24.59,24.19,24.23,1854500,-0.0041,0.0012,44934535.0,22775366.7
2014-12-04,24.32,24.56,24.09,24.4,1433700,0.0033,0.007,34982280.0,25878242.2
2014-12-05,24.45,25.22,24.45,25.15,1008400,0.0286,0.0307,25361260.0,27448508.6
2014-12-08,25.08,25.14,24.68,25.04,2244900,-0.0016,-0.0044,56212296.0,28216342.8
2014-12-09,24.71,25.33,24.5,25.16,1141800,0.0182,0.0048,28727688.0,32113772.0
2014-12-10,25.15,25.41,24.62,24.65,631000,-0.0199,-0.0203,15554150.0,32957300.8
2014-12-11,24.85,25.28,24.51,24.69,1709100,-0.0064,0.0016,42197679.0,32826771.0
2014-12-12,24.52,24.83,24.4,24.46,950800,-0.0024,-0.0093,23256568.0,35341473.8
2014-12-15,24.68,24.81,24.27,24.49,1175100,-0.0077,0.0012,28778199.0,35910026.4
2014-12-16,24.53,24.88,24.22,24.25,1313900,-0.0114,-0.0098,31862075.0,33314171.5
2014-12-17,24.22,24.8,24.22,24.56,2160100,0.014,0.0128,53052056.0,33186673.0
2014-12-18,24.75,25.14,24.68,25.08,1768500,0.0133,0.0212,44353980.0,33998425.1
2014-12-19,25.04,25.6,24.84,25.0,7523100,-0.0016,-0.0032,188077500.0,34935595.1
2014-12-22,25.16,25.28,24.66,25.1,1689600,-0.0024,0.004,42408960.0,51207219.1
2014-12-23,25.31,25.5,25.12,25.44,1174600,0.0051,0.0135,29881824.0,49826885.5
2014-12-24,25.45,25.59,25.18,25.51,547200,0.0024,0.0028,13959072.0,49942299.1
2014-12-26,25.51,25.51,25.25,25.31,304000,-0.0078,-0.0078,7694240.0,49782791.3
2014-12-29,25.2,25.51,25.18,25.37,1071000,0.0067,0.0024,27171270.0,46332447.4
2014-12-30,25.46,25.5,25.16,25.19,511800,-0.0106,-0.0071,12892242.0,46723917.6
2014-12-31,25.25,25.28,24.83,24.86,621600,-0.0154,-0.0131,15452976.0,45135321.9
2015-01-02,24.97,25.0,24.29,24.76,643500,-0.0084,-0.004,15933060.0,43494412.0
2015-01-05,24.58,24.68,23.84,24.18,1330400,-0.0163,-0.0234,32169072.0,39782512.4
2015-01-06,24.17,24.22,23.7,23.91,2075000,-0.0108,-0.0112,49613250.0,38564021.6
2015-01-07,23.99,24.13,23.79,24.0,1160200,0.0004,0.0038,27844800.0,24717596.6
2015-01-08,24.07,24.48,23.94,24.18,661500,0.0046,0.0075,15995070.0,23261180.6
2015-01-09,24.15,24.18,23.78,23.89,724700,-0.0108,-0.012,17313083.0,21872505.2
2015-01-12,23.8,24.04,23.62,23.88,941100,0.0034,-0.0004,22473468.0,22207906.3
2015-01-13,23.94,24.19,23.61,23.87,989800,-0.0029,-0.0004,23626526.0,23685829.1
2015-01-14,23.6,23.74,23.1,23.44,962500,-0.0068,-0.018,22561000.0,23331354.7
2015-01-15,23.37,23.61,22.67,22.96,1558000,-0.0175,-0.0205,35771680.0,24298230.5
2015-01-16,22.83,23.24,22.79,23.19,1951800,0.0158,0.01,45262242.0,26330100.9
2015-01-20,23.16,23.85,22.91,23.1,1742100,-0.0026,-0.0039,40242510.0,29263019.1
2015-01-21,23.07,23.59,23.01,23.28,787300,0.0091,0.0078,18328344.0,30070362.9
2015-01-22,23.3,24.16,23.28,24.14,486500,0.0361,0.0369,11744110.0,26941872.3
2015-01-23,24.04,24.04,23.67,23.71,651800,-0.0137,-0.0178,15454178.0,25331803.3
2015-01-26,23.75,24.31,23.53,24.09,1167800,0.0143,0.016,28132302.0,25277714.1
2015-01-27,23.86,24.64,23.76,24.15,1308200,0.0122,0.0025,31593030.0,26359636.0
2015-01-28,24.17,24.35,23.84,23.86,1301900,-0.0128,-0.012,31063334.0,27271592.2
2015-01-29,23.92,24.35,23.26,24.24,1818600,0.0134,0.0159,44082864.0,28015273.0
2015-01-30,24.1,24.24,23.81,23.9,1882300,-0.0083,-0.014,44986970.0,30167459.4
2015-02-02,23.85,24.16,23.69,24.0,1445800,0.0063,0.0042,34699200.0,31088988.4
2015-02-03,23.91,24.45,23.8,24.29,1351800,0.0159,0.0121,32835222.0,30032684.2
2015-02-04,24.27,24.38,23.93,24.01,1101600,-0.0107,-0.0115,26449416.0,29291955.4
2015-02-05,24.09,24.41,23.98,24.35,984600,0.0108,0.0142,23975010.0,30104062.6
2015-02-06,24.41,25.0,24.22,24.5,1748400,0.0037,0.0062,42835800.0,31327152.6
2015-02-09,24.48,24.53,24.11,24.26,781600,-0.009,-0.0098,18961616.0,34065314.8
2015-02-10,24.73,24.96,24.53,24.82,1384900,0.0036,0.0231,34373218.0,33148246.2
2015-02-11,24.88,25.0,24.55,24.97,1393100,0.0036,0.006,34785707.0,33426265.0
2015-02-12,24.8,25.37,24.75,25.33,985100,0.0214,0.0144,24952583.0,33798502.3
2015-02-13,25.28,25.67,25.14,25.45,1164500,0.0067,0.0047,29636525.0,31885474.2
2015-02-17,25.71,25.74,25.26,25.56,1807100,-0.0058,0.0043,46189476.0,30350429.7
2015-02-18,25.63,25.63,25.06,25.21,1783500,-0.0164,-0.0137,44962035.0,31499457.3
2015-02-19,25.02,25.22,24.85,25.02,896800,0.0,-0.0075,22437936.0,32712138.6
2015-02-20,25.1,25.26,24.86,25.25,744800,0.006,0.0092,18806200.0,32310990.6
2015-02-23,25.1,25.1,24.67,24.91,743600,-0.0076,-0.0135,18523076.0,31794109.6
2015-02-24,24.86,25.07,24.77,24.93,530700,0.0028,0.0008,13230351.0,29362837.2
2015-02-25,24.87,25.0,24.72,24.96,612600,0.0036,0.0012,15290496.0,28789710.7
2015-02-26,24.94,25.0,24.61,24.85,702900,-0.0036,-0.0044,17467065.0,26881438.5
2015-02-27,24.8,25.0,24.71,24.84,468500,0.0016,-0.0004,11637540.0,25149574.3
2015-03-02,24.84,25.18,24.62,24.85,1408600,0.0004,0.0004,35003710.0,23818070.0
2015-03-03,24.82,25.05,24.58,25.04,905500,0.0089,0.0076,22673720.0,24354788.5
2015-03-04,24.99,24.99,24.5,24.9,1781500,-0.0036,-0.0056,44359350.0,22003212.9
2015-03-05,24.89,25.32,24.61,25.3,1959200,0.0165,0.0161,49567760.0,21942944.4
2015-03-06,25.03,25.8,24.95,25.5,1542200,0.0188,0.0079,39326100.0,24655926.8
2015-03-09,25.47,25.53,25.11,25.23,1890600,-0.0094,-0.0106,47699838.0,26707916.8
2015-03-10,24.95,25.2,24.79,25.0,1434300,0.002,-0.0091,35857500.0,29625593.0
2015-03-11,25.0,25.27,25.0,25.11,837700,0.0044,0.0044,21034647.0,31888307.9
2015-03-12,25.12,25.78,24.99,25.49,2143300,0.0147,0.0151,54632717.0,32462723.0
2015-03-13,25.17,25.23,24.43,24.77,3480900,-0.0159,-0.0282,86221893.0,36179288.2
2015-03-16,24.93,25.32,24.77,25.31,1186800,0.0152,0.0218,30037908.0,43637723.5
