Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,18.43,18.44,18.15,18.15,30600,-0.0152,,555390.0,
2003-12-02,18.27,18.27,18.02,18.05,24200,-0.012,-0.0055,436810.0,
2003-12-03,18.08,18.08,17.48,17.48,26800,-0.0332,-0.0316,468464.0,
2003-12-04,17.44,17.5,17.24,17.4,23200,-0.0023,-0.0046,403680.0,
2003-12-05,17.42,17.46,17.3,17.38,18000,-0.0023,-0.0011,312840.0,
2003-12-08,17.45,17.6,17.3,17.6,15000,0.0086,0.0127,264000.0,
2003-12-09,17.65,17.67,17.12,17.12,22800,-0.03,-0.0273,390336.0,
2003-12-10,17.12,17.36,17.12,17.2,60800,0.0047,0.0047,1045760.0,
2003-12-11,17.2,17.62,17.16,17.62,55800,0.0244,0.0244,983196.0,
2003-12-12,17.75,17.77,17.6,17.75,43200,0.0,0.0074,766800.0,
2003-12-15,17.75,17.78,17.52,17.6,89600,-0.0085,-0.0085,1576960.0,562727.6
2003-12-16,17.65,17.9,17.55,17.75,143800,0.0057,0.0085,2552450.0,664884.6
2003-12-17,17.75,17.83,17.73,17.8,48000,0.0028,0.0028,854400.0,876448.6
2003-12-18,17.77,17.83,17.61,17.64,128400,-0.0073,-0.009,2264976.0,915042.2
2003-12-19,17.64,22.4,17.53,22.26,3234400,0.2619,0.2619,71997744.0,1101171.8
2003-12-22,24.27,26.4,24.27,25.89,3656200,0.0667,0.1631,94659018.0,8269662.2
2003-12-23,25.65,26.09,25.15,25.3,1545000,-0.0136,-0.0228,39088500.0,17709164.0
2003-12-24,25.3,25.3,24.0,24.38,307000,-0.0364,-0.0364,7484660.0,21578980.4
2003-12-26,24.43,24.52,24.23,24.28,229000,-0.0061,-0.0041,5560120.0,22222870.4
2003-12-29,24.28,25.83,24.25,24.48,573800,0.0082,0.0082,14046624.0,22680562.8
2003-12-30,24.65,25.0,23.34,23.38,327400,-0.0515,-0.0449,7654612.0,24008545.2
2003-12-31,23.3,23.85,22.9,23.05,574200,-0.0107,-0.0141,13235310.0,24616310.4
2004-01-02,23.08,24.48,23.08,24.48,279400,0.0607,0.062,6839712.0,25684596.4
2004-01-05,25.0,25.15,24.34,25.01,339200,0.0004,0.0217,8483392.0,26283127.6
2004-01-06,24.98,25.0,24.5,24.78,201400,-0.008,-0.0092,4990692.0,26904969.2
2004-01-07,24.78,26.75,24.78,26.03,789000,0.0504,0.0504,20537670.0,20204264.0
2004-01-08,26.12,29.1,26.08,29.07,1332800,0.1129,0.1168,38744496.0,12792129.2
2004-01-09,28.94,30.34,28.33,28.35,1081000,-0.0204,-0.0248,30646350.0,12757728.8
2004-01-12,28.36,29.4,28.36,28.92,681400,0.0197,0.0201,19706088.0,15073897.8
2004-01-13,28.92,29.67,28.62,29.34,679400,0.0145,0.0145,19933596.0,16488494.6
2004-01-14,29.34,29.35,28.95,29.35,357000,0.0003,0.0003,10477950.0,17077191.8
2004-01-15,29.25,29.45,28.98,29.12,239200,-0.0044,-0.0078,6965504.0,17359525.6
2004-01-16,29.12,29.6,28.98,29.33,188000,0.0072,0.0072,5514040.0,16732545.0
2004-01-20,29.33,30.0,29.33,29.75,196400,0.0143,0.0143,5842900.0,16599977.8
2004-01-21,29.88,30.88,29.75,30.48,527600,0.0201,0.0245,16081248.0,16335928.6
2004-01-22,30.55,30.62,29.9,30.57,189800,0.0007,0.003,5802186.0,17444984.2
2004-01-23,30.65,31.6,30.65,31.6,313200,0.031,0.0337,9897120.0,15971435.8
2004-01-26,31.85,32.88,31.85,32.0,624400,0.0047,0.0127,19980800.0,13086698.2
2004-01-27,32.01,32.13,30.95,30.95,389000,-0.0331,-0.0328,12039550.0,12020143.2
2004-01-28,30.83,30.98,30.27,30.75,409200,-0.0026,-0.0065,12582900.0,11253489.4
2004-01-29,30.75,30.95,30.73,30.86,246800,0.0036,0.0036,7616248.0,10518419.8
2004-01-30,30.98,31.57,30.98,31.54,329800,0.0181,0.022,10401892.0,10232249.6
2004-02-02,31.57,32.26,31.53,31.85,188400,0.0089,0.0098,6000540.0,10575888.4
2004-02-03,31.75,31.75,30.68,30.89,168000,-0.0271,-0.0301,5189520.0,10624538.4
2004-02-04,30.95,31.33,30.5,30.5,106200,-0.0145,-0.0126,3239100.0,10559200.4
2004-02-05,30.5,31.35,30.42,31.25,147800,0.0246,0.0246,4618750.0,9274985.6
2004-02-06,31.25,32.26,30.95,32.25,302600,0.032,0.032,9758850.0,9156642.0
2004-02-09,32.25,32.97,32.08,32.85,250800,0.0186,0.0186,8238780.0,9142815.0
2004-02-10,32.85,33.47,32.85,33.47,222400,0.0189,0.0189,7443728.0,7968613.0
2004-02-11,33.35,33.35,32.72,33.0,159600,-0.0105,-0.014,5266800.0,7509030.8
2004-02-12,33.0,33.03,32.47,32.55,98000,-0.0136,-0.0136,3189900.0,6777420.8
2004-02-13,32.45,32.46,31.74,31.74,89200,-0.0219,-0.0249,2831208.0,6334786.0
2004-02-17,31.81,31.88,31.35,31.39,134000,-0.0132,-0.011,4206260.0,5577717.6
2004-02-18,31.15,31.19,30.94,31.1,177200,-0.0016,-0.0092,5510920.0,5398289.6
2004-02-19,31.1,31.29,30.44,30.45,263600,-0.0209,-0.0209,8026620.0,5430429.6
2004-02-20,30.45,30.45,29.71,30.01,400000,-0.0144,-0.0144,12004000.0,5909181.6
2004-02-23,29.92,29.92,29.0,29.35,276000,-0.0191,-0.022,8100600.0,6647706.6
2004-02-24,29.15,29.15,25.17,26.25,2822200,-0.0995,-0.1056,74082750.0,6481881.6
2004-02-25,26.62,27.69,26.5,27.5,1636800,0.0331,0.0476,45012000.0,13066278.6
2004-02-26,27.7,28.27,27.42,28.0,420400,0.0108,0.0182,11771200.0,16823105.8
2004-02-27,28.25,28.43,28.17,28.21,331200,-0.0014,0.0075,9343152.0,17473545.8
2004-03-01,28.33,28.4,28.0,28.2,270200,-0.0046,-0.0004,7619640.0,18088871.0
2004-03-02,28.2,28.46,28.17,28.31,256000,0.0039,0.0039,7247360.0,18567714.2
2004-03-03,28.43,28.45,28.25,28.35,174200,-0.0028,0.0014,4938570.0,18871824.2
2004-03-04,28.42,28.42,28.25,28.42,98600,0.0,0.0025,2802212.0,18814589.2
2004-03-05,28.42,28.65,28.38,28.52,162400,0.0035,0.0035,4631648.0,18292148.4
2004-03-08,28.25,28.7,28.08,28.15,253800,-0.0035,-0.013,7144470.0,17554913.2
2004-03-09,28.08,28.08,27.55,27.62,241400,-0.0164,-0.0188,6667468.0,17459300.2
2004-03-10,27.5,27.75,27.45,27.5,102200,0.0,-0.0043,2810500.0,10717772.0
2004-03-11,27.35,27.5,27.24,27.36,183000,0.0004,-0.0051,5006880.0,6497622.0
2004-03-12,27.43,27.44,26.9,27.29,155200,-0.0051,-0.0026,4235408.0,5821190.0
2004-03-15,27.29,27.32,26.8,26.9,137800,-0.0143,-0.0143,3706820.0,5310415.6
2004-03-16,26.77,26.86,26.3,26.52,149000,-0.0093,-0.0141,3951480.0,4919133.6
2004-03-17,26.65,26.65,26.34,26.45,225200,-0.0075,-0.0026,5956540.0,4589545.6
2004-03-18,26.33,26.42,26.0,26.34,149400,0.0004,-0.0042,3935196.0,4691342.6
2004-03-19,26.47,26.65,26.3,26.33,177000,-0.0053,-0.0004,4660410.0,4804641.0
2004-03-22,26.46,26.46,25.52,25.54,90600,-0.0348,-0.03,2313924.0,4807517.2
2004-03-23,25.67,26.02,25.2,25.2,215800,-0.0183,-0.0133,5438160.0,4324462.6
2004-03-24,25.17,25.81,24.8,25.1,168200,-0.0028,-0.004,4221820.0,4201531.8
2004-03-25,25.23,25.35,24.89,24.99,236800,-0.0095,-0.0044,5917632.0,4342663.8
2004-03-26,25.0,25.24,24.85,24.87,132600,-0.0052,-0.0048,3297762.0,4433739.0
2004-03-29,24.95,25.25,24.47,24.5,264600,-0.018,-0.0149,6482700.0,4339974.4
2004-03-30,24.5,25.25,24.5,24.95,481400,0.0184,0.0184,12010930.0,4617562.4
2004-03-31,24.98,25.38,24.75,25.27,243800,0.0116,0.0128,6160826.0,5423507.4
2004-04-01,25.3,27.11,25.2,27.08,391200,0.0704,0.0716,10593696.0,5443936.0
2004-04-02,27.55,28.11,27.12,27.65,310200,0.0036,0.021,8577030.0,6109786.0
2004-04-05,27.52,27.71,27.5,27.61,95400,0.0033,-0.0014,2633994.0,6501448.0
2004-04-06,27.52,27.52,27.2,27.38,142200,-0.0051,-0.0083,3893436.0,6533455.0
2004-04-07,27.25,27.28,26.75,26.88,329600,-0.0136,-0.0183,8859648.0,6378982.6
2004-04-08,26.9,26.92,26.58,26.67,72600,-0.0086,-0.0078,1936242.0,6842765.4
2004-04-12,26.35,26.78,26.35,26.58,88200,0.0087,-0.0034,2344356.0,6444626.4
2004-04-13,26.5,26.5,26.12,26.39,101000,-0.0042,-0.0071,2665390.0,6349285.8
2004-04-14,26.26,26.55,25.95,26.03,104000,-0.0088,-0.0136,2707120.0,5967554.8
2004-04-15,26.03,26.1,24.93,25.36,166400,-0.0257,-0.0257,4219904.0,5037173.8
2004-04-16,25.37,26.11,25.17,25.82,123600,0.0177,0.0181,3191352.0,4843081.6
2004-04-19,25.73,25.86,25.25,25.8,77200,0.0027,-0.0008,1991760.0,4102847.2
2004-04-20,25.81,26.05,25.25,25.25,81000,-0.0217,-0.0213,2045250.0,3444320.2
2004-04-21,25.38,25.7,25.07,25.69,87200,0.0122,0.0174,2240168.0,3385445.8
2004-04-22,25.54,26.32,25.54,25.55,150600,0.0004,-0.0054,3847830.0,3220119.0
2004-04-23,25.8,26.25,25.76,25.84,217000,0.0016,0.0114,5607280.0,2718937.2
2004-04-26,25.84,26.07,25.58,25.65,195200,-0.0074,-0.0074,5006880.0,3086041.0
2004-04-27,25.7,25.7,24.74,24.77,167600,-0.0362,-0.0343,4151452.0,3352293.4
2004-04-28,24.77,24.77,24.15,24.25,158200,-0.021,-0.021,3836350.0,3500899.6
2004-04-29,24.0,24.33,23.58,23.8,155200,-0.0083,-0.0186,3693760.0,3613822.6
2004-04-30,23.77,24.41,23.75,24.2,320800,0.0181,0.0168,7763360.0,3561208.2
2004-05-03,24.19,24.8,24.19,24.4,164200,0.0087,0.0083,4006480.0,4018409.0
2004-05-04,24.62,25.45,24.62,25.42,220800,0.0325,0.0418,5612736.0,4219881.0
2004-05-05,25.33,25.38,24.95,25.01,165800,-0.0126,-0.0161,4146658.0,4576629.6
2004-05-06,24.89,25.17,24.53,25.02,130600,0.0052,0.0004,3267612.0,4767278.6
2004-05-07,24.92,24.92,21.77,22.06,1747400,-0.1148,-0.1183,38547644.0,4709256.8
2004-05-10,21.93,22.2,21.5,21.92,631400,-0.0005,-0.0063,13840288.0,8003293.2
2004-05-11,22.08,22.52,21.95,22.5,151000,0.019,0.0265,3397500.0,8886634.0
2004-05-12,22.5,22.62,22.05,22.59,262200,0.004,0.004,5923098.0,8811238.8
2004-05-13,22.5,22.59,22.12,22.41,196000,-0.004,-0.008,4392360.0,9019913.6
2004-05-14,22.35,22.43,21.88,22.2,149000,-0.0067,-0.0094,3307800.0,9089773.6
2004-05-17,22.05,22.05,21.5,21.56,240000,-0.0222,-0.0288,5174400.0,8644217.6
