Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,18.12,18.22,17.75,17.93,106400,-0.0105,,1907752.0,
2003-12-02,17.88,17.88,17.59,17.67,123200,-0.0117,-0.0145,2176944.0,
2003-12-03,17.59,17.97,17.42,17.42,459600,-0.0097,-0.0141,8006232.0,
2003-12-04,17.52,17.52,17.2,17.38,383200,-0.008,-0.0023,6660016.0,
2003-12-05,17.25,17.4,17.24,17.25,358600,0.0,-0.0075,6185850.0,
2003-12-08,17.25,17.43,17.25,17.35,275400,0.0058,0.0058,4778190.0,
2003-12-09,17.4,17.42,17.08,17.16,210200,-0.0138,-0.011,3607032.0,
2003-12-10,17.09,17.23,16.95,17.05,212400,-0.0023,-0.0064,3621420.0,
2003-12-11,16.93,17.4,16.93,17.12,376000,0.0112,0.0041,6437120.0,
2003-12-12,17.16,17.35,16.95,17.35,267600,0.0111,0.0134,4642860.0,
2003-12-15,17.6,17.73,17.35,17.35,185400,-0.0142,0.0,3216690.0,4802341.6
2003-12-16,17.35,17.57,17.35,17.45,263600,0.0058,0.0058,4599820.0,4933235.4
2003-12-17,17.5,17.6,17.34,17.34,149000,-0.0091,-0.0063,2583660.0,5175523.0
2003-12-18,17.34,18.25,17.34,18.02,151400,0.0392,0.0392,2728228.0,4633265.8
2003-12-19,18.03,18.03,17.65,17.69,196800,-0.0189,-0.0183,3481392.0,4240087.0
2003-12-22,17.83,17.83,17.54,17.57,118800,-0.0146,-0.0068,2087316.0,3969641.2
2003-12-23,17.57,17.81,17.45,17.81,186200,0.0137,0.0137,3316222.0,3700553.8
2003-12-24,17.73,17.73,17.33,17.34,52000,-0.022,-0.0264,901680.0,3671472.8
2003-12-26,17.41,17.59,17.33,17.5,47000,0.0052,0.0092,822500.0,3399498.8
2003-12-29,17.45,17.88,17.45,17.84,148800,0.0223,0.0194,2654592.0,2838036.8
2003-12-30,17.9,18.07,17.79,18.03,62200,0.0073,0.0107,1121466.0,2639210.0
2003-12-31,17.98,17.98,17.55,17.62,191000,-0.02,-0.0227,3365420.0,2429687.6
