Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,27.3,27.3,27.2,27.29,2300,-0.0004,,62767.0,
2003-12-02,27.29,27.29,27.05,27.29,4800,0.0,0.0,130992.0,
2003-12-03,27.29,27.3,27.25,27.3,3200,0.0004,0.0004,87360.0,
2003-12-04,27.85,27.89,27.38,27.66,39700,-0.0068,0.0132,1098102.0,
2003-12-05,27.7,28.2,27.55,27.89,4900,0.0069,0.0083,136661.0,
2003-12-08,27.94,28.5,27.75,28.4,9400,0.0165,0.0183,266960.0,
2003-12-09,28.28,28.4,28.2,28.31,1700,0.0011,-0.0032,48127.0,
2003-12-10,28.01,28.1,27.8,27.8,1000,-0.0075,-0.018,27800.0,
2003-12-11,28.0,29.5,28.0,28.42,9300,0.015,0.0223,264306.0,
2003-12-12,28.7,28.7,28.57,28.57,700,-0.0045,0.0053,19999.0,
2003-12-15,28.2,28.5,27.56,28.0,9600,-0.0071,-0.02,268800.0,214307.4
2003-12-16,28.0,28.1,27.75,28.1,2000,0.0036,0.0036,56200.0,234910.7
2003-12-17,28.0,28.0,28.0,28.0,3000,0.0,-0.0036,84000.0,227431.5
2003-12-18,27.85,28.0,27.85,27.85,3500,0.0,-0.0054,97475.0,227095.5
2003-12-19,27.85,28.0,27.85,27.95,2700,0.0036,0.0036,75465.0,127032.8
2003-12-22,27.89,27.89,27.5,27.5,1800,-0.014,-0.0161,49500.0,120913.2
2003-12-23,27.51,28.0,27.51,28.0,1500,0.0178,0.0182,42000.0,99167.2
2003-12-24,28.0,28.0,27.5,27.8,5000,-0.0071,-0.0071,139000.0,98554.5
2003-12-26,27.8,28.0,27.8,28.0,1400,0.0072,0.0072,39200.0,109674.5
2003-12-29,28.0,28.0,27.6,27.9,2200,-0.0036,-0.0036,61380.0,87163.9
2003-12-30,27.99,28.0,27.6,27.6,3900,-0.0139,-0.0108,107640.0,91302.0
2003-12-31,28.0,28.0,27.75,27.75,900,-0.0089,0.0054,24975.0,75186.0
2004-01-02,27.55,27.9,27.55,27.9,2200,0.0127,0.0054,61380.0,72063.5
2004-01-05,27.66,27.89,27.55,27.71,3100,0.0018,-0.0068,85901.0,69801.5
2004-01-06,27.89,27.99,27.89,27.99,1400,0.0036,0.0101,39186.0,68644.1
2004-01-07,28.37,28.37,28.01,28.15,4200,-0.0078,0.0057,118230.0,65016.2
2004-01-08,28.3,28.3,28.25,28.3,900,0.0,0.0053,25470.0,71889.2
2004-01-09,28.3,28.38,28.15,28.16,3200,-0.0049,-0.0049,90112.0,70236.2
2004-01-12,28.59,28.59,28.59,28.59,1100,0.0,0.0153,31449.0,65347.4
2004-01-13,28.5,28.5,28.5,28.5,700,0.0,-0.0031,19950.0,64572.3
2004-01-14,28.3,28.49,28.3,28.49,3200,0.0067,-0.0004,91168.0,60429.3
2004-01-15,28.22,28.3,28.22,28.3,1000,0.0028,-0.0067,28300.0,58782.1
2004-01-16,28.43,28.43,28.31,28.31,1200,-0.0042,0.0004,33972.0,59114.6
2004-01-20,28.31,28.45,28.25,28.38,3900,0.0025,0.0025,110682.0,56373.8
2004-01-21,28.26,28.35,28.16,28.25,3700,-0.0004,-0.0046,104525.0,58851.9
2004-01-22,28.5,28.6,28.35,28.6,2100,0.0035,0.0124,60060.0,65385.8
2004-01-23,28.62,28.63,28.47,28.63,2700,0.0003,0.001,77301.0,59568.8
2004-01-26,28.47,28.85,28.47,28.82,1700,0.0123,0.0066,48994.0,64751.9
2004-01-27,28.66,29.04,28.66,29.04,3600,0.0133,0.0076,104544.0,60640.1
2004-01-28,28.84,29.0,28.78,28.78,6000,-0.0021,-0.009,172680.0,67949.6
2004-01-29,28.8,28.83,27.86,28.15,12400,-0.0226,-0.0219,349060.0,83222.6
2004-01-30,27.85,28.15,27.85,28.15,4900,0.0108,0.0,137935.0,109011.8
2004-02-02,28.14,28.2,27.84,27.84,1600,-0.0107,-0.011,44544.0,119975.3
2004-02-03,28.14,28.14,27.8,27.99,5500,-0.0053,0.0054,153945.0,121032.5
2004-02-04,27.98,27.98,27.84,27.84,600,-0.005,-0.0054,16704.0,125358.8
2004-02-05,27.84,27.85,27.84,27.85,500,0.0004,0.0004,13925.0,116576.7
2004-02-06,27.85,27.9,27.8,27.84,1200,-0.0004,-0.0004,33408.0,111963.2
2004-02-09,27.99,28.0,27.98,28.0,1500,0.0004,0.0057,42000.0,107573.9
2004-02-10,27.86,28.0,27.86,27.9,1300,0.0014,-0.0036,36270.0,106874.5
2004-02-11,27.99,28.0,27.85,27.85,1900,-0.005,-0.0018,52915.0,100047.1
2004-02-12,27.67,27.85,27.67,27.73,1400,0.0022,-0.0043,38822.0,88070.6
2004-02-13,27.99,27.99,27.65,27.65,4000,-0.0121,-0.0029,110600.0,57046.8
2004-02-17,27.99,28.05,27.63,28.0,4000,0.0004,0.0127,112000.0,54313.3
2004-02-18,27.73,28.0,27.73,27.8,2800,0.0025,-0.0071,77840.0,61058.9
2004-02-19,27.7,27.9,27.65,27.7,4100,0.0,-0.0036,113570.0,53448.4
2004-02-20,27.72,27.89,27.56,27.56,3200,-0.0058,-0.0051,88192.0,63135.0
2004-02-23,27.89,27.9,27.52,27.52,2400,-0.0133,-0.0015,66048.0,70561.7
2004-02-24,27.56,27.68,27.51,27.53,5700,-0.0011,0.0004,156921.0,73825.7
2004-02-25,27.59,27.79,27.47,27.65,7000,0.0022,0.0044,193550.0,85317.8
2004-02-26,27.43,27.49,27.0,27.19,8300,-0.0087,-0.0166,225677.0,101045.8
2004-02-27,27.19,27.46,26.99,26.99,6900,-0.0074,-0.0074,186231.0,118322.0
2004-03-01,27.0,27.05,26.8,26.8,6600,-0.0074,-0.007,176880.0,133062.9
2004-03-02,26.95,27.1,26.75,27.1,5700,0.0056,0.0112,154470.0,139690.9
2004-03-03,27.1,27.1,26.9,27.1,7900,0.0,0.0,214090.0,143937.9
2004-03-04,27.1,27.4,27.1,27.31,6200,0.0077,0.0077,169322.0,157562.9
2004-03-05,27.16,27.5,27.16,27.45,5900,0.0107,0.0051,161955.0,163138.1
2004-03-08,27.45,28.59,27.31,28.59,42100,0.0415,0.0415,1203639.0,170514.4
