Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-11-10,17.55,22.5,15.61,18.12,8028600,0.0325,,145478232.0,
2021-11-11,18.0,19.86,17.47,18.89,1158600,0.0494,0.0425,21885954.0,
2021-11-12,18.66,20.9,18.1,19.98,461700,0.0707,0.0577,9224766.0,
2021-11-15,19.78,19.92,19.14,19.64,385200,-0.0071,-0.017,7565328.0,
2021-11-16,19.31,19.8,17.88,17.94,315300,-0.0709,-0.0866,5656482.0,
2021-11-17,17.85,18.19,17.19,17.25,414600,-0.0336,-0.0385,7151850.0,
2021-11-18,17.14,17.25,16.47,16.48,282400,-0.0385,-0.0446,4653952.0,
2021-11-19,16.25,16.55,14.5,14.66,310000,-0.0978,-0.1104,4544600.0,
2021-11-22,14.42,14.42,11.85,11.89,597300,-0.1755,-0.1889,7101897.0,
2021-11-23,12.12,12.99,11.89,12.75,154900,0.052,0.0723,1974975.0,
2021-11-24,12.57,13.3,12.06,12.99,268000,0.0334,0.0188,3481320.0,21523803.6
2021-11-26,12.65,12.97,12.23,12.44,281400,-0.0166,-0.0423,3500616.0,7324112.4
2021-11-29,12.3,12.67,11.26,11.49,484400,-0.0659,-0.0764,5565756.0,5485578.6
2021-11-30,11.5,11.71,11.16,11.56,445500,0.0052,0.0061,5149980.0,5119677.6
2021-12-01,11.42,12.21,11.42,11.43,361500,0.0009,-0.0112,4131945.0,4878142.8
2021-12-02,11.26,12.45,11.26,12.41,328900,0.1021,0.0857,4081649.0,4725689.1
2021-12-03,12.35,12.51,11.82,12.35,182600,0.0,-0.0048,2255110.0,4418669.0
2021-12-06,12.14,13.69,11.85,13.54,191100,0.1153,0.0964,2587494.0,4178784.8
2021-12-07,14.03,14.29,13.45,13.5,258700,-0.0378,-0.003,3492450.0,3983074.2
2021-12-08,13.81,13.81,13.11,13.29,242700,-0.0377,-0.0156,3225483.0,3622129.5
2021-12-09,13.27,13.36,13.02,13.25,95300,-0.0015,-0.003,1262725.0,3747180.3
2021-12-10,13.15,14.17,13.12,13.79,191800,0.0487,0.0408,2644922.0,3525320.8
2021-12-13,13.63,14.39,13.58,14.39,74500,0.0558,0.0435,1072055.0,3439751.4
2021-12-14,14.13,14.82,14.02,14.48,401700,0.0248,0.0063,5816616.0,2990381.3
2021-12-15,14.34,14.34,13.95,14.07,201300,-0.0188,-0.0283,2832291.0,3057044.9
2021-12-16,14.11,14.2,12.02,12.28,62200,-0.1297,-0.1272,763816.0,2927079.5
2021-12-17,12.05,13.04,12.01,12.71,58800,0.0548,0.035,747348.0,2595296.2
2021-12-20,12.58,12.8,11.98,12.34,152400,-0.0191,-0.0291,1880616.0,2444520.0
