Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2012-04-25,4.11,4.34,4.0,4.2,499200,0.0219,,2096640.0,
2012-04-26,4.12,4.2,4.12,4.2,43100,0.0194,0.0,181020.0,
2012-04-27,4.2,4.28,4.17,4.28,31000,0.019,0.019,132680.0,
2012-04-30,4.39,6.57,4.26,4.84,132100,0.1025,0.1308,639364.0,
2012-05-01,5.5,5.5,4.91,5.2,63000,-0.0545,0.0744,327600.0,
2012-05-02,5.25,5.25,5.0,5.24,22000,-0.0019,0.0077,115280.0,
2012-05-03,5.37,8.16,5.24,6.0,123700,0.1173,0.145,742200.0,
2012-05-04,6.01,7.45,6.01,7.44,354800,0.2379,0.24,2639712.0,
2012-05-07,8.22,9.75,7.81,9.39,448200,0.1423,0.2621,4208598.0,
2012-05-08,9.2,9.25,8.02,8.43,188600,-0.0837,-0.1022,1589898.0,
2012-05-09,8.29,8.35,7.3,7.46,98100,-0.1001,-0.1151,731826.0,1267299.2
2012-05-10,7.39,7.65,7.25,7.45,51000,0.0081,-0.0013,379950.0,1130817.8
2012-05-11,7.46,8.63,7.45,7.86,41700,0.0536,0.055,327762.0,1150710.8
2012-05-14,7.9,7.9,7.35,7.4,28000,-0.0633,-0.0585,207200.0,1170219.0
2012-05-15,7.84,7.89,7.25,7.46,19300,-0.0485,0.0081,143978.0,1127002.6
2012-05-16,7.38,7.5,6.27,6.27,77000,-0.1504,-0.1595,482790.0,1108640.4
2012-05-17,6.32,6.32,5.51,5.75,71000,-0.0902,-0.0829,408250.0,1145391.4
2012-05-18,5.7,6.2,5.61,6.02,36000,0.0561,0.047,216720.0,1111996.4
2012-05-21,6.07,6.54,6.0,6.0,48100,-0.0115,-0.0033,288600.0,869697.2
2012-05-22,6.06,6.44,5.85,5.85,23200,-0.0347,-0.025,135720.0,477697.4
2012-05-23,6.07,6.42,5.5,5.52,38300,-0.0906,-0.0564,211416.0,332279.6
2012-05-24,5.54,6.06,5.34,5.64,26100,0.0181,0.0217,147204.0,280238.6
2012-05-25,5.65,5.75,5.33,5.44,16500,-0.0372,-0.0355,89760.0,256964.0
2012-05-29,5.74,5.83,5.39,5.39,15700,-0.061,-0.0092,84623.0,233163.8
2012-05-30,5.38,5.45,5.25,5.45,10500,0.013,0.0111,57225.0,220906.1
2012-05-31,5.41,5.41,5.01,5.16,23300,-0.0462,-0.0532,120228.0,212230.8
2012-06-01,5.16,5.16,4.9,4.94,29100,-0.0426,-0.0426,143754.0,175974.6
2012-06-04,4.9,5.37,4.9,5.37,40300,0.0959,0.087,216411.0,149525.0
2012-06-05,5.54,6.0,5.24,5.54,43900,0.0,0.0317,243206.0,149494.1
2012-06-06,5.54,6.13,5.53,5.9,44600,0.065,0.065,263140.0,144954.7
2012-06-07,5.99,6.4,5.99,6.17,28200,0.0301,0.0458,173994.0,157696.7
2012-06-08,6.13,6.37,5.75,6.37,23300,0.0392,0.0324,148421.0,153954.5
2012-06-11,6.34,6.93,5.76,6.39,6000,0.0079,0.0031,38340.0,154076.2
2012-06-12,6.8,6.85,6.51,6.57,47500,-0.0338,0.0282,312075.0,148934.2
2012-06-13,6.52,6.7,6.02,6.46,29400,-0.0092,-0.0167,189924.0,171679.4
2012-06-14,6.5,6.5,5.87,6.5,56100,0.0,0.0062,364650.0,184949.3
2012-06-15,6.38,6.71,5.89,5.89,12800,-0.0768,-0.0938,75392.0,209391.5
2012-06-18,5.81,6.3,5.81,6.3,10800,0.0843,0.0696,68040.0,202555.3
2012-06-19,6.3,6.7,6.2,6.58,68500,0.0444,0.0444,450730.0,187718.2
2012-06-20,6.57,6.99,6.31,6.64,20700,0.0107,0.0091,137448.0,208470.6
2012-06-21,6.6,6.65,6.12,6.19,17000,-0.0621,-0.0678,105230.0,195901.4
2012-06-22,6.21,6.62,6.02,6.56,29300,0.0564,0.0598,192208.0,189025.0
2012-06-25,6.42,6.65,6.32,6.57,9000,0.0234,0.0015,59130.0,193403.7
2012-06-26,6.6,6.73,5.83,6.4,10200,-0.0303,-0.0259,65280.0,195482.7
2012-06-27,6.36,6.39,6.02,6.37,8000,0.0016,-0.0047,50960.0,170803.2
2012-06-28,6.37,6.65,6.01,6.65,16400,0.044,0.044,109060.0,156906.8
2012-06-29,6.85,6.89,6.2,6.78,8300,-0.0102,0.0195,56274.0,131347.8
2012-07-02,7.0,7.0,6.85,6.95,5500,-0.0071,0.0251,38225.0,129436.0
2012-07-03,6.9,6.9,6.5,6.89,2900,-0.0014,-0.0086,19981.0,126454.5
2012-07-05,6.85,6.85,6.5,6.52,5200,-0.0482,-0.0537,33904.0,83379.6
2012-07-06,6.71,6.84,6.11,6.24,21300,-0.07,-0.0429,132912.0,73025.2
2012-07-09,6.22,6.28,6.22,6.23,6600,0.0016,-0.0016,41118.0,75793.4
2012-07-10,6.25,6.25,5.86,5.86,24800,-0.0624,-0.0594,145328.0,60684.4
2012-07-11,5.84,6.01,5.75,5.84,11900,0.0,-0.0034,69496.0,69304.2
2012-07-12,5.75,6.0,5.7,6.0,1800,0.0435,0.0274,10800.0,69725.8
2012-07-13,5.84,5.9,5.78,5.8,4200,-0.0068,-0.0333,24360.0,65709.8
2012-07-16,5.71,5.72,5.71,5.72,1400,0.0018,-0.0138,8008.0,57239.8
2012-07-17,5.72,5.72,5.5,5.66,7700,-0.0105,-0.0105,43582.0,52413.2
2012-07-18,5.59,5.69,5.59,5.69,2300,0.0179,0.0053,13087.0,52948.9
2012-07-19,5.7,5.7,5.69,5.69,700,-0.0018,0.0,3983.0,52259.5
2012-07-20,5.69,5.69,5.65,5.65,1000,-0.007,-0.007,5650.0,49267.4
2012-07-23,6.73,7.0,5.5,6.27,41200,-0.0684,0.1097,258324.0,36541.2
2012-07-24,6.18,6.84,6.18,6.73,23800,0.089,0.0734,160174.0,58261.8
2012-07-25,6.99,7.79,6.9,7.55,55000,0.0801,0.1218,415250.0,59746.4
2012-07-26,7.68,7.68,7.24,7.24,34800,-0.0573,-0.0411,251952.0,94321.8
2012-07-27,7.48,7.51,5.77,6.95,20800,-0.0709,-0.0401,144560.0,118437.0
2012-07-30,6.84,7.1,6.84,7.06,11200,0.0322,0.0158,79072.0,130457.0
2012-07-31,7.12,7.5,6.9,7.13,7200,0.0014,0.0099,51336.0,137563.4
2012-08-01,7.07,7.42,7.07,7.25,10200,0.0255,0.0168,73950.0,138338.8
2012-08-02,7.23,7.63,6.9,7.16,31400,-0.0097,-0.0124,224824.0,144425.1
2012-08-03,7.51,7.51,7.17,7.34,22700,-0.0226,0.0251,166618.0,166509.2
2012-08-06,7.42,7.55,7.37,7.45,5500,0.004,0.015,40975.0,182606.0
2012-08-07,7.73,7.73,7.05,7.1,9100,-0.0815,-0.047,64610.0,160871.1
2012-08-08,7.15,7.25,7.07,7.11,8400,-0.0056,0.0014,59724.0,151314.7
2012-08-09,7.4,7.4,7.11,7.15,3700,-0.0338,0.0056,26455.0,115762.1
2012-08-10,7.17,7.17,7.16,7.16,500,-0.0014,0.0014,3580.0,93212.4
2012-08-13,7.31,7.35,7.2,7.35,500,0.0055,0.0265,3675.0,79114.4
2012-08-14,7.4,7.49,7.0,7.03,46500,-0.05,-0.0435,326895.0,71574.7
2012-08-15,7.08,7.23,7.0,7.0,8500,-0.0113,-0.0043,59500.0,99130.6
2012-08-16,7.23,7.23,7.0,7.02,5700,-0.029,0.0029,40014.0,97685.6
2012-08-17,6.78,7.1,6.78,7.0,8000,0.0324,-0.0028,56000.0,79204.6
2012-08-20,7.0,7.0,6.78,6.98,8800,-0.0029,-0.0029,61424.0,68142.8
2012-08-21,6.79,6.97,6.78,6.78,10200,-0.0015,-0.0287,69156.0,70187.7
2012-08-22,6.81,7.09,6.78,7.0,18000,0.0279,0.0324,126000.0,70642.3
2012-08-23,7.25,7.35,6.85,6.87,9600,-0.0524,-0.0186,65952.0,77269.9
2012-08-24,6.99,7.35,6.81,7.2,23500,0.03,0.048,169200.0,81219.6
2012-08-27,7.3,7.37,7.0,7.16,48900,-0.0192,-0.0056,350124.0,97781.6
2012-08-28,7.29,7.3,7.1,7.1,5300,-0.0261,-0.0084,37630.0,132426.5
2012-08-29,7.1,7.4,6.86,7.4,10100,0.0423,0.0423,74740.0,103500.0
2012-08-30,7.46,7.46,6.85,7.3,13400,-0.0214,-0.0135,97820.0,105024.0
2012-08-31,7.26,7.35,7.0,7.15,5800,-0.0152,-0.0205,41470.0,110804.6
2012-09-04,7.25,7.25,6.91,7.05,38500,-0.0276,-0.014,271425.0,109351.6
2012-09-05,7.35,7.35,7.15,7.15,600,-0.0272,0.0142,4290.0,130351.7
2012-09-06,7.3,7.4,7.1,7.26,7400,-0.0055,0.0154,53724.0,123865.1
