Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2020-12-18,2.25,2.7,2.25,2.43,181200,0.08,,440316.0,
2020-12-21,2.11,2.25,1.67,2.15,523400,0.019,-0.1152,1125310.0,
2020-12-22,2.11,2.22,1.85,2.15,406400,0.019,0.0,873760.0,
2020-12-23,2.1,2.38,2.01,2.21,625500,0.0524,0.0279,1382355.0,
2020-12-24,2.26,2.39,2.09,2.19,243200,-0.031,-0.009,532608.0,
2020-12-28,2.15,2.28,2.02,2.08,226200,-0.0326,-0.0502,470496.0,
2020-12-29,2.0,2.1,1.74,1.99,291900,-0.005,-0.0433,580881.0,
2020-12-30,1.99,2.09,1.91,1.91,293400,-0.0402,-0.0402,560394.0,
2020-12-31,2.15,2.15,1.48,1.54,1016500,-0.2837,-0.1937,1565410.0,
2021-01-04,1.7,1.7,1.42,1.52,306600,-0.1059,-0.013,466032.0,
2021-01-05,1.7,1.7,1.45,1.6,257600,-0.0588,0.0526,412160.0,799756.2
2021-01-06,1.8,2.17,1.8,2.0,884100,0.1111,0.25,1768200.0,796940.6
2021-01-07,2.19,2.2,1.95,2.0,506100,-0.0868,0.0,1012200.0,861229.6
2021-01-08,2.05,2.05,1.78,1.8,288500,-0.122,-0.1,519300.0,875073.6
2021-01-11,1.78,1.93,1.71,1.82,143300,0.0225,0.0111,260806.0,788768.1
2021-01-12,2.09,2.1,1.81,1.88,321900,-0.1005,0.033,605172.0,761587.9
2021-01-13,2.0,2.15,1.88,2.06,544400,0.03,0.0957,1121464.0,775055.5
2021-01-14,2.2,2.23,1.98,2.04,421100,-0.0727,-0.0097,859044.0,829113.8
2021-01-15,2.2,2.39,2.07,2.1,559200,-0.0455,0.0294,1174320.0,858978.8
2021-01-19,2.16,2.26,2.02,2.18,123800,0.0093,0.0381,269884.0,819869.8
2021-01-20,2.09,2.18,2.05,2.16,190500,0.0335,-0.0092,411480.0,800255.0
2021-01-21,2.15,2.25,1.97,2.21,744600,0.0279,0.0231,1645566.0,800187.0
2021-01-22,2.18,2.42,2.05,2.22,775400,0.0183,0.0045,1721388.0,787923.6
2021-01-25,2.2,2.3,2.04,2.12,495400,-0.0364,-0.045,1050248.0,858842.4
2021-01-26,2.23,2.23,2.0,2.07,325800,-0.0717,-0.0236,674406.0,911937.2
2021-01-27,1.98,2.06,1.52,1.7,816500,-0.1414,-0.1787,1388050.0,953297.2
2021-01-28,1.69,1.94,1.67,1.85,347600,0.0947,0.0882,643060.0,1031585.0
