Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,22.83,23.33,22.53,22.6,544650,-0.0101,,12309090.0,
2003-12-02,22.53,23.25,22.23,22.87,358500,0.0151,0.0119,8198895.0,
2003-12-03,23.03,23.25,21.81,21.93,383400,-0.0478,-0.0411,8407962.0,
2003-12-04,22.16,22.31,20.73,22.11,494100,-0.0023,0.0082,10924551.0,
2003-12-05,22.36,22.4,21.5,21.66,264750,-0.0313,-0.0204,5734485.0,
2003-12-08,20.62,20.72,17.78,18.11,2152050,-0.1217,-0.1639,38973625.5,
2003-12-09,20.13,21.25,19.87,20.25,2679450,0.006,0.1182,54258862.5,
2003-12-10,20.57,20.98,19.24,19.57,1094400,-0.0486,-0.0336,21417408.0,
2003-12-11,19.47,21.03,19.47,20.95,611250,0.076,0.0705,12805687.5,
2003-12-12,21.23,21.47,20.59,21.13,423000,-0.0047,0.0086,8937990.0,
2003-12-15,21.67,22.0,21.08,21.19,679800,-0.0222,0.0028,14404962.0,18196855.65
2003-12-16,21.24,21.33,18.77,19.53,1464000,-0.0805,-0.0783,28591920.0,18406442.85
2003-12-17,19.4,19.8,18.95,18.98,538200,-0.0216,-0.0282,10215036.0,20445745.35
2003-12-18,19.15,19.83,19.01,19.83,601050,0.0355,0.0448,11918821.5,20626452.75
2003-12-19,20.03,20.12,19.43,19.73,315300,-0.015,-0.005,6220869.0,20725879.8
2003-12-22,19.71,19.81,19.11,19.33,319350,-0.0193,-0.0203,6173035.5,20774518.2
2003-12-23,19.39,19.99,19.26,19.85,301350,0.0237,0.0269,5981797.5,17494459.2
2003-12-24,19.85,19.95,19.35,19.45,108750,-0.0202,-0.0202,2115187.5,12666752.7
2003-12-26,19.3,19.85,19.27,19.53,149100,0.0119,0.0041,2911923.0,10736530.65
2003-12-29,19.33,19.79,19.33,19.69,274650,0.0186,0.0082,5407858.5,9747154.2
2003-12-30,19.59,19.99,19.41,19.7,269400,0.0056,0.0005,5307180.0,9394141.05
