Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2019-11-14,24.8,24.8,24.57,24.65,1627394,-0.006,,40115262.1,
2019-11-15,24.64,24.75,24.58,24.64,366935,0.0,-0.0004,9041278.4,
2019-11-18,24.7,24.7,24.57,24.58,152441,-0.0049,-0.0024,3746999.78,
2019-11-19,24.58,24.7,24.3,24.58,575535,0.0,0.0,14146650.3,
2019-11-20,24.6,24.73,24.44,24.72,93476,0.0049,0.0057,2310726.72,
2019-11-21,24.65,24.74,24.65,24.7,141744,0.002,-0.0008,3501076.8,
2019-11-22,24.84,24.89,24.75,24.86,179694,0.0008,0.0065,4467192.84,
2019-11-25,24.9,24.97,24.88,24.89,133150,-0.0004,0.0012,3314103.5,
2019-11-26,24.97,25.0,24.91,24.95,245405,-0.0008,0.0024,6122854.75,
2019-11-27,24.99,25.29,24.99,25.15,661419,0.0064,0.008,16634687.85,
2019-11-29,25.23,25.39,25.11,25.11,498617,-0.0048,-0.0016,12520272.87,10340083.3
2019-12-02,25.14,25.14,24.94,24.99,175482,-0.006,-0.0048,4385295.18,7580584.38
2019-12-03,24.9,25.08,24.8,25.03,57336,0.0052,0.0016,1435120.08,7114986.06
2019-12-04,25.08,25.14,24.98,25.07,89722,-0.0004,0.0016,2249330.54,6883798.09
2019-12-05,25.13,25.22,24.97,25.19,158130,0.0024,0.0048,3983294.7,5694066.11
2019-12-06,25.22,25.27,25.16,25.19,80545,-0.0012,0.0,2028928.55,5861322.91
2019-12-09,25.29,25.3,25.14,25.23,79150,-0.0024,0.0016,1996954.5,5714108.09
2019-12-10,25.25,25.29,25.19,25.25,47361,0.0,0.0008,1195865.25,5467084.25
2019-12-11,25.29,25.39,25.27,25.35,35361,0.0024,0.004,896401.35,5255260.43
2019-12-12,25.4,25.4,25.35,25.39,34786,-0.0004,0.0016,883216.54,4732615.09
2019-12-13,25.4,25.5,25.37,25.45,20677,0.002,0.0024,526229.65,3157467.96
2019-12-16,25.38,25.49,25.29,25.44,46256,0.0024,-0.0004,1176752.64,1958063.63
2019-12-17,25.44,25.48,25.38,25.48,22004,0.0016,0.0016,560661.92,1637209.38
2019-12-18,25.42,25.45,25.4,25.45,16574,0.0012,-0.0012,421808.3,1549763.56
2019-12-19,25.45,25.48,25.38,25.46,23107,0.0004,0.0004,588304.22,1367011.34
2019-12-20,25.45,25.49,25.42,25.49,20656,0.0016,0.0012,526521.44,1027512.29
2019-12-23,25.5,25.55,25.46,25.48,48099,-0.0008,-0.0004,1225562.52,877271.58
2019-12-24,25.5,25.62,25.45,25.56,12445,0.0024,0.0031,318094.2,800132.38
2019-12-26,25.59,25.84,25.57,25.84,38834,0.0098,0.011,1003470.56,712355.28
2019-12-27,25.84,25.84,25.32,25.55,90251,-0.0112,-0.0112,2305913.05,723062.2
2019-12-30,25.54,25.54,25.4,25.45,26128,-0.0035,-0.0039,664957.6,865331.85
2019-12-31,25.47,25.64,25.33,25.64,80358,0.0067,0.0075,2060379.12,879204.64
2020-01-02,25.68,25.85,25.68,25.75,23361,0.0027,0.0043,601545.75,967567.29
2020-01-03,25.83,25.9,25.62,25.9,22082,0.0027,0.0058,571923.8,971655.68
2020-01-06,25.83,25.89,25.45,25.58,59421,-0.0097,-0.0124,1519989.18,986667.23
2020-01-07,25.65,25.81,25.6,25.81,39274,0.0062,0.009,1013661.94,1079835.72
2020-01-08,25.82,25.85,25.59,25.84,80974,0.0008,0.0012,2092368.16,1128549.77
2020-01-09,25.85,25.9,25.65,25.78,83861,-0.0027,-0.0023,2161936.58,1215230.34
2020-01-10,25.78,25.99,25.78,25.98,55134,0.0078,0.0078,1432381.32,1399614.57
2020-01-13,26.0,26.05,25.97,26.05,36382,0.0019,0.0027,947751.1,1442505.65
2020-01-14,25.63,25.86,25.61,25.83,25933,0.0078,-0.0084,669849.39,1306689.46
2020-01-15,25.79,25.88,25.6,25.66,29520,-0.005,-0.0066,757483.2,1307178.63
2020-01-16,25.62,25.69,25.4,25.45,52147,-0.0066,-0.0082,1327141.15,1176889.04
2020-01-17,25.43,25.78,25.43,25.74,51424,0.0122,0.0114,1323653.76,1249448.58
2020-01-21,25.75,25.89,25.75,25.8,15584,0.0019,0.0023,402067.2,1324621.58
2020-01-22,25.8,25.85,25.79,25.83,12720,0.0012,0.0012,328557.6,1212829.38
2020-01-23,25.8,25.8,25.56,25.72,32183,-0.0031,-0.0043,827746.76,1144318.95
2020-01-24,25.72,25.79,25.62,25.63,14619,-0.0035,-0.0035,374684.97,1017856.81
2020-01-27,25.67,25.78,25.51,25.63,14989,-0.0016,0.0,384168.07,839131.64
2020-01-28,25.79,25.79,25.57,25.67,23906,-0.0047,0.0016,613667.02,734310.32
2020-01-29,25.79,25.79,25.61,25.68,19474,-0.0043,0.0004,500092.32,700901.91
2020-01-30,25.79,25.79,25.72,25.78,9113,-0.0004,0.0039,234933.14,683926.2
2020-01-31,25.79,25.99,25.77,25.87,22557,0.0031,0.0035,583549.59,631671.2
2020-02-03,25.87,25.87,25.68,25.71,18749,-0.0062,-0.0062,482036.79,557312.04
2020-02-04,25.77,25.78,25.67,25.75,9612,-0.0008,0.0016,247509.0,473150.35
2020-02-05,25.79,25.94,25.79,25.94,29846,0.0058,0.0074,774205.24,457694.53
2020-02-06,25.94,25.94,25.85,25.85,4085,-0.0035,-0.0035,105597.25,502259.29
2020-02-07,25.91,26.05,25.85,26.04,36716,0.005,0.0074,956084.64,430044.34
2020-02-10,25.92,26.01,25.88,25.92,14249,0.0,-0.0046,369334.08,488184.31
2020-02-11,25.9,25.97,25.67,25.75,29215,-0.0058,-0.0066,752286.25,486700.91
2020-02-12,25.73,25.79,25.55,25.64,47902,-0.0035,-0.0043,1228207.28,500562.83
2020-02-13,25.65,25.72,25.58,25.65,23610,0.0,0.0004,605596.5,573374.33
2020-02-14,25.69,25.72,25.62,25.67,23074,-0.0008,0.0008,592309.58,610440.66
2020-02-18,25.7,25.8,25.62,25.65,22369,-0.0019,-0.0008,573764.85,611316.66
2020-02-19,25.66,25.7,25.62,25.7,11300,0.0016,0.0019,290410.0,620489.47
2020-02-20,25.64,25.74,25.58,25.66,11426,0.0008,-0.0016,293191.16,624779.57
2020-02-21,25.69,25.69,25.5,25.55,16646,-0.0054,-0.0043,425305.3,576678.16
2020-02-24,25.4,25.5,25.0,25.06,89316,-0.0134,-0.0192,2238258.96,608648.96
2020-02-25,25.29,25.29,23.0,23.0,67917,-0.0905,-0.0822,1562091.0,736866.4
2020-02-26,23.92,24.75,23.92,24.25,129183,0.0138,0.0543,3132687.75,856142.09
2020-02-27,24.26,24.49,23.67,24.18,63831,-0.0033,-0.0029,1543433.58,1094182.24
2020-02-28,24.19,24.48,23.14,23.85,47722,-0.0141,-0.0136,1138169.7,1125704.87
2020-03-02,24.0,24.55,23.7,24.5,48412,0.0208,0.0273,1186094.0,1178962.19
2020-03-03,24.75,24.99,24.08,24.36,35810,-0.0158,-0.0057,872331.6,1238340.63
2020-03-04,24.65,25.0,24.45,24.99,36444,0.0138,0.0259,910735.56,1268197.3
2020-03-05,24.99,25.11,24.2,24.2,45878,-0.0316,-0.0316,1110247.6,1330229.86
2020-03-06,25.09,25.09,23.91,24.0,26962,-0.0434,-0.0083,647088.0,1411935.5
2020-03-09,23.3,23.3,21.28,21.75,65513,-0.0665,-0.0938,1424907.75,1434113.78
