Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,29.67,29.67,29.17,29.38,220600,-0.0098,,6481228.0,
2003-12-02,29.47,29.47,28.7,28.84,318200,-0.0214,-0.0184,9176888.0,
2003-12-03,28.95,29.05,27.64,27.79,706400,-0.0401,-0.0364,19630856.0,
2003-12-04,27.79,28.0,26.77,27.44,818200,-0.0126,-0.0126,22451408.0,
2003-12-05,27.25,27.95,26.95,27.62,371000,0.0136,0.0066,10247020.0,
2003-12-08,27.6,27.82,26.91,27.55,659200,-0.0018,-0.0025,18160960.0,
2003-12-09,27.55,27.65,26.97,27.06,308600,-0.0178,-0.0178,8350716.0,
2003-12-10,27.06,27.06,25.17,26.05,842400,-0.0373,-0.0373,21944520.0,
2003-12-11,26.0,26.5,25.92,26.24,481400,0.0092,0.0073,12631936.0,
2003-12-12,26.29,26.47,26.0,26.01,309200,-0.0107,-0.0088,8042292.0,
2003-12-15,26.12,26.14,25.6,25.93,465600,-0.0073,-0.0031,12073008.0,13711782.4
2003-12-16,25.98,25.98,24.92,25.77,1341200,-0.0081,-0.0062,34562724.0,14270960.4
2003-12-17,25.87,26.94,25.77,26.75,1165800,0.034,0.038,31185150.0,16809544.0
2003-12-18,26.83,27.72,26.77,27.39,874200,0.0209,0.0239,23944338.0,17964973.4
2003-12-19,27.44,27.84,27.15,27.71,553400,0.0098,0.0117,15334714.0,18114266.4
2003-12-22,27.75,27.75,27.3,27.4,447800,-0.0126,-0.0112,12269720.0,18623035.8
2003-12-23,27.33,27.55,27.25,27.53,312600,0.0073,0.0047,8605878.0,18033911.8
2003-12-24,27.52,27.69,27.31,27.58,205800,0.0022,0.0018,5675964.0,18059428.0
2003-12-26,27.5,27.88,27.5,27.74,145600,0.0087,0.0058,4038944.0,16432572.4
2003-12-29,27.7,27.79,27.06,27.7,443400,0.0,-0.0014,12282180.0,15573273.2
2003-12-30,27.58,27.74,27.42,27.61,206000,0.0011,-0.0032,5687660.0,15997262.0
2003-12-31,27.56,27.95,27.23,27.25,474600,-0.0112,-0.013,12932850.0,15358727.2
2004-01-02,27.32,27.57,27.32,27.39,258000,0.0026,0.0051,7066620.0,13195739.8
2004-01-05,27.37,27.62,26.76,26.95,585600,-0.0153,-0.0161,15781920.0,10783886.8
2004-01-06,27.0,28.1,26.89,27.8,460200,0.0296,0.0315,12793560.0,9967645.0
2004-01-07,27.68,27.83,27.33,27.39,432800,-0.0105,-0.0147,11854392.0,9713529.6
2004-01-08,27.9,29.49,27.61,28.81,1209200,0.0326,0.0518,34837052.0,9671996.8
2004-01-09,28.65,28.75,27.98,28.04,336800,-0.0213,-0.0267,9443872.0,12295114.2
2004-01-12,28.03,28.03,27.5,27.7,454200,-0.0118,-0.0121,12581340.0,12671905.0
2004-01-13,27.75,27.75,27.35,27.44,208200,-0.0112,-0.0094,5713008.0,13526144.6
2004-01-14,27.48,27.71,27.35,27.64,272400,0.0058,0.0073,7529136.0,12869227.4
2004-01-15,27.55,27.62,27.12,27.39,282400,-0.0058,-0.009,7734936.0,13053375.0
2004-01-16,27.44,27.57,27.25,27.5,385600,0.0022,0.004,10604000.0,12533583.6
2004-01-20,27.35,27.56,27.06,27.14,674000,-0.0077,-0.0131,18292360.0,12887321.6
2004-01-21,27.1,27.5,27.08,27.42,449000,0.0118,0.0103,12311580.0,13138365.6
2004-01-22,27.42,27.45,27.27,27.38,288000,-0.0015,-0.0015,7885440.0,13090167.6
2004-01-23,27.38,27.47,27.14,27.42,411000,0.0015,0.0015,11269620.0,12693272.4
2004-01-26,27.31,27.43,26.82,27.1,437600,-0.0077,-0.0117,11858960.0,10336529.2
2004-01-27,27.01,27.85,27.01,27.25,790600,0.0089,0.0055,21543850.0,10578038.0
2004-01-28,27.12,27.29,26.31,26.57,986800,-0.0203,-0.025,26219276.0,11474289.0
2004-01-29,26.67,27.0,26.12,26.83,656000,0.006,0.0098,17600480.0,13524915.8
2004-01-30,26.25,27.0,26.17,26.57,2053600,0.0122,-0.0097,54564152.0,14532050.2
2004-02-02,26.6,27.0,25.8,26.31,1097800,-0.0109,-0.0098,28883118.0,19214971.8
2004-02-03,26.31,26.84,26.24,26.5,393000,0.0072,0.0072,10414500.0,21042883.6
2004-02-04,26.42,26.84,26.42,26.62,488400,0.0076,0.0045,13001208.0,20255097.6
2004-02-05,26.71,26.82,26.08,26.21,595800,-0.0187,-0.0154,15615918.0,20324060.4
