Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2022-01-10,9.8,9.82,9.8,9.81,700,0.001,,6867.0,
2022-01-11,9.82,9.84,9.81,9.81,319084,-0.001,0.0,3130214.04,
2022-01-12,9.81,9.81,9.81,9.81,0,0.0,0.0,0.0,
2022-01-13,9.81,9.83,9.8,9.81,4811,0.0,0.0,47195.91,
2022-01-14,9.81,9.81,9.81,9.81,11003,0.0,0.0,107939.43,
2022-01-18,9.81,9.81,9.81,9.81,0,0.0,0.0,0.0,
2022-01-19,9.81,9.83,9.81,9.81,43579,0.0,0.0,427509.99,
2022-01-20,9.81,9.81,9.81,9.81,1732,0.0,0.0,16990.92,
2022-01-21,9.88,9.88,9.82,9.82,75200,-0.0061,0.001,738464.0,
2022-01-24,9.82,9.82,9.82,9.82,0,0.0,0.0,0.0,
2022-01-25,9.82,9.82,9.82,9.82,0,0.0,0.0,0.0,447518.13
2022-01-26,9.82,9.82,9.82,9.82,25000,0.0,0.0,245500.0,446831.43
2022-01-27,9.81,9.81,9.79,9.79,79865,-0.002,-0.0031,781878.35,158360.02
2022-01-28,9.8,9.8,9.79,9.79,72252,-0.001,0.0,707347.08,236547.86
2022-01-31,9.79,9.79,9.79,9.79,0,0.0,0.0,0.0,302562.98
2022-02-01,9.84,9.86,9.84,9.86,1959,0.002,0.0072,19315.74,291769.03
2022-02-02,9.97,9.97,9.87,9.95,6522,-0.002,0.0091,64893.9,293700.61
2022-02-03,9.79,9.79,9.79,9.79,103,0.0,-0.0161,1008.37,257439.0
2022-02-04,9.79,9.79,9.79,9.79,0,0.0,0.0,0.0,255840.74
2022-02-07,9.86,9.86,9.86,9.86,4601,0.0,0.0072,45365.86,181994.34
2022-02-08,9.86,9.86,9.86,9.86,0,0.0,0.0,0.0,186530.93
2022-02-09,9.86,9.86,9.86,9.86,0,0.0,0.0,0.0,186530.93
2022-02-10,9.86,9.86,9.86,9.86,0,0.0,0.0,0.0,161980.93
2022-02-11,9.86,9.86,9.86,9.86,0,0.0,0.0,0.0,83793.1
2022-02-14,9.86,9.86,9.86,9.86,0,0.0,0.0,0.0,13058.39
2022-02-15,9.84,9.84,9.81,9.84,15340,0.0,-0.002,150945.6,13058.39
2022-02-16,9.84,9.84,9.84,9.84,0,0.0,0.0,0.0,26221.37
2022-02-17,9.87,9.87,9.83,9.85,51500,-0.002,0.001,507275.0,19731.98
2022-02-18,9.85,9.85,9.85,9.85,0,0.0,0.0,0.0,70358.65
2022-02-22,9.83,9.83,9.83,9.83,867,0.0,-0.002,8522.61,70358.65
2022-02-23,9.83,9.83,9.83,9.83,0,0.0,0.0,0.0,66674.32
2022-02-24,9.84,9.84,9.83,9.83,37402,-0.001,0.0,367661.66,66674.32
2022-02-25,9.83,9.83,9.83,9.83,0,0.0,0.0,0.0,103440.49
2022-02-28,9.83,9.83,9.83,9.83,0,0.0,0.0,0.0,103440.49
2022-03-01,9.86,9.88,9.86,9.88,11476,0.002,0.0051,113382.88,103440.49
2022-03-02,9.88,9.88,9.88,9.88,0,0.0,0.0,0.0,114778.78
2022-03-03,9.88,9.88,9.88,9.88,9824,0.0,0.0,97061.12,99684.22
2022-03-04,9.88,9.88,9.88,9.88,5650,0.0,0.0,55822.0,109390.33
2022-03-07,9.88,9.88,9.88,9.88,0,0.0,0.0,0.0,64245.03
2022-03-08,9.88,9.88,9.88,9.88,0,0.0,0.0,0.0,64245.03
2022-03-09,9.88,9.88,9.88,9.88,0,0.0,0.0,0.0,63392.77
2022-03-10,9.88,9.88,9.88,9.88,0,0.0,0.0,0.0,63392.77
2022-03-11,9.88,9.88,9.88,9.88,0,0.0,0.0,0.0,26626.6
