Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2006-11-27,333.0,492.3,315.0,420.3,3051,0.2622,,1282335.3,
2006-11-28,392.4,505.8,387.0,412.2,3544,0.0505,-0.0193,1460836.8,
2006-11-29,436.5,666.0,421.2,646.2,12287,0.4804,0.5677,7939859.4,
2006-11-30,614.7,690.3,532.8,532.8,5452,-0.1332,-0.1755,2904825.6,
2006-12-01,556.2,580.5,490.5,516.6,2400,-0.0712,-0.0304,1239840.0,
2006-12-04,528.3,597.6,511.2,543.6,3204,0.029,0.0523,1741694.4,
2006-12-05,550.8,570.6,522.0,537.3,1394,-0.0245,-0.0116,748996.2,
2006-12-06,537.3,612.0,523.8,556.2,3423,0.0352,0.0352,1903872.6,
2006-12-07,549.0,598.5,548.1,567.9,1442,0.0344,0.021,818911.8,
2006-12-08,568.8,622.8,554.4,576.9,2306,0.0142,0.0158,1330331.4,
2006-12-11,583.2,599.4,553.5,562.5,980,-0.0355,-0.025,551250.0,2137150.35
2006-12-12,567.0,574.2,523.8,538.2,1016,-0.0508,-0.0432,546811.2,2064041.82
2006-12-13,540.0,557.1,498.6,508.5,884,-0.0583,-0.0552,449514.0,1972639.26
2006-12-14,495.9,512.1,473.4,482.4,880,-0.0272,-0.0513,424512.0,1223604.72
2006-12-15,476.1,490.5,442.8,464.4,1123,-0.0246,-0.0373,521521.2,975573.36
2006-12-18,472.5,486.0,445.5,450.9,689,-0.0457,-0.0291,310670.1,903741.48
2006-12-19,455.4,477.0,432.0,459.9,713,0.0099,0.02,327908.7,760639.05
2006-12-20,455.4,517.5,454.5,503.1,1480,0.1047,0.0939,744588.0,718530.3
2006-12-21,495.9,553.5,484.2,527.4,1631,0.0635,0.0483,860189.4,602601.84
2006-12-22,535.5,548.1,469.8,498.6,1075,-0.0689,-0.0546,535995.0,606729.6
2006-12-26,486.0,508.5,476.1,476.1,192,-0.0204,-0.0451,91411.2,527295.96
2006-12-27,473.4,562.5,468.9,508.5,1604,0.0741,0.0681,815634.0,481312.08
2006-12-28,514.8,524.7,481.5,515.7,999,0.0017,0.0142,515184.3,508194.36
2006-12-29,512.1,534.6,495.0,518.4,884,0.0123,0.0052,458265.6,514761.39
2007-01-03,513.0,563.4,513.0,549.0,926,0.0702,0.059,508374.0,518136.75
2007-01-04,540.9,576.0,510.3,563.4,675,0.0416,0.0262,380295.0,516822.03
2007-01-05,564.3,594.0,552.6,589.5,412,0.0447,0.0463,242874.0,523784.52
2007-01-08,593.1,593.1,566.1,589.5,414,-0.0061,0.0,244053.0,515281.05
2007-01-09,578.7,652.5,576.9,630.0,1206,0.0886,0.0687,759780.0,465227.55
2007-01-10,630.9,659.7,614.7,630.0,507,-0.0014,0.0,319410.0,455186.61
2007-01-11,630.0,688.5,619.2,623.7,1288,-0.01,-0.01,803325.6,433528.11
2007-01-12,625.5,669.6,625.5,634.5,576,0.0144,0.0173,365472.0,504719.55
2007-01-16,639.9,752.4,621.9,708.3,3430,0.1069,0.1163,2429469.0,459703.35
2007-01-17,709.2,717.3,632.7,639.0,1403,-0.099,-0.0978,896517.0,651131.82
2007-01-18,630.0,630.0,577.8,602.1,1093,-0.0443,-0.0577,658095.3,694956.96
2007-01-19,594.9,618.3,586.8,597.6,363,0.0045,-0.0075,216928.8,709929.09
2007-01-22,625.5,626.4,545.4,577.8,282,-0.0763,-0.0331,162939.6,693592.47
2007-01-23,584.1,603.0,567.0,581.4,243,-0.0046,0.0062,141280.2,685599.03
2007-01-24,577.8,603.0,556.2,571.5,829,-0.0109,-0.017,473773.5,675321.75
2007-01-25,567.0,589.5,554.4,562.5,335,-0.0079,-0.0157,188437.5,646721.1
2007-01-26,557.1,573.3,526.5,540.0,598,-0.0307,-0.04,322920.0,633623.85
2007-01-29,539.1,558.9,522.9,537.3,412,-0.0033,-0.005,221367.6,585583.29
2007-01-30,532.8,605.7,520.2,536.4,1790,0.0068,-0.0017,960156.0,571172.85
2007-01-31,534.6,556.2,521.1,528.3,324,-0.0118,-0.0151,171169.2,424241.55
2007-02-01,540.0,548.1,526.5,537.3,244,-0.005,0.017,131101.2,351706.77
2007-02-02,531.9,536.4,495.9,503.1,498,-0.0541,-0.0637,250543.8,299007.36
2007-02-05,506.7,525.6,496.8,518.4,228,0.0231,0.0304,118195.2,302368.86
2007-02-06,522.9,564.3,515.7,541.8,728,0.0361,0.0451,394430.4,297894.42
2007-02-07,548.1,553.5,531.0,549.0,388,0.0016,0.0133,213012.0,323209.44
2007-02-08,546.3,554.4,536.4,546.3,180,0.0,-0.0049,98334.0,297133.29
2007-02-09,542.7,572.4,542.7,570.6,292,0.0514,0.0445,166615.2,288122.94
2007-02-12,568.8,606.6,568.8,592.2,1049,0.0411,0.0379,621217.8,272492.46
2007-02-13,602.1,612.0,576.9,594.9,664,-0.012,0.0046,395013.6,312477.48
2007-02-14,607.5,616.5,585.0,607.5,645,0.0,0.0212,391837.5,255963.24
2007-02-15,612.0,612.0,567.0,571.5,715,-0.0662,-0.0593,408622.5,278030.07
2007-02-16,531.0,584.1,486.0,575.1,1229,0.0831,0.0063,706797.9,305782.2
2007-02-20,575.1,628.2,559.8,615.6,366,0.0704,0.0704,225309.6,351407.61
2007-02-21,612.0,636.3,595.8,621.9,212,0.0162,0.0102,131842.8,362119.05
2007-02-22,626.4,647.1,612.0,635.4,365,0.0144,0.0217,231921.0,335860.29
2007-02-23,646.2,652.5,618.3,630.9,179,-0.0237,-0.0071,112931.1,337751.19
2007-02-26,629.1,630.0,597.6,619.2,217,-0.0157,-0.0185,134366.4,339210.9
2007-02-27,598.5,617.4,568.8,580.5,425,-0.0301,-0.0625,246712.5,335986.02
2007-02-28,568.8,602.1,549.0,580.5,210,0.0206,0.0,121905.0,298535.49
2007-03-01,585.0,609.3,549.9,567.0,510,-0.0308,-0.0233,289170.0,271224.63
2007-03-02,567.0,596.7,567.0,588.6,421,0.0381,0.0381,247800.6,260957.88
2007-03-05,589.5,615.6,585.0,594.0,223,0.0076,0.0092,132462.0,244875.69
