Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2017-04-28,24.94,24.99,24.9,24.95,665400,0.0004,,16601730.0,
2017-05-01,24.95,24.96,24.89,24.95,680900,0.0,0.0,16988455.0,
2017-05-02,24.95,25.02,24.93,25.02,707000,0.0028,0.0028,17689140.0,
2017-05-03,25.02,25.05,25.0,25.05,1060300,0.0012,0.0012,26560515.0,
2017-05-04,25.05,25.05,24.94,24.95,578000,-0.004,-0.004,14421100.0,
2017-05-05,24.97,25.0,24.92,24.99,296900,0.0008,0.0016,7419531.0,
2017-05-08,25.0,25.03,24.99,25.0,345500,0.0,0.0004,8637500.0,
2017-05-09,25.01,25.02,25.0,25.0,269600,-0.0004,0.0,6740000.0,
2017-05-10,25.02,25.05,25.01,25.02,274600,0.0,0.0008,6870492.0,
2017-05-11,25.02,25.07,25.01,25.03,404400,0.0004,0.0004,10122132.0,
2017-05-12,25.04,25.09,25.02,25.05,723500,0.0004,0.0008,18123675.0,13205059.5
2017-05-15,25.06,25.09,25.03,25.05,366200,-0.0004,0.0,9173310.0,13357254.0
2017-05-16,25.06,25.14,25.04,25.13,329000,0.0028,0.0032,8267770.0,12575739.5
2017-05-17,25.09,25.13,25.0,25.0,415000,-0.0036,-0.0052,10375000.0,11633602.5
2017-05-18,25.03,25.05,24.98,25.02,380100,-0.0004,0.0008,9510102.0,10015051.0
2017-05-19,25.04,25.07,25.01,25.04,203600,0.0,0.0008,5098144.0,9523951.2
2017-05-22,25.07,25.12,25.05,25.08,504000,0.0004,0.0016,12640320.0,9291812.5
2017-05-23,25.1,25.11,25.06,25.08,237800,-0.0008,0.0,5964024.0,9692094.5
2017-05-24,25.06,25.08,25.0,25.03,197100,-0.0012,-0.002,4933413.0,9614496.9
2017-05-25,25.05,25.07,25.02,25.07,180500,0.0008,0.0016,4525135.0,9420789.0
2017-05-26,25.06,25.15,25.05,25.12,216000,0.0024,0.002,5425920.0,8861089.3
2017-05-30,25.12,25.18,25.08,25.16,268800,0.0016,0.0016,6763008.0,7591313.8
2017-05-31,25.17,25.28,25.1,25.28,664600,0.0044,0.0048,16801088.0,7350283.6
