Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,4.15,4.15,4.02,4.11,10800,-0.0096,,44388.0,
2003-12-02,4.1,4.1,3.99,3.99,5500,-0.0268,-0.0292,21945.0,
2003-12-03,3.96,4.0,3.85,3.99,8800,0.0076,0.0,35112.0,
2003-12-04,3.98,3.98,3.9,3.93,7800,-0.0126,-0.015,30654.0,
2003-12-05,3.9,4.0,3.9,3.99,1400,0.0231,0.0153,5586.0,
2003-12-08,3.98,3.99,3.85,3.89,7100,-0.0226,-0.0251,27619.0,
2003-12-09,3.95,3.95,3.7,3.75,27100,-0.0506,-0.036,101625.0,
2003-12-10,3.7,3.9,3.7,3.86,9300,0.0432,0.0293,35898.0,
2003-12-11,3.91,3.95,3.81,3.94,6700,0.0077,0.0207,26398.0,
2003-12-12,3.97,3.97,3.88,3.95,12100,-0.005,0.0025,47795.0,
2003-12-15,4.0,4.0,3.75,3.86,21200,-0.035,-0.0228,81832.0,37702.0
2003-12-16,3.86,3.86,3.55,3.8,23500,-0.0155,-0.0155,89300.0,41446.4
2003-12-17,3.79,3.79,3.77,3.77,500,-0.0053,-0.0079,1885.0,48181.9
2003-12-18,3.8,3.85,3.73,3.76,17700,-0.0105,-0.0027,66552.0,44859.2
2003-12-19,3.8,3.88,3.72,3.72,12700,-0.0211,-0.0106,47244.0,48449.0
2003-12-22,3.72,3.76,3.55,3.65,6200,-0.0188,-0.0188,22630.0,52614.8
2003-12-23,3.7,3.79,3.64,3.79,33800,0.0243,0.0384,128102.0,52115.9
2003-12-24,3.75,3.79,3.71,3.79,3600,0.0107,0.0,13644.0,54763.6
2003-12-26,3.79,3.79,3.6,3.79,5500,0.0,0.0,20845.0,52538.2
2003-12-29,3.8,4.0,3.79,4.0,40200,0.0526,0.0554,160800.0,51982.9
2003-12-30,4.05,4.05,3.65,3.75,42000,-0.0741,-0.0625,157500.0,63283.4
2003-12-31,3.8,3.9,3.8,3.89,8500,0.0237,0.0373,33065.0,70850.2
2004-01-02,3.95,4.0,3.75,3.76,14900,-0.0481,-0.0334,56024.0,65226.7
2004-01-05,3.75,4.1,3.75,4.05,20500,0.08,0.0771,83025.0,70640.6
2004-01-06,4.1,4.11,3.9,3.91,15500,-0.0463,-0.0346,60605.0,72287.9
2004-01-07,3.96,3.97,3.92,3.95,2900,-0.0025,0.0102,11455.0,73624.0
2004-01-08,3.95,4.1,3.9,4.03,10200,0.0203,0.0203,41106.0,72506.5
2004-01-09,4.05,4.07,3.93,3.98,20400,-0.0173,-0.0124,81192.0,63806.9
2004-01-12,3.97,3.97,3.83,3.87,17700,-0.0252,-0.0276,68499.0,70561.7
2004-01-13,3.85,4.0,3.85,3.98,5200,0.0338,0.0284,20696.0,75327.1
2004-01-14,3.98,4.02,3.98,4.02,5900,0.0101,0.0101,23718.0,61316.7
2004-01-15,4.02,4.02,4.0,4.0,2900,-0.005,-0.005,11600.0,47938.5
2004-01-16,4.0,4.08,4.0,4.06,8400,0.015,0.015,34104.0,45792.0
2004-01-20,4.3,4.47,4.23,4.47,37600,0.0395,0.101,168072.0,43600.0
2004-01-21,4.42,4.46,4.27,4.32,14100,-0.0226,-0.0336,60912.0,52104.7
2004-01-22,4.27,4.3,4.1,4.1,9200,-0.0398,-0.0509,37720.0,52135.4
2004-01-23,4.1,4.22,4.1,4.17,71800,0.0171,0.0171,299406.0,54761.9
2004-01-26,4.2,4.2,4.14,4.15,37000,-0.0119,-0.0048,153550.0,80591.9
2004-01-27,4.13,4.35,4.13,4.34,18400,0.0508,0.0458,79856.0,87827.7
2004-01-28,4.38,4.47,4.2,4.2,38000,-0.0411,-0.0323,159600.0,88963.4
2004-01-29,4.22,4.23,4.11,4.19,7400,-0.0071,-0.0024,31006.0,102853.8
2004-01-30,4.13,4.13,4.05,4.07,4100,-0.0145,-0.0286,16687.0,103582.6
2004-02-02,4.17,4.5,4.1,4.5,39500,0.0791,0.1057,177750.0,104091.3
2004-02-03,4.55,4.75,4.45,4.45,39600,-0.022,-0.0111,176220.0,118455.9
2004-02-04,4.45,5.66,4.45,4.85,115600,0.0899,0.0899,560660.0,119270.7
