Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,21719.96,21719.96,20999.96,21479.96,98.0,-0.011,,2105036.08,
2003-12-02,21479.96,22079.96,21359.96,21983.96,69.0,0.0235,0.0235,1516893.24,
2003-12-03,21959.96,22079.96,21359.96,21527.96,54.0,-0.0197,-0.0207,1162509.84,
2003-12-04,21359.96,21599.96,20351.96,20855.96,46.0,-0.0236,-0.0312,959374.16,
2003-12-05,20735.96,20879.96,19295.96,20183.96,84.0,-0.0266,-0.0322,1695452.64,
2003-12-08,20087.96,20159.96,18479.96,19367.96,98.0,-0.0358,-0.0404,1898060.08,
2003-12-09,20615.96,20615.96,19415.96,19511.96,55.0,-0.0536,0.0074,1073157.8,
2003-12-10,19343.96,19799.96,18935.96,19127.96,26.0,-0.0112,-0.0197,497326.96,
2003-12-11,19199.96,19799.96,18959.96,19439.96,28.0,0.0125,0.0163,544318.88,
2003-12-12,19319.96,19631.96,19223.96,19559.96,19.0,0.0124,0.0062,371639.24,
2003-12-15,19559.96,20015.96,18383.96,18503.96,43.0,-0.054,-0.054,795670.28,1182376.89
2003-12-16,18143.96,18911.96,17975.96,18815.96,31.0,0.037,0.0169,583294.76,1051440.31
2003-12-17,18863.96,19199.96,18575.96,19031.96,21.0,0.0089,0.0115,399671.16,958080.46
2003-12-18,18959.96,19439.96,18695.96,19247.96,27.0,0.0152,0.0113,519694.92,881796.6
2003-12-19,19295.96,20039.96,18959.96,19943.96,33.0,0.0336,0.0362,658150.68,837828.67
2003-12-22,20039.96,20399.96,19461.56,20159.96,36.0,0.006,0.0108,725758.56,734098.48
2003-12-23,20135.96,20999.96,19919.96,20951.96,32.0,0.0405,0.0393,670462.72,616868.32
2003-12-24,20639.96,21119.96,20639.96,20663.96,12.0,0.0012,-0.0137,247967.52,576598.82
2003-12-26,20399.96,20855.96,20279.96,20423.96,11.0,0.0012,-0.0116,224663.56,551662.87
2003-12-29,20399.96,21407.96,19679.96,21407.96,24.0,0.0494,0.0482,513791.04,519697.34
2003-12-30,21311.96,21599.96,20663.96,21455.96,37.0,0.0068,0.0022,793870.52,533912.52
2003-12-31,21479.96,21527.96,20519.96,20807.96,36.0,-0.0313,-0.0302,749086.56,533732.54
2004-01-02,22079.96,23135.95,21791.96,22511.95,55.0,0.0196,0.0819,1238157.25,550311.72
2004-01-05,23375.95,24599.95,23255.95,23447.95,70.0,0.0031,0.0416,1641356.5,634160.33
2004-01-06,23831.95,23831.95,22655.95,23063.95,33.0,-0.0322,-0.0164,761110.35,746326.49
2004-01-07,22439.95,23543.95,22319.95,23447.95,32.0,0.0449,0.0166,750334.4,756622.46
2004-01-08,23399.95,23807.95,22823.95,23495.95,28.0,0.0041,0.002,657886.6,759080.04
2004-01-09,23351.95,23567.95,22559.95,23159.95,30.0,-0.0082,-0.0143,694798.5,757822.43
2004-01-12,23327.95,23543.95,22991.95,23375.95,27.0,0.0021,0.0093,631150.65,802505.53
2004-01-13,23399.95,23399.95,22319.95,22799.95,33.0,-0.0256,-0.0246,752398.35,843154.24
2004-01-14,22799.95,23327.95,22319.95,23327.95,24.0,0.0232,0.0232,559870.8,867014.97
2004-01-15,23279.95,23279.95,22439.95,23039.95,16.0,-0.0103,-0.0123,368639.2,843615.0
2004-01-16,23111.95,23663.95,22799.95,23615.95,26.0,0.0218,0.025,614014.7,805570.26
2004-01-20,23471.95,23615.95,22823.95,23543.95,24.0,0.0031,-0.003,565054.8,743156.0
2004-01-21,23423.95,23759.95,23015.95,23591.95,18.0,0.0072,0.002,424655.1,635525.84
2004-01-22,23615.95,23639.95,22823.95,23087.95,16.0,-0.0224,-0.0214,369407.2,601880.31
2004-01-23,23159.95,23783.95,22679.95,23591.95,32.0,0.0187,0.0218,754942.4,563787.59
2004-01-26,22895.95,23663.95,22895.95,23639.95,41.0,0.0325,0.002,969237.95,573493.17
2004-01-27,22751.95,24215.95,22751.95,23903.95,79.0,0.0506,0.0112,1888412.05,600937.12
2004-01-28,23759.95,24167.95,23399.95,24071.95,57.0,0.0131,0.007,1372101.15,726663.26
2004-01-29,23879.95,24095.95,23711.95,23999.95,40.0,0.005,-0.003,959998.0,788633.54
2004-01-30,23999.95,24047.95,23183.95,23423.95,23.0,-0.024,-0.024,538750.85,828646.26
2004-02-02,23399.95,23519.95,22943.95,23279.95,29.0,-0.0051,-0.0061,675118.55,845657.42
2004-02-03,22919.95,23399.95,22919.95,23135.95,12.0,0.0094,-0.0062,277631.4,851767.8
2004-02-04,23015.95,23639.95,21791.96,22055.96,34.0,-0.0417,-0.0467,749902.64,823025.46
2004-02-05,21863.96,23087.95,21743.96,21815.96,29.0,-0.0022,-0.0109,632662.84,855550.22
2004-02-06,21863.96,22919.95,21695.96,22919.95,21.0,0.0483,0.0506,481318.95,881875.78
2004-02-09,23303.95,23303.95,22247.96,22295.95,23.0,-0.0433,-0.0272,512806.85,854513.44
2004-02-10,22439.95,23039.95,22103.96,23039.95,17.0,0.0267,0.0334,391679.15,808870.33
2004-02-11,22703.95,23495.95,22055.96,23351.95,30.0,0.0285,0.0135,700558.5,659197.04
2004-02-12,23183.95,23279.95,22319.95,22775.95,20.0,-0.0176,-0.0247,455519.0,592042.77
2004-02-13,22823.95,22823.95,21599.96,21599.96,24.0,-0.0536,-0.0516,518399.04,541594.87
2004-02-17,21623.96,22295.95,21599.96,22031.96,29.0,0.0189,0.02,638926.84,539559.69
2004-02-18,22295.95,22295.95,20975.96,21167.96,46.0,-0.0506,-0.0392,973726.16,535940.52
2004-02-19,21167.96,21599.96,20159.96,20519.96,40.0,-0.0306,-0.0306,820798.4,605550.0
2004-02-20,20543.96,21023.96,19943.96,20519.96,53.0,-0.0012,0.0,1087557.88,612639.57
2004-02-23,20524.76,21119.96,19919.96,19919.96,41.0,-0.0295,-0.0292,816718.36,658129.08
2004-02-24,20015.96,21215.96,19943.96,20615.96,21.0,0.03,0.0349,432935.16,691669.02
2004-02-25,20231.96,20879.96,20231.96,20663.96,21.0,0.0214,0.0023,433943.16,683681.85
2004-02-26,20663.96,21239.96,20423.96,20711.96,21.0,0.0023,0.0023,434951.16,687908.25
2004-02-27,21023.96,21503.96,20711.96,21215.96,30.0,0.0091,0.0243,636478.8,661347.52
2004-03-01,21239.96,21599.96,20951.96,21335.96,28.0,0.0045,0.0057,597406.88,679443.5
2004-03-02,21311.96,21311.96,20663.96,20663.96,20.0,-0.0304,-0.0315,413279.2,687344.28
2004-03-03,20759.96,20831.96,20063.96,20447.96,51.0,-0.015,-0.0105,1042845.96,664779.52
2004-03-04,20903.96,21575.96,20759.96,20879.96,68.0,-0.0011,0.0211,1419837.28,671691.5
2004-03-05,20975.96,21551.96,20783.96,20927.96,32.0,-0.0023,0.0023,669694.72,731595.38
2004-03-08,21215.96,21815.96,20783.96,21143.96,60.0,-0.0034,0.0103,1268637.6,689809.07
2004-03-09,21143.96,21695.96,20951.96,21215.96,49.0,0.0034,0.0034,1039582.04,735000.99
2004-03-10,21213.56,21287.96,19583.96,19631.96,32.0,-0.0746,-0.0747,628222.72,795665.68
2004-03-11,19895.96,20711.96,19439.96,19919.96,36.0,0.0012,0.0147,717118.56,815093.64
2004-03-12,19943.96,20663.96,19727.96,20639.96,21.0,0.0349,0.0361,433439.16,843310.38
2004-03-15,20807.96,20807.96,19391.96,19463.96,27.0,-0.0646,-0.057,525526.92,823006.41
2004-03-16,19631.96,20351.96,18719.96,19679.96,40.0,0.0024,0.0111,787198.4,815818.42
2004-03-17,19823.96,20399.96,19751.96,20279.96,22.0,0.023,0.0305,446159.12,853210.34
2004-03-18,20255.96,20255.96,19319.96,19463.96,19.0,-0.0391,-0.0402,369815.24,793541.65
2004-03-19,19751.96,20015.96,19199.96,19535.96,18.0,-0.0109,0.0037,351647.28,688539.45
2004-03-22,19367.96,19607.96,18719.96,18863.96,31.0,-0.026,-0.0344,584782.76,656734.7
2004-03-23,18815.96,19319.96,18767.96,19007.96,29.0,0.0102,0.0076,551230.84,588349.22
2004-03-24,19127.96,19343.96,18719.96,18719.96,17.0,-0.0213,-0.0152,318239.32,539514.1
2004-03-25,18887.96,19919.96,18719.96,19703.96,16.0,0.0432,0.0526,315263.36,508515.76
2004-03-26,19631.96,19775.96,19127.96,19559.96,14.0,-0.0037,-0.0073,273839.44,468330.24
2004-03-29,19511.96,19823.96,19199.96,19775.96,19.0,0.0135,0.011,375743.24,452370.27
2004-03-30,19535.96,19871.96,19319.96,19799.96,29.0,0.0135,0.0012,574198.84,437391.9
2004-03-31,19871.96,20303.96,19463.96,20303.96,52.0,0.0217,0.0255,1055805.92,416091.94
2004-04-01,20687.96,21215.96,20111.96,20399.96,49.0,-0.0139,0.0047,999598.04,477056.62
2004-04-02,20351.96,21047.96,20351.96,21047.96,35.0,0.0342,0.0318,736678.6,540034.9
2004-04-05,21023.96,22055.96,21023.96,22055.96,51.0,0.0491,0.0479,1124853.96,578538.04
2004-04-06,21791.96,22367.95,21575.96,22079.96,49.0,0.0132,0.0011,1081918.04,632545.16
2004-04-07,22247.96,22415.95,21479.96,22103.96,54.0,-0.0065,0.0011,1193613.84,685613.88
2004-04-08,21887.96,22079.96,21599.96,21815.96,50.0,-0.0033,-0.013,1090798.0,773151.33
2004-04-12,21743.96,22175.96,21095.96,21215.96,31.0,-0.0243,-0.0275,657694.76,850704.79
2004-04-13,21143.96,21479.96,20111.96,20567.96,42.0,-0.0272,-0.0305,863854.32,889090.32
2004-04-14,20351.96,20567.96,19967.96,20111.96,34.0,-0.0118,-0.0222,683806.64,937901.43
2004-04-15,20135.96,20279.96,19391.96,19583.96,23.0,-0.0274,-0.0263,450431.08,948862.21
2004-04-16,19727.96,20039.96,19439.96,19919.96,22.0,0.0097,0.0172,438239.12,888324.73
2004-04-19,19967.96,20519.96,19895.96,20159.96,35.0,0.0096,0.012,705598.6,832188.84
2004-04-20,20183.96,20975.96,19703.96,20159.96,44.0,-0.0012,0.0,887038.24,829080.84
2004-04-21,20303.96,20879.96,20183.96,20255.96,47.0,-0.0024,0.0048,952030.12,805299.26
2004-04-22,20591.96,20759.96,20279.96,20303.96,32.0,-0.014,0.0024,649726.72,792310.47
2004-04-23,20423.96,20639.96,19919.96,20039.96,30.0,-0.0188,-0.013,601198.8,737921.76
2004-04-26,20375.96,22199.96,20063.96,21503.96,110.0,0.0554,0.0731,2365435.6,688961.84
2004-04-27,21479.96,22631.95,21071.96,22607.95,102.0,0.0525,0.0513,2306010.9,859735.92
2004-04-28,21359.96,21983.96,21359.96,21551.96,60.0,0.009,-0.0467,1293117.6,1003951.58
2004-04-29,21407.96,21815.96,21311.96,21503.96,36.0,0.0045,-0.0022,774142.56,1064882.68
2004-04-30,21695.96,21695.96,19871.96,20375.96,92.0,-0.0608,-0.0525,1874588.32,1097253.83
2004-05-03,20615.96,21719.96,20159.96,20255.96,67.0,-0.0175,-0.0059,1357149.32,1240888.75
2004-05-04,20399.96,20639.96,19271.96,19367.96,38.0,-0.0506,-0.0438,735982.48,1306043.82
2004-05-05,20015.96,20951.96,19439.96,19919.96,57.0,-0.0048,0.0285,1135437.72,1290938.24
2004-05-06,19967.96,19991.96,18959.96,19823.96,38.0,-0.0072,-0.0048,753310.48,1309279.0
2004-05-07,19535.96,19535.96,17591.96,18263.96,80.0,-0.0651,-0.0787,1461116.8,1319637.38
2004-05-10,18335.96,18575.96,16583.97,18407.96,101.0,0.0039,0.0079,1859203.96,1405629.18
2004-05-11,18647.96,18935.96,18215.96,18935.96,30.0,0.0154,0.0287,568078.8,1355006.01
2004-05-12,18551.96,19007.96,17495.97,18839.96,62.0,0.0155,-0.0051,1168077.52,1181212.8
2004-05-13,18887.96,18911.96,17951.96,18287.96,22.0,-0.0318,-0.0293,402335.12,1168708.8
2004-05-14,18191.96,18239.96,17447.97,17471.97,30.0,-0.0396,-0.0446,524159.1,1131528.05
2004-05-17,17495.97,17711.96,17087.97,17375.97,21.0,-0.0069,-0.0055,364895.37,996485.13
2004-05-18,17375.97,17879.96,17255.97,17615.96,12.0,0.0138,0.0138,211391.52,897259.74
2004-05-19,18383.96,18503.96,16943.97,17039.97,26.0,-0.0731,-0.0327,443039.22,844800.64
2004-05-20,17399.97,17447.97,16703.97,16799.97,27.0,-0.0345,-0.0141,453599.19,775560.79
2004-05-21,17495.97,17687.96,16439.97,16679.97,36.0,-0.0466,-0.0071,600478.92,745589.66
2004-05-24,16895.97,17111.97,16199.97,16511.97,34.0,-0.0227,-0.0101,561406.98,659525.87
2004-05-25,16799.97,17375.97,16487.97,17375.97,81.0,0.0343,0.0523,1407453.57,529746.17
2004-05-26,17375.97,18119.96,17159.97,17951.96,28.0,0.0331,0.0331,502654.88,613683.65
2004-05-27,17855.96,17999.96,16919.97,17231.97,22.0,-0.0349,-0.0401,379103.34,547141.39
2004-05-28,17303.97,17471.97,16799.97,16799.97,26.0,-0.0291,-0.0251,436799.22,544818.21
2004-06-01,16823.97,17471.97,16775.97,17087.97,31.0,0.0157,0.0171,529727.07,536082.22
2004-06-02,17255.97,18287.96,16967.97,18167.96,61.0,0.0529,0.0632,1108245.56,552565.39
2004-06-03,18095.96,18095.96,17303.97,17519.97,51.0,-0.0318,-0.0357,893518.47,642250.8
2004-06-04,17759.96,18431.96,17519.97,18311.96,45.0,0.0311,0.0452,824038.2,687298.72
2004-06-07,18623.96,18647.96,17663.96,18239.96,62.0,-0.0206,-0.0039,1130877.52,724342.62
2004-06-08,18455.96,18551.96,17159.97,17231.97,30.0,-0.0663,-0.0553,516959.1,777382.48
2004-06-09,17855.96,17951.96,16727.97,16799.97,37.0,-0.0591,-0.0251,621598.89,772937.69
2004-06-10,17399.97,17423.97,16511.97,17327.97,40.0,-0.0041,0.0314,693118.8,694352.22
2004-06-14,17399.97,17543.97,16607.97,17279.97,36.0,-0.0069,-0.0028,622078.92,713398.62
2004-06-15,17279.97,17639.96,17015.97,17567.97,37.0,0.0167,0.0167,650014.89,737696.18
2004-06-16,17423.97,18095.96,17111.97,18095.96,36.0,0.0386,0.0301,651454.56,759017.74
2004-06-17,18023.96,18047.96,17327.97,17783.96,15.0,-0.0133,-0.0172,266759.4,771190.49
2004-06-18,17543.97,17999.96,17039.97,17735.96,40.0,0.0109,-0.0027,709438.4,687041.88
2004-06-21,17783.96,17975.96,17399.97,17591.96,27.0,-0.0108,-0.0081,474982.92,668633.87
2004-06-22,17519.97,18071.96,17423.97,18047.96,24.0,0.0301,0.0259,433151.04,633728.34
2004-06-23,17807.96,18215.96,17687.96,17999.96,28.0,0.0108,-0.0027,503998.88,563955.69
2004-06-24,17783.96,18095.96,17399.97,17639.96,33.0,-0.0081,-0.02,582118.68,562659.67
2004-06-25,17639.96,18443.96,16367.97,18407.96,42.0,0.0435,0.0435,773134.32,558711.65
2004-06-28,18191.96,18311.96,17831.96,17831.96,30.0,-0.0198,-0.0313,534958.8,566713.2
2004-06-29,17879.96,18071.96,17303.97,17519.97,32.0,-0.0201,-0.0175,560639.04,558001.19
2004-06-30,17711.96,17975.96,17543.97,17687.96,29.0,-0.0014,0.0096,512950.84,549063.6
2004-07-01,17423.97,17831.96,17159.97,17159.97,35.0,-0.0152,-0.0299,600598.95,535213.23
2004-07-02,17471.97,17711.96,17231.97,17399.97,11.0,-0.0041,0.014,191399.67,568597.19
2004-07-06,17327.97,17351.97,16487.97,16487.97,25.0,-0.0485,-0.0524,412199.25,516793.31
2004-07-07,16799.97,17111.97,16319.97,16751.97,32.0,-0.0029,0.016,536063.04,510514.95
2004-07-08,16727.97,16799.97,15839.97,15839.97,30.0,-0.0531,-0.0544,475199.1,520806.15
2004-07-09,16079.97,16295.97,15503.97,15791.97,26.0,-0.0179,-0.003,410591.22,517926.17
2004-07-12,16895.97,16967.97,15575.97,15911.97,158.0,-0.0582,0.0076,2514091.26,500773.42
2004-07-13,15983.97,16079.97,15431.97,15599.97,41.0,-0.024,-0.0196,639598.77,674869.12
2004-07-14,15143.97,15239.97,14087.97,14135.97,83.0,-0.0666,-0.0938,1173285.51,685333.11
2004-07-15,14063.97,14471.97,13703.97,13847.97,38.0,-0.0154,-0.0204,526222.86,746597.76
2004-07-16,14111.97,14279.97,13271.97,13271.97,53.0,-0.0595,-0.0416,703414.41,747924.96
2004-07-19,13199.97,13631.97,12479.98,12551.98,54.0,-0.0491,-0.0542,677806.92,758206.51
2004-07-20,12719.97,12959.97,12575.98,12695.97,45.0,-0.0019,0.0115,571318.65,806847.23
2004-07-21,12743.97,13199.97,12503.98,12959.97,57.0,0.0169,0.0208,738718.29,822759.17
