Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-05-14,414.0,417.0,280.0,340.0,49111,-0.1787,,16697740.0,
2021-05-17,428.0,510.0,365.0,405.0,344274,-0.0537,0.1912,139430970.0,
2021-05-18,361.2,376.0,321.0,337.0,25682,-0.067,-0.1679,8654834.0,
2021-05-19,318.0,331.0,303.0,316.0,8757,-0.0063,-0.0623,2767212.0,
2021-05-20,310.0,318.1,300.0,303.0,5548,-0.0226,-0.0411,1681044.0,
2021-05-21,303.0,310.0,301.0,305.0,6076,0.0066,0.0066,1853180.0,
2021-05-24,318.0,357.0,301.0,312.0,25059,-0.0189,0.023,7818408.0,
2021-05-25,309.0,318.0,297.0,310.0,6960,0.0032,-0.0064,2157600.0,
2021-05-26,310.0,335.0,304.0,308.0,24519,-0.0065,-0.0065,7551852.0,
2021-05-27,304.0,315.5,300.0,305.0,12740,0.0033,-0.0097,3885700.0,
2021-05-28,301.0,304.0,291.0,296.0,7256,-0.0166,-0.0295,2147776.0,19249854.0
2021-06-01,296.0,296.0,286.2,293.0,6036,-0.0101,-0.0101,1768548.0,17794857.6
2021-06-02,289.0,303.0,288.0,295.0,6475,0.0208,0.0068,1910125.0,4028615.4
2021-06-03,295.0,312.0,289.0,297.0,7628,0.0068,0.0068,2265516.0,3354144.5
2021-06-04,295.0,306.0,290.0,299.0,6031,0.0136,0.0067,1803269.0,3303974.9
2021-06-07,307.0,327.0,306.0,318.0,9795,0.0358,0.0635,3114810.0,3316197.4
2021-06-08,321.0,322.0,302.0,308.0,3919,-0.0405,-0.0314,1207052.0,3442360.4
2021-06-09,305.0,319.0,296.0,315.0,7828,0.0328,0.0227,2465820.0,2781224.8
2021-06-10,323.0,446.0,320.0,401.0,110853,0.2415,0.273,44452053.0,2812046.8
2021-06-11,344.0,365.0,332.0,344.0,21889,0.0,-0.1421,7529816.0,6502066.9
2021-06-14,343.0,358.0,331.0,351.0,8983,0.0233,0.0203,3153033.0,6866478.5
2021-06-15,335.0,394.0,316.0,326.0,68686,-0.0269,-0.0712,22391636.0,6967004.2
2021-06-16,322.0,359.0,321.0,338.0,19809,0.0497,0.0368,6695442.0,9029313.0
2021-06-17,331.0,344.0,323.0,333.0,5235,0.006,-0.0148,1743255.0,9507844.7
2021-06-18,326.0,353.0,326.0,336.0,9951,0.0307,0.009,3343536.0,9455618.6
2021-06-21,337.0,362.0,330.0,355.0,24061,0.0534,0.0565,8541655.0,9609645.3
2021-06-22,350.0,425.0,332.0,422.0,62757,0.2057,0.1887,26483454.0,10152329.8
2021-06-23,391.0,409.0,355.0,409.0,27452,0.046,-0.0308,11227868.0,12679970.0
2021-06-24,428.1,747.0,422.0,536.0,737919,0.252,0.3105,395524584.0,13556174.8
2021-06-25,514.0,584.0,480.0,549.0,82587,0.0681,0.0243,45340263.0,48663427.9
2021-06-28,460.0,560.0,450.0,549.0,68879,0.1935,0.0,37814571.0,52444472.6
2021-06-29,648.0,750.0,525.0,578.0,175638,-0.108,0.0528,101518764.0,55910626.4
2021-06-30,534.0,593.0,521.0,580.0,38132,0.0861,0.0035,22116560.0,63823339.2
2021-07-01,565.0,587.0,535.0,574.0,12330,0.0159,-0.0103,7077420.0,65365451.0
2021-07-02,554.0,561.0,471.1,496.0,21354,-0.1047,-0.1359,10591584.0,65898867.5
