Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2017-05-25,24.97,25.04,24.85,24.95,2749475,-0.0008,,68599401.25,
2017-05-26,25.0,25.05,24.9,24.95,335140,-0.002,0.0,8361743.0,
2017-05-30,25.0,25.08,24.9,24.99,647810,-0.0004,0.0016,16188771.9,
2017-05-31,25.05,25.08,24.92,25.05,412325,0.0,0.0024,10328741.25,
2017-06-01,25.03,25.05,24.95,25.02,153290,-0.0004,-0.0012,3835315.8,
2017-06-02,24.94,25.1,24.94,25.02,281380,0.0032,0.0,7040127.6,
2017-06-05,25.04,25.07,24.85,24.99,115375,-0.002,-0.0012,2883221.25,
2017-06-06,24.99,24.99,24.99,24.99,0,0.0,0.0,0.0,
2017-06-07,25.08,25.22,25.08,25.1,794795,0.0008,0.0044,19949354.5,
2017-06-08,25.14,25.14,25.03,25.08,195424,-0.0024,-0.0008,4901233.92,
2017-06-09,25.09,25.13,25.07,25.07,189897,-0.0008,-0.0004,4760717.79,14208791.05
2017-06-12,25.09,25.12,25.0,25.09,251214,0.0,0.0008,6302959.26,7824922.7
2017-06-13,25.05,25.07,25.0,25.06,156472,0.0004,-0.0012,3921188.32,7619044.33
2017-06-14,25.09,25.18,25.06,25.18,219392,0.0036,0.0048,5524290.56,6392285.97
2017-06-15,25.12,25.19,25.11,25.18,210531,0.0024,0.0,5301170.58,5911840.9
2017-06-16,25.18,25.25,25.16,25.25,77240,0.0028,0.0028,1950310.0,6058426.38
2017-06-19,25.25,25.34,25.23,25.3,291797,0.002,0.002,7382464.1,5549444.62
2017-06-20,25.31,25.45,25.21,25.4,205013,0.0036,0.004,5207330.2,5999368.9
2017-06-21,25.4,25.46,25.36,25.46,222071,0.0024,0.0024,5653927.66,6520101.92
2017-06-22,25.46,25.65,25.46,25.63,240133,0.0067,0.0067,6154608.79,5090559.24
2017-06-23,25.6,25.74,25.56,25.72,196235,0.0047,0.0035,5047164.2,5215896.73
2017-06-26,25.72,25.74,25.58,25.67,394571,-0.0019,-0.0019,10128637.57,5244541.37
2017-06-27,25.62,25.64,25.41,25.45,560636,-0.0066,-0.0086,14268186.2,5627109.2
2017-06-28,25.49,25.54,25.39,25.44,279493,-0.002,-0.0004,7110301.92,6661808.99
2017-06-29,25.36,25.4,25.13,25.28,397726,-0.0032,-0.0063,10054513.28,6820410.12
2017-06-30,25.28,25.63,25.26,25.54,302935,0.0103,0.0103,7736959.9,7295744.39
2017-07-03,25.52,25.57,25.5,25.56,28343,0.0016,0.0008,724447.08,7874409.38
2017-07-05,25.55,25.59,25.51,25.58,139579,0.0012,0.0008,3570430.82,7208607.68
2017-07-06,25.35,25.41,25.3,25.33,150618,-0.0008,-0.0098,3815153.94,7044917.74
2017-07-07,25.3,25.42,25.26,25.35,136017,0.002,0.0008,3448030.95,6861040.37
2017-07-10,25.4,25.43,25.35,25.39,145434,-0.0004,0.0016,3692569.26,6590382.59
2017-07-11,25.39,25.39,25.23,25.31,249188,-0.0032,-0.0032,6306948.28,6454923.09
2017-07-12,25.37,25.49,25.34,25.49,137955,0.0047,0.0071,3516472.95,6072754.16
2017-07-13,25.5,25.57,25.45,25.56,102725,0.0024,0.0027,2625651.0,4997582.84
2017-07-14,25.57,25.65,25.48,25.52,193960,-0.002,-0.0016,4949859.2,4549117.75
2017-07-17,25.62,25.62,25.48,25.51,130650,-0.0043,-0.0004,3332881.5,4038652.34
2017-07-18,25.58,25.58,25.45,25.53,164694,-0.002,0.0008,4204637.82,3598244.5
2017-07-19,25.54,25.63,25.5,25.57,493931,0.0012,0.0016,12629815.67,3946263.57
2017-07-20,25.59,25.64,25.56,25.58,139223,-0.0004,0.0004,3561324.34,4852202.06
2017-07-21,25.54,25.64,25.51,25.6,1471798,0.0023,0.0008,37678028.8,4826819.1
2017-07-24,25.6,25.6,25.52,25.6,116577,0.0,0.0,2984371.2,8249818.88
2017-07-25,25.63,25.63,25.4,25.4,81424,-0.009,-0.0078,2068169.6,8178999.08
2017-07-26,25.49,25.6,25.39,25.6,70496,0.0043,0.0079,1804697.6,7755121.21
2017-07-27,25.59,25.6,25.5,25.57,107761,-0.0008,-0.0012,2755448.77,7583943.67
2017-07-28,25.58,25.64,25.52,25.6,41595,0.0008,0.0012,1064832.0,7596923.45
2017-07-31,25.64,25.64,25.45,25.64,82575,0.0,0.0016,2117223.0,7208420.73
2017-08-01,25.64,25.7,25.55,25.65,32198,0.0004,0.0004,825878.7,7086854.88
2017-08-02,25.66,25.7,25.57,25.65,45672,-0.0004,0.0,1171486.8,6748978.97
2017-08-03,25.62,25.86,25.6,25.78,100139,0.0062,0.0051,2581583.42,5603146.08
2017-08-04,25.75,25.93,25.75,25.9,55204,0.0058,0.0047,1429783.6,5505171.99
2017-08-07,25.93,25.93,25.85,25.9,68265,-0.0012,0.0,1768063.5,1880347.47
2017-08-08,25.94,25.94,25.82,25.82,47529,-0.0046,-0.0031,1227198.78,1758716.7
2017-08-09,25.8,25.88,25.6,25.62,127987,-0.007,-0.0077,3279026.94,1674619.62
2017-08-10,25.72,25.72,25.08,25.09,180767,-0.0245,-0.0207,4535444.03,1822052.55
2017-08-11,25.2,25.24,24.95,24.98,197734,-0.0087,-0.0044,4939395.32,2000052.08
2017-08-14,25.17,25.27,25.13,25.27,52687,0.004,0.0116,1331400.49,2387508.41
2017-08-15,25.27,25.37,25.16,25.31,48853,0.0016,0.0016,1236469.43,2308926.16
2017-08-16,25.31,25.48,25.27,25.45,59646,0.0055,0.0055,1517990.7,2349985.23
2017-08-17,25.38,25.4,25.15,25.19,69784,-0.0075,-0.0102,1757858.96,2384635.62
2017-08-18,25.19,25.4,25.12,25.26,38514,0.0028,0.0028,972863.64,2302263.17
2017-08-21,25.36,25.4,25.21,25.3,31687,-0.0024,0.0016,801681.1,2256571.18
2017-08-22,25.27,25.45,25.27,25.35,74447,0.0032,0.002,1887231.45,2159932.94
2017-08-23,25.34,25.34,25.23,25.25,63799,-0.0036,-0.0039,1610924.75,2225936.21
2017-08-24,25.3,25.34,25.25,25.32,15991,0.0008,0.0028,404892.12,2059125.99
2017-08-25,25.32,25.32,25.25,25.28,18085,-0.0016,-0.0016,457188.8,1646070.8
2017-08-28,25.33,25.45,25.3,25.45,50470,0.0047,0.0067,1284461.5,1197850.14
2017-08-29,25.39,25.46,25.3,25.38,33348,-0.0004,-0.0028,846372.24,1193156.25
2017-08-30,25.45,25.52,25.4,25.45,33060,0.0,0.0028,841377.0,1154146.53
2017-08-31,25.49,25.7,25.45,25.6,73270,0.0043,0.0059,1875712.0,1086485.16
2017-09-01,25.63,25.68,25.53,25.6,30337,-0.0012,0.0,776627.2,1098270.46
2017-09-05,25.47,25.59,25.43,25.52,20464,0.002,-0.0031,522241.28,1078646.82
2017-09-06,25.59,25.63,25.48,25.6,41348,0.0004,0.0031,1058508.8,1050702.83
2017-09-07,25.56,25.56,25.34,25.5,93638,-0.0023,-0.0039,2387769.0,967830.57
2017-09-08,25.5,25.68,25.33,25.41,38994,-0.0035,-0.0035,990837.54,1045514.99
2017-09-11,25.61,25.7,25.5,25.7,7164,0.0035,0.0114,184114.8,1104109.54
2017-09-12,25.7,25.75,25.55,25.62,21054,-0.0031,-0.0031,539403.48,1076802.14
2017-09-13,25.42,25.46,25.31,25.39,158263,-0.0012,-0.009,4018297.57,1002296.33
2017-09-14,25.37,25.42,25.3,25.31,54580,-0.0024,-0.0032,1381419.8,1319488.87
2017-09-15,25.37,25.37,25.23,25.3,23550,-0.0028,-0.0004,595815.0,1373493.15
