Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,22.5,22.5,22.45,22.5,13100,0.0,,294750.0,
2003-12-02,22.5,22.5,21.7,21.71,50700,-0.0351,-0.0351,1100697.0,
2003-12-03,21.65,21.66,20.79,20.89,34000,-0.0351,-0.0378,710260.0,
2003-12-04,20.75,20.75,19.9,20.38,31300,-0.0178,-0.0244,637894.0,
2003-12-05,20.3,20.57,20.3,20.4,10300,0.0049,0.001,210120.0,
2003-12-08,20.3,20.99,20.3,20.62,23200,0.0158,0.0108,478384.0,
2003-12-09,20.62,20.69,20.56,20.56,10300,-0.0029,-0.0029,211768.0,
2003-12-10,20.6,21.0,20.55,20.89,10300,0.0141,0.0161,215167.0,
2003-12-11,20.95,21.0,20.89,20.89,18000,-0.0029,0.0,376020.0,
2003-12-12,20.95,21.0,20.45,20.8,15600,-0.0072,-0.0043,324480.0,
2003-12-15,20.9,20.9,19.7,20.0,47500,-0.0431,-0.0385,950000.0,455954.0
2003-12-16,20.1,20.55,20.07,20.55,16900,0.0224,0.0275,347295.0,521479.0
2003-12-17,20.6,20.8,20.5,20.66,31000,0.0029,0.0054,640460.0,446138.8
2003-12-18,20.6,20.78,20.35,20.49,24000,-0.0053,-0.0082,491760.0,439158.8
2003-12-19,20.49,20.64,20.35,20.63,15600,0.0068,0.0068,321828.0,424545.4
2003-12-22,20.53,20.61,20.47,20.6,5400,0.0034,-0.0015,111240.0,435716.2
2003-12-23,20.6,20.98,20.5,20.98,28200,0.0184,0.0184,591636.0,399001.8
2003-12-24,20.9,20.91,20.81,20.81,800,-0.0043,-0.0081,16648.0,436988.6
2003-12-26,20.81,20.9,20.8,20.88,2300,0.0034,0.0034,48024.0,417136.7
2003-12-29,20.85,21.2,20.85,21.15,9500,0.0144,0.0129,200925.0,384337.1
2003-12-30,21.1,22.4,21.0,22.4,15800,0.0616,0.0591,353920.0,371981.6
2003-12-31,22.55,22.55,22.25,22.35,22600,-0.0089,-0.0022,505110.0,312373.6
2004-01-02,22.4,22.5,22.29,22.35,11600,-0.0022,0.0,259260.0,328155.1
2004-01-05,22.4,22.82,22.4,22.7,13600,0.0134,0.0157,308720.0,290035.1
2004-01-06,22.7,23.1,22.65,23.1,11100,0.0176,0.0176,256410.0,271731.1
2004-01-07,23.1,23.14,23.05,23.14,4400,0.0017,0.0017,101816.0,265189.3
2004-01-08,23.1,24.0,23.1,24.0,24100,0.039,0.0372,578400.0,264246.9
2004-01-09,23.91,24.85,23.9,24.72,34900,0.0339,0.03,862728.0,262923.3
2004-01-12,24.95,25.65,24.9,25.0,50100,0.002,0.0113,1252500.0,347531.3
2004-01-13,25.0,25.0,24.1,24.15,44300,-0.034,-0.034,1069845.0,467978.9
2004-01-14,24.25,24.5,24.25,24.3,19200,0.0021,0.0062,466560.0,554870.9
2004-01-15,24.3,24.35,24.16,24.19,18800,-0.0045,-0.0045,454772.0,566134.9
2004-01-16,24.19,24.25,23.95,24.1,17200,-0.0037,-0.0037,414520.0,561101.1
2004-01-20,24.05,24.34,24.05,24.2,35000,0.0062,0.0041,847000.0,576627.1
2004-01-21,24.3,24.55,24.28,24.4,37000,0.0041,0.0083,902800.0,630455.1
2004-01-22,24.5,24.5,24.34,24.47,8900,-0.0012,0.0029,217783.0,695094.1
2004-01-23,24.5,24.82,24.4,24.82,24200,0.0131,0.0143,600644.0,706690.8
2004-01-26,24.92,25.0,24.78,24.88,21600,-0.0016,0.0024,537408.0,708915.2
2004-01-27,24.9,24.9,24.59,24.7,10700,-0.008,-0.0072,264290.0,676383.2
2004-01-28,24.65,24.9,24.65,24.75,6700,0.0041,0.002,165825.0,577562.2
2004-01-29,24.8,24.8,24.57,24.7,13200,-0.004,-0.002,326040.0,487160.2
2004-01-30,24.7,24.83,24.6,24.7,12400,0.0,0.0,306280.0,473108.2
2004-02-02,24.75,24.75,24.4,24.43,14800,-0.0129,-0.0109,361564.0,458259.0
2004-02-03,24.3,24.5,24.3,24.45,41700,0.0062,0.0008,1019565.0,452963.4
2004-02-04,24.4,24.5,24.35,24.38,12000,-0.0008,-0.0029,292560.0,470219.9
2004-02-05,24.35,24.44,24.32,24.32,18900,-0.0012,-0.0025,459648.0,409195.9
2004-02-06,24.32,24.5,24.2,24.5,31300,0.0074,0.0074,766850.0,433382.4
2004-02-09,24.5,24.55,24.4,24.44,5900,-0.0024,-0.0024,144196.0,450003.0
2004-02-10,24.35,24.35,23.8,24.15,25100,-0.0082,-0.0119,606165.0,410681.8
2004-02-11,24.05,24.08,23.95,24.0,18100,-0.0021,-0.0062,434400.0,444869.3
2004-02-12,23.95,24.0,23.55,23.84,19100,-0.0046,-0.0067,455344.0,471726.8
2004-02-13,23.9,23.91,23.75,23.85,13200,-0.0021,0.0004,314820.0,484657.2
2004-02-17,23.85,23.85,23.39,23.4,32500,-0.0189,-0.0189,760500.0,485511.2
2004-02-18,23.4,23.4,22.9,23.15,25500,-0.0107,-0.0107,590325.0,525404.8
2004-02-19,23.25,23.31,23.2,23.2,26000,-0.0022,0.0022,603200.0,482480.8
2004-02-20,23.21,23.26,23.1,23.17,23100,-0.0017,-0.0013,535227.0,513544.8
2004-02-23,23.15,23.15,23.0,23.0,14400,-0.0065,-0.0073,331200.0,521102.7
2004-02-24,23.0,23.0,22.44,22.52,21300,-0.0209,-0.0209,479676.0,477537.7
2004-02-25,22.47,22.47,22.1,22.2,10300,-0.012,-0.0142,228660.0,511085.7
2004-02-26,22.2,22.2,22.09,22.17,20100,-0.0014,-0.0014,445617.0,473335.2
2004-02-27,22.27,22.45,22.2,22.45,32000,0.0081,0.0126,718400.0,474456.9
2004-03-01,22.7,22.89,22.5,22.69,29600,-0.0004,0.0107,671624.0,500762.5
