Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,15.81,15.96,15.73,15.95,2820550,0.0089,,44987772.5,
2003-12-02,15.9,15.95,15.69,15.73,3087515,-0.0107,-0.0138,48566610.95,
2003-12-03,15.78,16.02,15.78,15.82,3367671,0.0025,0.0057,53276555.22,
2003-12-04,15.8,15.96,15.76,15.95,2627976,0.0095,0.0082,41916217.2,
2003-12-05,15.95,16.03,15.82,15.89,3180373,-0.0038,-0.0038,50536126.97,
2003-12-08,15.91,16.07,15.85,16.07,3439424,0.0101,0.0113,55271543.68,
2003-12-09,16.08,16.23,15.88,15.89,5314515,-0.0118,-0.0112,84447643.35,
2003-12-10,15.85,15.88,15.61,15.67,4685616,-0.0114,-0.0138,73423602.72,
2003-12-11,15.67,16.26,15.67,16.21,7078809,0.0345,0.0345,114747493.89,
2003-12-12,16.37,16.8,16.3,16.73,9599154,0.022,0.0321,160593846.42,
2003-12-15,16.87,17.02,16.81,16.87,6103277,0.0,0.0084,102962282.99,72776741.29
2003-12-16,16.87,17.08,16.81,16.97,5790410,0.0059,0.0059,98263257.7,78574192.34
2003-12-17,16.98,17.04,16.81,17.0,6494228,0.0012,0.0018,110401876.0,83543857.01
2003-12-18,17.03,17.33,17.02,17.33,8276461,0.0176,0.0194,143431069.13,89256389.09
2003-12-19,17.38,17.39,17.08,17.19,5433752,-0.0109,-0.0081,93406196.88,99407874.28
2003-12-22,17.18,17.43,17.16,17.34,4574820,0.0093,0.0087,79327378.8,103694881.28
2003-12-23,17.33,17.38,17.15,17.35,3277451,0.0012,0.0006,56863774.85,106100464.79
2003-12-24,17.33,17.34,17.25,17.28,858933,-0.0029,-0.004,14842362.24,103342077.94
2003-12-26,17.28,17.36,17.24,17.31,765548,0.0017,0.0017,13251635.88,97483953.89
2003-12-29,17.42,17.46,17.3,17.43,3952252,0.0006,0.0069,68887752.36,87334368.09
2003-12-30,17.48,17.5,17.31,17.36,3467387,-0.0069,-0.004,60193838.32,78163758.68
2003-12-31,17.35,17.45,17.29,17.39,4046692,0.0023,0.0017,70371973.88,73886914.22
2004-01-02,17.41,17.47,17.13,17.19,3996570,-0.0126,-0.0115,68701038.3,71097785.83
2004-01-05,17.22,17.32,17.04,17.17,6180834,-0.0029,-0.0012,106124919.78,66927702.06
2004-01-06,16.99,17.12,16.93,16.96,6691551,-0.0018,-0.0122,113488704.96,63197087.13
2004-01-07,16.96,16.98,16.77,16.91,6520608,-0.0029,-0.0029,110263481.28,65205337.94
2004-01-08,16.91,16.91,16.64,16.88,7947239,-0.0018,-0.0018,134149394.32,68298948.18
2004-01-09,16.88,17.05,16.68,16.77,6482621,-0.0065,-0.0065,108713554.17,76027510.13
2004-01-12,16.81,16.82,16.68,16.81,3746488,0.0,0.0024,62978463.28,85414629.32
2004-01-13,16.82,16.96,16.77,16.96,3634636,0.0083,0.0089,61643426.56,90387312.06
2004-01-14,16.96,17.11,16.91,17.09,4162764,0.0077,0.0077,71141636.76,89662879.48
2004-01-15,17.63,17.75,17.45,17.72,13043327,0.0051,0.0369,231127754.44,90757659.33
2004-01-16,17.67,18.09,17.63,18.07,10698673,0.0226,0.0198,193325021.11,106833237.38
2004-01-20,18.08,18.08,17.72,17.72,5708632,-0.0199,-0.0194,101156959.04,119295635.67
2004-01-21,17.82,17.82,17.47,17.62,5519751,-0.0112,-0.0056,97258012.62,118798839.59
2004-01-22,17.62,17.74,17.43,17.54,5705466,-0.0045,-0.0045,100073873.64,117175770.36
2004-01-23,17.57,17.78,17.51,17.63,5695970,0.0034,0.0051,100419951.1,116156809.59
2004-01-26,17.61,17.76,17.49,17.71,2939260,0.0057,0.0045,52054294.6,112783865.27
2004-01-27,17.71,17.74,17.41,17.41,3168766,-0.0169,-0.0169,55168216.06,107117939.32
2004-01-28,17.41,17.48,16.91,16.94,5593088,-0.027,-0.027,94746910.72,106336914.59
2004-01-29,17.06,17.22,16.68,17.05,9713116,-0.0006,0.0065,165608627.8,109647263.01
2004-01-30,17.05,17.48,17.05,17.35,7512496,0.0176,0.0176,130341805.6,119093962.11
2004-02-02,17.49,17.62,17.3,17.4,6963265,-0.0051,0.0029,121160811.0,109015367.23
2004-02-03,17.42,17.5,17.26,17.34,4009232,-0.0046,-0.0034,69520082.88,101798946.22
2004-02-04,17.23,17.28,17.07,17.08,4513090,-0.0087,-0.015,77083577.2,98635258.6
2004-02-05,17.08,17.51,17.07,17.4,4910373,0.0187,0.0187,85440490.2,96617815.06
2004-02-06,17.4,17.98,17.4,17.94,7298291,0.031,0.031,130931340.54,95154476.72
2004-02-09,17.96,17.96,17.82,17.84,4605948,-0.0067,-0.0056,82170112.32,98205615.66
2004-02-10,17.84,17.85,17.56,17.75,3882608,-0.005,-0.005,68916292.0,101217197.43
2004-02-11,17.77,17.93,17.69,17.91,2764624,0.0079,0.009,49514415.84,102592005.03
2004-02-12,17.84,17.95,17.83,17.88,2997823,0.0022,-0.0017,53601075.24,98068755.54
2004-02-13,17.79,17.86,17.5,17.52,3504847,-0.0152,-0.0201,61404919.44,86868000.28
2004-02-17,17.72,17.89,17.68,17.79,3050056,0.004,0.0154,54260496.24,79974311.67
2004-02-18,17.91,17.91,17.54,17.63,3484798,-0.0156,-0.009,61436988.74,73284280.19
2004-02-19,17.8,17.84,17.54,17.59,4832288,-0.0118,-0.0023,84999945.92,72475970.78
2004-02-20,17.6,17.67,17.34,17.54,2821077,-0.0034,-0.0028,49481690.58,73267607.65
2004-02-23,17.63,17.67,17.25,17.27,2564664,-0.0204,-0.0154,44291747.28,69671727.69
2004-02-24,17.24,17.49,17.11,17.23,3194090,-0.0006,-0.0023,55034170.7,61007768.36
2004-02-25,17.2,17.53,17.2,17.42,3025786,0.0128,0.011,52709192.12,58294174.2
2004-02-26,17.41,17.42,17.25,17.25,3295917,-0.0092,-0.0098,56854568.25,56673464.21
2004-02-27,17.26,17.32,16.96,16.99,9260435,-0.0156,-0.0151,157334790.65,57407479.45
2004-03-01,17.13,17.41,17.09,17.38,5583591,0.0146,0.023,97042811.58,67780850.99
2004-03-02,17.37,17.38,17.14,17.16,3189342,-0.0121,-0.0127,54729108.72,71344640.21
2004-03-03,17.16,17.43,17.11,17.4,3144496,0.014,0.014,54714230.4,71391501.45
2004-03-04,17.42,17.55,17.26,17.4,2058695,-0.0011,0.0,35821293.0,70719225.62
2004-03-05,17.4,17.54,17.29,17.46,2779924,0.0034,0.0034,48537473.04,65801360.33
2004-03-08,17.47,17.51,17.03,17.04,3213084,-0.0246,-0.0241,54750951.36,65706938.57
2004-03-09,17.06,17.06,16.78,16.88,5320318,-0.0106,-0.0094,89806967.84,66752858.98
2004-03-10,17.03,17.23,16.66,16.68,9679877,-0.0206,-0.0118,161460348.36,70230138.7
2004-03-11,16.68,17.06,16.61,16.72,7207544,0.0024,0.0024,120510135.68,81105254.32
2004-03-12,16.96,17.23,16.94,17.22,4933588,0.0153,0.0299,84956385.36,87470811.06
2004-03-15,17.15,17.2,16.73,16.76,7452878,-0.0227,-0.0267,124910235.28,80232970.53
2004-03-16,16.97,17.02,16.75,16.94,3591373,-0.0018,0.0107,60837858.62,83019712.9
2004-03-17,17.17,18.23,17.06,17.45,5437973,0.0163,0.0301,94892628.85,83630587.89
2004-03-18,17.45,17.58,17.34,17.52,5728681,0.004,0.004,100366491.12,87648427.74
2004-03-19,17.42,17.52,17.32,17.35,3673679,-0.004,-0.0097,63738330.65,94102947.55
2004-03-22,17.28,17.32,17.12,17.21,6096946,-0.0041,-0.0081,104928440.66,95623033.31
2004-03-23,17.21,17.23,16.79,16.87,8832552,-0.0198,-0.0198,149005152.24,100640782.24
2004-03-24,16.84,16.86,16.71,16.78,4439226,-0.0036,-0.0053,74490212.28,106560600.68
2004-03-25,16.82,17.1,16.78,17.07,4822264,0.0149,0.0173,82316046.48,97863587.07
2004-03-26,17.02,17.23,16.99,17.09,2616896,0.0041,0.0012,44722752.64,94044178.15
2004-03-29,17.34,17.52,17.29,17.46,4811184,0.0069,0.0217,84003272.64,90020814.88
2004-03-30,17.45,17.64,17.39,17.61,3508540,0.0092,0.0086,61785389.4,85930118.62
2004-03-31,17.62,17.74,17.5,17.7,3999736,0.0045,0.0051,70795327.2,86024871.7
2004-04-01,17.66,17.85,17.55,17.61,4940446,-0.0028,-0.0051,87001254.06,83615141.53
2004-04-02,17.8,17.91,17.59,17.91,4270394,0.0062,0.017,76482756.54,82278617.82
2004-04-05,17.95,18.04,17.87,18.04,4961550,0.005,0.0073,89506362.0,83553060.41
2004-04-06,18.04,18.13,17.94,17.96,3376112,-0.0044,-0.0044,60634971.52,82010852.55
2004-04-07,17.96,18.01,17.7,17.79,4542108,-0.0095,-0.0095,80804101.32,73173834.48
2004-04-08,17.91,17.96,17.75,17.82,1929433,-0.005,0.0017,34382496.06,73805223.38
2004-04-12,18.03,18.1,17.96,18.05,2186902,0.0011,0.0129,39473581.1,69011868.34
2004-04-13,18.1,18.13,17.82,17.82,2882279,-0.0155,-0.0127,51362211.78,68486951.18
2004-04-14,17.82,17.92,17.72,17.82,3268482,0.0,0.0,58244349.24,65222845.1
2004-04-15,17.86,18.06,17.8,18.05,4519422,0.0106,0.0129,81575567.1,64868741.08
2004-04-16,18.17,18.22,18.02,18.21,4122666,0.0022,0.0089,75073747.86,65946765.07
2004-04-19,18.16,18.23,18.05,18.11,2213282,-0.0028,-0.0055,40082537.02,64754014.45
2004-04-20,18.13,18.22,17.85,17.88,3281672,-0.0138,-0.0127,58676295.36,61113992.5
2004-04-21,17.86,17.86,17.64,17.74,6053682,-0.0067,-0.0078,107392318.68,58030985.84
2004-04-22,17.77,17.96,17.44,17.82,8390950,0.0028,0.0045,149526729.0,62706720.55
2004-04-23,17.89,17.97,17.76,17.81,6844555,-0.0045,-0.0006,121901524.55,69578983.32
2004-04-26,17.87,17.99,17.7,17.74,4051968,-0.0073,-0.0039,71881912.32,78330886.17
2004-04-27,17.82,18.23,17.81,18.1,7600078,0.0157,0.0203,137561411.8,81571719.29
2004-04-28,18.1,18.1,17.74,17.79,4505176,-0.0171,-0.0171,80147081.04,90191639.29
2004-04-29,17.83,17.88,17.62,17.73,5278638,-0.0056,-0.0034,93590251.74,92381912.47
2004-04-30,17.76,17.8,17.5,17.54,5924420,-0.0124,-0.0107,103914326.8,93583380.94
2004-05-03,17.54,17.74,17.48,17.72,5003231,0.0103,0.0103,88657253.32,96467438.83
2004-05-04,17.89,17.99,17.8,17.87,4950471,-0.0011,0.0085,88464916.77,101324910.46
2004-05-05,17.86,18.01,17.74,17.92,3336542,0.0034,0.0028,59790832.64,104303772.6
2004-05-06,17.92,17.93,17.7,17.78,4392270,-0.0078,-0.0078,78094560.6,99543624.0
2004-05-07,17.77,17.91,17.25,17.25,5714436,-0.0293,-0.0298,98574021.0,92400407.16
2004-05-10,16.94,17.15,16.73,16.86,9285232,-0.0047,-0.0226,156549011.52,90067656.8
2004-05-11,16.87,17.01,16.85,16.99,5209522,0.0071,0.0077,88509778.78,98534366.72
2004-05-12,17.04,17.38,16.93,17.33,4331596,0.017,0.02,75066558.68,93629203.42
2004-05-13,17.28,17.33,16.99,17.05,6715820,-0.0133,-0.0162,114504731.0,93121151.18
2004-05-14,17.09,17.2,16.97,17.05,3418848,-0.0023,0.0,58291358.4,95212599.11
2004-05-17,16.97,17.0,16.8,16.87,3611950,-0.0059,-0.0106,60933596.5,90650302.27
2004-05-18,16.9,17.06,16.89,17.04,2485524,0.0083,0.0101,42353328.96,87877936.59
2004-05-19,17.14,17.29,17.03,17.04,4967354,-0.0058,0.0,84643712.16,83266777.81
2004-05-20,16.93,17.04,16.8,16.92,6736397,-0.0006,-0.007,113979837.24,85752065.76
2004-05-21,17.1,17.21,16.96,17.07,2810261,-0.0018,0.0089,47971155.27,89340593.42
2004-05-24,17.13,17.25,17.08,17.16,3351579,0.0018,0.0053,57513095.64,84280306.85
2004-05-25,17.16,17.41,16.92,17.34,3908725,0.0105,0.0105,67777291.5,74376715.26
2004-05-26,17.35,17.48,17.18,17.44,3895271,0.0052,0.0058,67933526.24,72303466.54
2004-05-27,17.55,17.76,17.46,17.68,4540526,0.0074,0.0138,80276499.68,71590163.29
2004-05-28,17.74,17.88,17.72,17.83,3553650,0.0051,0.0085,63361579.5,68167340.16
2004-06-01,17.76,17.9,17.69,17.89,2622436,0.0073,0.0034,46915380.04,68674362.27
2004-06-02,17.89,17.99,17.76,17.98,2996768,0.005,0.005,53881888.64,67272540.62
2004-06-03,17.97,17.97,17.74,17.74,2306140,-0.0128,-0.0133,40910923.6,68425396.59
2004-06-04,17.82,18.03,17.81,17.84,1741871,0.0011,0.0056,31074978.64,64052117.74
2004-06-07,17.99,18.5,17.89,18.49,4760799,0.0278,0.0364,88027173.51,55761631.88
2004-06-08,18.56,18.57,18.4,18.48,4489876,-0.0043,-0.0005,82972908.48,59767233.7
2004-06-09,18.44,18.45,18.16,18.19,2698146,-0.0136,-0.0157,49079275.74,62313214.98
2004-06-10,18.27,18.33,18.03,18.14,3249488,-0.0071,-0.0027,58945712.32,60443413.41
2004-06-14,18.14,18.14,18.01,18.05,3134735,-0.005,-0.005,56581966.75,59544632.02
2004-06-15,18.14,18.5,18.14,18.4,3620655,0.0143,0.0194,66620052.0,57175178.72
2004-06-16,18.41,18.41,18.25,18.34,2319857,-0.0038,-0.0033,42546177.38,57501025.97
2004-06-17,18.27,18.33,18.01,18.28,2369979,0.0005,-0.0033,43323216.12,57064105.71
2004-06-18,18.19,18.56,18.16,18.48,4407834,0.0159,0.0109,81456772.32,56008238.45
2004-06-21,18.46,18.8,18.33,18.72,4328167,0.0141,0.013,81023286.24,60062823.33
2004-06-22,18.72,18.86,18.54,18.81,4172788,0.0048,0.0048,78490142.28,65057654.09
2004-06-23,18.9,19.26,18.75,19.23,5455384,0.0175,0.0223,104907034.32,64103950.96
2004-06-24,19.28,19.28,18.97,19.01,4577721,-0.014,-0.0114,87022476.21,66297363.55
2004-06-25,19.14,19.22,19.08,19.11,4094440,-0.0016,0.0053,78244748.4,70091683.59
2004-06-28,19.2,19.28,19.07,19.11,4100243,-0.0047,0.0,78355643.73,72021587.2
