Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,3.42,3.56,3.42,3.52,26400,0.0292,,92928.0,
2003-12-02,3.52,3.52,3.52,3.52,0,0.0,0.0,0.0,
2003-12-03,3.52,3.52,3.5,3.52,8000,0.0,0.0,28160.0,
2003-12-04,3.52,3.52,3.52,3.52,1200,0.0,0.0,4224.0,
2003-12-05,3.52,3.53,3.52,3.52,23600,0.0,0.0,83072.0,
2003-12-08,3.53,3.58,3.47,3.55,33200,0.0057,0.0085,117860.0,
2003-12-09,3.57,3.58,3.53,3.58,52800,0.0028,0.0085,189024.0,
2003-12-10,3.56,3.56,3.51,3.56,10000,0.0,-0.0056,35600.0,
2003-12-11,3.56,3.56,3.55,3.55,32400,-0.0028,-0.0028,115020.0,
2003-12-12,3.56,3.62,3.56,3.59,100000,0.0084,0.0113,359000.0,
2003-12-15,3.62,3.64,3.61,3.64,57600,0.0055,0.0139,209664.0,102488.8
2003-12-16,3.63,3.65,3.62,3.64,8000,0.0028,0.0,29120.0,114162.4
2003-12-17,3.65,3.66,3.6,3.61,7600,-0.011,-0.0082,27436.0,117074.4
2003-12-18,3.63,3.63,3.57,3.57,3600,-0.0165,-0.0111,12852.0,117002.0
2003-12-19,3.58,3.68,3.53,3.67,19600,0.0251,0.028,71932.0,117864.8
2003-12-22,3.64,3.7,3.64,3.7,50000,0.0165,0.0082,185000.0,116750.8
2003-12-23,3.71,3.76,3.71,3.76,11600,0.0135,0.0162,43616.0,123464.8
2003-12-24,3.62,3.77,3.62,3.77,4400,0.0414,0.0027,16588.0,108924.0
2003-12-26,3.72,3.77,3.72,3.77,6400,0.0134,0.0,24128.0,107022.8
2003-12-29,3.77,3.77,3.77,3.77,2000,0.0,0.0,7540.0,97933.6
2003-12-30,3.78,3.86,3.78,3.86,12400,0.0212,0.0239,47864.0,62787.6
2003-12-31,3.88,3.88,3.88,3.88,400,0.0,0.0052,1552.0,46607.6
2004-01-02,3.9,3.9,3.9,3.9,4400,0.0,0.0052,17160.0,43850.8
2004-01-05,3.84,3.93,3.84,3.88,24400,0.0104,-0.0051,94672.0,42823.2
2004-01-06,3.88,3.91,3.76,3.77,28400,-0.0284,-0.0284,107068.0,51005.2
2004-01-07,3.78,3.82,3.78,3.82,4400,0.0106,0.0133,16808.0,54518.8
2004-01-08,3.82,3.83,3.82,3.83,4400,0.0026,0.0026,16852.0,37699.6
2004-01-09,3.83,3.85,3.82,3.83,55600,0.0,0.0,212948.0,35023.2
2004-01-12,3.85,3.93,3.79,3.93,20000,0.0208,0.0261,78600.0,54659.2
2004-01-13,3.92,3.92,3.92,3.92,14000,0.0,-0.0025,54880.0,60106.4
2004-01-14,3.92,3.96,3.92,3.96,87200,0.0102,0.0102,345312.0,64840.4
2004-01-15,3.81,4.04,3.81,4.01,44800,0.0525,0.0126,179648.0,94585.2
2004-01-16,4.05,4.09,4.05,4.09,4800,0.0099,0.02,19632.0,112394.8
2004-01-20,4.12,4.16,4.12,4.16,59200,0.0097,0.0171,246272.0,112642.0
2004-01-21,4.16,4.22,4.16,4.22,8000,0.0144,0.0144,33760.0,127802.0
2004-01-22,3.94,4.25,3.93,4.2,47200,0.066,-0.0047,198240.0,120471.2
