Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,18.51,18.78,18.4,18.73,1087929,0.0119,,20376910.17,
2003-12-02,18.64,18.65,18.22,18.3,1068800,-0.0182,-0.023,19559040.0,
2003-12-03,18.41,18.46,18.13,18.19,884439,-0.012,-0.006,16087945.41,
2003-12-04,18.11,18.21,17.83,17.99,1376217,-0.0066,-0.011,24758143.83,
2003-12-05,18.0,18.13,17.75,17.92,818100,-0.0044,-0.0039,14660352.0,
2003-12-08,17.85,18.07,17.76,17.95,1279450,0.0056,0.0017,22966127.5,
2003-12-09,17.94,18.06,17.84,17.91,806914,-0.0017,-0.0022,14451829.74,
2003-12-10,17.86,18.25,17.86,18.25,989932,0.0218,0.019,18066259.0,
2003-12-11,18.19,18.27,17.83,17.83,1068352,-0.0198,-0.023,19048716.16,
2003-12-12,17.84,17.9,17.47,17.5,1279897,-0.0191,-0.0185,22398197.5,
2003-12-15,17.7,17.87,17.63,17.71,1342656,0.0006,0.012,23778437.76,19237352.13
2003-12-16,17.62,17.77,17.36,17.44,950442,-0.0102,-0.0152,16575708.48,19577504.89
2003-12-17,17.48,17.49,17.28,17.33,1364023,-0.0086,-0.0063,23638518.59,19279171.74
2003-12-18,17.33,17.92,17.26,17.88,983891,0.0317,0.0317,17591971.08,20034229.06
2003-12-19,18.07,18.59,17.87,18.1,2798411,0.0017,0.0123,50651239.1,19317611.78
2003-12-22,18.1,18.28,17.86,18.23,1840586,0.0072,0.0072,33553882.78,22916700.49
2003-12-23,18.28,18.71,18.26,18.69,1062423,0.0224,0.0252,19856685.87,23975476.02
2003-12-24,18.69,18.69,18.24,18.38,655666,-0.0166,-0.0166,12051141.08,24515961.63
2003-12-26,18.24,18.58,18.19,18.32,434165,0.0044,-0.0033,7953902.8,23914449.84
2003-12-29,18.28,18.66,18.17,18.56,849536,0.0153,0.0131,15767388.16,22804968.5
2003-12-30,18.5,18.87,18.44,18.83,610695,0.0178,0.0145,11499386.85,22141887.57
2003-12-31,18.84,19.0,18.72,18.81,581497,-0.0016,-0.0011,10937958.57,20913982.48
2004-01-02,18.75,18.91,18.61,18.68,754447,-0.0037,-0.0069,14093069.96,20350207.49
2004-01-05,18.82,18.82,18.53,18.72,780736,-0.0053,0.0021,14615377.92,19395662.63
2004-01-06,18.61,18.9,18.5,18.66,1205951,0.0027,-0.0032,22503045.66,19098003.31
2004-01-07,16.73,17.1,16.52,16.98,11470299,0.0149,-0.09,194765677.02,16283183.96
2004-01-08,16.98,17.43,16.94,17.23,3755565,0.0147,0.0147,64708384.95,32404363.39
2004-01-09,17.12,17.47,17.07,17.18,3054928,0.0035,-0.0029,52483663.04,36889533.3
2004-01-12,17.64,17.74,17.34,17.65,2290972,0.0006,0.0274,40435655.8,40932785.49
2004-01-13,17.52,17.62,17.45,17.59,1320618,0.004,-0.0034,23229670.62,44180960.79
2004-01-14,17.7,18.24,17.65,18.16,2412462,0.026,0.0324,43810309.92,44927189.04
2004-01-15,18.12,18.25,17.9,18.1,1559682,-0.0011,-0.0033,28230244.2,48158281.35
2004-01-16,18.15,18.45,18.08,18.28,1982325,0.0072,0.0099,36236901.0,49887509.91
2004-01-20,18.22,18.28,17.91,18.05,665399,-0.0093,-0.0126,12010451.95,52101893.01
2004-01-21,17.97,18.25,17.93,18.25,1007160,0.0156,0.0111,18380670.0,51841400.42
2004-01-22,18.5,18.66,18.13,18.2,2173286,-0.0162,-0.0027,39553805.2,51429162.85
2004-01-23,18.28,18.36,17.92,18.31,1053250,0.0016,0.006,19285007.5,35907975.67
2004-01-26,18.13,18.22,17.77,17.97,1469516,-0.0088,-0.0186,26407202.52,31365637.92
2004-01-27,17.85,18.07,17.84,17.87,885446,0.0011,-0.0056,15822920.02,28757991.87
2004-01-28,17.97,17.97,17.7,17.79,710370,-0.01,-0.0045,12637482.3,26296718.29
2004-01-29,17.79,18.12,17.79,18.05,914756,0.0146,0.0146,16511345.8,25237499.46
2004-01-30,17.97,18.0,17.84,17.88,906589,-0.005,-0.0094,16209811.32,22507603.05
2004-02-02,18.28,18.86,18.19,18.56,2870343,0.0153,0.038,53273566.08,21305559.76
2004-02-03,18.77,19.85,18.63,19.45,4888019,0.0362,0.048,95071969.55,23009226.27
2004-02-04,19.45,19.78,19.0,19.58,2421188,0.0067,0.0067,47406861.04,31315378.03
2004-02-05,19.57,19.92,19.48,19.62,1595928,0.0026,0.002,31312107.36,34217997.13
2004-02-06,19.67,19.79,19.35,19.62,1035798,-0.0025,0.0,20322356.76,33393827.35
2004-02-09,19.62,19.71,19.41,19.67,692359,0.0025,0.0025,13618701.53,33497562.28
2004-02-10,19.54,19.91,19.51,19.81,1049558,0.0138,0.0071,20791743.98,32218712.18
2004-02-11,19.76,19.94,19.59,19.71,1448372,-0.0025,-0.005,28547412.12,32715594.57
2004-02-12,19.76,19.92,19.67,19.84,1298020,0.004,0.0066,25752716.8,34306587.55
2004-02-13,19.8,20.01,19.69,19.84,818772,0.002,0.0,16244436.48,35230724.65
2004-02-17,19.76,20.09,19.71,19.99,877839,0.0116,0.0076,17548001.61,35234187.17
2004-02-18,20.02,20.11,19.92,20.07,1025618,0.0025,0.004,20584153.26,31661630.72
2004-02-19,20.07,20.1,19.67,19.71,1082336,-0.0179,-0.0179,21332842.56,24212849.09
2004-02-20,19.8,19.98,19.57,19.68,1197002,-0.0061,-0.0015,23556999.36,21605447.25
2004-02-23,19.68,19.87,19.59,19.76,685647,0.0041,0.0041,13548384.72,20829936.45
2004-02-24,19.77,19.84,19.34,19.48,805571,-0.0147,-0.0142,15692523.08,20152539.24
2004-02-25,19.49,19.84,19.43,19.79,1101913,0.0154,0.0159,21806858.27,20359921.4
2004-02-26,21.63,22.79,20.77,20.92,7033225,-0.0328,0.0571,147135067.0,20461432.83
2004-02-27,21.2,22.05,21.1,21.81,4097214,0.0288,0.0425,89360237.34,32320198.31
2004-03-01,21.81,22.17,21.58,22.0,1638774,0.0087,0.0087,36053028.0,38680950.37
2004-03-02,22.06,22.31,21.95,22.18,2028415,0.0054,0.0082,44990244.7,40661809.52
2004-03-03,22.15,22.15,21.86,21.99,1382929,-0.0072,-0.0086,30410608.71,43406033.83
2004-03-04,22.21,22.48,22.08,22.28,2689674,0.0032,0.0132,59925936.72,44388679.37
2004-03-05,22.39,22.84,22.28,22.68,1949994,0.013,0.018,44225863.92,48247988.79
2004-03-08,22.6,22.88,22.44,22.5,1309431,-0.0044,-0.0079,29462197.5,50314875.25
2004-03-09,22.45,22.49,22.13,22.36,1096208,-0.004,-0.0062,24511210.88,51906256.52
2004-03-10,22.37,22.4,21.77,21.78,1394451,-0.0264,-0.0259,30371142.78,52788125.3
2004-03-11,21.72,22.14,21.62,21.72,1626468,0.0,-0.0028,35326884.96,53644553.76
2004-03-12,21.7,21.97,21.44,21.95,1056270,0.0115,0.0106,23185126.5,42463735.55
2004-03-15,22.12,22.34,21.57,21.69,1638886,-0.0194,-0.0118,35547437.34,35846224.47
2004-03-16,21.7,21.83,21.46,21.75,1589440,0.0023,0.0028,34570320.0,35795665.4
2004-03-17,21.77,22.37,21.77,22.34,2994071,0.0262,0.0271,66887546.14,34753672.93
2004-03-18,22.69,22.69,21.06,21.68,2707350,-0.0445,-0.0295,58695348.0,38401366.67
2004-03-19,21.68,22.1,21.56,21.72,1157512,0.0018,0.0018,25141160.64,38278307.8
2004-03-22,21.73,22.21,21.48,21.84,2138382,0.0051,0.0055,46702262.88,36369837.47
2004-03-23,21.84,22.44,21.84,22.31,2167916,0.0215,0.0215,48366205.96,38093844.01
2004-03-24,22.31,22.35,21.9,21.94,1599172,-0.0166,-0.0166,35085833.68,40479343.52
2004-03-25,21.95,22.35,21.9,22.26,1259761,0.0141,0.0146,28042279.86,40950812.61
2004-03-26,22.26,22.33,21.81,21.93,1613603,-0.0148,-0.0148,35386313.79,40222352.1
2004-03-29,21.93,22.26,21.9,22.13,1128650,0.0091,0.0091,24977024.5,41442470.83
2004-03-30,22.13,22.24,21.93,22.18,1736771,0.0023,0.0023,38521580.78,40385429.54
2004-03-31,22.26,22.35,22.04,22.16,1382481,-0.0045,-0.0009,30635778.96,40780555.62
2004-04-01,21.72,21.95,21.31,21.53,2859716,-0.0087,-0.0284,61569685.48,37155378.9
2004-04-02,21.32,21.7,21.32,21.41,2008726,0.0042,-0.0056,43006823.66,37442812.65
2004-04-05,21.45,21.54,21.33,21.45,1661931,0.0,0.0019,35648419.95,39229378.96
2004-04-06,21.44,21.45,21.34,21.38,1286721,-0.0028,-0.0033,27510094.98,38123994.66
2004-04-07,21.45,21.76,21.37,21.53,1112764,0.0037,0.007,23957808.92,36038383.56
2004-04-08,21.7,21.87,21.25,21.38,895962,-0.0147,-0.007,19155667.56,34925581.09
2004-04-12,21.34,21.54,21.25,21.52,757691,0.0084,0.0065,16305510.32,34036919.86
2004-04-13,21.52,21.53,20.71,20.96,1651191,-0.026,-0.026,34608963.36,32128839.51
2004-04-14,20.74,20.83,20.38,20.79,1092963,0.0024,-0.0081,22722700.77,33092033.4
2004-04-15,20.73,20.83,20.54,20.69,922475,-0.0019,-0.0048,19086007.75,31512145.4
2004-04-16,20.79,21.44,20.64,21.34,1023381,0.0265,0.0314,21838950.54,30357168.28
2004-04-19,21.23,21.27,20.79,21.27,740016,0.0019,-0.0033,15740140.32,26384094.78
2004-04-20,21.27,21.4,20.99,21.02,1100123,-0.0118,-0.0118,23124585.46,23657426.45
2004-04-21,20.87,20.97,20.43,20.82,1151135,-0.0024,-0.0095,23966630.7,22405043.0
2004-04-22,20.82,21.44,20.56,21.32,1071932,0.024,0.024,22853590.24,22050696.57
2004-04-23,21.36,21.44,21.23,21.37,1226871,0.0005,0.0023,26218233.27,21940274.7
2004-04-26,21.38,21.38,20.42,20.72,2052019,-0.0309,-0.0304,42517833.68,22646531.27
2004-04-27,20.73,21.18,20.64,20.64,1215796,-0.0043,-0.0039,25094029.44,25267763.61
2004-04-28,20.53,20.81,20.46,20.6,1058731,0.0034,-0.0019,21809858.6,24316270.22
2004-04-29,20.47,20.63,20.27,20.37,2105045,-0.0049,-0.0112,42879766.65,24224986.0
2004-04-30,20.36,20.5,20.12,20.26,904128,-0.0049,-0.0054,18317633.28,26604361.89
2004-05-03,20.24,20.51,19.92,20.16,1378454,-0.004,-0.0049,27789632.64,26252230.16
2004-05-04,20.09,20.18,19.88,20.1,983667,0.0005,-0.003,19771706.7,27457179.4
2004-05-05,20.03,20.47,19.83,20.26,692024,0.0115,0.008,14020406.24,27121891.52
2004-05-06,20.08,20.1,19.63,19.78,1518179,-0.0149,-0.0237,30029580.62,26127269.07
2004-05-07,19.71,19.93,19.59,19.63,1178655,-0.0041,-0.0076,23136997.65,26844868.11
2004-05-10,19.59,19.84,19.51,19.62,1022821,0.0015,-0.0005,20067748.02,26536744.55
2004-05-11,19.89,20.2,19.77,19.92,1221725,0.0015,0.0153,24336762.0,24291735.98
2004-05-12,19.78,19.8,19.25,19.53,1096319,-0.0126,-0.0196,21411110.07,24216009.24
2004-05-13,19.49,19.54,19.13,19.37,1340418,-0.0062,-0.0082,25963896.66,24176134.39
2004-05-14,19.31,19.9,19.31,19.67,1034232,0.0186,0.0155,20343343.44,22484547.39
2004-05-17,19.59,19.65,19.23,19.34,755118,-0.0128,-0.0168,14603982.12,22687118.4
2004-05-18,19.36,19.53,19.27,19.38,736548,0.001,0.0021,14274300.24,21368553.35
2004-05-19,19.56,19.67,19.31,19.35,780624,-0.0107,-0.0015,15105074.4,20818812.71
2004-05-20,19.89,20.1,19.19,19.56,1930082,-0.0166,0.0109,37752403.92,20927279.52
2004-05-21,19.55,19.8,19.15,19.47,919790,-0.0041,-0.0046,17908311.3,21699561.85
2004-05-24,19.42,19.71,19.35,19.35,1037476,-0.0036,-0.0062,20075160.6,21176693.22
2004-05-25,19.4,19.59,19.14,19.52,1041727,0.0062,0.0088,20334511.04,21177434.48
2004-05-26,19.44,19.93,19.44,19.71,1554313,0.0139,0.0097,30635509.23,20777209.38
2004-05-27,19.71,19.85,19.53,19.62,904575,-0.0046,-0.0046,17747761.5,21699649.3
2004-05-28,19.67,20.4,19.67,20.11,921691,0.0224,0.025,18535206.01,20878035.78
2004-06-01,19.91,20.21,19.7,20.0,659917,0.0045,-0.0055,13198340.0,20697222.04
2004-06-02,19.71,19.93,19.58,19.68,1208860,-0.0015,-0.016,23790364.8,20556657.82
2004-06-03,19.58,19.71,19.41,19.5,1150241,-0.0041,-0.0091,22429699.5,21508264.28
2004-06-04,19.58,19.73,19.31,19.32,1186598,-0.0133,-0.0092,22925073.36,22240726.79
2004-06-07,19.46,19.52,19.3,19.49,576351,0.0015,0.0088,11233080.99,20757993.73
2004-06-08,19.44,19.49,19.31,19.35,2900884,-0.0046,-0.0072,56132105.4,20090470.7
2004-06-09,19.35,19.56,19.11,19.13,1190849,-0.0114,-0.0114,22780941.37,23696165.18
2004-06-10,19.12,19.34,18.97,19.0,1645039,-0.0063,-0.0068,31255741.0,23940808.22
2004-06-14,18.91,19.13,18.82,18.82,805347,-0.0048,-0.0095,15156630.54,24002831.39
2004-06-15,18.95,19.03,18.8,19.0,1322967,0.0026,0.0096,25136373.0,23743718.3
2004-06-16,18.95,19.1,18.87,19.07,687885,0.0063,0.0037,13117966.95,24403835.0
2004-06-17,19.01,19.14,18.75,18.92,687661,-0.0047,-0.0079,13010546.12,24395797.69
2004-06-18,18.88,19.22,18.86,19.09,1309990,0.0111,0.009,25007709.1,23317815.82
2004-06-21,19.17,19.45,19.1,19.35,1744602,0.0094,0.0136,33758048.7,23575616.78
2004-06-22,19.26,19.48,19.01,19.35,1508222,0.0047,0.0,29184095.7,24658914.32
2004-06-23,19.08,19.53,18.87,18.95,2245889,-0.0068,-0.0207,42559596.55,26454015.79
2004-06-24,18.91,19.14,18.56,18.61,2070478,-0.0159,-0.0179,38531595.58,25096764.9
2004-06-25,18.64,18.7,18.33,18.42,2704777,-0.0118,-0.0102,49821992.34,26671830.32
2004-06-28,18.5,18.68,18.24,18.25,1060186,-0.0135,-0.0092,19348394.5,28528455.46
2004-06-29,18.28,18.48,18.15,18.19,1220830,-0.0049,-0.0033,22206897.7,28947631.85
2004-06-30,18.19,18.45,18.12,18.37,1627363,0.0099,0.0099,29894658.31,28654684.32
2004-07-01,18.46,18.59,18.24,18.29,1120707,-0.0092,-0.0044,20497731.03,30332353.46
2004-07-02,18.28,18.39,18.17,18.17,845844,-0.006,-0.0066,15368985.48,31081071.95
2004-07-06,18.2,18.24,18.01,18.11,788008,-0.0049,-0.0033,14270824.88,30117199.59
2004-07-07,18.04,18.32,18.04,18.07,941716,0.0017,-0.0022,17016808.12,28168477.21
2004-07-08,18.08,18.2,18.0,18.1,1133908,0.0011,0.0017,20523734.8,26951748.45
2004-07-09,18.46,18.64,18.24,18.37,1585524,-0.0049,0.0149,29126075.88,24748162.27
2004-07-12,18.41,18.88,18.33,18.73,1198568,0.0174,0.0196,22449178.64,23807610.3
2004-07-13,18.8,18.94,18.72,18.77,1357199,-0.0016,0.0021,25474625.23,21070328.93
2004-07-14,18.77,19.08,18.66,18.78,972145,0.0005,0.0005,18256883.1,21682952.01
2004-07-15,18.78,19.11,18.75,19.08,994183,0.016,0.016,18969011.64,21287950.55
2004-07-16,19.09,19.16,18.79,19.09,859828,0.0,0.0005,16414116.52,20195385.88
2004-07-19,19.09,19.3,18.95,19.19,1086363,0.0052,0.0052,20847305.97,19787024.43
2004-07-20,19.18,19.34,19.08,19.34,1627475,0.0083,0.0078,31475366.5,20334856.48
2004-07-21,19.28,19.49,18.99,19.17,910616,-0.0057,-0.0088,17456508.72,22055310.64
2004-07-22,19.02,19.31,18.94,19.24,1156617,0.0116,0.0037,22253311.08,22099280.7
