Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-03-08,10.1,10.1,10.1,10.1,300,0.0,,3030.0,
2021-03-09,9.74,9.74,9.74,9.74,12500,0.0,-0.0356,121750.0,
2021-03-10,9.75,9.85,9.75,9.78,108400,0.0031,0.0041,1060152.0,
2021-03-11,9.83,9.95,9.83,9.9,18000,0.0071,0.0123,178200.0,
2021-03-12,9.9,9.9,9.79,9.79,1400,-0.0111,-0.0111,13706.0,
2021-03-15,9.83,9.85,9.69,9.7,89200,-0.0132,-0.0092,865240.0,
2021-03-16,9.7,9.72,9.67,9.72,18800,0.0021,0.0021,182736.0,
2021-03-17,9.7,9.8,9.7,9.8,14500,0.0103,0.0082,142100.0,
2021-03-18,9.57,9.76,9.57,9.7,79000,0.0136,-0.0102,766300.0,
2021-03-19,9.7,9.7,9.65,9.67,8700,-0.0031,-0.0031,84129.0,
2021-03-22,9.7,9.71,9.68,9.71,1200,0.001,0.0041,11652.0,341734.3
2021-03-23,9.68,9.7,9.65,9.67,30700,-0.001,-0.0041,296869.0,342596.5
2021-03-24,9.67,9.67,9.65,9.65,453200,-0.0021,-0.0021,4373380.0,360108.4
2021-03-25,9.63,9.67,9.62,9.64,7000,0.001,-0.001,67480.0,691431.2
2021-03-26,9.65,9.7,9.65,9.7,254300,0.0052,0.0062,2466710.0,680359.2
2021-03-29,9.59,9.66,9.59,9.66,1200,0.0073,-0.0041,11592.0,925659.6
2021-03-30,9.69,9.7,9.69,9.7,14800,0.001,0.0041,143560.0,840294.8
2021-03-31,9.78,9.78,9.64,9.66,36700,-0.0123,-0.0041,354522.0,836377.2
2021-04-01,9.65,9.7,9.65,9.7,19600,0.0052,0.0041,190120.0,857619.4
2021-04-05,9.74,9.75,9.74,9.75,36300,0.001,0.0052,353925.0,800001.4
2021-04-06,9.77,9.78,9.77,9.78,25500,0.001,0.0031,249390.0,826981.0
2021-04-07,9.78,9.81,9.78,9.8,31700,0.002,0.002,310660.0,850754.8
2021-04-08,9.8,9.8,9.79,9.79,1700,-0.001,-0.001,16643.0,852133.9
2021-04-09,9.71,9.8,9.7,9.79,57400,0.0082,0.0,561946.0,416460.2
