Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2014-01-28,2.41,2.41,2.41,2.41,2000,0.0,,4820.0,
2014-01-29,2.41,2.41,2.41,2.41,0,0.0,0.0,0.0,
2014-01-30,2.4,2.4,2.4,2.4,100,0.0,-0.0041,240.0,
2014-01-31,2.4,2.4,2.4,2.4,0,0.0,0.0,0.0,
2014-02-03,2.4,2.4,2.4,2.4,0,0.0,0.0,0.0,
2014-02-04,2.4,2.4,2.4,2.4,0,0.0,0.0,0.0,
2014-02-05,2.28,2.3,2.28,2.3,300,0.0088,-0.0417,690.0,
2014-02-06,2.3,2.3,2.3,2.3,0,0.0,0.0,0.0,
2014-02-07,2.3,2.3,2.3,2.3,0,0.0,0.0,0.0,
2014-02-10,2.3,2.3,2.3,2.3,0,0.0,0.0,0.0,
2014-02-11,2.3,2.3,2.3,2.3,0,0.0,0.0,0.0,575.0
2014-02-12,2.3,2.3,2.3,2.3,0,0.0,0.0,0.0,93.0
2014-02-13,2.3,2.3,2.3,2.3,0,0.0,0.0,0.0,93.0
2014-02-14,2.3,2.3,2.3,2.3,0,0.0,0.0,0.0,69.0
2014-02-18,2.3,2.3,2.3,2.3,0,0.0,0.0,0.0,69.0
2014-02-19,2.99,2.99,2.99,2.99,200,0.0,0.3,598.0,69.0
2014-02-20,2.96,2.96,2.96,2.96,300,0.0,-0.01,888.0,128.8
2014-02-21,3.04,3.05,2.95,2.95,1000,-0.0296,-0.0034,2950.0,148.6
2014-02-24,2.95,2.95,2.95,2.95,0,0.0,0.0,0.0,443.6
2014-02-25,2.95,2.95,2.95,2.95,0,0.0,0.0,0.0,443.6
2014-02-26,2.95,2.95,2.95,2.95,0,0.0,0.0,0.0,443.6
2014-02-27,2.95,2.95,2.95,2.95,0,0.0,0.0,0.0,443.6
2014-02-28,2.95,2.95,2.95,2.95,0,0.0,0.0,0.0,443.6
2014-03-03,2.95,2.95,2.95,2.95,0,0.0,0.0,0.0,443.6
2014-03-04,2.95,2.95,2.95,2.95,0,0.0,0.0,0.0,443.6
2014-03-05,2.95,2.95,2.95,2.95,0,0.0,0.0,0.0,443.6
2014-03-06,2.92,2.92,2.92,2.92,300,0.0,-0.0102,876.0,383.8
2014-03-07,2.84,2.84,2.84,2.84,1000,0.0,-0.0274,2840.0,382.6
2014-03-10,2.84,2.84,2.84,2.84,0,0.0,0.0,0.0,371.6
2014-03-11,2.84,2.84,2.84,2.84,0,0.0,0.0,0.0,371.6
2014-03-12,2.84,2.84,2.84,2.84,0,0.0,0.0,0.0,371.6
2014-03-13,2.84,2.84,2.84,2.84,0,0.0,0.0,0.0,371.6
2014-03-14,2.89,2.89,2.89,2.89,3400,0.0,0.0176,9826.0,371.6
2014-03-17,2.89,2.89,2.89,2.89,0,0.0,0.0,0.0,1354.2
2014-03-18,2.89,2.89,2.89,2.89,0,0.0,0.0,0.0,1354.2
2014-03-19,2.89,2.89,2.89,2.89,0,0.0,0.0,0.0,1354.2
2014-03-20,2.89,2.89,2.89,2.89,0,0.0,0.0,0.0,1354.2
2014-03-21,2.89,2.89,2.89,2.89,0,0.0,0.0,0.0,1266.6
2014-03-24,2.89,2.89,2.89,2.89,0,0.0,0.0,0.0,982.6
2014-03-25,2.89,2.89,2.89,2.89,0,0.0,0.0,0.0,982.6
2014-03-26,2.89,2.89,2.89,2.89,0,0.0,0.0,0.0,982.6
2014-03-27,2.89,2.89,2.89,2.89,0,0.0,0.0,0.0,982.6
2014-03-28,2.89,2.89,2.89,2.89,0,0.0,0.0,0.0,982.6
2014-03-31,2.89,2.89,2.89,2.89,0,0.0,0.0,0.0,0.0
2014-04-01,2.89,2.89,2.89,2.89,0,0.0,0.0,0.0,0.0
2014-04-02,2.89,2.89,2.89,2.89,0,0.0,0.0,0.0,0.0
2014-04-03,2.89,2.89,2.89,2.89,0,0.0,0.0,0.0,0.0
2014-04-04,2.88,2.89,2.88,2.89,5000,0.0035,0.0,14450.0,0.0
2014-04-07,2.89,2.89,2.89,2.89,0,0.0,0.0,0.0,1445.0
2014-04-08,2.77,2.77,2.77,2.77,5000,0.0,-0.0415,13850.0,1445.0
2014-04-09,2.77,2.77,2.77,2.77,0,0.0,0.0,0.0,2830.0
2014-04-10,2.77,2.77,2.76,2.76,6000,-0.0036,-0.0036,16560.0,2830.0
2014-04-11,2.77,2.77,2.77,2.77,3000,0.0,0.0036,8310.0,4486.0
2014-04-14,2.74,2.74,2.74,2.74,3000,0.0,-0.0108,8220.0,5317.0
2014-04-15,2.74,2.74,2.74,2.74,0,0.0,0.0,0.0,6139.0
2014-04-16,2.97,2.98,2.97,2.98,5100,0.0034,0.0876,15198.0,6139.0
2014-04-17,3.08,3.08,3.08,3.08,3000,0.0,0.0336,9240.0,7658.8
2014-04-21,3.08,3.08,3.08,3.08,0,0.0,0.0,0.0,8582.8
