Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-03-22,26.17,27.0,26.17,27.0,2640,0.0317,,71280.0,
2021-03-23,26.91,26.94,26.75,26.75,220,-0.0059,-0.0093,5885.0,
2021-03-24,26.75,26.75,26.75,26.75,0,0.0,0.0,0.0,
2021-03-25,26.75,26.75,26.75,26.75,0,0.0,0.0,0.0,
2021-03-26,26.75,26.75,26.75,26.75,0,0.0,0.0,0.0,
2021-03-29,26.75,26.75,26.75,26.75,0,0.0,0.0,0.0,
2021-03-30,26.75,26.75,26.75,26.75,0,0.0,0.0,0.0,
2021-03-31,26.75,26.75,26.75,26.75,0,0.0,0.0,0.0,
2021-04-01,26.75,26.75,26.75,26.75,0,0.0,0.0,0.0,
2021-04-05,22.59,22.59,22.0,22.0,60,-0.0261,-0.1776,1320.0,
2021-04-06,19.93,19.93,19.93,19.93,20,0.0,-0.0941,398.6,7848.5
2021-04-07,19.93,19.93,19.93,19.93,0,0.0,0.0,0.0,760.36
2021-04-08,19.93,19.93,19.93,19.93,0,0.0,0.0,0.0,171.86
2021-04-09,20.08,20.08,20.08,20.08,100,0.0,0.0075,2008.0,171.86
2021-04-12,20.08,20.08,20.08,20.08,0,0.0,0.0,0.0,372.66
2021-04-13,19.58,25.0,19.5,19.5,280,-0.0041,-0.0289,5460.0,372.66
2021-04-14,19.5,19.5,19.5,19.5,0,0.0,0.0,0.0,918.66
2021-04-15,19.5,19.5,19.5,19.5,0,0.0,0.0,0.0,918.66
2021-04-16,21.0,21.0,19.49,19.49,40,-0.0719,-0.0005,779.6,918.66
2021-04-19,19.49,19.49,19.49,19.49,0,0.0,0.0,0.0,996.62
2021-04-20,20.95,23.42,19.5,23.42,1080,0.1179,0.2016,25293.6,864.62
2021-04-21,24.0,24.07,23.86,24.07,440,0.0029,0.0278,10590.8,3354.12
2021-04-22,24.03,24.03,24.03,24.03,600,0.0,-0.0017,14418.0,4413.2
2021-04-23,24.05,25.0,24.05,24.11,1380,0.0025,0.0033,33271.8,5855.0
2021-04-26,24.18,25.0,23.55,24.08,2860,-0.0041,-0.0012,68868.8,8981.38
2021-04-27,24.22,24.22,23.77,23.9,220,-0.0132,-0.0075,5258.0,15868.26
2021-04-28,24.31,24.5,23.9,24.5,600,0.0078,0.0251,14700.0,15848.06
2021-04-29,23.73,23.75,23.14,23.14,680,-0.0249,-0.0555,15735.2,17318.06
2021-04-30,22.94,22.94,22.53,22.53,180,-0.0179,-0.0264,4055.4,18891.58
2021-05-03,23.18,23.18,23.18,23.18,80,0.0,0.0289,1854.4,19219.16
2021-05-04,23.18,23.18,23.18,23.18,0,0.0,0.0,0.0,19404.6
2021-05-05,22.86,23.0,22.86,23.0,3340,0.0061,-0.0078,76820.0,16875.24
2021-05-06,23.0,23.0,23.0,23.0,2380,0.0,0.0,54740.0,23498.16
2021-05-07,23.24,23.24,23.24,23.24,160,0.0,0.0104,3718.4,27530.36
2021-05-10,23.42,23.44,23.42,23.44,320,0.0009,0.0086,7500.8,24575.02
2021-05-11,23.44,23.44,23.44,23.44,0,0.0,0.0,0.0,18438.22
2021-05-12,23.0,23.0,23.0,23.0,40,0.0,-0.0188,920.0,17912.42
2021-05-13,23.0,23.0,23.0,23.0,2460,0.0,0.0,56580.0,16534.42
2021-05-14,24.5,24.57,24.5,24.57,80,0.0029,0.0683,1965.6,20618.9
2021-05-17,24.6,24.92,24.5,24.92,200,0.013,0.0142,4984.0,20409.92
2021-05-18,24.45,24.51,24.33,24.33,2060,-0.0049,-0.0237,50119.8,20722.88
2021-05-19,24.05,24.05,24.05,24.05,20,0.0,-0.0115,481.0,25734.86
2021-05-20,23.96,23.96,23.96,23.96,20,0.0,-0.0037,479.2,18100.96
2021-05-21,23.88,23.88,23.59,23.59,180,-0.0121,-0.0154,4246.2,12674.88
2021-05-24,23.55,23.55,21.3,23.5,80,-0.0021,-0.0038,1880.0,12727.66
2021-05-25,23.5,23.5,23.5,23.5,0,0.0,0.0,0.0,12165.58
2021-05-26,23.47,23.47,23.47,23.47,60,0.0,-0.0013,1408.2,12165.58
2021-05-27,23.47,23.47,23.47,23.47,0,0.0,0.0,0.0,12214.4
2021-05-28,23.33,23.33,23.33,23.33,20,0.0,-0.006,466.6,6556.4
2021-06-01,24.0,24.0,24.0,24.0,80,0.0,0.0287,1920.0,6406.5
2021-06-02,23.3,23.3,23.25,23.25,280,-0.0021,-0.0312,6510.0,6100.1
2021-06-03,22.85,22.85,22.75,22.75,140,-0.0044,-0.0215,3185.0,1739.12
2021-06-04,22.7,22.7,22.7,22.7,40,0.0,-0.0022,908.0,2009.52
2021-06-07,23.0,23.0,22.5,22.5,140,-0.0217,-0.0088,3150.0,2052.4
2021-06-08,22.5,22.5,22.02,22.02,100,-0.0213,-0.0213,2202.0,1942.78
2021-06-09,22.25,22.33,22.25,22.33,340,0.0036,0.0141,7592.2,1974.98
2021-06-10,22.65,22.65,22.51,22.51,60,-0.0062,0.0081,1350.6,2734.2
2021-06-11,22.55,22.55,22.35,22.35,420,-0.0089,-0.0071,9387.0,2728.44
2021-06-14,22.48,22.5,22.47,22.5,5400,0.0009,0.0067,121500.0,3667.14
2021-06-15,22.5,22.5,22.5,22.5,220,0.0,0.0,4950.0,15770.48
2021-06-16,23.0,25.05,23.0,24.68,3520,0.073,0.0969,86873.6,16073.48
2021-06-17,24.05,24.05,23.68,23.75,180,-0.0125,-0.0377,4275.0,24109.84
2021-06-18,23.5,23.5,22.83,22.88,600,-0.0264,-0.0366,13728.0,24218.84
2021-06-21,23.05,23.05,22.78,23.05,160,0.0,0.0074,3688.0,25500.84
2021-06-22,22.9,22.9,22.9,22.9,140,0.0,-0.0065,3206.0,25554.64
2021-06-23,23.08,23.08,23.08,23.08,20,0.0,0.0079,461.6,25655.04
2021-06-24,23.05,23.35,23.05,23.35,240,0.013,0.0117,5604.0,24941.98
2021-06-25,23.65,23.65,23.65,23.65,40,0.0,0.0128,946.0,25367.32
2021-06-28,23.5,23.75,23.48,23.75,760,0.0106,0.0042,18050.0,24523.22
2021-06-29,24.14,24.14,23.6,23.6,340,-0.0224,-0.0063,8024.0,14178.22
2021-06-30,23.5,23.5,23.01,23.01,780,-0.0209,-0.025,17947.8,14485.62
2021-07-01,22.5,22.5,22.5,22.5,660,0.0,-0.0222,14850.0,7593.04
2021-07-02,23.15,23.25,23.15,23.25,460,0.0043,0.0333,10695.0,8650.54
2021-07-06,23.75,23.75,23.25,23.25,2020,-0.0211,0.0,46965.0,8347.24
2021-07-07,23.35,23.4,23.25,23.4,780,0.0021,0.0065,18252.0,12674.94
2021-07-08,23.43,23.43,22.9,22.9,660,-0.0226,-0.0214,15114.0,14179.54
2021-07-09,22.95,23.5,22.95,23.49,920,0.0235,0.0258,21610.8,15644.78
2021-07-12,23.26,23.26,22.75,22.75,420,-0.0219,-0.0315,9555.0,17245.46
2021-07-13,23.0,23.25,22.5,22.5,920,-0.0217,-0.011,20700.0,18106.36
2021-07-14,22.65,22.85,22.6,22.6,280,-0.0022,0.0044,6328.0,18371.36
2021-07-15,22.6,22.62,22.44,22.5,1500,-0.0044,-0.0044,33750.0,18201.76
2021-07-16,22.35,22.35,22.25,22.25,80,-0.0045,-0.0111,1780.0,19781.98
2021-07-19,21.95,21.95,21.95,21.95,220,0.0,-0.0135,4829.0,18474.98
2021-07-20,21.55,21.55,21.55,21.55,140,0.0,-0.0182,3017.0,17888.38
2021-07-21,21.55,21.6,21.55,21.6,200,0.0023,0.0023,4320.0,13493.58
2021-07-22,21.6,21.6,21.6,21.6,0,0.0,0.0,0.0,12100.38
2021-07-23,22.0,22.0,21.6,21.6,540,-0.0182,0.0,11664.0,10588.98
2021-07-26,21.83,22.73,21.83,22.25,1900,0.0192,0.0301,42275.0,9594.3
2021-07-27,22.2,22.5,22.2,22.5,640,0.0135,0.0112,14400.0,12866.3
2021-07-28,22.23,23.55,22.23,23.55,1240,0.0594,0.0467,29202.0,12236.3
2021-07-29,23.55,23.55,23.55,23.55,0,0.0,0.0,0.0,14523.7
2021-07-30,23.5,23.5,23.5,23.5,140,0.0,-0.0021,3290.0,11148.7
2021-08-02,28.45,28.45,23.0,26.1,300,-0.0826,0.1106,7830.0,11299.7
2021-08-03,23.77,23.95,23.25,23.95,1200,0.0076,-0.0824,28740.0,11599.8
2021-08-04,23.94,24.11,23.94,24.05,680,0.0046,0.0042,16354.0,14172.1
2021-08-05,24.3,24.35,24.3,24.35,220,0.0021,0.0125,5357.0,15375.5
2021-08-06,24.35,24.4,24.18,24.35,1380,0.0,0.0,33603.0,15911.2
2021-08-09,23.85,24.25,23.85,24.25,780,0.0168,-0.0041,18915.0,18105.1
2021-08-10,24.15,24.3,24.15,24.3,520,0.0062,0.0021,12636.0,15769.1
2021-08-11,24.42,26.0,24.42,25.61,2260,0.0487,0.0539,57878.6,15592.7
2021-08-12,26.0,26.15,25.28,25.6,1120,-0.0154,-0.0004,28672.0,18460.36
2021-08-13,25.6,25.9,25.53,25.9,1660,0.0117,0.0117,42994.0,21327.56
2021-08-16,25.9,25.9,25.9,25.9,0,0.0,0.0,0.0,25297.96
2021-08-17,26.0,26.31,25.6,25.65,2620,-0.0135,-0.0097,67203.0,24514.96
2021-08-18,25.3,26.25,25.3,26.25,1240,0.0375,0.0234,32550.0,28361.26
2021-08-19,26.35,26.5,25.98,26.1,1040,-0.0095,-0.0057,27144.0,29980.86
2021-08-20,26.0,26.5,25.52,26.27,2360,0.0104,0.0065,61997.2,32159.56
2021-08-23,26.66,26.8,26.66,26.8,160,0.0053,0.0202,4288.0,34998.98
2021-08-24,27.0,27.4,26.98,27.4,280,0.0148,0.0224,7672.0,33536.28
2021-08-25,27.57,27.57,25.4,26.23,1120,-0.0486,-0.0427,29377.6,33039.88
2021-08-26,26.08,26.7,26.08,26.7,1060,0.0238,0.0179,28302.0,30189.78
2021-08-27,26.09,26.8,26.06,26.2,1860,0.0042,-0.0187,48732.0,30152.78
2021-08-30,26.25,26.8,25.75,26.65,2800,0.0152,0.0172,74620.0,30726.58
2021-08-31,26.58,26.58,25.64,26.53,740,-0.0019,-0.0045,19632.2,38188.58
2021-09-01,26.42,28.42,26.42,28.27,2340,0.07,0.0656,66151.8,33431.5
2021-09-02,27.75,28.35,27.25,27.6,1560,-0.0054,-0.0237,43056.0,36791.68
2021-09-03,27.75,27.75,27.75,27.75,200,0.0,0.0054,5550.0,38382.88
2021-09-07,27.75,27.97,27.65,27.7,2580,-0.0018,-0.0018,71466.0,32738.16
2021-09-08,27.82,27.82,27.42,27.75,2680,-0.0025,0.0018,74370.0,39455.96
2021-09-09,29.7,29.7,27.67,27.84,980,-0.0626,0.0032,27283.2,46125.76
2021-09-10,27.4,27.61,27.4,27.4,280,0.0,-0.0158,7672.0,45916.32
