Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2012-03-14,0.5,0.5,0.5,0.5,0,0.0,,0.0,
2012-03-15,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,
2012-03-16,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,
2012-03-19,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,
2012-03-20,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,
2012-03-21,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,
2012-03-22,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,
2012-03-23,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,
2012-03-26,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,
2012-03-27,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,
2012-03-28,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,0.0
2012-03-29,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,0.0
2012-03-30,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,0.0
2012-04-02,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,0.0
2012-04-03,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,0.0
2012-04-04,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,0.0
2012-04-05,0.5,0.5,0.5,0.5,600,0.0,0.0,300.0,0.0
2012-04-09,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,30.0
2012-04-10,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,30.0
2012-04-11,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,30.0
2012-04-12,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,30.0
2012-04-13,0.4,0.4,0.4,0.4,600,0.0,-0.2,240.0,30.0
2012-04-16,0.4,0.4,0.4,0.4,200,0.0,0.0,80.0,54.0
2012-04-17,0.4,0.4,0.4,0.4,0,0.0,0.0,0.0,62.0
2012-04-18,0.35,0.35,0.35,0.35,300,0.0,-0.125,105.0,62.0
2012-04-19,0.35,0.35,0.35,0.35,300,0.0,0.0,105.0,72.5
2012-04-20,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,83.0
2012-04-23,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,53.0
2012-04-24,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,53.0
2012-04-25,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,53.0
2012-04-26,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,53.0
2012-04-27,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,53.0
2012-04-30,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,29.0
2012-05-01,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,21.0
2012-05-02,0.5,0.5,0.5,0.5,1400,0.0,0.4286,700.0,21.0
2012-05-03,0.49,0.5,0.49,0.5,2000,0.0204,0.0,1000.0,80.5
2012-05-04,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,170.0
2012-05-07,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,170.0
2012-05-08,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,170.0
2012-05-09,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,170.0
2012-05-10,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,170.0
2012-05-11,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,170.0
2012-05-14,0.47,0.47,0.3,0.3,21000,-0.3617,-0.4,6300.0,170.0
2012-05-15,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,800.0
2012-05-16,0.3,0.3,0.3,0.3,0,0.0,0.0,0.0,800.0
2012-05-17,0.4,0.4,0.4,0.4,800,0.0,0.3333,320.0,730.0
2012-05-18,0.4,0.4,0.4,0.4,2800,0.0,0.0,1120.0,662.0
2012-05-21,0.4,0.4,0.4,0.4,0,0.0,0.0,0.0,774.0
2012-05-22,0.25,0.25,0.25,0.25,8300,0.0,-0.375,2075.0,774.0
2012-05-23,0.25,0.25,0.25,0.25,8300,0.0,0.0,2075.0,981.5
2012-05-24,0.25,0.25,0.25,0.25,0,0.0,0.0,0.0,1189.0
2012-05-25,0.25,0.25,0.25,0.25,0,0.0,0.0,0.0,1189.0
2012-05-29,0.47,0.47,0.31,0.31,2100,-0.3404,0.24,651.0,1189.0
2012-05-30,0.37,0.37,0.2,0.25,118600,-0.3243,-0.1935,29650.0,624.1
2012-05-31,0.22,0.32,0.22,0.23,11300,0.0455,-0.08,2599.0,3589.1
2012-06-01,0.23,0.23,0.23,0.23,0,0.0,0.0,0.0,3849.0
2012-06-04,0.23,0.23,0.21,0.21,11800,-0.087,-0.087,2478.0,3817.0
2012-06-05,0.2,0.36,0.2,0.35,134700,0.75,0.6667,47145.0,3952.8
2012-06-06,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,8667.3
2012-06-07,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,8459.8
2012-06-08,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,8252.3
2012-06-11,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,8252.3
2012-06-12,0.35,0.35,0.35,0.35,0,0.0,0.0,0.0,8252.3
2012-06-13,0.36,1.0,0.36,0.39,56600,0.0833,0.1143,22074.0,8187.2
2012-06-14,0.39,0.39,0.39,0.39,0,0.0,0.0,0.0,7429.6
2012-06-15,0.39,0.39,0.39,0.39,0,0.0,0.0,0.0,7169.7
2012-06-18,0.39,0.39,0.39,0.39,0,0.0,0.0,0.0,7169.7
2012-06-19,0.39,0.39,0.39,0.39,0,0.0,0.0,0.0,6921.9
2012-06-20,0.39,0.39,0.39,0.39,0,0.0,0.0,0.0,2207.4
2012-06-21,0.39,0.39,0.39,0.39,0,0.0,0.0,0.0,2207.4
2012-06-22,0.39,0.39,0.39,0.39,0,0.0,0.0,0.0,2207.4
2012-06-25,0.12,0.12,0.12,0.12,500,0.0,-0.6923,60.0,2207.4
2012-06-26,1.0,1.0,0.13,0.13,2500,-0.87,0.0833,325.0,2213.4
2012-06-27,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,2245.9
2012-06-28,0.13,0.13,0.13,0.13,0,0.0,0.0,0.0,38.5
2012-06-29,0.39,0.5,0.39,0.39,15000,0.0,2.0,5850.0,38.5
2012-07-02,0.39,0.39,0.39,0.39,0,0.0,0.0,0.0,623.5
2012-07-03,0.34,0.34,0.34,0.34,100,0.0,-0.1282,34.0,623.5
2012-07-05,0.34,0.34,0.34,0.34,0,0.0,0.0,0.0,626.9
2012-07-06,0.35,0.39,0.34,0.37,20900,0.0571,0.0882,7733.0,626.9
2012-07-09,0.37,0.37,0.37,0.37,0,0.0,0.0,0.0,1400.2
2012-07-10,0.37,0.37,0.37,0.37,0,0.0,0.0,0.0,1400.2
2012-07-11,0.35,0.35,0.35,0.35,200,0.0,-0.0541,70.0,1394.2
2012-07-12,0.31,0.31,0.2,0.24,13200,-0.2258,-0.3143,3168.0,1368.7
2012-07-13,0.24,0.25,0.24,0.25,10000,0.0417,0.0417,2500.0,1685.5
2012-07-16,0.25,0.25,0.25,0.25,1400,0.0,0.0,350.0,1935.5
2012-07-17,0.25,0.25,0.25,0.25,0,0.0,0.0,0.0,1385.5
2012-07-18,0.24,0.24,0.24,0.24,9900,0.0,-0.04,2376.0,1385.5
2012-07-19,0.24,0.24,0.24,0.24,0,0.0,0.0,0.0,1619.7
2012-07-20,0.15,0.2,0.15,0.15,45200,0.0,-0.375,6780.0,1619.7
2012-07-23,0.2,0.2,0.19,0.19,2900,-0.05,0.2667,551.0,1524.4
2012-07-24,0.19,0.19,0.19,0.19,0,0.0,0.0,0.0,1579.5
2012-07-25,0.19,0.19,0.19,0.19,0,0.0,0.0,0.0,1579.5
2012-07-26,0.19,0.19,0.19,0.19,0,0.0,0.0,0.0,1572.5
2012-07-27,0.15,0.15,0.15,0.15,42700,0.0,-0.2105,6405.0,1255.7
2012-07-30,0.15,0.15,0.15,0.15,33300,0.0,0.0,4995.0,1646.2
2012-07-31,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,2110.7
2012-08-01,0.15,0.16,0.15,0.16,41700,0.0667,0.0667,6672.0,2110.7
2012-08-02,0.16,0.25,0.16,0.25,1200,0.5625,0.5625,300.0,2540.3
2012-08-03,0.25,0.25,0.25,0.25,0,0.0,0.0,0.0,2570.3
2012-08-06,0.25,0.25,0.25,0.25,0,0.0,0.0,0.0,1892.3
2012-08-07,0.25,0.25,0.25,0.25,0,0.0,0.0,0.0,1837.2
2012-08-08,0.25,0.25,0.25,0.25,0,0.0,0.0,0.0,1837.2
2012-08-09,0.25,0.25,0.25,0.25,0,0.0,0.0,0.0,1837.2
2012-08-10,0.25,0.25,0.25,0.25,0,0.0,0.0,0.0,1837.2
2012-08-13,0.25,0.25,0.25,0.25,0,0.0,0.0,0.0,1196.7
2012-08-14,0.25,0.25,0.25,0.25,0,0.0,0.0,0.0,697.2
2012-08-15,0.25,0.25,0.25,0.25,0,0.0,0.0,0.0,697.2
2012-08-16,0.18,0.18,0.18,0.18,500,0.0,-0.28,90.0,30.0
2012-08-17,0.18,0.18,0.18,0.18,0,0.0,0.0,0.0,9.0
2012-08-20,0.15,0.15,0.15,0.15,1300,0.0,-0.1667,195.0,9.0
2012-08-21,0.15,0.15,0.15,0.15,20000,0.0,0.0,3000.0,28.5
2012-08-22,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,328.5
2012-08-23,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,328.5
2012-08-24,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,328.5
2012-08-27,0.15,0.15,0.15,0.15,2500,0.0,0.0,375.0,328.5
2012-08-28,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,366.0
2012-08-29,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,366.0
2012-08-30,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,366.0
2012-08-31,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,357.0
2012-09-04,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,357.0
2012-09-05,0.15,0.15,0.15,0.15,1200,0.0,0.0,180.0,337.5
2012-09-06,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,55.5
2012-09-07,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,55.5
2012-09-10,0.15,0.15,0.15,0.15,300,0.0,0.0,45.0,55.5
2012-09-11,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,60.0
2012-09-12,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,22.5
2012-09-13,0.15,0.15,0.15,0.15,200,0.0,0.0,30.0,22.5
2012-09-14,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,25.5
2012-09-17,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,25.5
2012-09-18,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,25.5
2012-09-19,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,25.5
2012-09-20,0.11,0.15,0.1,0.15,17900,0.3636,0.0,2685.0,7.5
2012-09-21,0.15,0.15,0.15,0.15,20000,0.0,0.0,3000.0,276.0
2012-09-24,0.15,0.15,0.15,0.15,15000,0.0,0.0,2250.0,576.0
2012-09-25,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,796.5
2012-09-26,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,796.5
2012-09-27,0.15,0.15,0.15,0.15,1500,0.0,0.0,225.0,796.5
2012-09-28,0.15,0.15,0.15,0.15,3800,0.0,0.0,570.0,816.0
2012-10-01,0.15,0.15,0.15,0.15,5400,0.0,0.0,810.0,873.0
2012-10-02,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,954.0
2012-10-03,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,954.0
2012-10-04,0.15,0.15,0.15,0.15,2700,0.0,0.0,405.0,954.0
2012-10-05,0.11,0.12,0.1,0.1,44300,-0.0909,-0.3333,4430.0,726.0
2012-10-08,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,869.0
2012-10-09,0.15,0.15,0.15,0.15,1200,0.0,0.5,180.0,644.0
2012-10-10,0.14,0.14,0.14,0.14,3000,0.0,-0.0667,420.0,662.0
2012-10-11,0.09,0.09,0.09,0.09,9500,0.0,-0.3571,855.0,704.0
2012-10-12,0.09,0.09,0.09,0.09,0,0.0,0.0,0.0,767.0
2012-10-15,0.11,0.11,0.11,0.11,300,0.0,0.2222,33.0,710.0
2012-10-16,0.11,0.11,0.11,0.11,0,0.0,0.0,0.0,632.3
2012-10-17,0.11,0.11,0.11,0.11,0,0.0,0.0,0.0,632.3
2012-10-18,0.11,0.11,0.11,0.11,0,0.0,0.0,0.0,632.3
2012-10-19,0.11,0.11,0.11,0.11,0,0.0,0.0,0.0,591.8
2012-10-22,0.11,0.11,0.11,0.11,0,0.0,0.0,0.0,148.8
2012-10-23,0.11,0.11,0.11,0.11,0,0.0,0.0,0.0,148.8
2012-10-24,0.12,0.13,0.1,0.1,25600,-0.1667,-0.0909,2560.0,130.8
2012-10-25,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,344.8
2012-10-26,0.12,0.12,0.1,0.1,5400,-0.1667,0.0,540.0,259.3
2012-10-31,0.11,0.11,0.11,0.11,20000,0.0,0.1,2200.0,313.3
2012-11-01,0.11,0.11,0.11,0.11,0,0.0,0.0,0.0,530.0
2012-11-02,0.11,0.11,0.11,0.11,0,0.0,0.0,0.0,530.0
2012-11-05,0.11,0.11,0.11,0.11,0,0.0,0.0,0.0,530.0
2012-11-06,0.11,0.11,0.11,0.11,0,0.0,0.0,0.0,530.0
2012-11-07,0.1,0.1,0.1,0.1,5000,0.0,-0.0909,500.0,530.0
2012-11-08,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,580.0
2012-11-09,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,580.0
2012-11-12,0.14,0.14,0.14,0.14,3400,0.0,0.4,476.0,324.0
2012-11-13,0.14,0.14,0.14,0.14,0,0.0,0.0,0.0,371.6
2012-11-14,0.14,0.14,0.14,0.14,0,0.0,0.0,0.0,317.6
2012-11-15,0.14,0.14,0.14,0.14,0,0.0,0.0,0.0,97.6
2012-11-16,0.14,0.14,0.14,0.14,0,0.0,0.0,0.0,97.6
2012-11-19,0.14,0.14,0.14,0.14,0,0.0,0.0,0.0,97.6
2012-11-20,0.14,0.14,0.14,0.14,0,0.0,0.0,0.0,97.6
2012-11-21,0.14,0.14,0.14,0.14,0,0.0,0.0,0.0,97.6
2012-11-23,0.14,0.14,0.14,0.14,0,0.0,0.0,0.0,47.6
2012-11-26,0.13,0.15,0.13,0.15,3000,0.1538,0.0714,450.0,47.6
2012-11-27,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,92.6
2012-11-28,0.15,0.15,0.15,0.15,0,0.0,0.0,0.0,45.0
2012-11-29,0.1,0.1,0.1,0.1,43000,0.0,-0.3333,4300.0,45.0
2012-11-30,0.1,0.1,0.1,0.1,0,0.0,0.0,0.0,475.0
2012-12-03,0.1,0.1,0.06,0.07,33000,-0.3,-0.3,2310.0,475.0
2012-12-04,0.07,0.07,0.06,0.06,59500,-0.1429,-0.1429,3570.0,706.0
2012-12-05,0.06,0.06,0.05,0.05,25300,-0.1667,-0.1667,1265.0,1063.0
2012-12-06,0.05,0.05,0.05,0.05,0,0.0,0.0,0.0,1189.5
2012-12-07,0.05,0.05,0.05,0.05,0,0.0,0.0,0.0,1189.5
2012-12-10,0.05,0.05,0.05,0.05,0,0.0,0.0,0.0,1189.5
2012-12-11,0.05,0.05,0.05,0.05,0,0.0,0.0,0.0,1144.5
2012-12-12,0.05,0.05,0.05,0.05,0,0.0,0.0,0.0,1144.5
2012-12-13,0.05,0.05,0.05,0.05,0,0.0,0.0,0.0,1144.5
2012-12-14,0.05,0.05,0.05,0.05,0,0.0,0.0,0.0,714.5
2012-12-17,0.05,0.05,0.05,0.05,0,0.0,0.0,0.0,714.5
2012-12-18,0.05,0.05,0.05,0.05,0,0.0,0.0,0.0,483.5
2012-12-19,0.05,0.05,0.05,0.05,0,0.0,0.0,0.0,126.5
2012-12-20,0.05,0.05,0.05,0.05,0,0.0,0.0,0.0,0.0
2012-12-21,0.05,0.05,0.05,0.05,0,0.0,0.0,0.0,0.0
2012-12-24,0.08,0.08,0.08,0.08,3000,0.0,0.6,240.0,0.0
