Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2018-03-26,24.15,24.15,23.95,23.97,96400,-0.0075,,2310708.0,
2018-03-27,24.04,24.1,23.99,24.09,32700,0.0021,0.005,787743.0,
2018-03-28,24.09,24.09,23.99,23.99,23400,-0.0042,-0.0042,561366.0,
2018-03-29,24.03,24.14,24.02,24.14,42900,0.0046,0.0063,1035606.0,
2018-04-02,24.14,24.14,24.0,24.0,243900,-0.0058,-0.0058,5853600.0,
2018-04-03,24.12,24.14,23.95,23.99,22700,-0.0054,-0.0004,544573.0,
2018-04-04,24.04,24.04,23.98,24.04,11600,0.0,0.0021,278864.0,
2018-04-05,24.04,24.09,24.02,24.04,23100,0.0,0.0,555324.0,
2018-04-06,24.08,24.08,23.93,23.93,17900,-0.0062,-0.0046,428347.0,
2018-04-09,23.98,24.03,23.91,24.02,20200,0.0017,0.0038,485204.0,
2018-04-10,24.03,24.08,23.97,24.08,22700,0.0021,0.0025,546616.0,1284133.5
2018-04-11,24.08,24.19,24.06,24.19,40900,0.0046,0.0046,989371.0,1107724.3
2018-04-12,24.19,24.19,24.15,24.19,32900,0.0,0.0,795851.0,1127887.1
2018-04-13,24.19,24.19,24.07,24.17,14400,-0.0008,-0.0008,348048.0,1151335.6
2018-04-16,24.17,24.19,24.0,24.19,33100,0.0008,0.0008,800689.0,1082579.8
2018-04-17,24.19,24.19,24.06,24.18,41700,-0.0004,-0.0004,1008306.0,577288.7
2018-04-18,24.18,24.18,24.04,24.05,36500,-0.0054,-0.0054,877825.0,623662.0
2018-04-19,24.05,24.13,24.05,24.1,32700,0.0021,0.0021,788070.0,683558.1
2018-04-20,24.1,24.1,24.0,24.06,15300,-0.0017,-0.0017,368118.0,706832.7
2018-04-23,24.05,24.09,23.94,24.01,86800,-0.0017,-0.0021,2084068.0,700809.8
2018-04-24,24.08,24.08,23.92,24.0,33000,-0.0033,-0.0004,792000.0,860696.2
2018-04-25,23.88,23.99,23.75,23.9,28400,0.0008,-0.0042,678760.0,885234.6
2018-04-26,24.0,24.0,23.76,23.85,40800,-0.0062,-0.0021,973080.0,854173.5
2018-04-27,23.95,23.98,23.86,23.98,25800,0.0013,0.0055,618684.0,871896.4
2018-04-30,23.98,24.0,23.9,23.96,18000,-0.0008,-0.0008,431280.0,898960.0
2018-05-01,23.96,23.98,23.88,23.92,25100,-0.0017,-0.0017,600392.0,862019.1
2018-05-02,23.95,24.0,23.94,24.0,22400,0.0021,0.0033,537600.0,821227.7
2018-05-03,24.0,24.07,23.96,24.0,25500,0.0,0.0,612000.0,787205.2
2018-05-04,24.04,24.1,24.03,24.1,15800,0.0025,0.0042,380780.0,769598.2
2018-05-07,24.1,24.16,24.0,24.12,71600,0.0008,0.0008,1726992.0,770864.4
2018-05-08,24.15,24.15,24.02,24.11,36800,-0.0017,-0.0004,887248.0,735156.8
2018-05-09,24.11,24.11,24.06,24.07,29700,-0.0017,-0.0017,714879.0,744681.6
2018-05-10,24.09,24.09,24.0,24.05,30500,-0.0017,-0.0008,733525.0,748293.5
2018-05-11,24.1,24.15,24.08,24.15,28800,0.0021,0.0042,695520.0,724338.0
2018-05-14,24.15,24.15,24.05,24.15,27700,0.0,0.0,668955.0,732021.6
2018-05-15,24.15,24.17,24.07,24.11,37100,-0.0017,-0.0017,894481.0,755789.1
2018-05-16,23.97,23.97,23.76,23.87,52800,-0.0042,-0.01,1260336.0,785198.0
2018-05-17,23.91,24.0,23.87,23.89,44500,-0.0008,0.0008,1063105.0,857471.6
2018-05-18,23.95,23.99,23.91,23.97,31900,0.0008,0.0033,764643.0,902582.1
