Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2020-09-17,22.59,27.11,22.0,23.9,2229100,0.058,,53275490.0,
2020-09-18,23.45,23.5,22.0,22.8,472100,-0.0277,-0.046,10763880.0,
2020-09-21,22.18,23.1,21.07,22.0,261400,-0.0081,-0.0351,5750800.0,
2020-09-22,23.23,23.23,21.55,22.95,242800,-0.0121,0.0432,5572260.0,
2020-09-23,22.69,23.15,21.96,22.25,100700,-0.0194,-0.0305,2240575.0,
2020-09-24,22.49,22.85,21.4,22.06,138200,-0.0191,-0.0085,3048692.0,
2020-09-25,22.05,22.87,21.78,22.0,189300,-0.0023,-0.0027,4164600.0,
2020-09-28,22.29,22.77,21.35,21.5,101600,-0.0354,-0.0227,2184400.0,
2020-09-29,21.29,21.69,19.27,20.0,191000,-0.0606,-0.0698,3820000.0,
2020-09-30,20.11,20.47,20.0,20.19,46200,0.004,0.0095,932778.0,
2020-10-01,20.4,20.91,19.17,19.52,276100,-0.0431,-0.0332,5389472.0,9175347.5
2020-10-02,19.26,21.03,18.36,19.05,351600,-0.0109,-0.0241,6697980.0,4386745.7
2020-10-05,19.22,19.43,18.2,18.92,226700,-0.0156,-0.0068,4289164.0,3980155.7
2020-10-06,18.9,19.27,18.08,18.84,144300,-0.0032,-0.0042,2718612.0,3833992.1
2020-10-07,19.0,19.08,18.38,18.74,120200,-0.0137,-0.0053,2252548.0,3548627.3
2020-10-08,18.76,19.13,18.42,18.99,209900,0.0123,0.0133,3986001.0,3549824.6
2020-10-09,18.77,19.19,18.24,18.64,522800,-0.0069,-0.0184,9744992.0,3643555.5
2020-10-12,19.2,20.45,18.88,18.98,219500,-0.0115,0.0182,4166110.0,4201594.7
2020-10-13,19.34,19.83,18.93,19.03,218900,-0.016,0.0026,4165667.0,4399765.7
2020-10-14,19.25,19.34,17.46,17.68,239100,-0.0816,-0.0709,4227288.0,4434332.4
2020-10-15,17.51,18.67,16.14,17.16,416500,-0.02,-0.0294,7147140.0,4763783.4
2020-10-16,16.91,17.54,16.8,17.42,68900,0.0302,0.0152,1200238.0,4939550.2
2020-10-19,17.43,17.66,15.6,17.15,429000,-0.0161,-0.0155,7357350.0,4389776.0
2020-10-20,17.0,18.23,15.67,16.81,361200,-0.0112,-0.0198,6071772.0,4696594.6
2020-10-21,16.8,19.2,16.4,17.09,440600,0.0173,0.0167,7529854.0,5031910.6
2020-10-22,17.06,17.58,16.78,17.04,152500,-0.0012,-0.0029,2598600.0,5559641.2
2020-10-23,17.03,18.4,16.06,17.1,303700,0.0041,0.0035,5193270.0,5420901.1
2020-10-26,16.96,18.01,16.55,17.59,150500,0.0371,0.0287,2647295.0,4965728.9
2020-10-27,17.67,19.3,17.46,18.16,257300,0.0277,0.0324,4672568.0,4813847.4
2020-10-28,17.73,18.81,17.0,17.25,78000,-0.0271,-0.0501,1345500.0,4864537.5
2020-10-29,17.29,20.33,16.87,19.65,468900,0.1365,0.1391,9213885.0,4576358.7
2020-10-30,19.46,21.04,18.47,20.68,91600,0.0627,0.0524,1894288.0,4783033.2
2020-11-02,20.63,21.42,18.17,21.1,575000,0.0228,0.0203,12132500.0,4852438.2
2020-11-03,21.2,24.37,20.35,23.94,420600,0.1292,0.1346,10069164.0,5329953.2
2020-11-04,23.7,25.01,21.25,21.26,1249900,-0.103,-0.1119,26572874.0,5729692.4
2020-11-05,21.26,22.37,20.68,21.29,344000,0.0014,0.0014,7323760.0,7633994.4
2020-11-06,21.38,22.37,20.18,20.19,164000,-0.0557,-0.0517,3311160.0,8106510.4
2020-11-09,20.79,21.69,19.43,19.99,236600,-0.0385,-0.0099,4729634.0,7918299.4
2020-11-10,19.96,20.8,19.09,19.21,162800,-0.0376,-0.039,3127388.0,8126533.3
2020-11-11,19.48,20.99,19.17,20.25,363600,0.0395,0.0541,7362900.0,7972015.3
2020-11-12,20.48,21.04,19.5,19.94,126900,-0.0264,-0.0153,2530386.0,8573755.3
2020-11-13,20.0,20.46,18.6,19.31,311900,-0.0345,-0.0316,6022789.0,7905405.4
2020-11-16,19.76,20.24,18.39,18.8,132200,-0.0486,-0.0264,2485360.0,8318255.5
2020-11-17,18.72,20.43,17.76,19.0,278200,0.015,0.0106,5285800.0,7353541.5
2020-11-18,19.32,20.99,18.02,18.95,437300,-0.0192,-0.0026,8286835.0,6875205.1
2020-11-19,18.84,19.81,18.4,19.3,336800,0.0244,0.0185,6500240.0,5046601.2
2020-11-20,19.34,20.21,18.86,19.4,72200,0.0031,0.0052,1400680.0,4964249.2
2020-11-23,19.49,19.49,18.5,18.97,184200,-0.0267,-0.0222,3494274.0,4773201.2
2020-11-24,18.95,19.99,18.7,19.56,116000,0.0322,0.0311,2268960.0,4649665.2
2020-11-25,19.55,20.12,19.19,19.61,106000,0.0031,0.0026,2078660.0,4563822.4
2020-11-27,19.82,20.57,19.29,19.9,84600,0.004,0.0148,1683540.0,4035398.4
2020-11-30,20.16,20.99,19.24,20.16,271500,0.0,0.0131,5473440.0,3950713.8
2020-12-01,20.16,22.88,20.16,21.77,225800,0.0799,0.0799,4915666.0,3895778.9
2020-12-02,22.05,22.14,20.57,20.58,214500,-0.0667,-0.0547,4414410.0,4138809.5
2020-12-03,20.86,21.2,20.16,20.77,98100,-0.0043,0.0092,2037537.0,4051670.5
2020-12-04,20.77,21.39,20.51,20.95,162400,0.0087,0.0087,3402280.0,3426740.7
2020-12-07,21.17,21.7,20.07,20.71,167200,-0.0217,-0.0115,3462712.0,3116944.7
2020-12-08,20.64,21.32,20.64,20.82,92500,0.0087,0.0053,1925850.0,3323147.9
2020-12-09,20.8,21.59,19.81,20.16,126800,-0.0308,-0.0317,2556288.0,3166305.5
2020-12-10,20.16,20.89,19.38,19.49,144800,-0.0332,-0.0332,2822152.0,3195038.3
2020-12-11,19.74,20.3,18.5,19.22,129000,-0.0263,-0.0139,2479380.0,3269387.5
2020-12-14,19.24,20.82,19.24,20.21,280800,0.0504,0.0515,5674968.0,3348971.5
2020-12-15,20.5,20.6,20.01,20.45,153300,-0.0024,0.0119,3134985.0,3369124.3
2020-12-16,20.28,20.85,19.69,20.29,276600,0.0005,-0.0078,5612214.0,3191056.2
2020-12-17,20.3,20.77,19.62,20.24,655200,-0.003,-0.0025,13261248.0,3310836.6
2020-12-18,20.59,22.23,20.01,21.16,2390600,0.0277,0.0455,50585096.0,4433207.7
2020-12-21,20.71,21.5,20.27,21.06,409800,0.0169,-0.0047,8630388.0,9151489.3
2020-12-22,20.95,21.81,20.7,21.6,628700,0.031,0.0256,13579920.0,9668256.9
2020-12-23,21.8,24.85,21.8,23.5,345600,0.078,0.088,8121600.0,10833663.9
2020-12-24,23.22,24.0,22.13,22.53,65200,-0.0297,-0.0413,1468956.0,11390195.1
2020-12-28,22.42,23.59,22.1,23.43,120600,0.045,0.0399,2825658.0,11254875.5
2020-12-29,23.52,24.58,21.72,22.24,315900,-0.0544,-0.0508,7025616.0,11289503.3
2020-12-30,22.11,22.89,21.72,22.11,111000,0.0,-0.0058,2454210.0,11424568.1
2020-12-31,22.0,22.3,20.14,21.0,107600,-0.0455,-0.0502,2259600.0,11356490.6
2021-01-04,20.82,20.99,18.71,19.01,211400,-0.0869,-0.0948,4018714.0,11021229.2
2021-01-05,19.15,19.16,18.76,18.87,105800,-0.0146,-0.0074,1996446.0,10096975.8
2021-01-06,18.93,21.68,18.56,21.42,218800,0.1315,0.1351,4686696.0,5238110.8
2021-01-07,21.49,23.52,20.84,23.22,125600,0.0805,0.084,2916432.0,4843741.6
2021-01-08,25.3,27.78,25.0,27.13,286800,0.0723,0.1684,7780884.0,3777392.8
2021-01-11,28.0,28.35,24.67,26.9,191300,-0.0393,-0.0085,5145970.0,3743321.2
2021-01-12,27.19,29.42,27.19,28.74,157100,0.057,0.0684,4515054.0,4111022.6
2021-01-13,29.07,29.45,27.71,29.3,132600,0.0079,0.0195,3885180.0,4279962.2
2021-01-14,29.31,29.93,27.12,29.05,136800,-0.0089,-0.0085,3974040.0,3965918.6
2021-01-15,28.8,29.8,27.93,28.61,157900,-0.0066,-0.0151,4517519.0,4117901.6
2021-01-19,28.22,29.22,27.0,28.96,140400,0.0262,0.0122,4065984.0,4343693.5
2021-01-20,28.89,32.31,27.9,28.53,245900,-0.0125,-0.0148,7015527.0,4348420.5
2021-01-21,26.61,26.77,21.08,21.24,4131600,-0.2018,-0.2555,87755184.0,4850328.6
2021-01-22,21.9,21.94,20.2,20.2,1638900,-0.0776,-0.049,33105780.0,13157177.4
2021-01-25,20.35,21.05,19.27,19.92,1402200,-0.0211,-0.0139,27931824.0,16176112.2
2021-01-26,20.12,20.52,18.61,18.72,1167000,-0.0696,-0.0602,21846240.0,18191206.2
2021-01-27,18.75,19.25,17.5,18.4,775200,-0.0187,-0.0171,14263680.0,19861233.2
2021-01-28,18.46,20.51,18.46,18.69,1121600,0.0125,0.0158,20962704.0,20836095.8
2021-01-29,19.22,19.58,18.5,19.33,585500,0.0057,0.0342,11317715.0,22543848.2
2021-02-01,19.44,20.14,18.85,18.99,525900,-0.0231,-0.0176,9986841.0,23278215.7
2021-02-02,19.16,20.54,18.76,20.34,639500,0.0616,0.0711,13007430.0,23825147.9
2021-02-03,20.2,20.92,20.05,20.39,440000,0.0094,0.0025,8971600.0,24719292.5
2021-02-04,20.5,20.89,20.13,20.75,254100,0.0122,0.0177,5272575.0,24914899.8
2021-02-05,20.77,21.25,20.3,20.49,332900,-0.0135,-0.0125,6821121.0,16666638.9
2021-02-08,20.49,20.89,19.81,20.31,333300,-0.0088,-0.0088,6769323.0,14038173.0
2021-02-09,20.71,20.71,19.37,19.49,496200,-0.0589,-0.0404,9670938.0,11921922.9
2021-02-10,19.7,19.73,18.68,18.72,309800,-0.0497,-0.0395,5799456.0,10704392.7
2021-02-11,18.8,19.97,18.42,18.81,323600,0.0005,0.0048,6086916.0,9857970.3
2021-02-12,18.66,18.8,18.11,18.61,354800,-0.0027,-0.0106,6602828.0,8370391.5
2021-02-16,18.55,19.03,18.05,18.48,381700,-0.0038,-0.007,7053816.0,7898902.8
2021-02-17,18.41,18.98,18.15,18.62,283700,0.0114,0.0076,5282494.0,7605600.3
2021-02-18,18.22,20.51,18.13,19.35,642500,0.062,0.0392,12432375.0,6833106.7
2021-02-19,19.47,19.77,18.6,18.79,229000,-0.0349,-0.0289,4302910.0,7179184.2
2021-02-22,18.8,20.08,18.8,19.68,409100,0.0468,0.0474,8051088.0,7082217.7
2021-02-23,19.21,20.0,18.36,19.18,360900,-0.0016,-0.0254,6922062.0,7205214.4
2021-02-24,19.33,20.99,19.04,20.23,298000,0.0466,0.0547,6028540.0,7220488.3
2021-02-25,20.17,20.86,19.1,19.34,225400,-0.0412,-0.044,4359236.0,6856248.5
2021-02-26,19.24,20.0,18.18,18.47,433600,-0.04,-0.045,8008592.0,6712226.5
2021-03-01,18.83,18.83,17.63,17.71,442500,-0.0595,-0.0411,7836675.0,6904394.1
2021-03-02,17.94,18.34,17.73,17.77,249900,-0.0095,0.0034,4440723.0,7027778.8
2021-03-03,17.88,17.92,16.65,16.68,339500,-0.0671,-0.0613,5662860.0,6766469.5
2021-03-04,16.78,17.49,14.94,15.7,332800,-0.0644,-0.0588,5224960.0,6804506.1
2021-03-05,16.0,16.25,14.12,15.6,515100,-0.025,-0.0064,8035560.0,6083764.6
2021-03-08,15.5,16.45,15.32,16.0,439300,0.0323,0.0256,7028800.0,6457029.6
2021-03-09,16.11,16.2,15.4,15.64,565900,-0.0292,-0.0225,8850676.0,6354800.8
2021-03-10,15.8,15.94,15.14,15.25,491600,-0.0348,-0.0249,7496900.0,6547662.2
2021-03-11,15.55,16.42,14.95,16.38,567700,0.0534,0.0741,9298926.0,6694498.2
2021-03-12,16.26,16.89,15.94,16.84,208400,0.0357,0.0281,3509456.0,7188467.2
2021-03-15,16.91,17.22,16.7,16.77,293900,-0.0083,-0.0042,4928703.0,6738553.6
2021-03-16,16.99,17.32,16.3,16.63,314200,-0.0212,-0.0083,5225146.0,6447756.4
2021-03-17,16.49,16.71,16.16,16.57,134900,0.0049,-0.0036,2235293.0,6526198.7
2021-03-18,16.52,16.58,15.93,16.11,126900,-0.0248,-0.0278,2044359.0,6183442.0
2021-03-19,16.19,16.58,15.79,15.81,503700,-0.0235,-0.0186,7963497.0,5865381.9
2021-03-22,16.26,16.35,15.69,15.81,301000,-0.0277,0.0,4758810.0,5858175.6
2021-03-23,15.63,15.72,15.03,15.2,177000,-0.0275,-0.0386,2690400.0,5631176.6
2021-03-24,15.35,15.63,13.5,14.0,393500,-0.0879,-0.0789,5509000.0,5015149.0
2021-03-25,14.0,15.29,14.0,14.68,158700,0.0486,0.0486,2329716.0,4816359.0
2021-03-26,14.78,14.89,13.94,14.71,160500,-0.0047,0.002,2360955.0,4119438.0
2021-03-29,14.65,14.99,13.93,14.62,199000,-0.002,-0.0061,2909380.0,4004587.9
2021-03-30,14.62,15.3,14.29,15.23,255400,0.0417,0.0417,3889742.0,3802655.6
2021-03-31,15.21,15.84,15.15,15.53,170500,0.021,0.0197,2647865.0,3669115.2
2021-04-01,15.62,15.98,15.12,15.94,197000,0.0205,0.0264,3140180.0,3710372.4
2021-04-05,16.02,17.2,15.94,17.19,380300,0.073,0.0784,6537357.0,3819954.5
2021-04-06,17.02,17.02,15.96,16.45,246500,-0.0335,-0.043,4054925.0,3677340.5
2021-04-07,16.36,16.66,16.12,16.44,147100,0.0049,-0.0006,2418324.0,3606952.0
2021-04-08,16.53,16.78,15.78,16.75,359600,0.0133,0.0189,6023300.0,3579744.4
2021-04-09,16.74,17.09,16.22,16.75,272900,0.0006,0.0,4571075.0,3631174.4
2021-04-12,16.63,16.85,16.12,16.7,222900,0.0042,-0.003,3722430.0,3855310.3
2021-04-13,16.69,16.96,16.28,16.9,194200,0.0126,0.012,3281980.0,3991457.8
2021-04-14,17.0,17.67,16.96,17.16,137600,0.0094,0.0154,2361216.0,4028717.8
2021-04-15,17.19,17.78,17.05,17.53,270300,0.0198,0.0216,4738359.0,3875865.2
2021-04-16,17.7,17.7,16.99,17.45,195800,-0.0141,-0.0046,3416710.0,4084914.6
2021-04-19,17.43,18.04,17.05,17.88,366200,0.0258,0.0246,6547656.0,4112567.6
2021-04-20,17.76,18.08,16.99,17.33,619000,-0.0242,-0.0308,10727270.0,4113597.5
2021-04-21,17.35,17.89,16.98,17.24,381600,-0.0063,-0.0052,6578784.0,4780832.0
2021-04-22,17.3,17.74,16.97,17.14,351100,-0.0092,-0.0058,6017854.0,5196878.0
2021-04-23,17.23,18.53,17.14,18.4,211700,0.0679,0.0735,3895280.0,5196333.4
2021-04-26,18.38,18.8,18.0,18.53,134000,0.0082,0.0071,2483020.0,5128753.9
2021-04-27,18.53,19.2,18.35,18.72,207300,0.0103,0.0103,3880656.0,5004812.9
2021-04-28,18.64,19.15,18.27,18.97,204700,0.0177,0.0134,3883159.0,5064680.5
2021-04-29,19.0,19.3,18.27,19.2,317100,0.0105,0.0121,6088320.0,5216874.8
2021-04-30,18.93,19.78,18.82,19.68,376300,0.0396,0.025,7405584.0,5351870.9
2021-05-03,19.64,19.69,17.72,17.89,202100,-0.0891,-0.091,3615569.0,5750758.3
2021-05-04,17.79,18.19,17.07,17.55,210100,-0.0135,-0.019,3687255.0,5457549.6
2021-05-05,17.69,18.16,17.38,17.8,220000,0.0062,0.0142,3916000.0,4753548.1
2021-05-06,17.81,18.36,17.31,18.12,170300,0.0174,0.018,3085836.0,4487269.7
2021-05-07,18.23,19.0,18.06,18.71,117700,0.0263,0.0326,2202167.0,4194067.9
2021-05-10,18.78,18.96,17.75,18.03,158400,-0.0399,-0.0363,2855952.0,4024756.6
2021-05-11,17.51,18.6,17.46,17.84,178000,0.0188,-0.0105,3175520.0,4062049.8
2021-05-12,17.69,17.99,17.04,17.24,241100,-0.0254,-0.0336,4156564.0,3991536.2
2021-05-13,17.28,17.53,16.42,16.98,206900,-0.0174,-0.0151,3513162.0,4018876.7
2021-05-14,17.25,17.91,17.03,17.47,143800,0.0128,0.0289,2512186.0,3761360.9
2021-05-17,17.28,18.02,17.28,17.98,123500,0.0405,0.0292,2220530.0,3272021.1
2021-05-18,18.11,18.5,17.22,17.57,186100,-0.0298,-0.0228,3269777.0,3132517.2
2021-05-19,17.26,17.73,17.13,17.53,138700,0.0156,-0.0023,2431411.0,3090769.4
2021-05-20,17.53,18.59,17.42,18.17,114600,0.0365,0.0365,2082282.0,2942310.5
2021-05-21,18.31,18.63,17.92,18.35,140900,0.0022,0.0099,2585515.0,2841955.1
2021-05-24,18.08,19.0,18.08,18.74,199900,0.0365,0.0213,3746126.0,2880289.9
2021-05-25,18.67,19.35,18.67,18.94,152300,0.0145,0.0107,2884562.0,2969307.3
2021-05-26,19.06,19.63,18.85,19.56,144500,0.0262,0.0327,2826420.0,2940211.5
2021-05-27,19.52,19.65,18.53,18.84,329100,-0.0348,-0.0368,6200244.0,2807197.1
2021-05-28,18.97,19.8,18.79,19.11,135600,0.0074,0.0143,2591316.0,3075905.3
2021-06-01,19.28,19.3,18.4,18.62,127100,-0.0342,-0.0256,2366602.0,3083818.3
2021-06-02,18.75,19.3,18.73,19.05,179900,0.016,0.0231,3427095.0,3098425.5
2021-06-03,18.74,18.85,17.66,18.02,221200,-0.0384,-0.0541,3986024.0,3114157.3
2021-06-04,18.13,18.41,17.91,18.14,96100,0.0006,0.0067,1743254.0,3269618.6
2021-06-07,18.2,19.96,18.16,19.7,241000,0.0824,0.086,4747700.0,3235715.8
2021-06-08,19.75,20.22,18.92,20.0,345600,0.0127,0.0152,6912000.0,3451934.3
2021-06-09,20.0,20.8,19.55,20.32,168300,0.016,0.016,3419856.0,3768521.7
2021-06-10,20.42,20.93,20.15,20.81,149400,0.0191,0.0241,3109014.0,3822051.1
2021-06-11,20.77,21.1,19.59,20.52,132600,-0.012,-0.0139,2720952.0,3850310.5
2021-06-14,20.15,21.33,19.8,20.94,436500,0.0392,0.0205,9140310.0,3502381.3
2021-06-15,20.92,21.29,20.2,20.46,241800,-0.022,-0.0229,4947228.0,4157280.7
2021-06-16,20.5,21.5,20.33,21.0,235400,0.0244,0.0264,4943400.0,4415343.3
2021-06-17,21.08,21.93,21.08,21.58,154900,0.0237,0.0276,3342742.0,4566973.8
2021-06-18,21.26,21.67,20.53,21.49,257100,0.0108,-0.0042,5525079.0,4502645.6
2021-06-21,21.34,21.98,21.08,21.92,218600,0.0272,0.02,4791712.0,4880828.1
2021-06-22,21.84,21.97,20.62,20.86,668100,-0.0449,-0.0484,13936566.0,4885229.3
2021-06-23,20.65,21.7,20.65,21.36,233100,0.0344,0.024,4979016.0,5587685.9
2021-06-24,21.34,22.58,21.34,21.93,206200,0.0276,0.0267,4521966.0,5743601.9
2021-06-25,21.93,22.04,20.95,21.84,2269800,-0.0041,-0.0041,49572432.0,5884897.1
2021-06-28,21.89,22.5,21.78,22.33,153400,0.0201,0.0224,3425422.0,10570045.1
2021-06-29,22.09,22.92,21.98,22.0,346300,-0.0041,-0.0148,7618600.0,9998556.3
2021-06-30,21.87,22.17,20.97,21.04,130400,-0.038,-0.0436,2743616.0,10265693.5
2021-07-01,21.04,21.68,21.04,21.46,83700,0.02,0.02,1796202.0,10045715.1
2021-07-02,21.66,21.7,20.85,21.24,95600,-0.0194,-0.0103,2030544.0,9891061.1
2021-07-06,21.19,21.25,20.7,20.73,115700,-0.0217,-0.024,2398461.0,9541607.6
2021-07-07,20.73,21.31,20.63,20.98,63700,0.0121,0.0121,1336426.0,9302282.5
2021-07-08,20.33,21.63,20.33,20.77,110400,0.0216,-0.01,2293008.0,8042268.5
2021-07-09,21.05,21.44,20.86,21.01,226100,-0.0019,0.0116,4750361.0,7773667.7
2021-07-12,20.85,21.25,20.6,20.9,104400,0.0024,-0.0052,2181960.0,7796507.2
2021-07-13,20.45,20.88,19.53,19.8,431000,-0.0318,-0.0526,8533800.0,3057460.0
2021-07-14,19.77,19.83,18.23,18.48,187100,-0.0653,-0.0667,3457608.0,3568297.8
2021-07-15,18.39,19.22,17.9,18.9,134700,0.0277,0.0227,2545830.0,3152198.6
2021-07-16,19.14,19.75,18.69,19.0,101800,-0.0073,0.0053,1934200.0,3132420.0
2021-07-19,18.68,20.28,18.68,19.69,178200,0.0541,0.0363,3508758.0,3146219.8
2021-07-20,19.78,20.34,19.08,19.59,175400,-0.0096,-0.0051,3436086.0,3294041.2
2021-07-21,19.6,19.75,19.29,19.49,128200,-0.0056,-0.0051,2498618.0,3397803.7
2021-07-22,19.48,19.59,18.83,19.12,137700,-0.0185,-0.019,2632824.0,3514022.9
2021-07-23,19.11,20.05,18.58,19.52,353400,0.0215,0.0209,6898368.0,3548004.5
2021-07-26,19.5,20.07,18.6,19.48,357700,-0.001,-0.002,6967996.0,3762805.2
2021-07-27,19.46,20.05,18.55,19.42,161400,-0.0021,-0.0031,3134388.0,4241408.8
