Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,44.73,45.38,44.09,45.19,4910200,0.0103,,221891938.0,
2003-12-02,44.87,44.87,43.7,43.9,6005100,-0.0216,-0.0285,263623890.0,
2003-12-03,43.86,44.12,41.17,42.27,16108300,-0.0363,-0.0371,680897841.0,
2003-12-04,41.82,43.24,41.64,42.01,7772000,0.0045,-0.0062,326501720.0,
2003-12-05,41.69,43.0,41.67,42.28,4949100,0.0142,0.0064,209247948.0,
2003-12-08,42.15,42.61,41.42,42.48,3674300,0.0078,0.0047,156084264.0,
2003-12-09,42.78,42.95,41.27,41.43,4407400,-0.0316,-0.0247,182598582.0,
2003-12-10,41.32,41.66,40.6,41.35,5875300,0.0007,-0.0019,242943655.0,
2003-12-11,43.2,43.78,42.6,43.63,9357800,0.01,0.0551,408280814.0,
2003-12-12,43.86,44.45,43.0,44.26,5251900,0.0091,0.0144,232449094.0,
2003-12-15,45.01,45.2,42.99,43.25,6010800,-0.0391,-0.0228,259967100.0,292451974.6
2003-12-16,44.2,44.82,43.73,44.47,5460500,0.0061,0.0282,242828435.0,296259490.8
2003-12-17,44.64,44.68,43.51,44.35,3753600,-0.0065,-0.0027,166472160.0,294179945.3
2003-12-18,45.01,45.44,44.46,44.85,4616500,-0.0036,0.0113,207050025.0,242737377.2
2003-12-19,45.59,46.85,45.22,46.09,8074300,0.011,0.0276,372144487.0,230792207.7
2003-12-22,46.25,46.4,45.27,46.02,4094600,-0.005,-0.0015,188433492.0,247081861.6
2003-12-23,46.0,47.44,45.4,47.23,4741100,0.0267,0.0263,223922153.0,250316784.4
2003-12-24,46.95,47.31,46.57,46.8,1399900,-0.0032,-0.0091,65515320.0,254449141.5
2003-12-26,46.69,47.24,46.68,46.95,921700,0.0056,0.0032,43273815.0,236706308.0
2003-12-29,46.9,47.49,46.75,47.25,3003300,0.0075,0.0064,141905925.0,200205608.1
2003-12-30,47.5,48.07,47.29,47.87,2767900,0.0078,0.0131,132499373.0,191151291.2
2003-12-31,48.25,48.26,47.1,47.68,3542500,-0.0118,-0.004,168906400.0,178404518.5
2004-01-02,48.27,48.34,47.39,47.63,3880600,-0.0133,-0.001,184832978.0,171012315.0
2004-01-05,47.99,48.08,47.2,47.83,5487000,-0.0033,0.0042,262443210.0,172848396.8
2004-01-06,48.2,49.19,47.76,48.87,5985400,0.0139,0.0217,292506498.0,178387715.3
2004-01-07,48.6,49.36,47.95,48.65,5955800,0.001,-0.0045,289749670.0,170423916.4
2004-01-08,49.0,49.49,48.27,49.13,3878600,0.0027,0.0099,190555618.0,180555534.2
2004-01-09,48.5,49.93,47.63,48.13,5253500,-0.0076,-0.0204,252850955.0,177218880.7
2004-01-12,48.35,49.14,47.4,48.96,3575600,0.0126,0.0172,175061376.0,195952444.2
2004-01-13,48.33,48.76,45.87,46.85,6132800,-0.0306,-0.0431,287321680.0,209131200.3
2004-01-14,48.0,48.4,47.31,48.18,4520500,0.0037,0.0284,217797690.0,223672775.8
2004-01-15,47.8,48.8,47.6,48.41,4375500,0.0128,0.0048,211817955.0,232202607.5
2004-01-16,48.63,48.87,47.25,47.66,4471300,-0.0199,-0.0155,213102158.0,236493763.0
2004-01-20,47.73,47.91,46.85,47.85,3542800,0.0025,0.004,169522980.0,239320681.0
2004-01-21,48.2,48.33,46.94,47.75,2542900,-0.0093,-0.0021,121423475.0,230028658.0
2004-01-22,48.12,48.9,47.89,48.44,3338000,0.0067,0.0145,161692720.0,212920355.7
2004-01-23,48.56,49.5,48.2,49.13,4237600,0.0117,0.0142,208193288.0,200114660.7
2004-01-26,48.84,49.49,48.08,49.42,3426400,0.0119,0.0059,169332688.0,201878427.7
2004-01-27,49.36,49.87,48.45,48.53,6076400,-0.0168,-0.018,294887692.0,193526601.0
2004-01-28,46.07,47.61,45.9,46.31,19136400,0.0052,-0.0457,886206684.0,205509232.6
2004-01-29,46.75,47.2,46.01,46.94,5352200,0.0041,0.0136,251232268.0,265397733.0
2004-01-30,46.95,47.8,46.34,46.86,3724700,-0.0019,-0.0017,174539442.0,268741190.8
2004-02-02,46.64,46.96,45.38,45.42,6884200,-0.0262,-0.0307,312680364.0,265013339.5
2004-02-03,45.98,45.98,44.22,44.53,9099600,-0.0315,-0.0196,405205188.0,274971160.1
2004-02-04,44.39,45.31,44.07,44.17,3773000,-0.005,-0.0081,166653410.0,298539380.9
2004-02-05,44.23,44.82,43.8,44.1,4144800,-0.0029,-0.0016,182785680.0,303062374.4
