Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-06-14,25.5,25.6,25.1,25.25,102300,-0.0098,,2583075.0,
2021-06-15,25.5,25.5,25.25,25.35,40000,-0.0059,0.004,1014000.0,
2021-06-16,25.45,25.45,25.35,25.4,51800,-0.002,0.002,1315720.0,
2021-06-17,25.5,25.65,25.32,25.6,13500,0.0039,0.0079,345600.0,
2021-06-18,25.51,25.61,25.41,25.58,54100,0.0027,-0.0008,1383878.0,
2021-06-21,25.4,25.54,25.36,25.38,32200,-0.0008,-0.0078,817236.0,
2021-06-22,25.5,25.5,25.39,25.42,11000,-0.0031,0.0016,279620.0,
2021-06-23,25.47,25.52,25.43,25.48,7700,0.0004,0.0024,196196.0,
2021-06-24,25.52,25.52,25.49,25.5,9000,-0.0008,0.0008,229500.0,
2021-06-25,25.55,25.7,25.54,25.7,22400,0.0059,0.0078,575680.0,
2021-06-28,25.69,25.7,25.61,25.65,98200,-0.0016,-0.0019,2518830.0,874050.5
2021-06-29,25.61,25.75,25.61,25.75,12100,0.0055,0.0039,311575.0,867626.0
2021-06-30,25.75,25.75,25.74,25.75,6300,0.0,0.0,162225.0,797383.5
2021-07-01,25.8,26.5,25.7,26.01,20100,0.0081,0.0101,522801.0,682034.0
2021-07-02,26.08,26.2,25.83,25.99,2200,-0.0035,-0.0008,57178.0,699754.1
2021-07-06,25.99,26.4,25.91,26.37,40900,0.0146,0.0146,1078533.0,567084.1
2021-07-07,26.0,27.0,26.0,26.5,10000,0.0192,0.0049,265000.0,593213.8
2021-07-08,26.67,27.0,26.62,26.75,3100,0.003,0.0094,82925.0,591751.8
2021-07-09,26.26,26.28,25.81,25.81,1800,-0.0171,-0.0351,46458.0,580424.7
2021-07-12,26.54,26.75,26.16,26.16,600,-0.0143,0.0136,15696.0,562120.5
2021-07-13,26.45,26.45,26.45,26.45,400,0.0,0.0111,10580.0,506122.1
2021-07-14,25.93,26.0,25.9,26.0,1100,0.0027,-0.017,28600.0,255297.1
2021-07-15,25.9,26.05,25.84,26.05,2300,0.0058,0.0019,59915.0,226999.6
2021-07-16,25.98,25.98,25.97,25.97,1200,-0.0004,-0.0031,31164.0,216768.6
2021-07-19,25.9,25.9,25.75,25.86,4400,-0.0015,-0.0042,113784.0,167604.9
2021-07-20,25.67,25.8,25.55,25.55,77900,-0.0047,-0.012,1990345.0,173265.5
2021-07-21,25.47,25.61,25.45,25.54,77100,0.0027,-0.0004,1969134.0,264446.7
2021-07-22,25.48,25.5,25.28,25.32,120100,-0.0063,-0.0086,3040932.0,434860.1
2021-07-23,25.33,25.34,25.28,25.31,66300,-0.0008,-0.0004,1678053.0,730660.8
2021-07-26,25.27,25.27,25.21,25.25,134700,-0.0008,-0.0024,3401175.0,893820.3
