Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,1.89,1.89,1.64,1.82,46100,-0.037,,83902.0,
2003-12-02,1.82,1.85,1.64,1.83,9300,0.0055,0.0055,17019.0,
2003-12-03,1.84,1.84,1.75,1.75,20700,-0.0489,-0.0437,36225.0,
2003-12-04,1.78,1.78,1.78,1.78,14400,0.0,0.0171,25632.0,
2003-12-05,1.75,1.8,1.75,1.8,5900,0.0286,0.0112,10620.0,
2003-12-08,1.8,1.8,1.75,1.75,3500,-0.0278,-0.0278,6125.0,
2003-12-09,1.64,1.64,1.64,1.64,3800,0.0,-0.0629,6232.0,
2003-12-10,1.64,1.64,1.64,1.64,14900,0.0,0.0,24436.0,
2003-12-11,1.64,1.64,1.64,1.64,0,0.0,0.0,0.0,
2003-12-12,1.65,1.75,1.65,1.75,6300,0.0606,0.0671,11025.0,
2003-12-15,1.68,1.7,1.64,1.64,11800,-0.0238,-0.0629,19352.0,22121.6
2003-12-16,1.65,1.85,1.51,1.65,27200,0.0,0.0061,44880.0,15666.6
2003-12-17,1.66,1.68,1.66,1.66,7800,0.0,0.0061,12948.0,18452.7
2003-12-18,1.7,1.8,1.7,1.8,800,0.0588,0.0843,1440.0,16125.0
2003-12-19,1.8,1.8,1.8,1.8,0,0.0,0.0,0.0,13705.8
2003-12-22,1.64,1.71,1.64,1.71,8000,0.0427,-0.05,13680.0,12643.8
2003-12-23,1.71,1.71,1.71,1.71,0,0.0,0.0,0.0,13399.3
2003-12-24,1.71,1.71,1.71,1.71,0,0.0,0.0,0.0,12776.1
2003-12-26,1.8,1.8,1.8,1.8,5600,0.0,0.0526,10080.0,10332.5
2003-12-29,1.71,1.71,1.7,1.7,2000,-0.0058,-0.0556,3400.0,11340.5
2003-12-30,1.71,1.71,1.66,1.66,4200,-0.0292,-0.0235,6972.0,10578.0
2003-12-31,1.78,1.8,1.63,1.79,19000,0.0056,0.0783,34010.0,9340.0
2004-01-02,1.81,1.81,1.81,1.81,2000,0.0,0.0112,3620.0,8253.0
2004-01-05,1.81,1.81,1.81,1.81,2000,0.0,0.0,3620.0,7320.2
2004-01-06,1.82,1.82,1.82,1.82,400,0.0,0.0055,728.0,7538.2
2004-01-07,1.82,1.82,1.82,1.82,0,0.0,0.0,0.0,7611.0
2004-01-08,1.8,1.8,1.79,1.8,9000,0.0,-0.011,16200.0,6243.0
2004-01-09,1.71,1.8,1.68,1.8,6800,0.0526,0.0,12240.0,7863.0
2004-01-12,1.79,1.82,1.68,1.68,7700,-0.0615,-0.0667,12936.0,9087.0
2004-01-13,1.65,1.8,1.65,1.79,6100,0.0848,0.0655,10919.0,9372.6
2004-01-14,1.66,1.79,1.55,1.77,7300,0.0663,-0.0112,12921.0,10124.5
2004-01-15,1.67,1.77,1.67,1.7,9000,0.018,-0.0395,15300.0,10719.4
2004-01-16,1.75,1.78,1.7,1.77,6300,0.0114,0.0412,11151.0,8848.4
2004-01-20,1.72,1.79,1.7,1.7,25400,-0.0116,-0.0395,43180.0,9601.5
2004-01-21,1.71,1.79,1.7,1.71,8600,0.0,0.0059,14706.0,13557.5
2004-01-22,1.72,1.79,1.66,1.66,16900,-0.0349,-0.0292,28054.0,14955.3
2004-01-23,1.66,1.78,1.55,1.75,14000,0.0542,0.0542,24500.0,17760.7
