Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-07-19,9.9,9.93,9.9,9.9,500,0.0,,4950.0,
2021-07-20,9.8,9.81,9.68,9.7,700,-0.0102,-0.0202,6790.0,
2021-07-21,9.69,9.69,9.69,9.69,400,0.0,-0.001,3876.0,
2021-07-22,9.69,9.69,9.69,9.69,100,0.0,0.0,969.0,
2021-07-23,9.69,9.69,9.69,9.69,0,0.0,0.0,0.0,
2021-07-26,9.69,9.69,9.69,9.69,0,0.0,0.0,0.0,
2021-07-27,9.69,9.69,9.69,9.69,0,0.0,0.0,0.0,
2021-07-28,9.61,9.61,9.61,9.61,100,0.0,-0.0083,961.0,
2021-07-29,9.61,9.61,9.61,9.61,0,0.0,0.0,0.0,
2021-07-30,9.61,9.61,9.61,9.61,0,0.0,0.0,0.0,
2021-08-02,9.61,9.61,9.61,9.61,0,0.0,0.0,0.0,1754.6
2021-08-03,9.8,9.8,9.73,9.73,16100,-0.0071,0.0125,156653.0,1259.6
2021-08-04,9.73,9.73,9.73,9.73,0,0.0,0.0,0.0,16245.9
2021-08-05,9.73,9.73,9.73,9.73,0,0.0,0.0,0.0,15858.3
2021-08-06,9.73,9.73,9.73,9.73,0,0.0,0.0,0.0,15761.4
2021-08-09,9.73,9.73,9.73,9.73,0,0.0,0.0,0.0,15761.4
2021-08-10,9.73,9.73,9.73,9.73,0,0.0,0.0,0.0,15761.4
2021-08-11,9.73,9.73,9.73,9.73,0,0.0,0.0,0.0,15761.4
2021-08-12,9.73,9.73,9.73,9.73,0,0.0,0.0,0.0,15665.3
2021-08-13,9.73,9.73,9.73,9.73,0,0.0,0.0,0.0,15665.3
2021-08-16,9.73,9.73,9.73,9.73,467000,0.0,0.0,4543910.0,15665.3
2021-08-17,9.73,9.73,9.73,9.73,0,0.0,0.0,0.0,470056.3
2021-08-18,9.73,9.73,9.73,9.73,0,0.0,0.0,0.0,454391.0
2021-08-19,9.73,9.73,9.73,9.73,0,0.0,0.0,0.0,454391.0
2021-08-20,9.73,9.73,9.73,9.73,0,0.0,0.0,0.0,454391.0
2021-08-23,9.68,9.68,9.68,9.68,100,0.0,-0.0051,968.0,454391.0
2021-08-24,9.68,9.68,9.68,9.68,100,0.0,0.0,968.0,454487.8
2021-08-25,9.67,9.67,9.67,9.67,400,0.0,-0.001,3868.0,454584.6
2021-08-26,9.63,9.63,9.62,9.62,3200,-0.001,-0.0052,30784.0,454971.4
2021-08-27,9.61,9.62,9.6,9.61,4300,0.0,-0.001,41323.0,458049.8
2021-08-30,9.61,9.61,9.61,9.61,0,0.0,0.0,0.0,462182.1
2021-08-31,9.6,9.62,9.6,9.62,9400,0.0021,0.001,90428.0,7791.1
2021-09-01,9.62,9.62,9.59,9.6,127900,-0.0021,-0.0021,1227840.0,16833.9
2021-09-02,9.63,9.63,9.6,9.6,53300,-0.0031,0.0,511680.0,139617.9
2021-09-03,9.6,9.63,9.59,9.63,68700,0.0031,0.0031,661581.0,190785.9
2021-09-07,9.6,9.68,9.6,9.68,21900,0.0083,0.0052,211992.0,256944.0
2021-09-08,9.67,9.68,9.59,9.68,603600,0.001,0.0,5842848.0,278046.4
2021-09-09,9.63,9.68,9.63,9.68,600,0.0052,0.0,5808.0,862234.4
2021-09-10,9.62,9.68,9.62,9.68,600,0.0062,0.0,5808.0,862428.4
2021-09-13,9.66,9.69,9.64,9.69,4400,0.0031,0.001,42636.0,859930.8
2021-09-14,9.68,9.9,9.68,9.69,181300,0.001,0.0,1756797.0,860062.1
2021-09-15,9.63,9.72,9.63,9.7,11700,0.0073,0.001,113490.0,1035741.8
2021-09-16,9.95,9.95,9.68,9.72,29400,-0.0231,0.0021,285768.0,1038048.0
2021-09-17,9.67,9.7,9.67,9.68,800,0.001,-0.0041,7744.0,943840.8
2021-09-20,9.72,9.72,9.6,9.65,111500,-0.0072,-0.0031,1075975.0,893447.2
2021-09-21,9.61,9.66,9.61,9.65,137100,0.0042,0.0,1323015.0,934886.6
2021-09-22,9.64,9.69,9.64,9.67,9600,0.0031,0.0021,92832.0,1045988.9
2021-09-23,9.64,9.68,9.64,9.68,7600,0.0041,0.001,73568.0,470987.3
2021-09-24,9.64,9.7,9.64,9.7,1600,0.0062,0.0021,15520.0,477763.3
2021-09-27,9.64,9.7,9.64,9.68,400,0.0041,-0.0021,3872.0,478734.5
2021-09-28,9.68,9.68,9.68,9.68,0,0.0,0.0,0.0,474858.1
2021-09-29,9.68,9.68,9.68,9.68,0,0.0,0.0,0.0,299178.4
2021-09-30,9.69,9.71,9.69,9.71,5500,0.0021,0.0031,53405.0,287829.4
2021-10-01,9.71,9.71,9.71,9.71,0,0.0,0.0,0.0,264593.1
2021-10-04,9.84,9.84,9.71,9.71,1500,-0.0132,0.0,14565.0,263818.7
2021-10-05,9.79,9.79,9.72,9.76,1200,-0.0031,0.0051,11712.0,157677.7
