Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2006-10-20,22.5,22.84,22.25,22.67,97000,0.0076,,2198990.0,
2006-10-23,22.91,22.91,21.97,22.0,293900,-0.0397,-0.0296,6465800.0,
2006-10-24,22.0,22.25,21.75,22.1,132700,0.0045,0.0045,2932670.0,
2006-10-25,22.0,22.79,21.78,22.35,249000,0.0159,0.0113,5565150.0,
2006-10-26,22.25,23.5,21.7,23.5,203000,0.0562,0.0515,4770500.0,
2006-10-27,23.69,23.69,22.76,23.01,139000,-0.0287,-0.0209,3198390.0,
2006-10-30,22.84,22.98,22.3,22.45,65400,-0.0171,-0.0243,1468230.0,
2006-10-31,23.0,23.0,21.99,22.12,72100,-0.0383,-0.0147,1594852.0,
2006-11-01,22.02,22.74,22.0,22.24,117100,0.01,0.0054,2604304.0,
2006-11-02,22.06,23.5,21.88,23.12,191700,0.0481,0.0396,4432104.0,
2006-11-03,23.3,24.0,23.0,23.54,115000,0.0103,0.0182,2707100.0,3523099.0
2006-11-06,23.6,23.7,23.02,23.55,27900,-0.0021,0.0004,657045.0,3573910.0
2006-11-07,23.09,23.6,23.0,23.4,115300,0.0134,-0.0064,2698020.0,2993034.5
2006-11-08,23.07,23.11,22.39,22.5,173900,-0.0247,-0.0385,3912750.0,2969569.5
2006-11-09,22.58,22.7,22.5,22.51,121900,-0.0031,0.0004,2743969.0,2804329.5
2006-11-10,24.0,25.06,22.89,23.29,336000,-0.0296,0.0347,7825440.0,2601676.4
2006-11-13,23.28,23.72,23.25,23.5,94800,0.0095,0.009,2227800.0,3064381.4
2006-11-14,23.65,26.29,23.27,25.9,474200,0.0951,0.1021,12281780.0,3140338.4
2006-11-15,25.9,27.22,25.0,27.1,339500,0.0463,0.0463,9200450.0,4209031.2
2006-11-16,27.17,28.88,25.91,26.89,338700,-0.0103,-0.0077,9107643.0,4868645.8
2006-11-17,26.94,26.94,25.94,26.25,126200,-0.0256,-0.0238,3312750.0,5336199.7
2006-11-20,24.5,25.14,24.0,24.63,343800,0.0053,-0.0617,8467794.0,5396764.7
2006-11-21,24.39,24.85,22.5,22.73,307800,-0.0681,-0.0771,6996294.0,6177839.6
2006-11-22,21.59,23.31,21.4,22.16,487200,0.0264,-0.0251,10796352.0,6607667.0
2006-11-24,22.15,22.6,21.71,22.4,54200,0.0113,0.0108,1214080.0,7296027.2
2006-11-27,22.07,22.34,21.77,22.24,83900,0.0077,-0.0071,1865936.0,7143038.3
2006-11-28,22.02,22.34,21.81,22.25,68400,0.0104,0.0004,1521900.0,6547087.9
2006-11-29,22.31,23.1,22.06,22.73,133400,0.0188,0.0216,3032182.0,6476497.9
2006-11-30,22.57,22.95,22.35,22.41,50100,-0.0071,-0.0141,1122741.0,5551538.1
2006-12-01,22.28,22.55,21.47,21.65,106700,-0.0283,-0.0339,2310055.0,4743767.2
2006-12-04,21.5,22.07,19.77,20.4,409000,-0.0512,-0.0577,8343600.0,4064008.4
2006-12-05,20.03,20.64,20.03,20.38,155600,0.0175,-0.001,3171128.0,4567093.4
