Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2014-01-30,148.5,152.25,121.95,122.7,117307,-0.1737,,14393568.9,
2014-01-31,120.0,129.6,118.95,127.05,18833,0.0588,0.0355,2392732.65,
2014-02-03,125.25,130.2,118.5,120.0,7860,-0.0419,-0.0555,943200.0,
2014-02-04,120.0,120.15,111.75,112.5,25253,-0.0625,-0.0625,2840962.5,
2014-02-05,112.5,115.5,112.5,115.5,5560,0.0267,0.0267,642180.0,
2014-02-06,112.65,119.25,112.5,117.9,1060,0.0466,0.0208,124974.0,
2014-02-07,119.85,120.0,112.5,112.95,3593,-0.0576,-0.042,405829.35,
2014-02-10,117.0,117.0,112.5,112.65,7240,-0.0372,-0.0027,815586.0,
2014-02-11,112.5,116.25,112.5,115.35,3353,0.0253,0.024,386768.55,
2014-02-12,115.5,115.5,112.5,113.4,2627,-0.0182,-0.0169,297901.8,
2014-02-13,112.5,114.6,112.5,114.0,1760,0.0133,0.0053,200640.0,2324370.38
2014-02-14,116.25,116.25,113.1,113.25,1313,-0.0258,-0.0066,148697.25,905077.48
2014-02-18,115.35,115.35,112.5,112.5,2253,-0.0247,-0.0066,253462.5,680673.94
2014-02-19,113.55,114.0,112.5,112.5,2293,-0.0092,0.0,257962.5,611700.19
2014-02-20,114.3,116.25,112.5,113.4,2300,-0.0079,0.008,260820.0,353400.2
2014-02-21,115.05,115.05,112.5,113.55,1347,-0.013,0.0013,152951.85,315264.2
2014-02-24,137.55,220.2,130.35,142.5,214213,0.036,0.255,30525352.5,318061.98
2014-02-25,152.7,163.5,138.45,161.85,71433,0.0599,0.1358,11561431.05,3330014.3
2014-02-26,163.5,183.3,150.75,171.15,30227,0.0468,0.0575,5173351.05,4404598.8
2014-02-27,173.7,189.0,168.0,188.1,16607,0.0829,0.099,3123776.7,4883257.05
2014-02-28,194.1,194.1,169.2,169.5,12527,-0.1267,-0.0989,2123326.5,5165844.54
2014-03-03,174.15,174.15,157.92,162.6,5153,-0.0663,-0.0407,837877.8,5358113.19
2014-03-04,164.7,177.45,164.7,177.45,8260,0.0774,0.0913,1465737.0,5427031.24
2014-03-05,177.3,181.2,164.87,169.5,8180,-0.044,-0.0448,1386510.0,5548258.69
2014-03-06,168.75,177.18,167.1,173.1,3907,0.0258,0.0212,676301.7,5661113.44
2014-03-07,176.25,176.7,166.5,172.5,6267,-0.0213,-0.0035,1081057.5,5702661.62
2014-03-10,174.0,176.4,164.4,173.85,6040,-0.0009,0.0078,1050054.0,5795472.18
2014-03-11,173.7,189.9,171.03,184.05,8893,0.0596,0.0587,1636756.65,2847942.33
2014-03-12,187.5,208.65,183.15,203.1,12620,0.0832,0.1035,2563122.0,1855474.89
2014-03-13,208.5,232.2,207.0,219.9,15047,0.0547,0.0827,3308835.3,1594451.98
2014-03-14,227.4,239.25,205.83,237.6,9613,0.0449,0.0805,2284048.8,1612957.84
2014-03-17,244.35,257.4,202.66,212.85,20027,-0.1289,-0.1042,4262746.95,1629030.08
2014-03-18,211.65,213.75,199.5,204.3,9340,-0.0347,-0.0402,1908162.0,1971516.99
2014-03-19,207.9,208.05,187.41,188.7,11420,-0.0924,-0.0764,2154954.0,2015759.49
2014-03-20,184.65,198.45,183.3,198.0,8920,0.0723,0.0493,1766160.0,2092603.89
2014-03-21,197.4,208.2,190.96,196.65,17280,-0.0038,-0.0068,3398112.0,2201589.72
2014-03-24,195.0,196.35,170.1,175.2,8527,-0.1015,-0.1091,1493930.4,2433295.17
2014-03-25,177.75,191.25,174.0,182.25,6487,0.0253,0.0402,1182255.75,2477682.81
2014-03-26,181.8,184.2,167.4,171.9,4813,-0.0545,-0.0568,827354.7,2432232.72
2014-03-27,172.5,185.4,154.65,183.6,5713,0.0643,0.0681,1048906.8,2258655.99
2014-03-28,182.85,190.5,166.65,168.9,6347,-0.0763,-0.0801,1072008.3,2032663.14
