Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2016-03-24,25.71,25.99,25.71,25.71,134800,0.0,,3465708.0,
2016-03-28,25.89,25.89,25.6,25.67,152000,-0.0085,-0.0016,3901840.0,
2016-03-29,25.65,25.69,25.42,25.6,210100,-0.0019,-0.0027,5378560.0,
2016-03-30,25.6,25.65,25.5,25.51,100900,-0.0035,-0.0035,2573959.0,
2016-03-31,25.55,25.58,25.4,25.43,119400,-0.0047,-0.0031,3036342.0,
2016-04-01,25.44,25.48,25.35,25.41,50300,-0.0012,-0.0008,1278123.0,
2016-04-04,25.4,25.41,25.18,25.27,87600,-0.0051,-0.0055,2213652.0,
2016-04-05,25.24,25.34,25.2,25.33,68000,0.0036,0.0024,1722440.0,
2016-04-06,25.37,25.48,25.33,25.43,38300,0.0024,0.0039,973969.0,
2016-04-07,25.42,25.52,25.35,25.47,44500,0.002,0.0016,1133415.0,
2016-04-08,25.51,25.6,25.5,25.57,42300,0.0024,0.0039,1081611.0,2567800.8
2016-04-11,25.61,25.63,25.41,25.58,41700,-0.0012,0.0004,1066686.0,2329391.1
2016-04-12,25.53,25.59,25.52,25.57,28900,0.0016,-0.0004,738973.0,2045875.7
2016-04-13,25.58,25.58,25.45,25.46,53500,-0.0047,-0.0043,1362110.0,1581917.0
2016-04-14,25.54,25.54,25.49,25.54,34700,0.0,0.0031,886238.0,1460732.1
2016-04-15,25.58,25.59,25.51,25.56,38900,-0.0008,0.0008,994284.0,1245721.7
2016-04-18,25.56,25.58,25.47,25.54,57600,-0.0008,-0.0008,1471104.0,1217337.8
2016-04-19,25.55,25.87,25.55,25.68,50000,0.0051,0.0055,1284000.0,1143083.0
2016-04-20,25.75,25.79,25.68,25.72,44800,-0.0012,0.0016,1152256.0,1099239.0
2016-04-21,25.78,25.78,25.59,25.59,58700,-0.0074,-0.0051,1502133.0,1117067.7
2016-04-22,25.69,25.79,25.6,25.79,52000,0.0039,0.0078,1341080.0,1153939.5
2016-04-25,25.78,25.78,25.65,25.74,31100,-0.0016,-0.0019,800514.0,1179886.4
2016-04-26,25.78,25.79,25.65,25.74,46800,-0.0016,0.0,1204632.0,1153269.2
2016-04-27,25.78,26.19,25.7,26.16,108600,0.0147,0.0163,2840976.0,1199835.1
2016-04-28,26.24,26.24,26.02,26.18,16100,-0.0023,0.0008,421498.0,1347721.7
2016-04-29,25.98,26.25,25.98,26.2,23400,0.0085,0.0008,613080.0,1301247.7
2016-05-02,26.24,26.24,26.1,26.16,12900,-0.003,-0.0015,337464.0,1263127.3
2016-05-03,26.1,26.19,26.1,26.13,24000,0.0011,-0.0011,627120.0,1149763.3
2016-05-04,26.18,26.19,26.05,26.18,15500,0.0,0.0019,405790.0,1084075.3
2016-05-05,26.19,26.25,26.1,26.19,10900,0.0,0.0004,285471.0,1009428.7
2016-05-06,26.24,26.24,26.13,26.24,15700,0.0,0.0019,411968.0,887762.5
2016-05-09,26.24,26.25,26.11,26.12,16500,-0.0046,-0.0046,430980.0,794851.3
2016-05-10,26.15,26.15,26.06,26.15,24000,0.0,0.0011,627600.0,757897.9
2016-05-11,26.2,26.2,26.06,26.06,26400,-0.0053,-0.0034,687984.0,700194.7
2016-05-12,26.15,26.18,26.1,26.11,13100,-0.0015,0.0019,342041.0,484895.5
2016-05-13,26.15,26.19,26.05,26.09,14500,-0.0023,-0.0008,378305.0,476949.8
2016-05-16,26.14,26.81,26.14,26.5,18700,0.0138,0.0157,495550.0,453472.3
2016-05-17,26.49,26.49,26.26,26.44,12300,-0.0019,-0.0023,325212.0,469280.9
2016-05-18,26.49,26.49,26.25,26.42,36400,-0.0026,-0.0008,961688.0,439090.1
