Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2018-06-28,7.3,7.6,5.26,6.28,286000,-0.1397,,1796080.0,
2018-06-29,6.06,6.38,5.75,6.3,41700,0.0396,0.0032,262710.0,
2018-07-02,6.65,6.7,5.11,6.65,18200,0.0,0.0556,121030.0,
2018-07-03,6.9,6.9,6.6,6.65,5300,-0.0362,0.0,35245.0,
2018-07-05,6.72,6.73,6.5,6.51,6800,-0.0312,-0.0211,44268.0,
2018-07-06,6.76,6.76,6.5,6.6,3600,-0.0237,0.0138,23760.0,
2018-07-09,6.72,6.72,6.25,6.65,15200,-0.0104,0.0076,101080.0,
2018-07-10,6.4,6.75,6.4,6.7,26200,0.0469,0.0075,175540.0,
2018-07-11,6.75,6.95,6.55,6.6,38500,-0.0222,-0.0149,254100.0,
2018-07-12,6.75,6.75,6.65,6.65,10700,-0.0148,0.0076,71155.0,
2018-07-13,6.51,6.61,6.5,6.61,1700,0.0154,-0.006,11237.0,288496.8
2018-07-16,6.46,6.6,6.1,6.4,12100,-0.0093,-0.0318,77440.0,110012.5
2018-07-17,6.1,6.47,5.81,6.45,17000,0.0574,0.0078,109650.0,91485.5
2018-07-18,5.6,6.32,5.6,6.32,2200,0.1286,-0.0202,13904.0,90347.5
2018-07-19,5.6,6.16,5.6,5.97,2300,0.0661,-0.0554,13731.0,88213.4
2018-07-20,5.97,5.97,5.97,5.97,0,0.0,0.0,0.0,85159.7
2018-07-23,5.7,6.27,5.7,6.25,700,0.0965,0.0469,4375.0,82783.7
2018-07-24,5.97,6.0,5.55,5.93,1200,-0.0067,-0.0512,7116.0,73113.2
2018-07-25,5.53,5.6,5.32,5.36,5200,-0.0307,-0.0961,27872.0,56270.8
2018-07-26,5.9,5.9,5.72,5.85,1700,-0.0085,0.0914,9945.0,33648.0
2018-07-27,5.45,5.65,4.85,5.54,6000,0.0165,-0.053,33240.0,27527.0
2018-07-30,5.69,5.7,4.77,5.0,8100,-0.1213,-0.0975,40500.0,29727.3
2018-07-31,4.63,5.7,4.63,5.4,11300,0.1663,0.08,61020.0,26033.3
2018-08-01,5.4,6.0,5.4,5.8,7600,0.0741,0.0741,44080.0,21170.3
2018-08-02,5.69,5.69,5.08,5.08,3100,-0.1072,-0.1241,15748.0,24187.9
2018-08-03,5.15,5.77,4.8,5.58,5100,0.0835,0.0984,28458.0,24389.6
2018-08-06,5.45,5.75,5.05,5.05,14600,-0.0734,-0.095,73730.0,27235.4
2018-08-07,5.45,5.74,5.05,5.47,2200,0.0037,0.0832,12034.0,34170.9
2018-08-08,5.43,5.43,5.05,5.05,1700,-0.07,-0.0768,8585.0,34662.7
2018-08-09,5.05,5.05,4.9,4.95,17000,-0.0198,-0.0198,84150.0,32734.0
2018-08-10,5.69,5.69,5.05,5.45,12100,-0.0422,0.101,65945.0,40154.5
2018-08-13,4.86,5.24,4.73,5.24,8600,0.0782,-0.0385,45064.0,43425.0
2018-08-14,5.4,5.5,5.0,5.0,6000,-0.0741,-0.0458,30000.0,43881.4
2018-08-15,4.6,5.04,4.5,5.04,4700,0.0957,0.008,23688.0,40779.4
2018-08-16,5.3,5.3,5.3,5.3,200,0.0,0.0516,1060.0,38740.2
2018-08-17,4.6,5.2,4.6,5.1,5700,0.1087,-0.0377,29070.0,37271.4
2018-08-20,4.51,4.97,4.51,4.95,5000,0.0976,-0.0294,24750.0,37332.6
2018-08-21,5.17,5.17,4.98,4.98,2000,-0.0368,0.0061,9960.0,32434.6
2018-08-22,5.17,5.17,4.59,4.59,17000,-0.1122,-0.0783,78030.0,32227.2
2018-08-23,4.99,4.99,4.5,4.5,2300,-0.0982,-0.0196,10350.0,39171.7
2018-08-24,4.71,4.75,4.26,4.7,900,-0.0021,0.0444,4230.0,31791.7
2018-08-27,4.5,4.7,4.25,4.65,11400,0.0333,-0.0106,53010.0,25620.2
2018-08-28,4.2,4.7,4.11,4.5,6100,0.0714,-0.0323,27450.0,26414.8
2018-08-29,4.59,4.7,4.45,4.69,500,0.0218,0.0422,2345.0,26159.8
2018-08-30,4.5,4.7,4.4,4.7,10400,0.0444,0.0021,48880.0,24025.5
2018-08-31,4.5,5.4,4.16,5.4,15100,0.2,0.1489,81540.0,28807.5
2018-09-04,5.4,5.4,5.4,5.4,4200,0.0,0.0,22680.0,34054.5
2018-09-05,5.01,5.5,4.6,5.22,3900,0.0419,-0.0333,20358.0,33847.5
2018-09-06,5.12,5.9,5.12,5.9,5000,0.1523,0.1303,29500.0,34887.3
2018-09-07,6.0,6.0,5.64,5.64,600,-0.06,-0.0441,3384.0,30034.3
