Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,30.65,31.2,30.5,31.2,13500.0,0.0179,,421200.0,
2003-12-02,31.2,31.5,30.8,30.8,44800.0,-0.0128,-0.0128,1379840.0,
2003-12-03,31.0,31.5,31.0,31.0,16600.0,0.0,0.0065,514600.0,
2003-12-04,31.2,31.5,31.0,31.5,7300.0,0.0096,0.0161,229950.0,
2003-12-05,31.6,32.1,31.2,32.0,10900.0,0.0127,0.0159,348800.0,
2003-12-08,31.9,32.25,31.65,31.8,41900.0,-0.0031,-0.0062,1332420.0,
2003-12-09,31.95,32.1,31.25,31.25,10800.0,-0.0219,-0.0173,337500.0,
2003-12-10,31.0,31.8,30.05,30.3,46200.0,-0.0226,-0.0304,1399860.0,
2003-12-11,29.85,30.1,29.4,30.1,11200.0,0.0084,-0.0066,337120.0,
2003-12-12,30.0,30.94,29.55,29.66,18600.0,-0.0113,-0.0146,551676.0,
2003-12-15,30.05,31.0,30.05,30.63,32700.0,0.0193,0.0327,1001601.0,685296.6
2003-12-16,30.6,30.82,30.6,30.75,13700.0,0.0049,0.0039,421275.0,743336.7
2003-12-17,30.7,31.0,30.6,30.8,19900.0,0.0033,0.0016,612920.0,647480.2
2003-12-18,30.98,31.0,30.75,30.99,16500.0,0.0003,0.0062,511335.0,657312.2
2003-12-19,31.0,31.0,30.75,31.0,7900.0,0.0,0.0003,244900.0,685450.7
2003-12-22,31.0,31.4,30.15,31.31,22400.0,0.01,0.01,701344.0,675060.7
2003-12-23,31.19,31.19,30.32,30.35,10600.0,-0.0269,-0.0307,321710.0,611953.1
2003-12-24,30.85,31.55,30.7,31.5,7000.0,0.0211,0.0379,220500.0,610374.1
2003-12-26,31.65,32.25,31.65,32.25,3400.0,0.019,0.0238,109650.0,492438.1
2003-12-29,32.0,32.09,31.7,32.0,16800.0,0.0,-0.0078,537600.0,469691.1
2003-12-30,32.01,32.69,32.01,32.34,57400.0,0.0103,0.0106,1856316.0,468283.5
2003-12-31,32.75,33.75,32.75,33.75,35900.0,0.0305,0.0436,1211625.0,553755.0
2004-01-02,33.85,35.0,33.0,34.28,23700.0,0.0127,0.0157,812436.0,632790.0
2004-01-05,33.75,33.95,33.65,33.65,13200.0,-0.003,-0.0184,444180.0,652741.6
2004-01-06,33.55,33.85,33.0,33.75,176400.0,0.006,0.003,5953500.0,646026.1
2004-01-07,33.8,34.85,33.8,34.85,13200.0,0.0311,0.0326,460020.0,1216886.1
2004-01-08,34.85,34.85,33.6,34.85,12100.0,0.0,0.0,421685.0,1192753.7
2004-01-09,34.5,35.0,34.5,35.0,35500.0,0.0145,0.0043,1242500.0,1202751.2
2004-01-12,35.01,35.2,34.5,35.08,9200.0,0.002,0.0023,322736.0,1304951.2
2004-01-13,35.1,35.45,35.1,35.45,23600.0,0.01,0.0105,836620.0,1326259.8
2004-01-14,35.1,35.45,35.01,35.43,7100.0,0.0094,-0.0006,251553.0,1356161.8
2004-01-15,35.5,36.25,34.9,35.45,18000.0,-0.0014,0.0006,638100.0,1195685.5
2004-01-16,35.45,35.8,34.7,35.8,6600.0,0.0099,0.0099,236280.0,1138333.0
2004-01-20,36.5,38.5,36.4,38.5,34300.0,0.0548,0.0754,1320550.0,1080717.4
