Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2013-10-22,12.0,12.0,12.0,12.0,300000,0.0,,3600000.0,
2013-10-23,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,
2013-10-24,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,
2013-10-25,11.75,11.75,11.75,11.75,514200,0.0,-0.0208,6041850.0,
2013-10-28,11.75,11.75,11.75,11.75,0,0.0,0.0,0.0,
2013-10-29,11.85,11.85,11.85,11.85,300000,0.0,0.0085,3555000.0,
2013-10-30,11.85,11.85,11.85,11.85,0,0.0,0.0,0.0,
2013-10-31,11.85,11.85,11.85,11.85,0,0.0,0.0,0.0,
2013-11-01,11.85,11.85,11.85,11.85,0,0.0,0.0,0.0,
2013-11-04,11.85,11.85,11.85,11.85,0,0.0,0.0,0.0,
2013-11-05,11.85,11.85,11.85,11.85,0,0.0,0.0,0.0,1319685.0
2013-11-06,11.85,11.85,11.85,11.85,0,0.0,0.0,0.0,959685.0
2013-11-07,11.85,11.85,11.85,11.85,150000,0.0,0.0,1777500.0,959685.0
2013-11-08,12.0,12.0,12.0,12.0,100000,0.0,0.0127,1200000.0,1137435.0
2013-11-11,12.0,12.0,12.0,12.0,100000,0.0,0.0,1200000.0,653250.0
2013-11-12,12.0,12.0,12.0,12.0,100000,0.0,0.0,1200000.0,773250.0
2013-11-13,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,537750.0
2013-11-14,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,537750.0
2013-11-15,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,537750.0
2013-11-18,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,537750.0
2013-11-19,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,537750.0
2013-11-20,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,537750.0
2013-11-21,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,537750.0
2013-11-22,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,360000.0
2013-11-25,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,240000.0
2013-11-26,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,120000.0
2013-11-27,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,0.0
2013-11-29,12.0,12.0,12.0,12.0,14000,0.0,0.0,168000.0,0.0
2013-12-02,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,16800.0
2013-12-03,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,16800.0
2013-12-04,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,16800.0
2013-12-05,12.0,12.0,12.0,12.0,200000,0.0,0.0,2400000.0,16800.0
2013-12-06,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,256800.0
2013-12-09,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,256800.0
2013-12-10,12.0,12.0,12.0,12.0,0,0.0,0.0,0.0,256800.0
