Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2018-11-13,6.39,6.65,6.12,6.25,456300,-0.0219,,2851875.0,
2018-11-14,6.25,6.3,6.0,6.0,122900,-0.04,-0.04,737400.0,
2018-11-15,6.05,6.35,6.05,6.05,42300,0.0,0.0083,255915.0,
2018-11-16,6.05,6.2,6.05,6.1,21800,0.0083,0.0083,132980.0,
2018-11-19,6.28,6.28,5.9,6.02,41900,-0.0414,-0.0131,252238.0,
2018-11-20,6.2,6.2,6.0,6.01,45600,-0.0306,-0.0017,274056.0,
2018-11-21,6.15,6.15,6.03,6.03,8900,-0.0195,0.0033,53667.0,
2018-11-23,6.1,6.12,6.0,6.09,10700,-0.0016,0.01,65163.0,
2018-11-26,6.15,6.15,6.0,6.03,15400,-0.0195,-0.0099,92862.0,
2018-11-27,6.08,6.1,6.01,6.05,12900,-0.0049,0.0033,78045.0,
2018-11-28,6.14,6.59,6.04,6.57,14200,0.07,0.086,93294.0,479420.1
2018-11-29,6.6,6.68,6.2,6.24,34600,-0.0545,-0.0502,215904.0,203562.0
2018-11-30,6.2,6.35,6.1,6.35,44900,0.0242,0.0176,285115.0,151412.4
2018-12-03,6.5,6.5,6.15,6.2,19800,-0.0462,-0.0236,122760.0,154332.4
2018-12-04,6.29,6.5,6.15,6.25,14100,-0.0064,0.0081,88125.0,153310.4
2018-12-06,6.51,6.51,6.12,6.15,13200,-0.0553,-0.016,81180.0,136899.1
2018-12-07,6.27,6.27,6.12,6.15,9500,-0.0191,0.0,58425.0,117611.5
2018-12-10,6.24,6.4,6.08,6.08,31200,-0.0256,-0.0114,189696.0,118087.3
2018-12-11,6.3,6.31,6.0,6.15,32300,-0.0238,0.0115,198645.0,130540.6
2018-12-12,6.19,6.19,6.01,6.02,11200,-0.0275,-0.0211,67424.0,141118.9
2018-12-13,6.05,6.15,6.01,6.01,7200,-0.0066,-0.0017,43272.0,140056.8
2018-12-14,6.09,6.09,6.0,6.0,10500,-0.0148,-0.0017,63000.0,135054.6
2018-12-17,6.09,6.68,6.03,6.5,14900,0.0673,0.0833,96850.0,119764.2
2018-12-18,6.68,6.68,6.01,6.68,23900,0.0,0.0277,159652.0,100937.7
2018-12-19,6.43,6.65,6.0,6.3,54300,-0.0202,-0.0569,342090.0,104626.9
2018-12-20,6.14,6.2,6.01,6.09,18500,-0.0081,-0.0333,112665.0,130023.4
2018-12-21,6.2,6.2,5.79,5.79,76000,-0.0661,-0.0493,440040.0,133171.9
2018-12-24,6.07,6.07,6.0,6.0,2400,-0.0115,0.0363,14400.0,171333.4
2018-12-26,6.1,6.1,6.0,6.0,600,-0.0164,0.0,3600.0,153803.8
2018-12-27,6.07,6.07,6.0,6.0,2500,-0.0115,0.0,15000.0,134299.3
2018-12-28,6.03,6.03,6.0,6.0,7000,-0.005,0.0,42000.0,129056.9
2018-12-31,6.0,6.13,6.0,6.12,3600,0.02,0.02,22032.0,128929.7
2019-01-02,6.05,6.1,6.0,6.1,8000,0.0083,-0.0033,48800.0,124832.9
2019-01-03,6.05,6.05,6.0,6.0,6800,-0.0083,-0.0164,40800.0,120027.9
2019-01-04,6.04,6.15,5.71,5.72,23400,-0.053,-0.0467,133848.0,108142.7
2019-01-07,5.7,6.04,5.7,6.0,15600,0.0526,0.049,93600.0,87318.5
2019-01-08,6.01,6.05,5.99,6.0,11500,-0.0017,0.0,69000.0,85412.0
2019-01-09,6.0,6.04,5.97,6.0,25400,0.0,0.0,152400.0,48308.0
2019-01-10,5.98,6.02,5.97,6.01,6400,0.005,0.0017,38464.0,62108.0
2019-01-11,5.94,6.05,5.94,6.05,10700,0.0185,0.0067,64735.0,65594.4
2019-01-14,6.0,6.1,5.76,6.1,17300,0.0167,0.0083,105530.0,70567.9
2019-01-15,6.0,6.1,5.99,6.1,22000,0.0167,0.0,134200.0,76920.9
2019-01-16,6.1,6.1,6.0,6.1,10600,0.0,0.0,64660.0,88137.7
2019-01-17,5.96,6.15,5.96,6.1,4200,0.0235,0.0,25620.0,89723.7
2019-01-18,6.05,6.13,6.01,6.1,17200,0.0083,0.0,104920.0,88205.7
2019-01-22,6.2,6.2,6.01,6.1,3700,-0.0161,0.0,22570.0,85312.9
2019-01-23,6.06,6.1,6.06,6.1,1900,0.0066,0.0,11590.0,78209.9
2019-01-24,6.01,6.2,6.01,6.2,7000,0.0316,0.0164,43400.0,72468.9
2019-01-25,6.68,6.68,6.2,6.2,7000,-0.0719,0.0,43400.0,61568.9
2019-01-28,6.42,6.42,5.96,6.0,52900,-0.0654,-0.0323,317400.0,62062.5
2019-01-29,6.0,6.2,6.0,6.2,33400,0.0333,0.0333,207080.0,87329.0
2019-01-30,6.2,6.21,6.19,6.2,9600,0.0,0.0,59520.0,97484.0
2019-01-31,6.13,6.15,6.01,6.1,23200,-0.0049,-0.0161,141520.0,90016.0
2019-02-01,6.33,6.75,6.05,6.49,34500,0.0253,0.0639,223905.0,97702.0
2019-02-04,6.56,6.56,6.39,6.39,2200,-0.0259,-0.0154,14058.0,117530.5
2019-02-05,6.74,6.74,6.2,6.4,3500,-0.0504,0.0016,22400.0,108444.3
2019-02-06,6.35,6.5,6.29,6.5,5400,0.0236,0.0156,35100.0,108427.3
2019-02-07,6.5,6.66,6.47,6.66,3500,0.0246,0.0246,23310.0,110778.3
2019-02-08,6.51,6.72,6.25,6.64,6800,0.02,-0.003,45152.0,108769.3
2019-02-11,6.68,6.74,6.4,6.5,15000,-0.0269,-0.0211,97500.0,108944.5
2019-02-12,6.6,6.74,6.6,6.74,24500,0.0212,0.0369,165130.0,86954.5
2019-02-13,6.7,6.7,6.52,6.59,11600,-0.0164,-0.0223,76444.0,82759.5
2019-02-14,6.68,6.74,6.53,6.53,3000,-0.0225,-0.0091,19590.0,84451.9
2019-02-15,6.5,6.89,6.5,6.75,18200,0.0385,0.0337,122850.0,72258.9
2019-02-19,6.89,7.49,6.8,7.49,332100,0.0871,0.1096,2487429.0,62153.4
2019-02-20,7.49,7.49,7.17,7.31,20300,-0.024,-0.024,148393.0,309490.5
2019-02-21,7.2,7.41,7.11,7.29,17600,0.0125,-0.0027,128304.0,322089.8
2019-02-22,7.26,7.51,7.09,7.3,131000,0.0055,0.0014,956300.0,331410.2
2019-02-25,7.32,7.81,7.09,7.6,115500,0.0383,0.0411,877800.0,424709.2
2019-02-26,7.53,7.99,7.53,7.87,80900,0.0452,0.0355,636683.0,507974.0
2019-02-27,7.91,7.95,7.39,7.91,61600,0.0,0.0051,487256.0,561892.3
2019-02-28,7.85,7.94,7.47,7.94,22300,0.0115,0.0038,177062.0,594104.9
2019-03-01,7.9,7.95,7.75,7.9,16800,0.0,-0.005,132720.0,604166.7
2019-03-04,7.65,7.89,7.51,7.82,17600,0.0222,-0.0101,137632.0,615479.7
2019-03-05,7.72,8.0,7.7,7.84,38200,0.0155,0.0026,299488.0,616957.9
2019-03-06,8.0,8.0,7.75,8.0,16700,0.0,0.0204,133600.0,398163.8
2019-03-07,8.0,8.0,7.62,7.95,19000,-0.0062,-0.0062,151050.0,396684.5
2019-03-08,7.79,7.99,7.09,7.9,8900,0.0141,-0.0063,70310.0,398959.1
2019-03-11,7.74,8.07,7.65,7.92,44600,0.0233,0.0025,353232.0,310360.1
2019-03-12,7.9,8.11,7.85,7.85,32900,-0.0063,-0.0088,258265.0,257903.3
