Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,2.5,2.5,2.44,2.5,357300,0.0,,893250.0,
2003-12-02,2.5,2.66,2.47,2.62,500700,0.048,0.048,1311834.0,
2003-12-03,2.64,2.65,2.52,2.56,174300,-0.0303,-0.0229,446208.0,
2003-12-04,2.57,2.57,2.47,2.5,187200,-0.0272,-0.0234,468000.0,
2003-12-05,2.5,2.58,2.5,2.55,209400,0.02,0.02,533970.0,
2003-12-08,2.6,2.6,2.48,2.55,266400,-0.0192,0.0,679320.0,
2003-12-09,2.55,2.56,2.47,2.52,647400,-0.0118,-0.0118,1631448.0,
2003-12-10,2.5,2.6,2.48,2.56,120000,0.024,0.0159,307200.0,
2003-12-11,2.49,2.57,2.48,2.55,233100,0.0241,-0.0039,594405.0,
2003-12-12,2.5,2.59,2.5,2.56,240900,0.024,0.0039,616704.0,
2003-12-15,2.61,2.62,2.48,2.58,207300,-0.0115,0.0078,534834.0,748233.9
2003-12-16,2.58,2.6,2.51,2.57,187800,-0.0039,-0.0039,482646.0,712392.3
2003-12-17,2.53,2.63,2.53,2.6,52500,0.0277,0.0117,136500.0,629473.5
2003-12-18,2.57,2.76,2.57,2.74,290400,0.0661,0.0538,795696.0,598502.7
2003-12-19,2.72,2.75,2.67,2.67,121800,-0.0184,-0.0255,325206.0,631272.3
2003-12-22,2.73,3.0,2.7,2.87,553200,0.0513,0.0749,1587684.0,610395.9
2003-12-23,2.94,2.94,2.83,2.84,234600,-0.034,-0.0105,666264.0,701232.3
2003-12-24,2.9,2.9,2.8,2.84,181800,-0.0207,0.0,516312.0,604713.9
2003-12-26,2.84,2.84,2.8,2.82,238200,-0.007,-0.007,671724.0,625625.1
2003-12-29,2.84,2.92,2.77,2.92,88200,0.0282,0.0355,257544.0,633357.0
2003-12-30,2.95,2.99,2.73,2.85,141600,-0.0339,-0.024,403560.0,597441.0
2003-12-31,2.88,2.91,2.83,2.84,54300,-0.0139,-0.0035,154212.0,584313.6
2004-01-02,2.9,3.0,2.8,2.86,209700,-0.0138,0.007,599742.0,551470.2
2004-01-05,2.89,2.99,2.83,2.94,140700,0.0173,0.028,413658.0,597794.4
2004-01-06,2.88,2.92,2.88,2.88,115200,0.0,-0.0204,331776.0,559590.6
2004-01-07,2.9,3.13,2.9,3.05,327300,0.0517,0.059,998265.0,560247.6
2004-01-08,3.1,3.1,3.01,3.04,230400,-0.0194,-0.0033,700416.0,501305.7
2004-01-09,3.0,3.08,3.0,3.08,429300,0.0267,0.0132,1322244.0,504720.9
2004-01-12,3.11,3.18,3.04,3.09,228300,-0.0064,0.0032,705447.0,585314.1
2004-01-13,3.14,3.28,3.11,3.18,251400,0.0127,0.0291,799452.0,588686.4
2004-01-14,3.21,3.26,3.15,3.26,130800,0.0156,0.0252,426408.0,642877.2
2004-01-15,3.17,3.33,3.17,3.3,205800,0.041,0.0123,679140.0,645162.0
