Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2017-10-23,12.8,13.99,11.32,11.32,1541400,-0.1156,,17448648.0,
2017-10-24,11.93,11.99,10.08,11.0,450100,-0.078,-0.0283,4951100.0,
2017-10-25,10.99,11.25,10.3,11.1,113000,0.01,0.0091,1254300.0,
2017-10-26,11.15,11.99,11.15,11.5,108100,0.0314,0.036,1243150.0,
2017-10-27,11.89,11.89,11.43,11.67,52000,-0.0185,0.0148,606840.0,
2017-10-30,11.76,11.76,10.55,10.78,61600,-0.0833,-0.0763,664048.0,
2017-10-31,10.72,11.25,10.64,10.88,53900,0.0149,0.0093,586432.0,
2017-11-01,10.85,11.45,10.5,10.75,60100,-0.0092,-0.0119,646075.0,
2017-11-02,10.41,11.28,10.4,10.8,71200,0.0375,0.0047,768960.0,
2017-11-03,10.5,10.76,8.96,10.25,67300,-0.0238,-0.0509,689825.0,
2017-11-06,10.2,10.2,9.26,9.27,60800,-0.0912,-0.0956,563616.0,2885937.8
2017-11-07,9.05,9.16,8.1,8.9,93100,-0.0166,-0.0399,828590.0,1197434.6
2017-11-08,9.05,9.28,8.0,8.77,93900,-0.0309,-0.0146,823503.0,785183.6
2017-11-09,9.0,9.49,9.0,9.29,44700,0.0322,0.0593,415263.0,742103.9
2017-11-10,9.2,9.5,9.2,9.5,17400,0.0326,0.0226,165300.0,659315.2
2017-11-13,9.5,9.5,8.5,9.2,46300,-0.0316,-0.0316,425960.0,615161.2
2017-11-14,8.94,9.4,8.5,9.38,41800,0.0492,0.0196,392084.0,591352.4
2017-11-15,9.34,10.53,8.8,9.56,118100,0.0236,0.0192,1129036.0,571917.6
2017-11-16,9.72,9.85,9.2,9.41,57900,-0.0319,-0.0157,544839.0,620213.7
2017-11-17,9.23,9.3,9.0,9.28,54900,0.0054,-0.0138,509472.0,597801.6
2017-11-20,9.0,9.3,9.0,9.14,39700,0.0156,-0.0151,362858.0,579766.3
2017-11-21,9.15,9.85,9.15,9.76,33900,0.0667,0.0678,330864.0,559690.5
2017-11-22,9.64,10.3,9.45,10.2,84300,0.0581,0.0451,859860.0,509917.9
2017-11-24,10.18,10.2,10.15,10.15,10500,-0.0029,-0.0049,106575.0,513553.6
2017-11-27,10.2,10.2,9.52,9.82,48900,-0.0373,-0.0325,480198.0,482684.8
2017-11-28,9.85,10.0,9.7,9.85,31100,0.0,0.0031,306335.0,514174.6
2017-11-29,9.85,10.2,9.75,9.76,48300,-0.0091,-0.0091,471408.0,502212.1
2017-11-30,10.0,10.0,8.82,9.39,91900,-0.061,-0.0379,862941.0,510144.5
2017-12-01,9.25,9.34,8.75,9.29,26700,0.0043,-0.0106,248043.0,483535.0
2017-12-04,9.4,9.5,9.25,9.41,17200,0.0011,0.0129,161852.0,453855.4
2017-12-05,9.42,9.5,9.21,9.21,4100,-0.0223,-0.0213,37761.0,419093.4
2017-12-06,9.34,9.35,8.55,9.0,39400,-0.0364,-0.0228,354600.0,386583.7
2017-12-07,9.08,9.08,8.68,9.07,9900,-0.0011,0.0078,89793.0,388957.3
2017-12-08,8.74,9.07,8.7,8.78,20100,0.0046,-0.032,176478.0,311950.6
