Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,286.88,290.62,285.0,289.58,10800,0.0094,,3127464.0,
2003-12-02,292.88,294.75,288.9,290.55,12307,-0.008,0.0033,3575798.85,
2003-12-03,292.42,299.92,291.75,297.83,20240,0.0185,0.0251,6028079.2,
2003-12-04,298.88,302.7,295.58,300.3,10693,0.0048,0.0083,3211107.9,
2003-12-05,302.02,311.25,298.88,298.88,16680,-0.0104,-0.0047,4985318.4,
2003-12-08,298.88,300.75,291.38,291.67,10480,-0.0241,-0.0241,3056701.6,
2003-12-09,294.75,294.75,289.88,290.7,12347,-0.0137,-0.0033,3589272.9,
2003-12-10,289.88,289.88,279.75,282.0,17347,-0.0272,-0.0299,4891854.0,
2003-12-11,282.0,288.38,281.25,286.5,11760,0.016,0.016,3369240.0,
2003-12-12,286.5,291.75,286.5,289.5,9533,0.0105,0.0105,2759803.5,
2003-12-15,294.38,299.55,292.5,292.58,14853,-0.0061,0.0106,4345690.74,3859464.04
2003-12-16,294.0,294.0,286.5,286.5,12867,-0.0255,-0.0208,3686395.5,3981286.71
2003-12-17,292.88,298.58,291.98,297.08,10773,0.0143,0.0369,3200442.84,3992346.37
2003-12-18,297.08,297.08,292.5,296.33,7093,-0.0025,-0.0025,2101868.69,3709582.74
2003-12-19,296.33,296.33,294.15,295.12,9093,-0.0041,-0.0041,2683526.16,3598658.82
2003-12-22,295.5,295.5,291.15,291.75,4693,-0.0127,-0.0114,1369182.75,3368479.59
2003-12-23,291.75,296.25,289.8,295.88,10907,0.0142,0.0142,3227163.16,3199727.71
2003-12-24,294.75,295.95,290.25,293.4,4320,-0.0046,-0.0084,1267488.0,3163516.73
2003-12-26,294.38,295.35,291.0,293.77,2893,-0.0021,0.0013,849876.61,2801080.13
2003-12-29,290.25,299.25,290.25,299.25,13587,0.031,0.0187,4065909.75,2549143.8
2003-12-30,300.38,303.0,296.25,302.4,5240,0.0067,0.0105,1584576.0,2679754.42
2003-12-31,304.27,304.73,296.62,296.62,6200,-0.0251,-0.0191,1839044.0,2403642.95
2004-01-02,295.88,296.77,293.33,294.0,3600,-0.0064,-0.0088,1058400.0,2218907.8
2004-01-05,294.75,297.52,294.67,296.92,5960,0.0074,0.0099,1769643.2,2004703.51
2004-01-06,298.12,298.12,292.5,292.5,7000,-0.0189,-0.0149,2047500.0,1971480.96
2004-01-07,294.38,300.38,294.38,299.48,6160,0.0173,0.0239,1844796.8,1907878.35
2004-01-08,298.88,299.92,298.12,298.42,5653,-0.0015,-0.0035,1686968.26,1955439.75
2004-01-09,297.75,301.12,297.0,300.38,6987,0.0088,0.0066,2098755.06,1801420.26
