Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,20.55,21.0,20.5,20.75,1100,0.0097,,22825.0,
2003-12-02,20.9,20.9,20.1,20.83,2300,-0.0033,0.0039,47909.0,
2003-12-03,21.32,21.41,20.24,20.8,2900,-0.0244,-0.0014,60320.0,
2003-12-04,20.92,20.92,20.75,20.75,1400,-0.0081,-0.0024,29050.0,
2003-12-05,20.23,21.12,20.23,20.5,3800,0.0133,-0.012,77900.0,
2003-12-08,20.5,20.5,20.5,20.5,0,0.0,0.0,0.0,
2003-12-09,20.35,20.53,20.21,20.53,1000,0.0088,0.0015,20530.0,
2003-12-10,20.45,20.55,20.2,20.2,300,-0.0122,-0.0161,6060.0,
2003-12-11,20.2,20.2,20.2,20.2,0,0.0,0.0,0.0,
2003-12-12,20.2,20.2,20.2,20.2,0,0.0,0.0,0.0,
2003-12-15,20.6,20.6,20.4,20.4,200,-0.0097,0.0099,4080.0,26459.4
2003-12-16,20.4,21.25,20.19,21.25,1100,0.0417,0.0417,23375.0,24584.9
2003-12-17,20.21,20.21,20.21,20.21,1100,0.0,-0.0489,22231.0,22131.5
2003-12-18,20.21,20.21,20.21,20.21,0,0.0,0.0,0.0,18322.6
2003-12-19,20.37,20.37,20.37,20.37,700,0.0,0.0079,14259.0,15417.6
2003-12-22,20.37,20.37,20.37,20.37,0,0.0,0.0,0.0,9053.5
2003-12-23,21.1,21.1,21.1,21.1,1000,0.0,0.0358,21100.0,9053.5
2003-12-24,21.1,21.1,21.1,21.1,0,0.0,0.0,0.0,9110.5
2003-12-26,21.1,21.1,21.1,21.1,0,0.0,0.0,0.0,8504.5
2003-12-29,21.1,22.2,21.1,21.6,5100,0.0237,0.0237,110160.0,8504.5
2003-12-30,21.6,21.6,21.6,21.6,0,0.0,0.0,0.0,19520.5
2003-12-31,21.75,21.75,21.75,21.75,100,0.0,0.0069,2175.0,19112.5
2004-01-02,21.75,21.75,21.75,21.75,100,0.0,0.0,2175.0,16992.5
2004-01-05,22.4,22.47,22.4,22.47,800,0.0031,0.0331,17976.0,14986.9
2004-01-06,22.47,22.47,22.47,22.47,0,0.0,0.0,0.0,16784.5
2004-01-07,22.5,22.5,22.5,22.5,300,0.0,0.0013,6750.0,15358.6
2004-01-08,22.0,22.0,22.0,22.0,200,0.0,-0.0222,4400.0,16033.6
2004-01-09,22.5,22.5,22.5,22.5,300,0.0,0.0227,6750.0,14363.6
2004-01-12,22.0,23.25,22.0,23.25,1400,0.0568,0.0333,32550.0,15038.6
2004-01-13,22.05,22.05,22.05,22.05,200,0.0,-0.0516,4410.0,18293.6
2004-01-14,22.05,22.05,22.05,22.05,0,0.0,0.0,0.0,7718.6
2004-01-15,22.25,22.25,22.25,22.25,400,0.0,0.0091,8900.0,7718.6
2004-01-16,22.25,22.25,22.25,22.25,0,0.0,0.0,0.0,8391.1
2004-01-20,22.5,22.5,22.5,22.5,1200,0.0,0.0112,27000.0,8173.6
2004-01-21,22.5,22.5,22.5,22.5,500,0.0,0.0,11250.0,9076.0
2004-01-22,24.0,24.0,24.0,24.0,300,0.0,0.0667,7200.0,10201.0
2004-01-23,23.0,23.05,23.0,23.02,800,0.0009,-0.0408,18416.0,10246.0
2004-01-26,23.02,23.02,23.02,23.02,0,0.0,0.0,0.0,11647.6
2004-01-27,23.02,23.02,23.02,23.02,0,0.0,0.0,0.0,10972.6
2004-01-28,23.02,23.02,23.02,23.02,0,0.0,0.0,0.0,7717.6
2004-01-29,23.25,23.25,23.25,23.25,900,0.0,0.01,20925.0,7276.6
2004-01-30,23.05,23.05,23.05,23.05,400,0.0,-0.0086,9220.0,9369.1
2004-02-02,23.05,23.05,23.05,23.05,0,0.0,0.0,0.0,9401.1
2004-02-03,23.05,23.05,23.05,23.05,0,0.0,0.0,0.0,9401.1
2004-02-04,23.05,23.05,23.05,23.05,0,0.0,0.0,0.0,6701.1
2004-02-05,23.05,23.05,22.75,22.75,1500,-0.013,-0.013,34125.0,5576.1
2004-02-06,23.0,23.5,23.0,23.0,2200,0.0,0.011,50600.0,8268.6
2004-02-09,24.0,24.0,24.0,24.0,100,0.0,0.0435,2400.0,11487.0
2004-02-10,24.0,24.0,24.0,24.0,0,0.0,0.0,0.0,11727.0
2004-02-11,24.25,24.25,24.25,24.25,100,0.0,0.0104,2425.0,11727.0
2004-02-12,24.25,24.25,24.25,24.25,0,0.0,0.0,0.0,11969.5
2004-02-13,24.5,24.5,24.5,24.5,300,0.0,0.0103,7350.0,9877.0
2004-02-17,24.5,24.5,24.15,24.15,400,-0.0143,-0.0143,9660.0,9690.0
2004-02-18,24.15,24.15,24.15,24.15,0,0.0,0.0,0.0,10656.0
2004-02-19,24.15,24.15,24.15,24.15,0,0.0,0.0,0.0,10656.0
2004-02-20,24.15,24.15,24.15,24.15,0,0.0,0.0,0.0,10656.0
2004-02-23,24.15,24.15,24.15,24.15,0,0.0,0.0,0.0,7243.5
2004-02-24,24.0,24.0,24.0,24.0,100,0.0,-0.0062,2400.0,2183.5
2004-02-25,24.5,24.5,24.45,24.45,300,-0.002,0.0188,7335.0,2183.5
2004-02-26,24.45,24.45,24.45,24.45,0,0.0,0.0,0.0,2917.0
2004-02-27,24.45,24.45,24.45,24.45,0,0.0,0.0,0.0,2674.5
2004-03-01,24.5,24.5,24.45,24.5,1000,0.0,0.002,24500.0,2674.5
2004-03-02,24.5,24.5,24.5,24.5,0,0.0,0.0,0.0,4389.5
2004-03-03,24.5,24.5,24.5,24.5,0,0.0,0.0,0.0,3423.5
2004-03-04,24.49,24.49,24.49,24.49,1000,0.0,-0.0004,24490.0,3423.5
2004-03-05,24.49,24.49,24.49,24.49,0,0.0,0.0,0.0,5872.5
2004-03-08,24.49,24.49,24.49,24.49,0,0.0,0.0,0.0,5872.5
2004-03-09,24.49,24.49,24.49,24.49,0,0.0,0.0,0.0,5872.5
2004-03-10,24.49,24.49,24.49,24.49,0,0.0,0.0,0.0,5632.5
2004-03-11,24.49,24.49,24.49,24.49,0,0.0,0.0,0.0,4899.0
2004-03-12,24.49,24.49,24.49,24.49,0,0.0,0.0,0.0,4899.0
