Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,14.65,14.85,14.5,14.6,43200,-0.0034,,630720.0,
2003-12-02,14.8,14.84,14.63,14.64,46000,-0.0108,0.0027,673440.0,
2003-12-03,14.54,14.79,14.1,14.1,69900,-0.0303,-0.0369,985590.0,
2003-12-04,14.2,14.39,14.02,14.23,118900,0.0021,0.0092,1691947.0,
2003-12-05,14.23,14.42,14.04,14.04,75400,-0.0134,-0.0134,1058616.0,
2003-12-08,14.14,14.39,14.04,14.3,66500,0.0113,0.0185,950950.0,
2003-12-09,14.3,14.4,14.01,14.12,58500,-0.0126,-0.0126,826020.0,
2003-12-10,14.18,14.2,14.01,14.04,50200,-0.0099,-0.0057,704808.0,
2003-12-11,14.14,14.42,14.14,14.42,91000,0.0198,0.0271,1312220.0,
2003-12-12,14.4,14.49,14.22,14.49,50300,0.0063,0.0049,728847.0,
2003-12-15,14.59,14.72,14.0,14.0,88200,-0.0404,-0.0338,1234800.0,956315.8
2003-12-16,14.1,14.39,14.0,14.35,69500,0.0177,0.025,997325.0,1016723.8
2003-12-17,14.35,14.4,14.03,14.32,76800,-0.0021,-0.0021,1099776.0,1049112.3
2003-12-18,14.3,14.45,14.06,14.38,74400,0.0056,0.0042,1069872.0,1060530.9
2003-12-19,14.38,14.4,14.15,14.35,66000,-0.0021,-0.0021,947100.0,998323.4
2003-12-22,14.35,14.54,14.35,14.54,78200,0.0132,0.0132,1137028.0,987171.8
2003-12-23,14.64,14.75,14.38,14.74,65500,0.0068,0.0138,965470.0,1005779.6
2003-12-24,14.69,14.69,14.46,14.51,15100,-0.0123,-0.0156,219101.0,1019724.6
2003-12-26,14.5,14.73,14.49,14.59,30000,0.0062,0.0055,437700.0,971153.9
2003-12-29,14.4,14.64,14.4,14.55,59100,0.0104,-0.0027,859905.0,883701.9
2003-12-30,14.55,14.65,14.44,14.61,47900,0.0041,0.0041,699819.0,896807.7
2003-12-31,14.61,14.61,14.25,14.26,97800,-0.024,-0.024,1394628.0,843309.6
2004-01-02,14.32,14.58,14.32,14.39,87100,0.0049,0.0091,1253369.0,883039.9
2004-01-05,14.42,14.6,14.31,14.34,68500,-0.0055,-0.0035,982290.0,898399.2
2004-01-06,14.44,14.52,14.27,14.3,70800,-0.0097,-0.0028,1012440.0,889641.0
2004-01-07,14.3,14.5,14.24,14.39,71900,0.0063,0.0063,1034641.0,896175.0
2004-01-08,14.49,14.49,14.29,14.38,60800,-0.0076,-0.0007,874304.0,885936.3
2004-01-09,14.38,14.48,14.22,14.22,73300,-0.0111,-0.0111,1042326.0,876819.7
2004-01-12,14.3,14.44,14.2,14.41,60400,0.0077,0.0134,870364.0,959142.2
2004-01-13,14.41,14.41,14.2,14.3,64400,-0.0076,-0.0076,920920.0,1002408.6
2004-01-14,14.37,14.44,14.25,14.44,65100,0.0049,0.0098,940044.0,1008510.1
2004-01-15,14.34,14.45,14.27,14.4,151000,0.0042,-0.0028,2174400.0,1032532.6
2004-01-16,14.48,14.51,14.32,14.41,246100,-0.0048,0.0007,3546301.0,1110509.8
2004-01-20,14.51,14.85,14.31,14.85,228300,0.0234,0.0305,3390255.0,1339803.0
2004-01-21,14.75,14.75,14.53,14.61,51900,-0.0095,-0.0162,758259.0,1580599.5
2004-01-22,14.61,14.74,14.49,14.5,67000,-0.0075,-0.0075,971500.0,1555181.4
2004-01-23,14.6,14.63,14.32,14.5,68700,-0.0068,0.0,996150.0,1548867.3
2004-01-26,14.4,14.75,14.34,14.75,89900,0.0243,0.0172,1326025.0,1561051.9
2004-01-27,14.65,14.74,14.52,14.52,62400,-0.0089,-0.0156,906048.0,1589421.8
2004-01-28,14.6,14.73,14.41,14.47,87200,-0.0089,-0.0034,1261784.0,1592990.2
2004-01-29,14.57,14.57,14.4,14.51,73400,-0.0041,0.0028,1065034.0,1627076.6
2004-01-30,14.57,14.59,14.3,14.38,55500,-0.013,-0.009,798090.0,1639575.6
2004-02-02,14.45,14.45,14.25,14.29,81600,-0.0111,-0.0063,1166064.0,1501944.6
2004-02-03,14.34,14.43,14.15,14.21,76500,-0.0091,-0.0056,1087065.0,1263920.9
2004-02-04,14.21,14.21,13.99,14.05,221100,-0.0113,-0.0113,3106455.0,1033601.9
2004-02-05,14.2,14.36,14.05,14.32,156700,0.0085,0.0192,2243944.0,1268421.5
2004-02-06,14.32,14.71,14.18,14.59,94700,0.0189,0.0189,1381673.0,1395665.9
2004-02-09,14.59,14.7,14.45,14.69,101500,0.0069,0.0069,1491035.0,1434218.2
2004-02-10,14.69,14.84,14.42,14.84,135700,0.0102,0.0102,2013788.0,1450719.2
2004-02-11,14.84,14.94,14.7,14.9,94000,0.004,0.004,1400600.0,1561493.2
2004-02-12,14.75,14.9,14.61,14.7,103800,-0.0034,-0.0134,1525860.0,1575374.8
2004-02-13,14.8,14.84,14.5,14.6,85000,-0.0135,-0.0068,1241000.0,1621457.4
2004-02-17,14.7,14.92,14.55,14.91,105400,0.0143,0.0212,1571514.0,1665748.4
2004-02-18,14.91,14.95,14.72,14.76,67600,-0.0101,-0.0101,997776.0,1706293.4
2004-02-19,14.76,14.95,14.56,14.61,73000,-0.0102,-0.0102,1066530.0,1697364.5
2004-02-20,14.68,14.77,14.56,14.65,83400,-0.002,0.0027,1221810.0,1493372.0
2004-02-23,14.75,14.75,14.5,14.5,68100,-0.0169,-0.0102,987450.0,1391158.6
2004-02-24,14.55,14.77,14.51,14.77,80600,0.0151,0.0186,1190462.0,1351736.3
2004-02-25,14.75,14.78,14.57,14.78,78400,0.002,0.0007,1158752.0,1321679.0
2004-02-26,14.8,14.83,14.66,14.71,58500,-0.0061,-0.0047,860535.0,1236175.4
2004-02-27,14.52,14.88,14.52,14.7,58300,0.0124,-0.0007,857010.0,1182168.9
2004-03-01,14.78,14.89,14.74,14.85,51600,0.0047,0.0102,766260.0,1115283.9
2004-03-02,14.85,14.89,14.6,14.61,81600,-0.0162,-0.0162,1192176.0,1067809.9
2004-03-03,14.59,14.85,14.56,14.66,113300,0.0048,0.0034,1660978.0,1029876.1
2004-03-04,14.76,14.89,14.66,14.89,79300,0.0088,0.0157,1180777.0,1096196.3
2004-03-05,14.89,15.0,14.75,14.86,120800,-0.002,-0.002,1795088.0,1107621.0
2004-03-08,14.86,14.99,14.71,14.72,65000,-0.0094,-0.0094,956800.0,1164948.8
2004-03-09,14.67,14.81,14.65,14.68,73300,0.0007,-0.0027,1076044.0,1161883.8
2004-03-10,14.75,14.86,14.59,14.59,83800,-0.0108,-0.0061,1222642.0,1150442.0
2004-03-11,14.59,14.74,14.4,14.41,96800,-0.0123,-0.0123,1394888.0,1156831.0
2004-03-12,14.49,14.84,14.46,14.84,93700,0.0242,0.0298,1390508.0,1210266.3
2004-03-15,14.74,14.74,14.36,14.36,125400,-0.0258,-0.0323,1800744.0,1263616.1
2004-03-16,14.46,14.59,14.32,14.47,121000,0.0007,0.0077,1750870.0,1367064.5
2004-03-17,14.55,14.74,14.54,14.73,81200,0.0124,0.018,1196076.0,1422933.9
2004-03-18,14.7,14.7,14.45,14.61,102800,-0.0061,-0.0081,1501908.0,1376443.7
2004-03-19,14.7,14.7,14.33,14.38,125900,-0.0218,-0.0157,1810442.0,1408556.8
2004-03-22,14.48,14.48,14.15,14.23,172300,-0.0173,-0.0104,2451829.0,1410092.2
2004-03-23,14.3,14.47,14.26,14.32,67300,0.0014,0.0063,963736.0,1559595.1
2004-03-24,14.4,14.4,14.22,14.35,110100,-0.0035,0.0021,1579935.0,1548364.3
2004-03-25,14.4,14.6,14.33,14.49,105900,0.0063,0.0098,1534491.0,1584093.6
2004-03-26,14.59,14.59,14.35,14.42,81500,-0.0117,-0.0048,1175230.0,1598053.9
2004-03-29,14.36,14.54,14.31,14.53,82600,0.0118,0.0076,1200178.0,1576526.1
2004-03-30,14.58,14.68,14.46,14.67,94500,0.0062,0.0096,1386315.0,1516469.5
2004-03-31,14.67,14.83,14.48,14.78,139100,0.0075,0.0075,2055898.0,1480014.0
2004-04-01,14.8,14.95,14.78,14.95,68300,0.0101,0.0115,1021085.0,1565996.2
2004-04-02,14.95,14.96,14.77,14.93,120400,-0.0013,-0.0013,1797572.0,1517913.9
2004-04-05,14.88,14.9,14.7,14.9,77000,0.0013,-0.002,1147300.0,1516626.9
