Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,5.41,5.41,5.27,5.36,45600,-0.0092,,244416.0,
2003-12-02,5.38,5.45,5.28,5.3,133600,-0.0149,-0.0112,708080.0,
2003-12-03,5.37,5.38,5.24,5.28,119200,-0.0168,-0.0038,629376.0,
2003-12-04,5.28,5.39,5.28,5.36,96000,0.0152,0.0152,514560.0,
2003-12-05,5.28,5.37,5.2,5.2,136800,-0.0152,-0.0299,711360.0,
2003-12-08,5.19,5.31,5.17,5.31,56000,0.0231,0.0212,297360.0,
2003-12-09,5.29,5.34,5.19,5.2,56800,-0.017,-0.0207,295360.0,
2003-12-10,5.23,5.28,5.16,5.16,78400,-0.0134,-0.0077,404544.0,
2003-12-11,5.0,5.45,5.0,5.43,128800,0.086,0.0523,699384.0,
2003-12-12,5.46,5.47,5.33,5.47,67200,0.0018,0.0074,367584.0,
2003-12-15,5.47,5.49,5.24,5.31,124000,-0.0293,-0.0293,658440.0,487202.4
2003-12-16,5.16,5.31,5.06,5.29,112000,0.0252,-0.0038,592480.0,528604.8
2003-12-17,5.28,5.3,5.14,5.27,51200,-0.0019,-0.0038,269824.0,517044.8
2003-12-18,5.24,5.37,5.2,5.21,151200,-0.0057,-0.0114,787752.0,481089.6
2003-12-19,5.23,5.34,5.14,5.19,73600,-0.0076,-0.0038,381984.0,508408.8
2003-12-22,5.16,5.24,5.11,5.14,112800,-0.0039,-0.0096,579792.0,475471.2
2003-12-23,5.12,5.14,5.08,5.08,214400,-0.0078,-0.0117,1089152.0,503714.4
2003-12-24,5.08,5.21,5.08,5.18,54400,0.0197,0.0197,281792.0,583093.6
2003-12-26,5.22,5.25,5.15,5.25,9600,0.0057,0.0135,50400.0,570818.4
2003-12-29,5.25,5.25,5.13,5.15,108800,-0.019,-0.019,560320.0,505920.0
2003-12-30,5.14,5.33,5.07,5.31,116800,0.0331,0.0311,620208.0,525193.6
2003-12-31,5.3,5.3,5.13,5.14,120800,-0.0302,-0.032,620912.0,521370.4
2004-01-02,5.18,5.26,5.18,5.23,55200,0.0097,0.0175,288696.0,524213.6
2004-01-05,5.24,5.3,5.18,5.3,66400,0.0115,0.0134,351920.0,526100.8
2004-01-06,5.29,5.37,5.21,5.28,126400,-0.0019,-0.0038,667392.0,482517.6
2004-01-07,5.25,5.35,5.16,5.26,112000,0.0019,-0.0038,589120.0,511058.4
2004-01-08,5.37,5.4,5.27,5.27,122400,-0.0186,0.0019,645048.0,511991.2
2004-01-09,5.31,5.33,5.2,5.26,76800,-0.0094,-0.0019,403968.0,467580.8
2004-01-12,5.26,5.32,5.15,5.24,116000,-0.0038,-0.0038,607840.0,479798.4
2004-01-13,5.25,5.31,5.16,5.28,122400,0.0057,0.0076,646272.0,535542.4
2004-01-14,5.33,5.33,5.24,5.31,74400,-0.0038,0.0057,395064.0,544137.6
2004-01-15,5.33,5.33,5.27,5.32,29600,-0.0019,0.0019,157472.0,521623.2
