Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2013-12-06,24.95,25.04,24.9,25.04,651200,0.0036,,16306048.0,
2013-12-09,25.04,25.1,24.9,24.95,833600,-0.0036,-0.0036,20798320.0,
2013-12-10,24.96,25.05,24.8,24.92,475600,-0.0016,-0.0012,11851952.0,
2013-12-11,24.95,24.95,24.7,24.75,455000,-0.008,-0.0068,11261250.0,
2013-12-12,24.95,25.05,24.55,24.6,318800,-0.014,-0.0061,7842480.0,
2013-12-13,24.72,25.65,24.1,24.75,554200,0.0012,0.0061,13716450.0,
2013-12-16,24.55,24.85,24.5,24.7,793600,0.0061,-0.002,19601920.0,
2013-12-17,24.8,24.8,24.51,24.67,51600,-0.0052,-0.0012,1272972.0,
2013-12-18,24.6,24.75,24.25,24.65,77200,0.002,-0.0008,1902980.0,
2013-12-19,24.64,24.75,24.5,24.62,276500,-0.0008,-0.0012,6807430.0,
2013-12-20,24.75,24.79,24.58,24.79,171000,0.0016,0.0069,4239090.0,11136180.2
2013-12-23,24.8,24.95,24.69,24.93,121500,0.0052,0.0056,3028995.0,9929484.4
2013-12-24,24.95,25.05,24.87,25.0,43700,0.002,0.0028,1092500.0,8152551.9
2013-12-26,24.95,25.02,24.83,24.88,53100,-0.0028,-0.0048,1321128.0,7076606.7
2013-12-27,24.84,24.95,24.84,24.88,38800,0.0016,0.0,965344.0,6082594.5
2013-12-30,24.76,24.99,24.76,24.93,114900,0.0069,0.002,2864457.0,5394880.9
2013-12-31,24.9,25.02,24.9,24.97,83600,0.0028,0.0016,2087492.0,4309681.6
2014-01-02,25.04,25.09,24.93,25.09,83500,0.002,0.0048,2095015.0,2558238.8
2014-01-03,25.0,25.24,25.0,25.17,97300,0.0068,0.0032,2449041.0,2640443.1
2014-01-06,25.19,25.19,25.06,25.14,403500,-0.002,-0.0012,10143990.0,2695049.2
2014-01-07,25.13,25.3,25.05,25.3,507800,0.0068,0.0064,12847340.0,3028705.2
2014-01-08,25.3,25.35,25.19,25.32,415800,0.0008,0.0008,10528056.0,3889530.2
2014-01-09,25.32,25.38,25.23,25.33,579800,0.0004,0.0004,14686334.0,4639436.3
2014-01-10,25.39,25.68,25.34,25.64,119100,0.0098,0.0122,3053724.0,5998819.7
2014-01-13,25.52,25.59,25.38,25.43,213300,-0.0035,-0.0082,5424219.0,6172079.3
2014-01-14,25.48,25.48,25.31,25.42,73600,-0.0024,-0.0004,1870912.0,6617966.8
2014-01-15,25.39,25.44,25.26,25.37,52300,-0.0008,-0.002,1326851.0,6518612.3
2014-01-16,25.39,25.43,25.31,25.37,97400,-0.0008,0.0,2471038.0,6442548.2
2014-01-17,25.31,25.43,25.3,25.42,1309600,0.0043,0.002,33290032.0,6480150.5
2014-01-21,25.15,25.38,25.15,25.28,214000,0.0052,-0.0055,5409920.0,9564249.6
2014-01-22,25.35,25.35,25.25,25.3,828900,-0.002,0.0008,20971170.0,9090842.6
2014-01-23,25.21,25.34,25.14,25.2,102400,-0.0004,-0.004,2580480.0,9903225.6
2014-01-24,25.22,25.31,25.12,25.31,359500,0.0036,0.0044,9098945.0,9108468.0
2014-01-27,25.22,25.35,25.22,25.34,50700,0.0048,0.0012,1284738.0,8549729.1
2014-01-28,25.34,25.36,25.3,25.36,123800,0.0008,0.0008,3139568.0,8372830.5
2014-01-29,25.24,25.34,25.23,25.29,484100,0.002,-0.0028,12242889.0,8144365.4
2014-01-30,25.3,25.45,25.25,25.38,467100,0.0032,0.0036,11854998.0,9181563.1
2014-01-31,25.38,25.5,25.27,25.5,389800,0.0047,0.0047,9939900.0,10234377.8
2014-02-03,25.31,25.5,25.31,25.4,409500,0.0036,-0.0039,10401300.0,10981264.0
2014-02-04,25.37,25.49,25.28,25.49,176900,0.0047,0.0035,4509181.0,8692390.8
2014-02-05,25.34,25.48,25.24,25.43,80700,0.0036,-0.0024,2052201.0,8602316.9
2014-02-06,25.48,25.5,25.37,25.5,78700,0.0008,0.0028,2006850.0,6710420.0
2014-02-07,25.41,25.52,25.4,25.51,123000,0.0039,0.0004,3137730.0,6653057.0
