Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,3.16,3.19,3.14,3.17,24000,0.0032,,76080.0,
2003-12-02,3.15,3.17,3.15,3.15,21120,0.0,-0.0063,66528.0,
2003-12-03,3.15,3.17,3.15,3.16,12960,0.0032,0.0032,40953.6,
2003-12-04,3.16,3.16,3.1,3.15,38400,-0.0032,-0.0032,120960.0,
2003-12-05,3.15,3.15,3.13,3.15,3840,0.0,0.0,12096.0,
2003-12-08,3.15,3.15,3.12,3.13,18240,-0.0063,-0.0063,57091.2,
2003-12-09,3.13,3.17,3.12,3.14,82560,0.0032,0.0032,259238.4,
2003-12-10,3.12,3.14,3.1,3.12,7200,0.0,-0.0064,22464.0,
2003-12-11,3.12,3.15,3.12,3.13,108000,0.0032,0.0032,338040.0,
2003-12-12,3.14,3.18,3.14,3.17,8160,0.0096,0.0128,25867.2,
2003-12-15,3.17,3.21,3.17,3.17,24000,0.0,0.0,76080.0,101931.84
2003-12-16,3.17,3.18,3.17,3.17,37920,0.0,0.0,120206.4,101931.84
2003-12-17,3.18,3.18,3.17,3.17,3360,-0.0031,0.0,10651.2,107299.68
2003-12-18,3.17,3.2,3.17,3.18,32640,0.0032,0.0032,103795.2,104269.44
2003-12-19,3.18,3.18,3.17,3.17,21600,-0.0031,-0.0031,68472.0,102552.96
2003-12-22,3.18,3.21,3.18,3.21,32640,0.0094,0.0126,104774.4,108190.56
2003-12-23,3.21,3.21,3.2,3.21,17280,0.0,0.0,55468.8,112958.88
2003-12-24,3.23,3.3,3.23,3.3,48480,0.0217,0.028,159984.0,92581.92
2003-12-26,3.31,3.33,3.29,3.3,10560,-0.003,0.0,34848.0,106333.92
2003-12-29,3.28,3.34,3.28,3.34,31680,0.0183,0.0121,105811.2,76014.72
2003-12-30,3.34,3.39,3.34,3.39,39360,0.015,0.015,133430.4,84009.12
2003-12-31,3.36,3.42,3.36,3.4,21600,0.0119,0.0029,73440.0,89744.16
2004-01-02,3.4,3.41,3.38,3.39,181920,-0.0029,-0.0029,616708.8,85067.52
2004-01-05,3.41,3.41,3.37,3.38,15840,-0.0088,-0.0029,53539.2,145673.28
2004-01-06,3.4,3.42,3.39,3.39,31200,-0.0029,0.003,105768.0,140647.68
2004-01-07,3.41,3.42,3.39,3.42,16800,0.0029,0.0088,57456.0,144377.28
2004-01-08,3.44,3.44,3.39,3.43,28800,-0.0029,0.0029,98784.0,139645.44
2004-01-09,3.41,3.41,3.38,3.38,10560,-0.0088,-0.0146,35692.8,143976.96
2004-01-12,3.4,3.43,3.37,3.37,6240,-0.0088,-0.003,21028.8,131547.84
2004-01-13,3.39,3.39,3.39,3.39,7200,0.0,0.0059,24408.0,130165.92
2004-01-14,3.41,3.43,3.39,3.41,10080,0.0,0.0059,34372.8,122025.6
2004-01-15,3.43,3.43,3.4,3.41,10560,-0.0058,0.0,36009.6,112119.84
2004-01-16,3.43,3.46,3.42,3.45,29760,0.0058,0.0117,102672.0,108376.8
2004-01-20,3.46,3.48,3.46,3.48,16800,0.0058,0.0087,58464.0,56973.12
2004-01-21,3.47,3.48,3.47,3.47,10080,0.0,-0.0029,34977.6,57465.6
2004-01-22,3.49,3.49,3.47,3.48,15360,-0.0029,0.0029,53452.8,50386.56
2004-01-23,3.49,3.49,3.47,3.47,35520,-0.0057,-0.0029,123254.4,49986.24
2004-01-26,3.49,3.49,3.47,3.47,11520,-0.0057,0.0,39974.4,52433.28
2004-01-27,3.47,3.47,3.44,3.44,58560,-0.0086,-0.0086,201446.4,52861.44
2004-01-28,3.45,3.45,3.4,3.4,2880,-0.0145,-0.0116,9792.0,70903.2
2004-01-29,3.39,3.42,3.38,3.42,4320,0.0088,0.0059,14774.4,69441.6
2004-01-30,3.44,3.44,3.43,3.44,6240,0.0,0.0058,21465.6,67481.76
2004-02-02,3.42,3.42,3.38,3.4,34080,-0.0058,-0.0116,115872.0,66027.36
2004-02-03,3.41,3.42,3.41,3.41,6720,0.0,0.0029,22915.2,67347.36
2004-02-04,3.39,3.4,3.35,3.35,34080,-0.0118,-0.0176,114168.0,63792.48
2004-02-05,3.35,3.38,3.35,3.36,6720,0.003,0.003,22579.2,71711.52
2004-02-06,3.39,3.42,3.39,3.41,8640,0.0059,0.0149,29462.4,68624.16
2004-02-09,3.4,3.42,3.4,3.42,30240,0.0059,0.0029,103420.8,59244.96
2004-02-10,3.44,3.46,3.44,3.45,16800,0.0029,0.0088,57960.0,65589.6
2004-02-11,3.46,3.46,3.46,3.46,7680,0.0,0.0029,26572.8,51240.96
2004-02-12,3.44,3.49,3.44,3.48,4800,0.0116,0.0058,16704.0,52919.04
2004-02-13,3.48,3.48,3.48,3.48,7200,0.0,0.0,25056.0,53112.0
2004-02-17,3.49,3.49,3.47,3.47,4800,-0.0057,-0.0029,16656.0,53471.04
2004-02-18,3.46,3.46,3.46,3.46,960,0.0,-0.0029,3321.6,43549.44
2004-02-19,3.46,3.46,3.46,3.46,0,0.0,0.0,0.0,41590.08
2004-02-20,3.45,3.47,3.44,3.46,12960,0.0029,0.0,44841.6,30173.28
2004-02-23,3.44,3.48,3.44,3.46,14400,0.0058,0.0,49824.0,32399.52
2004-02-24,3.48,3.49,3.45,3.46,28320,-0.0057,0.0,97987.2,34435.68
2004-02-25,3.48,3.57,3.46,3.55,28320,0.0201,0.026,100536.0,33892.32
2004-02-26,3.55,3.56,3.55,3.56,7200,0.0028,0.0028,25632.0,38149.92
2004-02-27,3.57,3.71,3.56,3.71,106560,0.0392,0.0421,395337.6,38055.84
2004-03-01,3.96,4.38,3.96,4.27,448320,0.0783,0.1509,1914326.4,75919.2
2004-03-02,4.27,4.4,4.22,4.23,259200,-0.0094,-0.0094,1096416.0,264846.24
2004-03-03,4.25,4.26,4.21,4.23,112320,-0.0047,0.0,475113.6,372822.24
2004-03-04,4.23,4.3,4.23,4.29,22560,0.0142,0.0142,96782.4,420001.44
2004-03-05,4.27,4.48,4.27,4.48,67200,0.0492,0.0443,301056.0,429679.68
2004-03-08,4.52,4.77,4.48,4.68,353760,0.0354,0.0446,1655596.8,455301.12
2004-03-09,4.68,4.68,4.54,4.54,46080,-0.0299,-0.0299,209203.2,615878.4
