Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2021-03-19,613.5,675.0,562.8,639.6,70490,0.0425,,45085404.0,
2021-03-22,631.8,657.9,540.3,574.5,26837,-0.0907,-0.1018,15417856.5,
2021-03-23,561.9,579.9,494.25,499.5,20283,-0.1111,-0.1305,10131358.5,
2021-03-24,500.1,513.6,457.95,487.5,22613,-0.0252,-0.024,11023837.5,
2021-03-25,480.6,491.7,465.3,480.0,8990,-0.0012,-0.0154,4315200.0,
2021-03-26,498.0,513.9,468.6,480.0,14337,-0.0361,0.0,6881760.0,
2021-03-29,480.9,503.7,465.0,472.5,13667,-0.0175,-0.0156,6457657.5,
2021-03-30,466.2,481.5,459.81,466.2,2797,0.0,-0.0133,1303961.4,
2021-03-31,465.0,484.5,465.0,484.5,2423,0.0419,0.0393,1173943.5,
2021-04-01,489.9,489.9,465.0,469.5,4687,-0.0416,-0.031,2200546.5,
2021-04-05,478.2,487.5,472.2,474.6,3363,-0.0075,0.0109,1596079.8,10399152.54
2021-04-06,475.8,508.8,467.7,499.5,3470,0.0498,0.0525,1733265.0,6050220.12
2021-04-07,489.6,529.5,489.6,510.0,2963,0.0417,0.021,1511130.0,4681760.97
2021-04-08,511.2,525.3,505.05,525.3,2907,0.0276,0.03,1527047.1,3819738.12
2021-04-09,520.5,539.19,500.1,515.4,1567,-0.0098,-0.0188,807631.8,2870059.08
2021-04-12,512.4,535.8,499.2,513.0,2400,0.0012,-0.0047,1231200.0,2519302.26
2021-04-13,540.0,557.7,477.0,510.0,3957,-0.0556,-0.0058,2018070.0,1954246.26
2021-04-14,510.0,510.0,481.95,499.8,1853,-0.02,-0.02,926129.4,1510287.51
2021-04-15,509.1,511.2,489.0,494.4,2023,-0.0289,-0.0108,1000171.2,1472504.31
2021-04-16,491.4,499.05,469.2,479.7,1847,-0.0238,-0.0297,886005.9,1455127.08
2021-04-19,488.4,488.4,459.6,464.7,1183,-0.0485,-0.0313,549740.1,1323673.02
