Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2017-06-01,24.95,25.05,24.9,25.04,1268100,0.0036,,31753224.0,
2017-06-02,25.0,25.03,24.8,25.02,709400,0.0008,-0.0008,17749188.0,
2017-06-05,25.0,25.06,24.93,24.95,331100,-0.002,-0.0028,8260945.0,
2017-06-06,25.05,25.19,24.95,25.12,1076500,0.0028,0.0068,27041680.0,
2017-06-07,25.0,25.25,25.0,25.1,236400,0.004,-0.0008,5933640.0,
2017-06-08,25.05,25.25,24.8,25.14,229400,0.0036,0.0016,5767116.0,
2017-06-09,25.19,25.2,25.06,25.11,293200,-0.0032,-0.0012,7362252.0,
2017-06-12,25.1,25.13,25.02,25.1,294400,0.0,-0.0004,7389440.0,
2017-06-13,25.1,25.1,25.0,25.05,149700,-0.002,-0.002,3749985.0,
2017-06-14,25.03,25.14,25.02,25.14,363600,0.0044,0.0036,9140904.0,
2017-06-15,25.06,25.08,24.98,25.04,98500,-0.0008,-0.004,2466440.0,12414837.4
2017-06-16,25.03,25.08,25.0,25.04,61000,0.0004,0.0,1527440.0,9486159.0
2017-06-19,25.06,25.08,24.03,25.02,116600,-0.0016,-0.0008,2917332.0,7863984.2
2017-06-20,25.03,25.08,24.89,25.08,116400,0.002,0.0024,2919312.0,7329622.9
2017-06-21,25.06,25.12,25.03,25.05,86500,-0.0004,-0.0012,2166825.0,4917386.1
2017-06-22,25.06,25.17,25.06,25.15,140400,0.0036,0.004,3531060.0,4540704.6
2017-06-23,25.16,25.29,25.15,25.29,99800,0.0052,0.0056,2523942.0,4317099.0
2017-06-26,25.3,25.33,25.24,25.25,96300,-0.002,-0.0016,2431575.0,3833268.0
2017-06-27,25.23,25.24,25.08,25.15,122800,-0.0032,-0.004,3088420.0,3337481.5
2017-06-28,25.15,25.19,25.13,25.16,62600,0.0004,0.0004,1575016.0,3271325.0
2017-06-29,25.11,25.12,24.78,24.89,116200,-0.0088,-0.0107,2892218.0,2514736.2
2017-06-30,24.88,24.98,24.81,24.97,87500,0.0036,0.0032,2184875.0,2557314.0
2017-07-03,24.98,24.98,24.9,24.92,35400,-0.0024,-0.002,882168.0,2623057.5
2017-07-05,24.94,24.98,24.83,24.98,106600,0.0016,0.0024,2662868.0,2419541.1
2017-07-06,24.92,24.95,24.88,24.92,88700,0.0,-0.0024,2210404.0,2393896.7
2017-07-07,24.94,25.0,24.88,24.97,94900,0.0012,0.002,2369653.0,2398254.6
2017-07-10,25.03,25.05,25.0,25.04,159500,0.0004,0.0028,3993880.0,2282113.9
2017-07-11,25.04,25.04,24.92,24.97,82300,-0.0028,-0.0028,2055031.0,2429107.7
2017-07-12,25.0,25.06,25.0,25.06,88400,0.0024,0.0036,2215304.0,2391453.3
2017-07-13,25.04,25.08,25.01,25.07,86300,0.0012,0.0004,2163541.0,2304141.7
2017-07-14,25.08,25.14,25.07,25.13,76700,0.002,0.0024,1927471.0,2362994.2
2017-07-17,25.15,25.16,25.07,25.1,86700,-0.002,-0.0012,2176170.0,2266519.5
2017-07-18,25.1,25.1,25.02,25.09,76900,-0.0004,-0.0004,1929421.0,2265649.0
2017-07-19,25.05,25.15,25.05,25.14,67900,0.0036,0.002,1707006.0,2370374.3
2017-07-20,25.14,25.2,25.14,25.19,72800,0.002,0.002,1833832.0,2274788.1
2017-07-21,25.19,25.45,25.1,25.45,1282700,0.0103,0.0103,32644715.0,2237130.9
2017-07-24,25.38,25.44,25.32,25.35,107100,-0.0012,-0.0039,2714985.0,5264637.1
2017-07-25,25.3,25.35,25.18,25.23,52100,-0.0028,-0.0047,1314483.0,5136747.6
2017-07-26,25.14,25.31,25.14,25.2,50600,0.0024,-0.0012,1275120.0,5062692.8
2017-07-27,25.21,25.21,25.15,25.2,32800,-0.0004,0.0,826560.0,4968674.4
2017-07-28,25.23,25.23,25.15,25.17,58300,-0.0024,-0.0012,1467411.0,4834976.3
2017-07-31,25.2,25.2,25.13,25.18,54000,-0.0008,0.0004,1359720.0,4788970.3
2017-08-01,25.15,25.17,25.1,25.14,25100,-0.0004,-0.0016,631014.0,4707325.3
2017-08-02,25.17,25.17,25.1,25.15,114400,-0.0008,0.0004,2877160.0,4577484.6
2017-08-03,25.13,25.14,25.11,25.14,21100,0.0004,-0.0004,530454.0,4694500.0
2017-08-04,25.12,25.14,25.08,25.13,17200,0.0004,-0.0004,432236.0,4564162.2
2017-08-07,25.13,25.15,25.08,25.09,35400,-0.0016,-0.0016,888186.0,1342914.3
2017-08-08,25.15,25.16,25.09,25.09,42100,-0.0024,0.0,1056289.0,1160234.4
2017-08-09,25.05,25.1,25.02,25.08,23200,0.0012,-0.0004,581856.0,1134415.0
2017-08-10,25.12,25.12,24.77,25.0,80000,-0.0048,-0.0032,2000000.0,1065088.6
2017-08-11,25.01,25.12,24.99,25.02,28000,0.0004,0.0008,700560.0,1182432.6
2017-08-14,25.06,25.12,25.01,25.1,26100,0.0016,0.0032,655110.0,1105747.5
2017-08-15,25.12,25.13,25.03,25.12,57400,0.0,0.0008,1441888.0,1035286.5
2017-08-16,25.13,25.2,25.12,25.18,36400,0.002,0.0024,916552.0,1116373.9
2017-08-17,25.17,25.17,25.09,25.13,24100,-0.0016,-0.002,605633.0,920313.1
2017-08-18,25.05,25.21,25.02,25.21,22400,0.0064,0.0032,564704.0,927831.0
2017-08-21,25.2,25.21,25.05,25.09,26900,-0.0044,-0.0048,674921.0,941077.8
2017-08-22,25.18,25.24,25.1,25.11,54700,-0.0028,0.0008,1373517.0,919751.3
2017-08-23,25.07,25.11,25.04,25.1,46900,0.0012,-0.0004,1177190.0,951474.1
2017-08-24,25.09,25.1,25.05,25.09,31200,0.0,-0.0004,782808.0,1011007.5
2017-08-25,25.1,25.1,25.08,25.1,17700,0.0,0.0004,444270.0,889288.3
2017-08-28,25.1,25.17,25.1,25.16,18300,0.0024,0.0024,460428.0,863659.3
2017-08-29,25.12,25.17,25.03,25.05,34700,-0.0028,-0.0044,869235.0,844191.1
2017-08-30,25.11,25.2,25.04,25.13,69900,0.0008,0.0032,1756587.0,786925.8
2017-08-31,25.15,25.33,25.13,25.13,161200,-0.0008,0.0,4050956.0,870929.3
2017-09-01,25.19,25.21,25.15,25.16,21900,-0.0012,0.0012,551004.0,1215461.6
2017-09-05,25.19,25.25,25.1,25.23,35300,0.0016,0.0028,890619.0,1214091.6
2017-09-06,25.19,25.22,25.11,25.18,52300,-0.0004,-0.002,1316914.0,1235661.4
2017-09-07,25.18,25.18,25.07,25.1,103500,-0.0032,-0.0032,2597850.0,1230001.1
2017-09-08,25.12,25.16,25.03,25.05,66700,-0.0028,-0.002,1670835.0,1372067.1
2017-09-11,25.1,25.34,25.1,25.25,112400,0.006,0.008,2838100.0,1460869.8
2017-09-12,25.19,25.4,25.18,25.25,33300,0.0024,0.0,840825.0,1700252.8
2017-09-13,25.25,25.55,25.25,25.35,92000,0.004,0.004,2332200.0,1738292.5
2017-09-14,25.52,25.52,25.26,25.3,84800,-0.0086,-0.002,2145440.0,1884589.0
2017-09-15,24.98,25.16,24.93,25.14,73500,0.0064,-0.0063,1847790.0,1923474.3
2017-09-18,25.08,25.15,25.05,25.09,50800,0.0004,-0.002,1274572.0,1703157.7
2017-09-19,25.06,25.1,25.02,25.05,37200,-0.0004,-0.0016,931860.0,1775514.5
2017-09-20,25.1,25.1,25.04,25.07,34500,-0.0012,0.0008,864915.0,1779638.6
2017-09-21,25.12,25.22,25.02,25.06,46300,-0.0024,-0.0004,1160278.0,1734438.7
2017-09-22,25.07,25.11,24.99,25.03,71400,-0.0016,-0.0012,1787142.0,1590681.5
2017-09-25,25.03,25.07,24.97,24.97,31200,-0.0024,-0.0024,779064.0,1602312.2
2017-09-26,25.05,25.2,25.01,25.09,83700,0.0016,0.0048,2100033.0,1396408.6
2017-09-27,25.07,25.08,24.95,25.0,33600,-0.0028,-0.0036,840000.0,1522329.4
2017-09-28,25.05,25.2,25.0,25.2,46700,0.006,0.008,1176840.0,1373109.4
2017-09-29,25.28,25.28,25.04,25.05,101400,-0.0091,-0.006,2540070.0,1276249.4
2017-10-02,25.09,25.1,25.04,25.07,23800,-0.0008,0.0008,596666.0,1345477.4
2017-10-03,25.07,25.13,25.02,25.08,46300,0.0004,0.0004,1161204.0,1277686.8
2017-10-04,25.11,25.13,25.03,25.04,88400,-0.0028,-0.0016,2213536.0,1300621.2
2017-10-05,25.06,25.07,25.0,25.0,45200,-0.0024,-0.0016,1130000.0,1435483.3
2017-10-06,25.01,25.02,24.82,24.88,47600,-0.0052,-0.0048,1184288.0,1432455.5
2017-10-09,24.93,24.93,24.47,24.63,80100,-0.012,-0.01,1972863.0,1372170.1
2017-10-10,24.74,24.86,24.61,24.84,50100,0.004,0.0085,1244484.0,1491550.0
2017-10-11,24.9,24.95,24.85,24.9,41100,0.0,0.0024,1023390.0,1405995.1
2017-10-12,24.97,25.09,24.92,25.06,40100,0.0036,0.0064,1004906.0,1424334.1
2017-10-13,25.11,25.19,25.01,25.01,48100,-0.004,-0.002,1202981.0,1407140.7
2017-10-16,25.04,25.12,24.92,25.08,46100,0.0016,0.0028,1156188.0,1273431.8
2017-10-17,25.05,25.08,24.96,24.96,44300,-0.0036,-0.0048,1105728.0,1329384.0
2017-10-18,24.97,25.1,24.91,25.05,75400,0.0032,0.0036,1888770.0,1323836.4
2017-10-19,25.05,25.18,25.03,25.15,44500,0.004,0.004,1119175.0,1291359.8
2017-10-20,25.14,25.18,25.02,25.06,68700,-0.0032,-0.0036,1721622.0,1290277.3
2017-10-23,25.07,25.17,25.07,25.12,50900,0.002,0.0024,1278608.0,1344010.7
2017-10-24,25.12,25.17,25.08,25.1,40900,-0.0008,-0.0008,1026590.0,1274585.2
2017-10-25,25.0,25.08,24.85,24.98,88800,-0.0008,-0.0048,2218224.0,1252795.8
2017-10-26,24.99,25.06,24.92,24.98,53500,-0.0004,0.0,1336430.0,1372279.2
2017-10-27,24.97,25.17,24.97,25.16,29000,0.0076,0.0072,729640.0,1405431.6
2017-10-30,25.14,25.15,25.03,25.1,21800,-0.0016,-0.0024,547180.0,1358097.5
2017-10-31,25.1,25.26,25.1,25.25,51800,0.006,0.006,1307950.0,1297196.7
2017-11-01,25.21,25.26,25.13,25.21,19900,0.0,-0.0016,501679.0,1317418.9
2017-11-02,25.25,25.32,25.18,25.3,34600,0.002,0.0036,875380.0,1178709.8
2017-11-03,25.28,25.33,25.23,25.26,23600,-0.0008,-0.0016,596136.0,1154330.3
2017-11-06,25.28,25.33,25.19,25.26,24100,-0.0008,0.0,608766.0,1041781.7
2017-11-07,25.23,25.34,25.23,25.3,42200,0.0028,0.0016,1067660.0,974797.5
2017-11-08,25.28,25.33,25.22,25.33,37400,0.002,0.0012,947342.0,978904.5
2017-11-09,25.26,25.31,25.14,25.14,21800,-0.0048,-0.0075,548052.0,851816.3
2017-11-10,25.18,25.25,25.12,25.25,21900,0.0028,0.0044,552975.0,772978.5
2017-11-13,25.2,25.28,25.14,25.27,31200,0.0028,0.0008,788424.0,755312.0
