Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2015-06-02,24.45,28.0,22.05,28.0,22200,0.1452,,621600.0,
2015-06-03,27.0,28.98,26.99,28.06,41900,0.0393,0.0021,1175714.0,
2015-06-04,27.82,28.5,27.55,27.87,57700,0.0018,-0.0068,1608099.0,
2015-06-05,28.0,28.17,27.64,27.86,16800,-0.005,-0.0004,468048.0,
2015-06-08,27.88,28.45,27.2,27.97,49000,0.0032,0.0039,1370530.0,
2015-06-09,28.11,28.14,25.5,25.8,55700,-0.0822,-0.0776,1437060.0,
2015-06-10,26.23,26.44,25.32,26.05,84800,-0.0069,0.0097,2209040.0,
2015-06-11,26.03,26.42,25.47,26.03,121200,0.0,-0.0008,3154836.0,
2015-06-12,25.86,26.02,25.53,25.96,114800,0.0039,-0.0027,2980208.0,
2015-06-15,25.02,25.6,25.0,25.42,35400,0.016,-0.0208,899868.0,
2015-06-16,25.44,25.56,24.55,24.9,65300,-0.0212,-0.0205,1625970.0,1592500.3
2015-06-17,24.81,24.95,24.55,24.91,10200,0.004,0.0004,254082.0,1692937.3
2015-06-18,24.88,25.51,24.7,24.88,40600,0.0,-0.0012,1010128.0,1600774.1
2015-06-19,24.68,25.12,24.58,24.95,211100,0.0109,0.0028,5266945.0,1540977.0
2015-06-22,24.92,25.33,24.84,25.26,118300,0.0136,0.0124,2988258.0,2020866.7
2015-06-23,25.55,26.78,24.99,25.9,44100,0.0137,0.0253,1142190.0,2182639.5
2015-06-24,25.9,26.07,25.58,25.92,56000,0.0008,0.0008,1451520.0,2153152.5
2015-06-25,26.44,26.51,26.1,26.49,42200,0.0019,0.022,1117878.0,2077400.5
2015-06-26,26.78,27.07,26.17,26.88,46600,0.0037,0.0147,1252608.0,1873704.7
2015-06-29,25.86,27.11,25.71,26.68,52000,0.0317,-0.0074,1387360.0,1700944.7
2015-06-30,26.71,28.0,26.04,27.77,39500,0.0397,0.0409,1096915.0,1749693.9
2015-07-01,27.75,28.1,27.73,27.99,41400,0.0086,0.0079,1158786.0,1696788.4
2015-07-02,27.81,30.5,27.81,29.09,51800,0.046,0.0393,1506862.0,1787258.8
2015-07-06,28.74,29.88,28.45,29.81,18900,0.0372,0.0248,563409.0,1836932.2
2015-07-07,29.73,29.73,28.68,29.35,37900,-0.0128,-0.0154,1112365.0,1366578.6
2015-07-08,28.96,29.12,27.69,28.17,8400,-0.0273,-0.0402,236628.0,1178989.3
2015-07-09,28.15,28.32,26.89,27.86,18000,-0.0103,-0.011,501480.0,1088433.1
2015-07-10,28.19,29.7,28.16,29.18,44900,0.0351,0.0474,1310182.0,993429.1
2015-07-13,28.41,28.86,28.41,28.74,17700,0.0116,-0.0151,508698.0,1012659.5
2015-07-14,28.38,28.5,28.19,28.36,19900,-0.0007,-0.0132,564364.0,938268.5
2015-07-15,28.12,28.19,27.83,28.01,14000,-0.0039,-0.0123,392140.0,855968.9
2015-07-16,28.22,29.97,27.91,29.92,27000,0.0602,0.0682,807840.0,785491.4
2015-07-17,29.84,30.2,29.73,29.96,13700,0.004,0.0013,410452.0,750396.8
2015-07-20,30.25,30.34,29.49,29.56,15900,-0.0228,-0.0134,470004.0,640755.8
2015-07-21,29.65,30.16,29.26,29.41,11600,-0.0081,-0.0051,341156.0,631415.3
2015-07-22,28.62,29.29,28.5,28.55,12400,-0.0024,-0.0292,354020.0,554294.4
2015-07-23,28.55,28.89,28.17,28.33,19500,-0.0077,-0.0077,552435.0,566033.6
2015-07-24,27.91,28.17,27.62,28.1,33300,0.0068,-0.0081,935730.0,571129.1
2015-07-27,27.83,27.89,27.34,27.63,106300,-0.0072,-0.0167,2937069.0,533683.9
2015-07-28,27.87,28.97,27.6,28.88,20400,0.0362,0.0452,589152.0,776521.0
2015-07-29,29.04,30.07,28.55,29.85,15500,0.0279,0.0336,462675.0,778999.8
2015-07-30,30.6,30.97,29.4,29.4,5700,-0.0392,-0.0151,167580.0,786053.3
2015-07-31,29.63,30.05,29.13,29.79,21300,0.0054,0.0133,634527.0,722027.3
2015-08-03,31.7,31.78,30.32,31.0,25900,-0.0221,0.0406,802900.0,744434.8
2015-08-04,31.25,32.75,30.65,31.02,38100,-0.0074,0.0006,1181862.0,777724.4
2015-08-05,31.3,31.3,31.01,31.07,20000,-0.0073,0.0016,621400.0,861795.0
2015-08-06,31.86,31.86,31.18,31.59,19500,-0.0085,0.0167,616005.0,888533.0
2015-08-07,31.34,32.5,31.34,31.95,36800,0.0195,0.0114,1175760.0,894890.0
2015-08-10,32.0,32.26,31.77,32.03,48000,0.0009,0.0025,1537440.0,918893.0
2015-08-11,31.34,32.12,31.34,31.65,82000,0.0099,-0.0119,2595300.0,778930.1
2015-08-12,31.58,31.95,31.51,31.79,52200,0.0066,0.0044,1659438.0,979544.9
2015-08-13,31.65,32.54,31.37,32.4,16200,0.0237,0.0192,524880.0,1099221.2
2015-08-14,32.25,33.07,32.23,32.5,18800,0.0078,0.0031,611000.0,1134951.2
2015-08-17,33.24,34.12,32.64,33.84,26600,0.0181,0.0412,900144.0,1132598.5
2015-08-18,33.74,34.31,32.15,32.63,25800,-0.0329,-0.0358,841854.0,1142322.9
2015-08-19,32.28,32.7,30.12,32.36,29400,0.0025,-0.0083,951384.0,1108322.1
2015-08-20,32.05,32.3,31.73,32.28,19600,0.0072,-0.0025,632688.0,1141320.5
2015-08-21,32.22,32.38,31.69,31.8,26500,-0.013,-0.0149,842700.0,1142988.8
2015-08-24,30.48,30.68,29.82,30.54,36700,0.002,-0.0396,1120818.0,1109682.8
2015-08-25,31.27,31.6,30.9,31.08,22700,-0.0061,0.0177,705516.0,1068020.6
2015-08-26,31.67,31.67,30.49,31.24,47700,-0.0136,0.0051,1490148.0,879042.2
2015-08-27,31.56,31.56,31.0,31.39,9500,-0.0054,0.0048,298205.0,862113.2
2015-08-28,31.35,31.48,31.04,31.41,19000,0.0019,0.0006,596790.0,839445.7
2015-08-31,31.22,32.01,30.88,31.93,18900,0.0227,0.0166,603477.0,838024.7
2015-09-01,31.42,31.6,31.18,31.56,67600,0.0045,-0.0116,2133456.0,808358.0
2015-09-02,31.6,32.3,31.6,32.22,61000,0.0196,0.0209,1965420.0,937518.2
2015-09-03,32.44,32.44,31.8,31.93,29200,-0.0157,-0.009,932356.0,1038921.8
2015-09-04,31.66,32.36,31.66,32.17,29100,0.0161,0.0075,936147.0,1068888.6
2015-09-08,32.53,32.53,32.01,32.07,14300,-0.0141,-0.0031,458601.0,1078233.3
2015-09-09,32.34,32.48,31.24,31.39,29400,-0.0294,-0.0212,922866.0,1012011.6
2015-09-10,31.48,32.05,31.39,31.87,23700,0.0124,0.0153,755319.0,1033746.6
2015-09-11,31.94,32.1,31.21,31.65,7100,-0.0091,-0.0069,224715.0,960263.7
2015-09-14,32.03,32.03,31.41,31.5,16800,-0.0165,-0.0047,529200.0,952914.7
2015-09-15,31.84,32.35,31.64,32.0,18300,0.005,0.0159,585600.0,946155.7
2015-09-16,32.51,32.62,32.37,32.54,64400,0.0009,0.0169,2095576.0,944368.0
2015-09-17,32.62,33.11,32.51,32.79,11600,0.0052,0.0077,380364.0,940580.0
2015-09-18,32.54,33.02,32.17,32.52,64900,-0.0006,-0.0082,2110548.0,782074.4
2015-09-21,32.73,33.33,32.5,33.18,20300,0.0137,0.0203,673554.0,899893.6
2015-09-22,32.96,33.78,32.74,33.28,26400,0.0097,0.003,878592.0,873634.3
2015-09-23,32.94,33.63,32.94,33.11,11500,0.0052,-0.0051,380765.0,915633.4
2015-09-24,33.55,33.91,33.07,33.73,11900,0.0054,0.0187,401387.0,861423.3
2015-09-25,33.93,34.29,33.76,34.17,57900,0.0071,0.013,1978443.0,826030.1
2015-09-28,33.93,33.93,32.75,33.05,78600,-0.0259,-0.0328,2597730.0,1001402.9
2015-09-29,32.51,33.18,31.75,32.17,63700,-0.0105,-0.0266,2049229.0,1208255.9
2015-09-30,32.45,32.45,31.37,32.29,45500,-0.0049,0.0037,1469195.0,1354618.8
2015-10-01,32.67,33.31,32.57,33.27,27600,0.0184,0.0303,918252.0,1291980.7
2015-10-02,33.32,33.62,33.25,33.28,35700,-0.0012,0.0003,1188096.0,1345769.5
2015-10-05,33.49,34.18,33.42,33.7,26200,0.0063,0.0126,882940.0,1253524.3
2015-10-06,33.7,33.73,33.29,33.71,18300,0.0003,0.0003,616893.0,1274462.9
2015-10-07,33.64,33.64,33.13,33.27,18400,-0.011,-0.0131,612168.0,1248293.0
2015-10-08,33.0,33.19,32.84,32.99,6700,-0.0003,-0.0084,221033.0,1271433.3
2015-10-09,33.12,33.29,32.36,32.9,14200,-0.0066,-0.0027,467180.0,1253397.9
2015-10-12,32.85,33.5,31.56,32.74,15400,-0.0033,-0.0049,504196.0,1102271.6
