Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2005-07-27,6.6,6.7,6.4,6.47,47800,-0.0197,,309266.0,
2005-07-28,6.47,6.49,6.4,6.45,12600,-0.0031,-0.0031,81270.0,
2005-07-29,6.45,6.45,6.42,6.43,7600,-0.0031,-0.0031,48868.0,
2005-08-01,6.43,6.55,6.43,6.5,14400,0.0109,0.0109,93600.0,
2005-08-02,6.53,6.57,6.53,6.57,8600,0.0061,0.0108,56502.0,
2005-08-03,6.57,6.59,6.5,6.59,17600,0.003,0.003,115984.0,
2005-08-04,6.55,6.62,6.55,6.62,18200,0.0107,0.0046,120484.0,
2005-08-05,6.65,7.0,6.65,7.0,39200,0.0526,0.0574,274400.0,
2005-08-08,7.05,8.1,7.05,8.05,168200,0.1418,0.15,1354010.0,
2005-08-09,8.25,8.69,8.0,8.2,158000,-0.0061,0.0186,1295600.0,
2005-08-10,8.25,8.65,8.25,8.59,154000,0.0412,0.0476,1322860.0,374998.4
2005-08-11,8.59,8.73,8.57,8.68,107400,0.0105,0.0105,932232.0,476357.8
2005-08-12,8.75,9.1,8.73,9.1,77000,0.04,0.0484,700700.0,561454.0
2005-08-15,9.07,9.65,8.62,9.45,163200,0.0419,0.0385,1542240.0,626637.2
2005-08-16,9.55,9.65,9.06,9.12,91200,-0.045,-0.0349,831744.0,771501.2
2005-08-17,9.1,9.15,9.0,9.0,152200,-0.011,-0.0132,1369800.0,849025.4
2005-08-18,8.93,8.95,8.25,8.25,91000,-0.0761,-0.0833,750750.0,974407.0
2005-08-19,8.25,8.88,8.25,8.85,96000,0.0727,0.0727,849600.0,1037433.6
2005-08-22,8.9,9.15,8.85,8.88,38600,-0.0022,0.0034,342768.0,1094953.6
2005-08-23,8.93,8.93,8.7,8.75,61800,-0.0202,-0.0146,540750.0,993829.4
2005-08-24,8.7,8.7,8.51,8.55,873200,-0.0172,-0.0229,7465860.0,918344.4
2005-08-25,8.5,8.73,8.5,8.66,58400,0.0188,0.0129,505744.0,1532644.4
2005-08-26,8.66,8.67,8.55,8.62,37800,-0.0046,-0.0046,325836.0,1489995.6
2005-08-29,8.73,9.18,8.73,8.85,89000,0.0137,0.0267,787650.0,1452509.2
2005-08-30,8.95,9.38,8.94,9.31,128400,0.0402,0.052,1195404.0,1377050.2
2005-08-31,9.38,9.6,9.25,9.5,124400,0.0128,0.0204,1181800.0,1413416.2
2005-09-01,9.57,9.61,9.43,9.5,73400,-0.0073,0.0,697300.0,1394616.2
2005-09-02,9.51,9.6,9.43,9.55,88800,0.0042,0.0053,848040.0,1389271.2
2005-09-06,9.57,9.81,9.4,9.56,86600,-0.001,0.001,827896.0,1389115.2
2005-09-07,9.62,9.74,9.57,9.73,18400,0.0114,0.0178,179032.0,1437628.0
2005-09-08,9.75,10.0,9.75,9.93,55400,0.0185,0.0206,550122.0,1401456.2
2005-09-09,9.95,10.12,9.7,9.78,204800,-0.0171,-0.0151,2002944.0,709882.4
2005-09-12,9.82,9.95,9.38,9.5,47600,-0.0326,-0.0286,452200.0,859602.4
2005-09-13,9.48,9.5,9.44,9.49,65800,0.0011,-0.0011,624442.0,872238.8
2005-09-14,9.49,9.52,9.48,9.52,38200,0.0032,0.0032,363664.0,855918.0
2005-09-15,9.52,9.65,9.48,9.65,68000,0.0137,0.0137,656200.0,772744.0
2005-09-16,9.6,9.75,9.48,9.73,32600,0.0135,0.0083,317198.0,720184.0
2005-09-19,9.75,10.23,9.73,10.12,60600,0.0379,0.0401,613272.0,682173.8
2005-09-20,10.12,10.15,9.85,9.9,35800,-0.0217,-0.0217,354420.0,658697.0
2005-09-21,9.9,10.38,9.9,10.09,102400,0.0192,0.0192,1033216.0,611349.4
2005-09-22,10.09,10.1,9.25,9.6,88600,-0.0486,-0.0486,850560.0,696767.8
2005-09-23,9.56,9.77,9.48,9.68,24400,0.0126,0.0083,236192.0,726811.6
2005-09-26,9.68,9.68,9.45,9.65,42200,-0.0031,-0.0031,407230.0,550136.4
2005-09-27,9.66,9.77,9.62,9.75,20600,0.0093,0.0104,200850.0,545639.4
2005-09-28,9.73,9.73,9.52,9.62,24400,-0.0113,-0.0133,234728.0,503280.2
2005-09-29,9.62,9.73,9.62,9.73,14800,0.0114,0.0114,144004.0,490386.6
2005-09-30,9.7,9.95,9.55,9.56,28800,-0.0144,-0.0175,275328.0,439167.0
2005-10-03,9.5,9.76,9.5,9.73,46200,0.0242,0.0178,449526.0,434980.0
2005-10-04,9.77,9.77,9.65,9.73,11600,-0.0041,0.0,112868.0,418605.4
2005-10-05,9.65,9.66,9.55,9.64,58400,-0.001,-0.0092,562976.0,394450.2
2005-10-06,9.56,9.56,9.4,9.5,145400,-0.0063,-0.0145,1381300.0,347426.2
2005-10-07,9.49,9.55,9.43,9.52,15200,0.0032,0.0021,144704.0,400500.2
2005-10-10,9.54,9.7,9.54,9.62,29600,0.0084,0.0105,284752.0,391351.4
2005-10-11,9.62,9.62,9.62,9.62,0,0.0,0.0,0.0,379103.6
2005-10-12,9.62,9.65,9.55,9.58,78200,-0.0042,-0.0042,749156.0,359018.6
2005-10-13,9.58,9.62,9.25,9.57,156200,-0.001,-0.001,1494834.0,410461.4
2005-10-14,9.5,9.65,9.5,9.65,48200,0.0158,0.0084,465130.0,545544.4
2005-10-17,9.68,10.12,9.68,10.12,119000,0.0455,0.0487,1204280.0,564524.6
2005-10-18,10.15,11.23,10.15,10.68,125400,0.0522,0.0553,1339272.0,640000.0
2005-10-19,10.59,10.68,10.41,10.51,69200,-0.0076,-0.0159,727292.0,762640.4
2005-10-20,10.52,10.52,10.27,10.27,16400,-0.0238,-0.0228,168428.0,779072.0
2005-10-21,10.2,10.2,9.78,10.1,66000,-0.0098,-0.0166,666600.0,657784.8
2005-10-24,10.05,10.18,10.0,10.18,7400,0.0129,0.0079,75332.0,709974.4
2005-10-25,10.18,10.38,10.0,10.38,100800,0.0196,0.0196,1046304.0,689032.4
2005-10-26,10.45,10.55,10.43,10.5,39800,0.0048,0.0116,417900.0,793662.8
2005-10-27,10.55,10.55,10.07,10.07,27400,-0.0455,-0.041,275918.0,760537.2
2005-10-28,10.07,10.12,10.07,10.12,4600,0.005,0.005,46552.0,638645.6
2005-10-31,10.18,11.0,10.18,11.0,38800,0.0806,0.087,426800.0,596787.8
2005-11-01,11.07,11.25,11.0,11.0,36800,-0.0063,0.0,404800.0,519039.8
2005-11-02,10.12,10.4,9.75,10.35,154600,0.0227,-0.0591,1600110.0,425592.6
2005-11-03,10.35,10.77,10.19,10.55,79600,0.0193,0.0193,839780.0,512874.4
2005-11-04,10.6,10.6,10.4,10.45,10200,-0.0142,-0.0095,106590.0,580009.6
2005-11-07,10.35,10.36,10.0,10.05,56400,-0.029,-0.0383,566820.0,524008.6
2005-11-08,10.0,10.22,10.0,10.2,4600,0.02,0.0149,46920.0,573157.4
2005-11-09,10.25,10.25,10.1,10.1,3200,-0.0146,-0.0098,32320.0,473219.0
2005-11-10,10.12,10.12,10.0,10.0,11800,-0.0119,-0.0099,118000.0,434661.0
2005-11-11,9.95,9.95,9.6,9.83,71400,-0.0121,-0.017,701862.0,418869.2
2005-11-14,9.76,10.1,9.75,10.1,49400,0.0348,0.0275,498940.0,484400.2
