Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,175.34,175.4,172.82,174.32,3302240,-0.0058,,575646476.8,
2003-12-02,174.32,177.03,173.84,177.03,4030925,0.0155,0.0155,713594652.75,
2003-12-03,177.69,178.35,176.06,177.27,4174341,-0.0024,0.0014,739985429.07,
2003-12-04,176.54,177.45,174.74,175.04,3267518,-0.0085,-0.0126,571946350.72,
2003-12-05,175.1,176.54,174.2,174.74,2284125,-0.0021,-0.0017,399128002.5,
2003-12-08,175.04,176.6,175.04,176.36,2510773,0.0075,0.0093,442799926.28,
2003-12-09,177.15,179.01,176.78,177.51,4110377,0.002,0.0065,729633021.27,
2003-12-10,178.05,178.47,177.39,178.47,3813337,0.0024,0.0054,680566254.39,
2003-12-11,178.59,182.97,178.59,182.55,4774348,0.0222,0.0229,871557227.4,
2003-12-12,181.83,182.85,179.85,180.81,3430351,-0.0056,-0.0095,620241764.31,
2003-12-15,183.69,183.75,180.81,182.13,4494545,-0.0085,0.0073,818591480.85,634509910.55
2003-12-16,182.67,184.95,181.41,184.05,4281403,0.0076,0.0105,787992222.15,658804410.95
2003-12-17,184.05,184.53,182.79,184.53,3607606,0.0026,0.0026,665711535.18,666244167.89
2003-12-18,185.37,185.61,184.53,185.25,4060551,-0.0006,0.0039,752217072.75,658816778.5
2003-12-19,185.49,186.15,183.21,185.49,4212510,0.0,0.0013,781378479.9,676843850.71
2003-12-22,184.95,186.15,184.53,186.15,2709693,0.0065,0.0036,504409351.95,715068898.45
2003-12-23,185.85,187.89,185.61,186.75,2572739,0.0048,0.0032,480459008.25,721229841.02
2003-12-24,186.45,186.51,184.89,185.55,966790,-0.0048,-0.0064,179387884.5,696312439.71
2003-12-26,185.49,185.97,184.35,184.47,847471,-0.0055,-0.0058,156332975.37,646194602.72
2003-12-29,184.35,185.13,183.27,185.13,2770143,0.0042,0.0036,512836573.59,574672177.52
2003-12-30,185.13,185.31,183.63,184.47,2339130,-0.0036,-0.0036,431499311.1,563931658.45
2003-12-31,183.93,186.03,183.63,186.03,2803016,0.0114,0.0085,521445066.48,525222441.47
2004-01-02,186.15,189.64,185.67,186.87,3053910,0.0039,0.0045,570684161.7,498567725.91
2004-01-05,187.59,189.64,186.81,189.64,3263805,0.0109,0.0148,618947980.2,489064988.56
2004-01-06,188.67,189.34,187.35,188.37,2741750,-0.0016,-0.0067,516463447.5,475738079.3
2004-01-07,188.25,190.24,187.11,190.24,3093062,0.0106,0.0099,588424114.88,449246576.06
2004-01-08,191.32,193.66,190.18,193.66,4498109,0.0122,0.018,871103788.94,457648052.36
2004-01-09,190.06,193.3,190.06,190.96,3996753,0.0047,-0.0139,763219952.88,496712530.43
2004-01-12,191.86,192.76,191.68,192.7,3101838,0.0044,0.0091,597724182.6,555095737.26
2004-01-13,192.22,192.94,188.31,189.82,4450731,-0.0125,-0.0149,844837758.42,599234857.99
2004-01-14,190.9,192.4,189.34,192.16,2739135,0.0066,0.0123,526352181.6,632434976.47
2004-01-15,192.58,193.06,190.06,192.16,3300625,-0.0022,0.0,634248100.0,641920263.52
2004-01-16,194.56,200.98,193.54,200.26,8385935,0.0293,0.0422,1679367343.1,653200566.87
2004-01-20,202.67,202.67,199.18,200.32,4400872,-0.0116,0.0003,881582679.04,764068885.01
2004-01-21,200.98,204.41,198.34,203.27,3561544,0.0114,0.0147,723955048.88,790332354.9
2004-01-22,204.05,204.47,200.68,201.29,2979438,-0.0135,-0.0097,599731075.02,811081515.03
2004-01-23,202.07,203.51,198.64,199.42,2717770,-0.0131,-0.0093,541977693.4,812212211.05
2004-01-26,201.04,205.37,200.68,205.01,3552435,0.0197,0.028,728284699.35,779299601.49
2004-01-27,205.67,206.93,204.35,205.31,3377345,-0.0018,0.0015,693402701.95,775806076.14
2004-01-28,205.97,207.59,201.23,202.73,4515378,-0.0157,-0.0126,915402581.94,785373928.08
2004-01-29,204.17,205.07,202.13,204.35,3461543,0.0009,0.008,707366312.05,792430410.43
2004-01-30,203.33,203.99,201.04,201.95,2862134,-0.0068,-0.0117,578007961.3,810531823.47
2004-02-02,202.31,203.93,200.08,201.95,3109448,-0.0018,0.0,627953023.6,804907809.6
2004-02-03,202.13,202.13,198.94,199.42,2738553,-0.0134,-0.0125,546122239.26,699766377.65
2004-02-04,198.52,204.11,197.56,199.24,3348269,0.0036,-0.0009,667109115.56,666220333.67
2004-02-05,200.02,202.37,198.46,201.29,2241960,0.0063,0.0103,451284128.4,660535740.34
2004-02-06,199.78,200.86,198.04,199.24,3051945,-0.0027,-0.0102,608069521.8,645691045.68
2004-02-09,200.26,200.26,196.96,197.5,2569558,-0.0138,-0.0087,507487705.0,652300228.52
2004-02-10,199.18,199.18,194.56,195.16,3694401,-0.0202,-0.0118,720999299.16,630220529.09
2004-02-11,195.16,200.14,194.26,198.64,3964780,0.0178,0.0178,787563899.2,632980188.81
2004-02-12,199.06,199.66,196.06,197.32,2578467,-0.0087,-0.0066,508783108.44,620196320.53
2004-02-13,198.16,199.18,196.48,196.48,2691691,-0.0085,-0.0043,528863447.68,600338000.17
2004-02-17,198.64,199.3,197.74,198.46,2493071,-0.0009,0.0101,494774870.66,595423548.81
2004-02-18,198.46,199.6,196.66,196.66,2543929,-0.0091,-0.0091,500289077.14,582105733.52
2004-02-19,198.16,198.76,195.64,195.76,3059822,-0.0121,-0.0046,598990754.72,577522417.3
2004-02-20,196.9,197.5,195.16,196.36,2919454,-0.0027,0.0031,573263987.44,570710581.22
2004-02-23,196.66,201.04,196.42,200.68,3468936,0.0204,0.022,696146076.48,582908567.12
2004-02-24,200.62,202.13,198.46,199.84,3524324,-0.0039,-0.0042,704300908.16,591716222.59
2004-02-25,199.96,200.02,197.68,197.98,2800302,-0.0099,-0.0093,554403789.96,611397542.91
2004-02-26,196.48,197.5,195.82,196.18,2783915,-0.0015,-0.0091,546148444.7,594737991.99
2004-02-27,196.66,197.86,195.28,195.28,2833008,-0.007,-0.0046,553229802.24,570596446.54
2004-03-01,196.3,197.74,195.22,196.9,2612989,0.0031,0.0083,514497534.1,575041115.92
2004-03-02,197.74,197.86,194.68,195.1,3153812,-0.0134,-0.0091,615308721.2,573604524.56
2004-03-03,194.92,197.38,194.62,197.26,2464261,0.012,0.0111,486100124.86,585657909.61
2004-03-04,196.36,197.86,196.36,197.56,2545827,0.0061,0.0015,502953582.12,584239014.39
2004-03-05,196.06,201.04,195.76,196.78,3092962,0.0037,-0.0039,608633062.36,574635297.13
2004-03-08,195.16,195.16,190.72,191.14,4570133,-0.0206,-0.0287,873535221.62,578172204.62
2004-03-09,189.7,190.36,188.01,189.52,9682454,-0.0009,-0.0085,1835018682.08,595911119.13
2004-03-10,190.0,190.12,185.55,186.75,6744049,-0.0171,-0.0146,1259451150.75,708982896.52
2004-03-11,185.67,187.05,181.71,182.67,7042754,-0.0162,-0.0218,1286499873.18,779487632.6
2004-03-12,183.93,184.77,182.91,183.75,4680592,-0.001,0.0059,860058780.0,853522775.45
2004-03-15,185.25,185.79,180.93,181.95,5760356,-0.0178,-0.0098,1048096774.2,884205673.23
2004-03-16,184.05,184.29,180.75,183.15,4207797,-0.0049,0.0066,770658020.55,937565597.24
2004-03-17,183.75,185.25,183.21,184.71,4044930,0.0052,0.0085,747139020.3,953100527.17
2004-03-18,183.93,184.83,181.95,184.47,4445552,0.0029,-0.0013,820070977.44,979204416.72
2004-03-19,183.87,184.41,180.81,180.99,6722783,-0.0157,-0.0189,1216756495.17,1010916156.25
2004-03-22,179.79,180.15,174.26,176.6,7586974,-0.0177,-0.0243,1339859608.4,1071728499.53
2004-03-23,178.89,179.31,175.28,175.34,9834229,-0.0198,-0.0071,1724333712.86,1118360938.21
2004-03-24,174.44,175.34,173.42,175.22,9769782,0.0045,-0.0007,1711861202.04,1107292441.29
2004-03-25,175.4,178.65,174.74,178.35,9245546,0.0168,0.0179,1648943129.1,1152533446.41
2004-03-26,180.27,185.55,180.27,180.75,11514317,0.0027,0.0135,2081212797.75,1188777772.01
2004-03-29,183.63,185.19,182.85,183.03,9846819,-0.0033,0.0126,1802263281.57,1310893173.78
2004-03-30,182.85,184.35,182.01,184.29,8030210,0.0079,0.0069,1479887400.9,1386309824.52
2004-03-31,184.23,184.23,182.61,183.27,8304551,-0.0052,-0.0055,1521975061.77,1457232762.55
2004-04-01,182.67,185.97,182.13,183.87,7921932,0.0066,0.0033,1456605636.84,1534716366.7
2004-04-02,185.61,187.05,185.25,186.51,9028807,0.0048,0.0144,1683962793.57,1598369832.64
2004-04-05,186.03,189.64,185.97,189.64,9037816,0.0194,0.0168,1713931426.24,1645090462.48
2004-04-06,189.04,191.14,188.37,189.28,7902848,0.0013,-0.0019,1495851069.44,1682497644.26
2004-04-07,190.12,190.36,187.89,188.55,5124578,-0.0083,-0.0039,966239181.9,1659649379.92
2004-04-08,190.84,191.26,187.05,188.61,6476635,-0.0117,0.0003,1221558127.35,1585087177.91
2004-04-12,189.46,190.6,188.85,189.88,2860036,0.0022,0.0067,543063635.68,1542348677.73
2004-04-13,190.3,190.6,185.31,186.15,5411026,-0.0218,-0.0196,1007262489.9,1388533761.53
2004-04-14,184.05,184.35,181.05,183.03,5995663,-0.0055,-0.0168,1097386198.89,1309033682.36
2004-04-15,184.35,184.83,181.95,184.71,4150694,0.002,0.0092,766674688.74,1270783562.16
2004-04-16,185.43,188.19,184.83,187.53,4296641,0.0113,0.0153,805749086.73,1195253524.86
2004-04-19,187.23,187.29,182.55,186.75,2997573,-0.0026,-0.0042,559796757.75,1130167869.84
2004-04-20,187.05,187.35,182.49,182.97,3422391,-0.0218,-0.0202,626194881.27,1017751266.26
2004-04-21,183.45,184.65,180.39,184.35,5005858,0.0049,0.0075,922829922.3,908977611.76
2004-04-22,183.15,185.79,181.41,185.25,5870649,0.0115,0.0049,1087537727.25,851675497.05
2004-04-23,186.15,186.15,183.45,184.29,3207251,-0.01,-0.0052,591064286.79,863805351.59
2004-04-26,185.25,185.67,184.05,184.65,2769311,-0.0032,0.002,511353276.15,800755967.53
2004-04-27,185.67,186.39,183.15,183.45,4469365,-0.012,-0.0065,819905009.25,797584931.58
2004-04-28,182.25,182.55,180.15,180.27,4557260,-0.0109,-0.0173,821537260.2,778849183.51
2004-04-29,181.05,182.31,180.03,180.45,3922647,-0.0033,0.001,707841651.15,751264289.64
2004-04-30,180.87,181.83,178.95,179.85,3858966,-0.0056,-0.0033,694035035.1,745380985.88
2004-05-03,180.87,182.37,180.27,181.95,2831376,0.006,0.0117,515168863.2,734209580.72
2004-05-04,182.67,184.41,181.71,182.79,2901885,0.0007,0.0046,530435559.15,729746791.27
2004-05-05,177.87,183.45,177.87,183.09,2994726,0.0293,0.0016,548304383.34,720170859.05
2004-05-06,182.25,183.45,180.75,182.97,2701600,0.004,-0.0007,494311752.0,682718305.16
