Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2019-11-22,24.75,25.0,24.51,24.64,391446,-0.0044,,9645229.44,
2019-11-25,24.77,24.78,24.65,24.75,170082,-0.0008,0.0045,4209529.5,
2019-11-26,24.84,24.88,24.75,24.75,73966,-0.0036,0.0,1830658.5,
2019-11-27,24.8,24.95,24.75,24.8,36686,0.0,0.002,909812.8,
2019-11-29,24.77,24.9,24.62,24.8,34371,0.0012,0.0,852400.8,
2019-12-02,24.85,24.85,24.54,24.74,62760,-0.0044,-0.0024,1552682.4,
2019-12-03,24.75,24.8,24.74,24.8,40451,0.002,0.0024,1003184.8,
2019-12-04,24.99,24.99,24.74,24.82,68243,-0.0068,0.0008,1693791.26,
2019-12-05,24.85,24.9,24.72,24.75,52215,-0.004,-0.0028,1292321.25,
2019-12-06,24.75,24.8,24.73,24.75,36893,0.0,0.0,913101.75,
2019-12-09,24.77,24.79,24.71,24.72,38139,-0.002,-0.0012,942796.08,2390271.25
2019-12-10,24.8,24.8,24.71,24.75,52147,-0.002,0.0012,1290638.25,1520027.91
2019-12-11,24.75,24.8,24.74,24.74,20217,-0.0004,-0.0004,500168.58,1228138.79
2019-12-12,24.77,24.9,24.75,24.81,24461,0.0016,0.0028,606877.41,1095089.8
2019-12-13,24.81,24.88,24.8,24.86,4416,0.002,0.002,109781.76,1064796.26
2019-12-16,24.86,24.93,24.84,24.9,23648,0.0016,0.0016,588835.2,990534.35
2019-12-17,24.95,24.95,24.8,24.83,39440,-0.0048,-0.0028,979295.2,894149.63
2019-12-18,24.86,25.09,24.8,24.96,72311,0.004,0.0052,1804882.56,891760.67
2019-12-19,24.84,25.04,24.84,24.99,11976,0.006,0.0012,299280.24,902869.8
2019-12-20,25.04,25.13,25.01,25.1,29331,0.0024,0.0044,736208.1,803565.7
2019-12-23,25.12,25.65,25.12,25.58,131317,0.0183,0.0191,3359088.86,785876.34
2019-12-24,25.58,25.65,25.58,25.63,28697,0.002,0.002,735504.11,1027505.62
2019-12-26,25.65,25.65,25.5,25.6,16052,-0.0019,-0.0012,410931.2,971992.2
2019-12-27,25.63,25.65,25.56,25.64,14452,0.0004,0.0016,370549.28,963068.46
2019-12-30,25.65,25.65,25.12,25.65,14413,0.0,0.0004,369693.45,939435.65
2019-12-31,25.64,25.67,25.63,25.64,15910,0.0,-0.0004,407932.4,965426.82
2020-01-02,25.7,26.17,25.65,25.91,78146,0.0082,0.0105,2024762.86,947336.54
2020-01-03,25.71,26.2,25.71,26.2,43839,0.0191,0.0112,1148581.8,1051883.31
2020-01-06,26.1,26.4,26.01,26.36,30191,0.01,0.0061,795834.76,986253.23
2020-01-07,26.14,26.25,26.02,26.04,28359,-0.0038,-0.0121,738468.36,1035908.68
2020-01-08,26.19,26.19,25.9,25.97,68186,-0.0084,-0.0027,1770790.42,1036134.71
2020-01-09,26.0,26.19,25.86,25.95,30032,-0.0019,-0.0008,779330.4,877304.86
2020-01-10,25.93,25.93,25.66,25.69,44752,-0.0093,-0.01,1149678.88,881687.49
2020-01-13,25.7,25.73,25.6,25.7,19781,0.0,0.0004,508371.7,955562.26
2020-01-14,25.99,25.99,25.73,25.76,61274,-0.0088,0.0023,1578418.24,969344.5
2020-01-15,25.88,26.0,25.77,25.99,11407,0.0043,0.0089,296467.93,1090216.98
2020-01-16,26.0,26.2,25.96,26.19,10800,0.0073,0.0077,282852.0,1079070.53
2020-01-17,26.1,26.22,26.03,26.03,10739,-0.0027,-0.0061,279536.17,904879.45
2020-01-21,26.04,26.09,25.91,26.05,14560,0.0004,0.0008,379288.0,817974.89
2020-01-22,26.07,26.09,25.83,25.92,18933,-0.0058,-0.005,490743.36,776320.21
2020-01-23,25.8,25.9,25.76,25.8,20881,0.0,-0.0046,538729.8,751547.71
2020-01-24,25.85,25.91,25.75,25.83,14675,-0.0008,0.0012,379055.25,628341.65
2020-01-27,25.92,25.92,25.73,25.73,19853,-0.0073,-0.0039,510817.69,588314.13
2020-01-28,25.73,25.91,25.73,25.91,11777,0.007,0.007,305142.07,524428.01
2020-01-29,25.85,26.05,25.69,25.69,25381,-0.0062,-0.0085,652037.89,504105.05
2020-01-30,25.82,26.05,25.71,25.73,59891,-0.0035,0.0016,1540995.43,411467.02
2020-01-31,25.8,25.9,25.7,25.88,6717,0.0031,0.0058,173835.96,535919.77
2020-02-03,25.85,25.85,25.73,25.85,4639,0.0,-0.0012,119918.15,525018.16
2020-02-04,25.76,25.95,25.76,25.95,7418,0.0074,0.0039,192497.1,509056.36
2020-02-05,25.8,25.95,25.75,25.79,11970,-0.0004,-0.0062,308706.3,490377.27
2020-02-06,25.9,26.11,25.9,25.93,9624,0.0012,0.0054,249550.32,472173.56
2020-02-07,25.86,25.95,25.8,25.89,3050,0.0012,-0.0015,78964.5,443255.62
2020-02-10,25.89,25.95,25.84,25.92,11800,0.0012,0.0012,305856.0,413246.54
2020-02-11,25.93,26.12,25.93,26.09,3175,0.0062,0.0066,82835.75,392750.37
2020-02-12,25.95,26.05,25.91,26.01,5612,0.0023,-0.0031,145968.12,370519.74
2020-02-13,26.0,26.0,25.99,25.99,2210,-0.0004,-0.0008,57437.9,319912.76
2020-02-14,25.99,26.03,25.97,26.02,3705,0.0012,0.0012,96404.1,171557.01
2020-02-18,26.03,26.03,26.0,26.0,7107,-0.0012,-0.0008,184782.0,163813.82
2020-02-19,26.03,26.04,25.95,26.01,10972,-0.0008,0.0004,285381.72,170300.21
2020-02-20,26.01,26.05,25.97,26.05,7574,0.0015,0.0015,197302.7,179588.67
2020-02-21,26.05,26.05,26.03,26.03,5275,-0.0008,-0.0008,137308.25,168448.31
2020-02-24,25.95,25.95,25.35,25.67,33233,-0.0108,-0.0138,853091.11,157224.1
2020-02-25,25.73,25.73,25.25,25.35,14760,-0.0148,-0.0125,374166.0,234636.76
2020-02-26,25.4,25.4,25.15,25.19,58686,-0.0083,-0.0063,1478300.34,241467.76
2020-02-27,25.19,25.21,24.88,25.09,26204,-0.004,-0.004,657458.36,381014.22
2020-02-28,25.0,25.22,24.88,25.07,21005,0.0028,-0.0008,526595.35,432163.25
2020-03-02,25.01,25.35,25.0,25.25,22116,0.0096,0.0072,558429.0,479078.99
2020-03-03,25.33,25.68,25.19,25.65,24689,0.0126,0.0158,633272.85,525281.48
2020-03-04,25.65,25.65,25.5,25.6,2926,-0.0019,-0.0019,74905.6,570130.57
2020-03-05,25.65,25.65,25.0,25.06,15526,-0.023,-0.0211,389081.56,549082.96
2020-03-06,25.0,25.17,24.89,25.1,6875,0.004,0.0016,172562.5,568260.84
2020-03-09,24.76,24.9,23.71,24.11,16512,-0.0263,-0.0394,398104.32,571786.27
2020-03-10,24.26,24.48,24.14,24.2,25705,-0.0025,0.0037,622061.0,526287.59
2020-03-11,24.44,24.44,21.16,21.77,11993,-0.1092,-0.1004,261087.61,551077.09
2020-03-12,21.2,21.2,17.24,18.75,35962,-0.1156,-0.1387,674287.5,429355.81
2020-03-13,19.25,20.9,17.02,20.89,21876,0.0852,0.1141,456989.64,431038.73
2020-03-16,18.3,20.51,17.15,19.79,14541,0.0814,-0.0527,287766.39,424078.16
