Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,3.54,3.75,3.54,3.69,22400,0.0424,,82656.0,
2003-12-02,3.75,3.75,3.69,3.7,76700,-0.0133,0.0027,283790.0,
2003-12-03,3.7,3.8,3.7,3.7,49000,0.0,0.0,181300.0,
2003-12-04,3.75,3.75,3.58,3.58,38500,-0.0453,-0.0324,137830.0,
2003-12-05,3.59,3.66,3.59,3.64,38900,0.0139,0.0168,141596.0,
2003-12-08,3.64,3.8,3.64,3.78,35000,0.0385,0.0385,132300.0,
2003-12-09,3.78,3.9,3.65,3.79,24200,0.0026,0.0026,91718.0,
2003-12-10,3.86,3.86,3.7,3.75,57900,-0.0285,-0.0106,217125.0,
2003-12-11,3.8,3.8,3.7,3.71,10200,-0.0237,-0.0107,37842.0,
2003-12-12,3.75,4.12,3.75,4.09,102200,0.0907,0.1024,417998.0,
2003-12-15,4.07,4.14,4.04,4.05,46100,-0.0049,-0.0098,186705.0,172415.5
2003-12-16,4.05,4.1,3.85,4.05,40700,0.0,0.0,164835.0,182820.4
2003-12-17,4.12,4.12,3.99,3.99,13800,-0.0316,-0.0148,55062.0,170924.9
2003-12-18,4.0,4.08,4.0,4.06,25000,0.015,0.0175,101500.0,158301.1
2003-12-19,4.05,4.08,4.03,4.07,33900,0.0049,0.0025,137973.0,154668.1
2003-12-22,4.06,4.12,4.06,4.11,15600,0.0123,0.0098,64116.0,154305.8
2003-12-23,4.13,4.13,4.05,4.09,41800,-0.0097,-0.0049,170962.0,147487.4
2003-12-24,4.07,4.07,4.01,4.04,2200,-0.0074,-0.0122,8888.0,155411.8
2003-12-26,4.08,4.3,4.05,4.3,77900,0.0539,0.0644,334970.0,134588.1
2003-12-29,4.3,4.34,4.19,4.26,60100,-0.0093,-0.0093,256026.0,164300.9
2003-12-30,4.27,4.27,4.16,4.16,25000,-0.0258,-0.0235,104000.0,148103.7
2003-12-31,4.16,4.16,4.05,4.06,63000,-0.024,-0.024,255780.0,139833.2
2004-01-02,4.13,4.19,4.1,4.14,21100,0.0024,0.0197,87354.0,148927.7
2004-01-05,4.1,4.15,4.1,4.13,12600,0.0073,-0.0024,52038.0,152156.9
2004-01-06,4.18,4.29,4.13,4.29,199800,0.0263,0.0387,857142.0,147210.7
2004-01-07,4.29,4.33,4.28,4.28,38600,-0.0023,-0.0023,165208.0,219127.6
2004-01-08,4.25,4.34,4.21,4.32,37500,0.0165,0.0093,162000.0,229236.8
2004-01-09,4.32,4.33,4.25,4.32,47800,0.0,0.0,206496.0,228340.6
2004-01-12,4.32,4.32,4.15,4.19,73100,-0.0301,-0.0301,306289.0,248101.4
2004-01-13,4.1,4.22,4.1,4.2,69500,0.0244,0.0024,291900.0,245233.3
2004-01-14,4.2,4.3,4.2,4.28,19000,0.019,0.019,81320.0,248820.7
2004-01-15,4.3,4.4,4.05,4.15,79700,-0.0349,-0.0304,330755.0,246552.7
2004-01-16,4.05,4.27,4.05,4.26,82000,0.0519,0.0265,349320.0,254050.2
2004-01-20,4.25,4.52,4.2,4.52,79900,0.0635,0.061,361148.0,280246.8
2004-01-21,4.52,4.62,4.36,4.61,88500,0.0199,0.0199,407985.0,311157.8
2004-01-22,4.6,4.66,4.55,4.66,27000,0.013,0.0108,125820.0,266242.1
2004-01-23,4.56,4.8,4.56,4.73,85900,0.0373,0.015,406307.0,262303.3
2004-01-26,4.73,4.75,4.56,4.7,53800,-0.0063,-0.0063,252860.0,286734.0
2004-01-27,4.7,4.95,4.7,4.95,127500,0.0532,0.0532,631125.0,291370.4
2004-01-28,4.97,4.97,4.81,4.9,77000,-0.0141,-0.0101,377300.0,323854.0
2004-01-29,4.85,4.85,4.7,4.73,42100,-0.0247,-0.0347,199133.0,332394.0
2004-01-30,4.7,4.77,4.56,4.67,31400,-0.0064,-0.0127,146638.0,344175.3
