Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2017-09-14,2505.6,2505.6,2505.6,2505.6,1,0.0,,2505.6,
2017-09-15,2505.6,2505.6,2505.6,2505.6,1,0.0,0.0,2505.6,
2017-09-18,2496.0,2496.0,2457.6,2457.6,1,-0.0154,-0.0192,2457.6,
2017-09-19,2409.6,2409.6,2409.6,2409.6,0,0.0,-0.0195,0.0,
2017-09-20,2160.0,2160.0,2160.0,2160.0,0,0.0,-0.1036,0.0,
2017-09-21,2179.2,2179.2,1872.0,1872.0,2,-0.141,-0.1333,3744.0,
2017-09-22,1728.0,1728.0,1689.6,1689.6,2,-0.0222,-0.0974,3379.2,
2017-09-25,1680.0,1718.4,1632.0,1632.0,2,-0.0286,-0.0341,3264.0,
2017-09-26,1632.0,1632.0,1632.0,1632.0,0,0.0,0.0,0.0,
2017-09-27,1603.2,1603.2,1440.0,1440.0,4,-0.1018,-0.1176,5760.0,
2017-09-28,1420.8,1420.8,1392.0,1392.0,1,-0.0203,-0.0333,1392.0,2361.6
2017-09-29,1392.0,1392.0,1296.0,1392.0,3,0.0,0.0,4176.0,2250.24
2017-10-02,1392.0,1392.0,1392.0,1392.0,1,0.0,0.0,1392.0,2417.28
2017-10-03,1382.4,1392.0,1382.4,1392.0,7,0.0069,0.0,9744.0,2310.72
2017-10-04,1248.0,1344.0,1104.0,1344.0,3,0.0769,-0.0345,4032.0,3285.12
2017-10-05,1248.0,1248.0,1113.6,1142.4,8,-0.0846,-0.15,9139.2,3688.32
2017-10-06,1161.6,1248.0,1161.6,1200.0,4,0.0331,0.0504,4800.0,4227.84
2017-10-09,1142.4,1142.4,1132.8,1132.8,3,-0.0084,-0.056,3398.4,4369.92
2017-10-10,1152.0,1152.0,1104.0,1104.0,1,-0.0417,-0.0254,1104.0,4383.36
2017-10-11,1094.4,1094.4,740.16,740.16,6,-0.3237,-0.3296,4440.96,4493.76
2017-10-12,912.0,912.0,853.44,864.0,10,-0.0526,0.1673,8640.0,4361.86
2017-10-13,864.0,864.0,864.0,864.0,3,0.0,0.0,2592.0,5086.66
2017-10-16,864.0,1056.0,864.0,979.2,25,0.1333,0.1333,24480.0,4928.26
2017-10-17,1008.0,1046.4,988.8,1046.4,24,0.0381,0.0686,25113.6,7237.06
2017-10-18,1056.0,1171.2,1036.8,1075.2,48,0.0182,0.0275,51609.6,8774.02
2017-10-19,1027.2,1056.0,969.6,969.6,17,-0.0561,-0.0982,16483.2,13531.78
2017-10-20,988.8,988.8,864.0,988.8,17,0.0,0.0198,16809.6,14266.18
2017-10-23,892.8,892.8,883.2,883.2,5,-0.0108,-0.1068,4416.0,15467.14
2017-10-24,835.2,960.0,835.2,883.2,15,0.0575,0.0,13248.0,15568.9
2017-10-25,806.4,835.2,768.0,835.2,6,0.0357,-0.0543,5011.2,16783.3
2017-10-26,892.8,892.8,710.4,864.0,18,-0.0323,0.0345,15552.0,16840.32
2017-10-27,844.8,864.0,844.8,864.0,7,0.0227,0.0,6048.0,17531.52
2017-10-30,864.0,864.0,864.0,864.0,1,0.0,0.0,864.0,17877.12
2017-10-31,864.0,864.0,864.0,864.0,0,0.0,0.0,0.0,15515.52
2017-11-01,864.0,864.0,864.0,864.0,5,0.0,0.0,4320.0,13004.16
2017-11-02,892.8,892.8,892.8,892.8,2,0.0,0.0333,1785.6,8275.2
2017-11-03,442.56,748.8,442.56,720.0,2,0.6269,-0.1935,1440.0,6805.44
2017-11-06,720.0,844.8,672.0,825.6,19,0.1467,0.1467,15686.4,5268.48
2017-11-07,835.2,844.8,816.0,816.0,9,-0.023,-0.0116,7344.0,6395.52
2017-11-08,816.0,816.0,816.0,816.0,6,0.0,0.0,4896.0,5805.12
2017-11-09,720.0,720.0,720.0,720.0,2,0.0,-0.1176,1440.0,5793.6
2017-11-10,748.8,748.8,748.8,748.8,1,0.0,0.04,748.8,4382.4
2017-11-13,748.8,748.8,624.0,748.8,8,0.0,0.0,5990.4,3852.48
2017-11-14,748.8,748.8,691.2,691.2,3,-0.0769,-0.0769,2073.6,4365.12
2017-11-15,691.2,691.2,672.0,672.0,6,-0.0278,-0.0278,4032.0,4572.48
2017-11-16,710.4,710.4,633.6,672.0,6,-0.0541,0.0,4032.0,4543.68
2017-11-17,576.0,576.0,576.0,576.0,2,0.0,-0.1429,1152.0,4768.32
2017-11-20,576.0,576.0,576.0,576.0,0,0.0,0.0,0.0,4739.52
2017-11-21,576.0,576.0,576.0,576.0,8,0.0,0.0,4608.0,3170.88
2017-11-22,576.0,710.4,576.0,710.4,4,0.2333,0.2333,2841.6,2897.28
2017-11-24,720.0,720.0,480.0,480.0,7,-0.3333,-0.3243,3360.0,2691.84
2017-11-27,720.0,720.0,720.0,720.0,2,0.0,0.5,1440.0,2883.84
2017-11-28,576.0,576.0,576.0,576.0,1,0.0,-0.2,576.0,2952.96
2017-11-29,576.0,576.0,576.0,576.0,3,0.0,0.0,1728.0,2411.52
2017-11-30,662.4,662.4,662.4,662.4,1,0.0,0.15,662.4,2376.96
2017-12-01,662.4,672.0,576.0,576.0,18,-0.1304,-0.1304,10368.0,2040.0
2017-12-04,576.0,576.0,576.0,576.0,0,0.0,0.0,0.0,2673.6
2017-12-05,576.0,576.0,480.0,527.04,26,-0.085,-0.085,13703.04,2558.4
2017-12-06,643.2,662.4,643.2,662.4,6,0.0299,0.2568,3974.4,3928.7
2017-12-07,585.6,585.6,547.2,547.2,3,-0.0656,-0.1739,1641.6,3865.34
2017-12-08,528.0,528.0,460.8,460.8,5,-0.1273,-0.1579,2304.0,3745.34
2017-12-11,480.0,480.0,384.0,384.0,13,-0.2,-0.1667,4992.0,3639.74
2017-12-12,460.8,460.8,460.8,460.8,1,0.0,0.2,460.8,3994.94
2017-12-13,537.6,537.6,432.0,432.0,16,-0.1964,-0.0625,6912.0,3983.42
2017-12-14,480.0,480.0,460.8,460.8,10,-0.04,0.0667,4608.0,4501.82
2017-12-15,528.0,633.6,460.8,528.0,22,0.0,0.1458,11616.0,4896.38
2017-12-18,528.0,528.0,528.0,528.0,0,0.0,0.0,0.0,5021.18
2017-12-19,528.0,528.0,460.8,460.8,6,-0.1273,-0.1273,2764.8,5021.18
2017-12-20,460.8,460.8,460.8,460.8,0,0.0,0.0,0.0,3927.36
2017-12-21,460.8,460.8,460.8,460.8,3,0.0,0.0,1382.4,3529.92
2017-12-22,480.0,480.0,364.8,364.8,6,-0.24,-0.2083,2188.8,3504.0
2017-12-26,518.4,518.4,451.2,451.2,4,-0.1296,0.2368,1804.8,3492.48
2017-12-27,470.4,470.4,470.4,470.4,3,0.0,0.0426,1411.2,3173.76
2017-12-28,432.0,432.0,432.0,432.0,1,0.0,-0.0816,432.0,3268.8
2017-12-29,384.0,480.0,288.0,288.0,17,-0.25,-0.3333,4896.0,2620.8
2018-01-02,480.0,480.0,384.0,480.0,4,0.0,0.6667,1920.0,2649.6
2018-01-03,624.0,624.0,624.0,624.0,5,0.0,0.3,3120.0,1680.0
2018-01-04,576.0,576.0,576.0,576.0,1,0.0,-0.0769,576.0,1992.0
2018-01-05,624.0,662.4,624.0,662.4,3,0.0615,0.15,1987.2,1773.12
2018-01-08,662.4,662.4,662.4,662.4,0,0.0,0.0,0.0,1971.84
2018-01-09,672.0,672.0,672.0,672.0,1,0.0,0.0145,672.0,1833.6
2018-01-10,672.0,672.0,672.0,672.0,0,0.0,0.0,0.0,1681.92
2018-01-11,672.0,672.0,672.0,672.0,0,0.0,0.0,0.0,1501.44
2018-01-12,672.0,672.0,672.0,672.0,0,0.0,0.0,0.0,1360.32
2018-01-16,652.8,652.8,652.8,652.8,1,0.0,-0.0286,652.8,1317.12
2018-01-17,648.0,648.0,585.6,585.6,3,-0.0963,-0.1029,1756.8,892.8
2018-01-18,585.6,585.6,585.6,585.6,0,0.0,0.0,0.0,876.48
2018-01-19,566.4,566.4,547.2,547.2,2,-0.0339,-0.0656,1094.4,564.48
2018-01-22,537.6,537.6,537.6,537.6,2,0.0,-0.0175,1075.2,616.32
2018-01-23,537.6,537.6,537.6,537.6,0,0.0,0.0,0.0,525.12
2018-01-24,537.6,537.6,537.6,537.6,0,0.0,0.0,0.0,525.12
2018-01-25,595.2,624.0,595.2,624.0,5,0.0484,0.1607,3120.0,457.92
2018-01-26,624.0,672.0,576.0,633.6,29,0.0154,0.0154,18374.4,769.92
2018-01-29,624.0,624.0,576.0,624.0,32,0.0,-0.0152,19968.0,2607.36
2018-01-30,624.0,672.0,595.2,672.0,3,0.0769,0.0769,2016.0,4604.16
2018-01-31,671.04,671.04,671.04,671.04,0,0.0,-0.0014,0.0,4740.48
2018-02-01,662.4,662.4,536.64,652.8,8,-0.0145,-0.0272,5222.4,4564.8
2018-02-02,624.0,652.8,576.0,652.8,7,0.0462,0.0,4569.6,5087.04
2018-02-05,624.0,720.0,624.0,720.0,12,0.1538,0.1029,8640.0,5434.56
2018-02-06,672.0,844.8,672.0,844.8,3,0.2571,0.1733,2534.4,6191.04
2018-02-07,768.0,768.0,768.0,768.0,0,0.0,-0.0909,0.0,6444.48
2018-02-08,624.0,691.2,624.0,691.2,1,0.1077,-0.1,691.2,6444.48
2018-02-09,691.2,691.2,691.2,691.2,10,0.0,0.0,6912.0,6201.6
2018-02-12,681.6,681.6,672.0,672.0,4,-0.0141,-0.0278,2688.0,5055.36
2018-02-13,672.0,672.0,672.0,672.0,0,0.0,0.0,0.0,3327.36
2018-02-14,672.0,672.0,672.0,672.0,0,0.0,0.0,0.0,3125.76
2018-02-15,662.4,700.8,662.4,700.8,1,0.058,0.0429,700.8,3125.76
2018-02-16,691.2,844.8,691.2,844.8,4,0.2222,0.2055,3379.2,2673.6
2018-02-20,835.2,835.2,835.2,835.2,0,0.0,-0.0114,0.0,2554.56
2018-02-21,844.8,844.8,844.8,844.8,0,0.0,0.0115,0.0,1690.56
2018-02-22,840.0,840.0,840.0,840.0,0,0.0,-0.0057,0.0,1437.12
2018-02-23,840.0,840.0,840.0,840.0,0,0.0,0.0,0.0,1437.12
2018-02-26,825.6,825.6,825.6,825.6,1,0.0,-0.0171,825.6,1368.0
2018-02-27,921.6,921.6,720.0,816.0,3,-0.1146,-0.0116,2448.0,759.36
2018-02-28,816.0,816.0,528.0,777.6,12,-0.0471,-0.0471,9331.2,735.36
2018-03-01,720.0,772.8,681.6,772.8,5,0.0733,-0.0062,3864.0,1668.48
2018-03-02,796.8,864.0,532.8,864.0,9,0.0843,0.118,7776.0,2054.88
2018-03-05,854.4,854.4,364.8,700.8,49,-0.1798,-0.1889,34339.2,2762.4
2018-03-06,691.2,691.2,691.2,691.2,9,0.0,-0.0137,6220.8,5858.4
2018-03-07,691.2,691.2,672.0,672.0,15,-0.0278,-0.0278,10080.0,6480.48
2018-03-08,652.8,652.8,576.0,624.0,13,-0.0441,-0.0714,8112.0,7488.48
2018-03-09,624.0,624.0,624.0,624.0,4,0.0,0.0,2496.0,8299.68
2018-03-12,652.8,652.8,643.2,643.2,1,-0.0147,0.0308,643.2,8549.28
2018-03-13,672.0,672.0,672.0,672.0,2,0.0,0.0448,1344.0,8531.04
2018-03-14,643.2,643.2,643.2,643.2,2,0.0,-0.0429,1286.4,8420.64
2018-03-15,672.0,672.0,672.0,672.0,1,0.0,0.0448,672.0,7616.16
2018-03-16,657.6,657.6,585.6,585.6,12,-0.1095,-0.1286,7027.2,7296.96
