Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2014-04-23,25.14,25.15,25.03,25.15,2630008,0.0004,,66144701.2,
2014-04-24,25.1,25.2,25.05,25.08,6294942,-0.0008,-0.0028,157877145.36,
2014-04-25,25.1,25.2,25.05,25.14,657504,0.0016,0.0024,16529650.56,
2014-04-28,25.18,25.2,25.05,25.15,722047,-0.0012,0.0004,18159482.05,
2014-04-29,25.15,25.25,25.09,25.22,784475,0.0028,0.0028,19784459.5,
2014-04-30,25.2,25.5,25.2,25.28,1142902,0.0032,0.0024,28892562.56,
2014-05-01,25.28,25.28,25.28,25.28,0,0.0,0.0,0.0,
2014-05-02,25.28,25.28,25.28,25.28,0,0.0,0.0,0.0,
2014-05-05,25.58,25.58,25.5,25.55,1176859,-0.0012,0.0107,30068747.45,
2014-05-06,25.57,25.59,25.52,25.54,583423,-0.0012,-0.0004,14900623.42,
2014-05-07,25.53,25.53,25.42,25.45,1126549,-0.0031,-0.0035,28670672.05,35235737.21
2014-05-08,25.44,25.54,25.43,25.53,985538,0.0035,0.0031,25160785.14,31488334.3
2014-05-09,25.51,25.55,25.48,25.5,148245,-0.0004,-0.0012,3780247.5,18216698.27
2014-05-12,25.49,25.55,25.47,25.49,444844,0.0,-0.0004,11339073.56,16941757.97
2014-05-13,25.49,25.54,25.47,25.51,312295,0.0008,0.0008,7966645.45,16259717.12
2014-05-14,25.5,25.53,25.48,25.52,399268,0.0008,0.0004,10189319.36,15077935.71
2014-05-15,25.53,25.55,25.5,25.52,154281,-0.0004,0.0,3937251.12,13207611.39
2014-05-16,25.51,25.56,25.5,25.55,590741,0.0016,0.0012,15093432.55,13601336.5
2014-05-19,25.56,25.63,25.55,25.59,1339113,0.0012,0.0016,34267901.67,15110679.76
2014-05-20,25.61,25.7,25.61,25.67,467320,0.0023,0.0031,11996104.4,15530595.18
2014-05-21,25.66,25.7,25.62,25.64,1527472,-0.0008,-0.0012,39164382.08,15240143.28
2014-05-22,25.66,25.68,25.63,25.67,290029,0.0004,0.0012,7445044.43,16289514.28
2014-05-23,25.65,25.68,25.65,25.66,155215,0.0004,-0.0004,3982816.9,14517940.21
2014-05-27,25.71,25.79,25.69,25.78,269578,0.0027,0.0047,6949720.84,14538197.15
2014-05-28,25.76,25.9,25.76,25.87,265607,0.0043,0.0035,6871253.09,14099261.88
2014-05-29,25.85,25.94,25.85,25.92,190678,0.0027,0.0019,4942373.76,13989722.64
2014-05-30,25.93,25.94,25.85,25.93,1776261,0.0,0.0004,46058447.73,13465028.08
2014-06-02,25.94,25.95,25.89,25.92,387282,-0.0008,-0.0004,10038349.44,17677147.74
2014-06-03,25.93,25.93,25.7,25.76,721820,-0.0066,-0.0062,18594083.2,17171639.43
2014-06-04,25.79,25.79,25.46,25.73,658240,-0.0023,-0.0012,16936515.2,15604257.59
