Date,Open,High,Low,Close,Volume,% Day Change,% Previous Change,$ Volume,Previous 10D $ Volume
2003-12-01,13.05,13.05,12.88,12.92,104800,-0.01,,1354016.0,
2003-12-02,13.0,13.05,12.91,12.96,588200,-0.0031,0.0031,7623072.0,
2003-12-03,13.02,13.04,12.97,13.01,382700,-0.0008,0.0039,4978927.0,
2003-12-04,13.0,13.04,12.52,13.02,199400,0.0015,0.0008,2596188.0,
2003-12-05,13.05,13.18,13.0,13.15,379000,0.0077,0.01,4983850.0,
2003-12-08,13.1,13.47,13.1,13.44,448300,0.026,0.0221,6025152.0,
2003-12-09,13.39,13.5,13.29,13.49,194900,0.0075,0.0037,2629201.0,
2003-12-10,13.44,13.87,13.35,13.87,253800,0.032,0.0282,3520206.0,
2003-12-11,13.78,14.4,13.7,14.38,551700,0.0435,0.0368,7933446.0,
2003-12-12,14.4,14.76,14.28,14.68,235800,0.0194,0.0209,3461544.0,
2003-12-15,14.78,14.79,14.25,14.31,142100,-0.0318,-0.0252,2033451.0,4510560.2
2003-12-16,14.48,14.77,14.17,14.62,186400,0.0097,0.0217,2725168.0,4578503.7
2003-12-17,14.7,14.92,14.52,14.9,332300,0.0136,0.0192,4951270.0,4088713.3
2003-12-18,14.93,15.29,14.91,15.1,422000,0.0114,0.0134,6372200.0,4085947.6
2003-12-19,15.12,15.2,14.95,15.12,114300,0.0,0.0013,1728216.0,4463548.8
2003-12-22,15.13,15.15,14.99,15.07,189600,-0.004,-0.0033,2857272.0,4137985.4
2003-12-23,15.14,15.22,14.96,15.22,219600,0.0053,0.01,3342312.0,3821197.4
2003-12-24,15.05,15.05,14.95,14.95,37500,-0.0066,-0.0177,560625.0,3892508.5
2003-12-26,15.0,15.11,14.95,15.07,28400,0.0047,0.008,427988.0,3596550.4
2003-12-29,15.18,15.6,15.18,15.48,123600,0.0198,0.0272,1913328.0,2846004.6
2003-12-30,15.5,15.76,15.42,15.65,71500,0.0097,0.011,1118975.0,2691183.0
2003-12-31,15.72,15.74,15.12,15.12,68500,-0.0382,-0.0339,1035720.0,2599735.4
2004-01-02,14.9,15.5,14.9,15.25,210700,0.0235,0.0086,3213175.0,2430790.6
2004-01-05,15.2,15.39,15.04,15.15,159800,-0.0033,-0.0066,2420970.0,2256981.1
2004-01-06,15.14,15.7,15.1,15.58,167600,0.0291,0.0284,2611208.0,1861858.1
2004-01-07,15.75,15.8,15.24,15.36,394800,-0.0248,-0.0141,6064128.0,1950157.3
2004-01-08,15.42,15.9,15.4,15.75,368200,0.0214,0.0254,5799150.0,2270842.9
2004-01-09,15.55,15.75,15.39,15.41,190500,-0.009,-0.0216,2935605.0,2516526.7
2004-01-12,15.48,15.61,15.39,15.47,63500,-0.0006,0.0039,982345.0,2754024.7
2004-01-13,15.42,15.42,14.93,14.95,390400,-0.0305,-0.0336,5836480.0,2809460.4
2004-01-14,14.85,14.94,14.55,14.58,254400,-0.0182,-0.0247,3709152.0,3201775.6
2004-01-15,14.68,14.97,14.55,14.97,256600,0.0198,0.0267,3841302.0,3460793.3
2004-01-16,15.17,15.41,15.12,15.19,122900,0.0013,0.0147,1866851.0,3741351.5
2004-01-20,15.3,16.1,15.1,16.1,159700,0.0523,0.0599,2571170.0,3606719.1
2004-01-21,16.22,16.22,15.65,15.65,400500,-0.0351,-0.028,6267825.0,3621739.1
2004-01-22,15.7,15.84,15.5,15.59,135600,-0.007,-0.0038,2114004.0,3987400.8
2004-01-23,15.59,15.65,15.42,15.5,78500,-0.0058,-0.0058,1216750.0,3592388.4
2004-01-26,15.47,15.5,15.25,15.5,74600,0.0019,0.0,1156300.0,3134148.4
2004-01-27,15.52,15.53,15.32,15.48,63200,-0.0026,-0.0013,978336.0,2956217.9
2004-01-28,15.5,15.5,14.65,14.72,66400,-0.0503,-0.0491,977408.0,2955817.0
2004-01-29,14.73,14.92,14.58,14.67,53200,-0.0041,-0.0034,780444.0,2469909.8
2004-01-30,14.7,14.88,14.4,14.41,286100,-0.0197,-0.0177,4122701.0,2177039.0
2004-02-02,14.5,14.55,14.16,14.36,132400,-0.0097,-0.0035,1901264.0,2205178.9
2004-02-03,14.44,14.5,14.21,14.29,136000,-0.0104,-0.0049,1943440.0,2208620.2
2004-02-04,14.2,14.2,13.8,13.85,615500,-0.0246,-0.0308,8524675.0,2145847.2
2004-02-05,13.9,14.05,13.82,14.0,125700,0.0072,0.0108,1759800.0,2371532.2
2004-02-06,14.0,14.72,14.0,14.66,92700,0.0471,0.0471,1358982.0,2336111.8
2004-02-09,14.95,14.95,14.75,14.88,77000,-0.0047,0.015,1145760.0,2350335.0
2004-02-10,14.94,15.23,14.88,15.2,232200,0.0174,0.0215,3529440.0,2349281.0
2004-02-11,15.2,15.35,15.11,15.3,170500,0.0066,0.0066,2608650.0,2604391.4
2004-02-12,15.45,15.45,15.03,15.04,163500,-0.0265,-0.017,2459040.0,2767515.6
2004-02-13,15.2,15.25,14.75,14.91,100200,-0.0191,-0.0086,1493982.0,2935375.2
